,Open,High,Low,Close,Volume,DeliveryPct
2017-09-18,2725.0,3024.0,2725.0,2891.55,6019374.0,
2017-09-19,2946.0,2995.0,2872.4,2892.5,793984.0,
2017-09-20,2888.0,2888.0,2752.85,2806.85,502724.0,
2017-09-21,2803.6,2803.6,2684.0,2764.35,319940.0,
2017-09-22,2790.45,2790.45,2635.0,2659.65,188337.0,
2017-09-25,2620.0,2705.6,2506.35,2612.75,331770.0,
2017-09-26,2616.1,2679.0,2616.1,2634.95,106349.0,
2017-09-27,2658.0,2708.8,2569.9,2599.8,135647.0,
2017-09-28,2608.0,2660.0,2590.55,2633.9,66796.0,
2017-09-29,2646.0,2683.9,2640.0,2648.75,58554.0,
2017-10-03,2665.0,2715.0,2578.8,2695.9,81130.0,
2017-10-04,2710.15,2749.0,2677.0,2722.8,78968.0,
2017-10-05,2715.0,2741.0,2687.0,2697.15,73062.0,
2017-10-06,2701.25,2745.0,2663.5,2677.2,49385.0,
2017-10-09,2677.0,2709.95,2601.5,2631.65,45353.0,
2017-10-10,2635.0,2681.3,2622.0,2662.75,48630.0,
2017-10-11,2745.0,2755.0,2651.25,2667.45,121158.0,
2017-10-12,2696.0,2754.0,2670.0,2742.7,83492.0,
2017-10-13,2746.0,2787.0,2720.1,2734.05,49186.0,
2017-10-16,2740.0,2745.45,2660.3,2671.85,29702.0,
2017-10-17,2656.0,2682.0,2632.05,2651.15,22621.0,
2017-10-18,2645.5,2680.0,2634.4,2662.7,18340.0,
2017-10-19,2660.0,2686.95,2630.1,2654.85,4823.0,
2017-10-23,2655.0,2670.35,2646.05,2655.95,28403.0,
2017-10-24,2658.9,2805.0,2651.95,2760.3,127849.0,
2017-10-25,2780.0,2805.7,2680.0,2768.15,50483.0,
2017-10-26,2723.1,2778.45,2723.0,2754.25,35734.0,
2017-10-27,2765.0,2765.0,2720.0,2737.3,26625.0,
2017-10-30,2740.0,2780.0,2730.0,2736.7,62954.0,
2017-10-31,2730.0,2759.0,2675.0,2724.3,49346.0,
2017-11-01,2729.0,2742.2,2705.0,2712.3,6784.0,
2017-11-02,2731.9,2740.0,2700.0,2704.0,9387.0,
2017-11-03,2713.9,2714.0,2683.1,2688.35,12047.0,
2017-11-06,2688.0,2720.0,2669.05,2692.4,11698.0,
2017-11-07,2699.0,2703.0,2650.0,2667.6,13244.0,
2017-11-08,2661.05,2708.8,2651.0,2683.25,13108.0,
2017-11-09,2663.0,2720.0,2660.0,2677.6,13395.0,
2017-11-10,2659.0,2713.9,2659.0,2695.3,17773.0,
2017-11-13,2695.0,2725.0,2683.45,2704.85,16599.0,
2017-11-14,2686.8,2750.0,2686.8,2731.2,18111.0,
2017-11-15,2750.0,2769.55,2665.0,2689.95,29166.0,
2017-11-16,2700.0,2794.0,2677.05,2763.5,237338.0,
2017-11-17,2774.0,2919.0,2753.15,2894.05,251370.0,
2017-11-20,2907.0,3136.0,2860.05,3117.0,407542.0,
2017-11-21,3134.0,3174.0,3036.7,3088.1,190889.0,
2017-11-22,3103.55,3144.3,3011.05,3106.0,93803.0,
2017-11-23,3100.3,3218.0,3074.35,3196.3,168473.0,
2017-11-24,3203.2,3250.0,3151.0,3235.1,88082.0,
2017-11-27,3221.0,3300.0,3196.8,3293.85,89598.0,
2017-11-28,3295.0,3384.0,3290.0,3364.6,114204.0,
2017-11-29,3361.0,3499.95,3355.0,3447.55,146228.0,
2017-11-30,3435.0,3555.9,3420.0,3519.65,136538.0,
2017-12-01,3530.0,3623.8,3355.1,3402.3,109472.0,
2017-12-04,3412.0,3495.0,3323.0,3390.4,53668.0,
2017-12-05,3390.0,3425.0,3360.0,3392.4,46431.0,
2017-12-06,3370.0,3495.0,3370.0,3437.8,39337.0,
2017-12-07,3474.0,3535.0,3450.0,3507.35,36492.0,
2017-12-08,3530.0,3575.4,3488.0,3521.85,26521.0,
2017-12-11,3530.1,3548.25,3437.0,3449.9,18431.0,
2017-12-12,3467.0,3469.05,3351.0,3370.75,22691.0,
2017-12-13,3370.0,3417.65,3240.0,3265.2,29020.0,
2017-12-14,3287.95,3288.95,3180.0,3204.7,16798.0,
2017-12-15,3230.0,3329.0,3130.0,3195.3,63216.0,
2017-12-18,3185.0,3559.9,3160.0,3501.25,132984.0,
2017-12-19,3540.0,3657.95,3540.0,3632.35,122892.0,
2017-12-20,3651.2,3912.0,3641.1,3834.8,230769.0,
2017-12-21,3879.0,3889.0,3820.0,3852.85,78561.0,
2017-12-22,3883.0,4084.0,3852.5,4037.05,134155.0,
2017-12-26,4060.0,4494.0,4060.0,4394.25,413884.0,
2017-12-27,4360.0,4360.35,4058.4,4216.1,166423.0,
2017-12-28,4258.8,4430.0,4236.45,4283.65,209317.0,
2017-12-29,4283.0,4343.0,4141.0,4190.95,99620.0,
2018-01-01,4230.0,4295.0,4142.0,4187.55,39092.0,
2018-01-02,4229.0,4255.0,4115.3,4137.1,40326.0,
2018-01-03,4245.0,4300.0,4173.15,4200.45,83378.0,
2018-01-04,4222.0,4231.95,4102.0,4127.4,73635.0,
2018-01-05,4137.0,4174.0,4050.0,4068.2,38621.0,
2018-01-08,4082.0,4185.0,4050.0,4083.15,38380.0,
2018-01-09,4108.0,4150.0,4040.0,4049.6,26818.0,
2018-01-10,4067.8,4110.0,4001.0,4026.8,35281.0,
2018-01-11,4010.0,4029.9,3880.0,3900.75,61569.0,
2018-01-12,3930.0,3930.0,3800.0,3844.65,32717.0,
2018-01-15,3844.0,3955.0,3781.0,3797.5,57313.0,
2018-01-16,3814.9,3826.0,3670.0,3703.65,58411.0,
2018-01-17,3705.0,3725.0,3578.2,3644.0,124804.0,
2018-01-18,3650.0,3908.2,3640.1,3794.55,142654.0,
2018-01-19,3779.85,3890.0,3745.0,3830.15,54243.0,
2018-01-22,3858.9,3885.0,3780.0,3824.85,20973.0,
2018-01-23,3825.0,3850.0,3755.15,3790.7,56823.0,
2018-01-24,3761.0,3789.9,3726.05,3758.1,16229.0,
2018-01-25,3765.15,3850.0,3710.0,3813.65,23319.0,
2018-01-29,3851.65,3866.95,3737.0,3783.85,28938.0,
2018-01-30,3775.0,3850.0,3725.0,3787.3,26626.0,
2018-01-31,3790.0,3835.0,3719.55,3750.35,60738.0,
2018-02-01,3720.0,4182.0,3720.0,3825.55,131018.0,
2018-02-02,3798.6,3875.45,3650.0,3687.75,45663.0,
2018-02-05,3649.0,3749.95,3550.0,3697.35,25759.0,
2018-02-06,3447.0,3685.0,3414.05,3622.15,43734.0,
2018-02-07,3690.0,3909.35,3690.0,3852.25,62928.0,
2018-02-08,3879.0,3880.1,3489.95,3513.1,121077.0,
2018-02-09,3460.0,3575.75,3311.0,3458.3,98116.0,
2018-02-12,3525.0,3550.0,3425.0,3436.4,30709.0,
2018-02-14,3465.75,3485.0,3342.05,3356.25,29745.0,
2018-02-15,3359.0,3395.0,3273.0,3284.55,22032.0,
2018-02-16,3299.0,3324.4,3201.0,3215.15,28397.0,
