,Open,High,Low,Close,Volume,DeliveryPct
2016-08-18,166.1,168.9,165.45,167.35,4291420.0,
2016-08-19,167.0,169.6,166.1,167.75,5937716.0,
2016-08-22,167.1,168.25,163.7,164.6,5088269.0,
2016-08-23,164.35,164.6,161.1,162.9,5141350.0,
2016-08-24,162.9,164.75,161.15,164.2,3535845.0,
2016-08-25,164.15,165.65,161.0,161.55,5398380.0,
2016-08-26,162.6,163.7,158.5,159.7,7094058.0,
2016-08-29,160.2,160.2,156.6,158.3,6296807.0,
2016-08-30,156.9,163.65,155.0,162.15,12708939.0,
2016-08-31,164.25,165.25,153.85,154.85,15020668.0,
2016-09-01,155.0,156.3,146.6,148.75,12773096.0,
2016-09-02,150.95,151.95,148.35,150.0,9634895.0,
2016-09-06,152.65,152.65,149.05,150.5,6318529.0,
2016-09-07,151.0,154.35,149.35,151.85,7441241.0,
2016-09-08,152.5,157.75,152.0,156.7,8597979.0,
2016-09-09,156.9,159.4,152.55,158.0,7787823.0,
2016-09-12,152.75,154.0,143.1,145.4,11042338.0,
2016-09-14,144.8,148.1,142.5,144.45,11765899.0,
2016-09-15,144.25,146.4,142.25,144.5,10577943.0,
2016-09-16,145.7,149.35,145.2,146.3,12364546.0,
2016-09-19,147.1,152.6,145.6,152.0,12049100.0,
2016-09-20,152.65,152.7,146.15,147.55,8883681.0,
2016-09-21,148.4,150.2,147.5,148.15,4976653.0,
2016-09-22,150.1,154.2,149.35,153.75,8962007.0,
2016-09-23,155.45,159.2,153.25,155.9,17333176.0,
2016-09-26,154.8,156.65,150.1,152.95,9509307.0,
2016-09-27,153.7,154.75,151.2,153.4,6374076.0,
2016-09-28,153.75,156.9,152.9,156.0,6905698.0,
2016-09-29,157.6,158.0,138.1,140.05,16630508.0,
2016-09-30,140.05,147.15,140.0,146.15,10650160.0,
2016-10-03,148.0,153.7,148.0,152.85,10778413.0,
2016-10-04,153.95,154.3,151.1,153.4,7469692.0,
2016-10-05,154.35,160.3,152.3,158.9,15224569.0,
2016-10-06,158.55,160.1,153.4,155.15,8221064.0,
2016-10-07,155.8,157.25,154.1,155.95,6472064.0,
2016-10-10,156.8,156.9,152.75,154.0,3988033.0,
2016-10-13,152.9,152.9,144.85,147.75,7214854.0,
2016-10-14,149.0,151.55,146.55,150.2,5895646.0,
2016-10-17,150.95,151.8,145.65,146.75,7234378.0,
2016-10-18,147.9,152.15,147.25,151.6,5252551.0,
2016-10-19,152.35,152.35,149.1,150.4,4015890.0,
2016-10-20,152.7,155.3,151.65,153.9,5925299.0,
2016-10-21,155.15,157.3,153.15,156.15,6980247.0,
2016-10-24,156.55,157.8,153.4,155.15,5602564.0,
2016-10-25,155.6,155.7,153.1,154.1,3427736.0,
2016-10-26,153.5,155.5,150.5,152.05,4650948.0,
2016-10-27,151.2,152.2,146.5,148.55,7269720.0,
2016-10-28,149.0,151.25,148.7,150.5,4626709.0,
2016-11-01,150.3,151.9,148.5,149.55,4973982.0,
2016-11-02,147.9,148.0,144.0,144.85,6209733.0,
2016-11-03,144.8,146.8,142.4,143.2,4951613.0,
2016-11-04,144.0,144.2,138.1,139.3,6647178.0,
2016-11-07,141.0,145.25,140.6,144.05,7378917.0,
2016-11-08,144.55,144.8,141.25,143.35,4029122.0,
2016-11-09,129.05,129.05,108.35,118.6,36191940.0,
2016-11-10,120.45,136.35,120.3,125.5,32695378.0,
2016-11-11,121.0,121.35,112.6,116.45,23755323.0,
2016-11-15,114.1,118.2,110.35,114.4,14035061.0,
2016-11-16,116.55,118.85,107.5,108.55,17638482.0,
2016-11-17,108.4,113.4,107.3,112.1,13921559.0,
2016-11-18,112.85,117.0,110.55,116.4,11157992.0,
2016-11-21,116.1,117.0,107.35,108.6,14306214.0,
2016-11-22,109.0,112.95,104.15,111.4,16337790.0,
2016-11-23,113.45,117.75,112.2,117.1,16480030.0,
2016-11-24,114.45,115.9,111.8,113.05,12910649.0,
2016-11-25,113.75,114.5,110.0,112.3,10486910.0,
