,Open,High,Low,Close,Volume,DeliveryPct
2016-08-18,3030.0,3043.0,3015.65,3027.2,264740.0,
2016-08-19,3030.0,3035.85,3003.0,3010.15,173886.0,
2016-08-22,3018.0,3024.75,2983.0,3013.0,173379.0,
2016-08-23,3023.0,3023.85,2995.0,3009.2,217792.0,
2016-08-24,3025.0,3044.0,3007.2,3039.8,253913.0,
2016-08-25,3051.0,3078.0,3041.0,3050.3,464797.0,
2016-08-26,3060.0,3071.05,3025.0,3040.4,234513.0,
2016-08-29,3055.0,3059.0,3017.5,3052.15,145863.0,
2016-08-30,3064.0,3100.0,3041.0,3090.75,215601.0,
2016-08-31,3097.5,3130.15,3079.8,3089.85,478195.0,
2016-09-01,3070.05,3108.9,3066.3,3097.65,272305.0,
2016-09-02,3097.1,3139.0,3082.1,3123.05,196230.0,
2016-09-06,3131.0,3145.0,3115.5,3133.05,132545.0,
2016-09-07,3136.0,3157.65,3115.65,3138.85,152585.0,
2016-09-08,3153.15,3198.0,3142.0,3188.45,200512.0,
2016-09-09,3172.5,3225.0,3170.6,3193.3,199532.0,
2016-09-12,3153.0,3185.0,3132.0,3137.6,167467.0,
2016-09-14,3149.95,3170.0,3135.0,3157.8,140534.0,
2016-09-15,3163.9,3179.8,3132.05,3139.45,111813.0,
2016-09-16,3141.0,3178.15,3135.0,3150.15,208363.0,
2016-09-19,3167.0,3174.9,3141.0,3157.35,132885.0,
2016-09-20,3170.0,3200.0,3150.35,3157.8,281154.0,
2016-09-21,3162.0,3179.0,3135.0,3153.0,250048.0,
2016-09-22,3152.0,3175.5,3142.15,3149.3,287608.0,
2016-09-23,3169.0,3186.95,3150.4,3182.2,155117.0,
2016-09-26,3184.0,3220.0,3161.05,3199.65,232152.0,
2016-09-27,3195.0,3220.0,3180.0,3190.7,174707.0,
2016-09-28,3199.2,3227.7,3187.65,3200.35,237167.0,
2016-09-29,3200.0,3209.8,3111.15,3135.4,432211.0,
2016-09-30,3128.0,3129.0,3058.3,3107.4,237178.0,
2016-10-03,3114.6,3185.0,3114.6,3160.55,216126.0,
2016-10-04,3179.0,3179.0,3142.4,3148.35,158540.0,
2016-10-05,3148.0,3149.9,3105.0,3123.15,180975.0,
2016-10-06,3115.0,3119.85,3060.0,3077.15,160530.0,
2016-10-07,3070.0,3082.0,3045.0,3054.3,180517.0,
2016-10-10,3054.0,3098.8,3039.0,3078.65,317015.0,
2016-10-13,3070.8,3084.75,3027.6,3050.15,387997.0,
2016-10-14,3062.95,3062.95,3021.6,3031.25,412160.0,
2016-10-17,3030.0,3055.85,3012.0,3028.95,200948.0,
2016-10-18,3035.0,3054.0,3021.0,3045.35,155252.0,
2016-10-19,3046.0,3074.0,3046.0,3065.5,214329.0,
2016-10-20,3075.1,3090.0,3055.6,3078.8,100966.0,
2016-10-21,3099.0,3143.0,3088.6,3113.6,313753.0,
2016-10-24,3120.0,3132.25,3072.1,3089.25,273795.0,
2016-10-25,3108.9,3209.0,3068.5,3200.6,1112884.0,
2016-10-26,3206.0,3254.9,3153.15,3242.3,492547.0,
2016-10-27,3260.0,3332.95,3242.2,3324.8,690885.0,
2016-10-28,3320.0,3399.9,3316.7,3363.45,549677.0,
2016-11-01,3328.0,3361.75,3302.95,3326.6,311593.0,
2016-11-02,3311.0,3340.0,3250.0,3260.8,400036.0,
2016-11-03,3270.0,3290.0,3255.05,3262.35,160820.0,
2016-11-04,3168.0,3168.0,3066.8,3079.7,632010.0,
2016-11-07,3124.0,3154.95,3081.05,3106.65,229170.0,
2016-11-08,3111.0,3147.0,3099.0,3119.0,303003.0,
2016-11-09,3001.0,3341.0,2960.05,3282.55,663975.0,
2016-11-10,3310.0,3333.35,3265.05,3278.25,313597.0,
2016-11-11,3228.0,3300.85,3228.0,3256.25,334735.0,
2016-11-15,3256.5,3330.0,3256.5,3310.7,319006.0,
2016-11-16,3335.0,3354.95,3195.0,3210.95,336964.0,
2016-11-17,3182.5,3225.0,3156.1,3207.15,232127.0,
2016-11-18,3244.0,3258.0,3142.1,3214.85,218696.0,
2016-11-21,3194.1,3194.7,3111.05,3134.4,243056.0,
2016-11-22,3135.0,3152.75,3075.35,3121.65,213368.0,
2016-11-23,3100.0,3146.0,3095.05,3128.6,309620.0,
2016-11-24,3135.0,3148.55,3085.0,3111.7,296984.0,
2016-11-25,3124.0,3203.65,3076.0,3168.45,304161.0,
2016-11-28,3170.5,3190.5,3161.0,3172.9,204391.0,
2016-11-29,3173.85,3202.8,3160.0,3188.25,242305.0,
2016-11-30,3205.0,3217.95,3178.4,3196.9,604650.0,
2016-12-01,3205.0,3247.25,3195.75,3238.75,212223.0,
2016-12-02,3184.0,3205.8,3151.8,3180.5,341050.0,
2016-12-05,3197.5,3197.5,3118.55,3168.15,406294.0,
2016-12-06,3181.0,3211.95,3179.85,3195.9,115027.0,
2016-12-07,3185.0,3209.0,3170.55,3183.8,153459.0,
2016-12-08,3160.0,3241.55,3143.0,3211.7,262911.0,
2016-12-09,3217.0,3217.0,3165.1,3186.4,116457.0,
2016-12-12,3189.0,3189.0,3138.65,3147.9,111321.0,
2016-12-13,3159.0,3180.0,3144.4,3166.85,79614.0,
2016-12-14,3164.0,3167.25,3139.95,3147.7,89670.0,
2016-12-15,3152.0,3159.8,3101.7,3107.5,122591.0,
2016-12-16,3117.0,3133.0,3101.45,3107.8,160034.0,
2016-12-19,3110.0,3115.0,3055.1,3068.85,217810.0,
