,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,1589.45,1589.85,1551.0,1563.75,5737.0,
2016-08-23,1575.0,1588.0,1552.35,1567.95,5900.0,
2016-08-24,1590.0,1617.7,1580.25,1587.55,23611.0,
2016-08-25,1586.0,1614.0,1582.4,1589.9,12469.0,
2016-08-26,1584.0,1636.0,1580.25,1628.75,16261.0,
2016-08-29,1640.0,1661.3,1590.0,1623.3,30390.0,
2016-08-30,1687.0,1784.4,1595.1,1613.1,329613.0,
2016-08-31,1623.9,1630.65,1591.1,1610.15,52695.0,
2016-09-01,1622.0,1622.0,1562.2,1571.35,81883.0,
2016-09-02,1584.0,1590.0,1565.0,1569.3,48487.0,
2016-09-06,1572.0,1597.7,1563.5,1585.1,9767.0,
2016-09-07,1598.85,1598.9,1550.0,1553.95,31408.0,
2016-09-08,1579.95,1586.0,1550.0,1560.9,14974.0,
2016-09-09,1564.85,1569.75,1535.0,1537.45,18450.0,
2016-09-12,1530.1,1530.1,1505.1,1514.7,9336.0,
2016-09-14,1514.1,1547.2,1514.1,1525.65,6058.0,
2016-09-15,1529.85,1549.65,1523.35,1540.7,4053.0,
2016-09-16,1543.2,1552.65,1525.05,1539.65,32290.0,
2016-09-19,1544.4,1550.0,1525.1,1549.05,6366.0,
2016-09-20,1535.15,1550.0,1525.3,1541.9,6219.0,
2016-09-21,1549.9,1550.35,1525.5,1532.55,12776.0,
2016-09-22,1544.3,1548.0,1509.45,1513.8,15468.0,
2016-09-23,1529.6,1533.35,1511.0,1511.9,14370.0,
2016-09-26,1511.1,1521.3,1495.25,1499.55,38298.0,
2016-09-27,1499.0,1520.0,1480.6,1496.85,14821.0,
2016-09-28,1499.4,1505.0,1481.6,1495.4,14089.0,
2016-09-29,1490.1,1503.9,1475.1,1483.3,21186.0,
2016-09-30,1483.3,1513.8,1475.55,1503.6,20898.0,
2016-10-03,1492.2,1502.85,1490.0,1493.5,10781.0,
2016-10-04,1499.9,1519.9,1482.75,1495.4,266405.0,
