,Open,High,Low,Close,Volume,DeliveryPct
2016-08-18,22348.0,22480.95,22078.05,22174.8,20215.0,
2016-08-19,22279.0,22399.95,21713.0,21777.3,30560.0,
2016-08-22,21795.0,21959.95,21547.3,21795.0,32520.0,
2016-08-23,21749.0,22061.0,21654.0,22009.85,23027.0,
2016-08-24,22168.0,22230.0,21890.0,22132.25,28828.0,
2016-08-25,22230.0,22353.5,21971.35,22090.6,40151.0,
2016-08-26,22122.0,22350.0,22100.0,22331.0,23347.0,
2016-08-29,22300.0,22350.0,22160.0,22308.05,46540.0,
2016-08-30,22400.0,23084.0,22175.95,23043.1,59546.0,
2016-08-31,23100.0,23429.25,22601.0,22750.95,143618.0,
2016-09-01,22751.0,22950.05,22675.45,22774.25,36586.0,
2016-09-02,22890.0,23024.25,22755.0,22817.0,30121.0,
2016-09-06,22841.0,23045.15,22827.0,22948.3,43845.0,
2016-09-07,23124.0,23124.0,22810.0,22972.75,44872.0,
2016-09-08,22972.75,23499.0,22858.0,23419.15,38488.0,
2016-09-09,23449.0,23572.95,22860.9,22925.05,32036.0,
2016-09-12,22695.8,22825.0,22445.15,22741.4,65298.0,
2016-09-14,22882.0,22914.0,22350.0,22598.15,58070.0,
2016-09-15,22600.0,22679.95,22266.05,22440.05,39284.0,
2016-09-16,22501.05,23239.9,22501.05,23135.25,55294.0,
2016-09-19,23043.0,23332.85,23000.0,23129.25,29134.0,
2016-09-20,23260.5,23545.05,23156.05,23427.8,55909.0,
2016-09-21,23420.0,24280.0,23333.7,24198.65,95652.0,
2016-09-22,24415.0,24850.0,24265.8,24808.95,71474.0,
2016-09-23,24844.0,25000.0,24550.0,24853.2,53795.0,
2016-09-26,24840.0,24995.0,24605.0,24693.8,52009.0,
2016-09-27,24752.0,24850.0,24480.0,24643.25,32364.0,
2016-09-28,24625.0,26045.0,24620.05,25786.55,102186.0,
2016-09-29,26344.0,26641.3,24451.5,24918.35,138500.0,
2016-09-30,25149.8,25550.0,24549.4,24827.8,72690.0,
2016-10-03,25320.0,25969.0,25143.5,25796.25,55210.0,
2016-10-04,25989.7,26077.45,25542.0,25842.45,39827.0,
2016-10-05,25850.0,26345.9,25612.2,26281.35,39397.0,
2016-10-06,26280.0,26505.0,26061.35,26240.85,38261.0,
2016-10-07,26340.0,26340.0,25750.1,25810.45,25969.0,
2016-10-10,25915.25,26082.0,25761.75,25804.6,20010.0,
2016-10-13,25700.0,25978.0,25567.2,25803.2,49996.0,
2016-10-14,25987.75,25990.0,25330.95,25400.15,45733.0,
2016-10-17,25430.1,25578.2,24564.9,24647.4,45648.0,
2016-10-18,24795.0,25220.3,24700.0,25069.1,41222.0,
2016-10-19,25110.0,25299.0,24900.0,24978.2,22366.0,
2016-10-20,25140.0,25240.0,24800.0,24988.6,27484.0,
2016-10-21,25124.0,25193.85,24815.0,25122.15,17880.0,
2016-10-24,25200.0,25323.0,24830.05,24914.4,18311.0,
2016-10-25,24920.0,25023.9,24599.7,24631.0,33405.0,
2016-10-26,24718.0,24798.9,24159.6,24418.8,37644.0,
2016-10-27,24460.0,24724.0,24058.9,24491.85,50974.0,
2016-10-28,24760.0,24799.0,23676.3,24020.0,95398.0,
2016-11-01,24350.0,25520.9,24301.35,25321.0,88482.0,
