,Open,High,Low,Close,Volume,DeliveryPct
2016-08-18,247.1,261.0,247.1,257.1,240869.0,
2016-08-19,256.9,260.9,255.8,257.75,126144.0,
2016-08-22,257.2,259.0,250.15,251.65,97066.0,
2016-08-23,251.4,256.0,249.05,253.75,112575.0,
2016-08-24,252.8,256.75,251.6,253.9,95581.0,
2016-08-25,253.85,258.25,249.0,250.75,127927.0,
2016-08-26,251.0,253.0,246.0,248.25,189237.0,
2016-08-29,248.25,252.0,246.3,250.75,55242.0,
2016-08-30,252.0,254.2,250.55,253.3,56687.0,
2016-08-31,252.95,260.0,251.15,253.4,126640.0,
2016-09-01,253.0,257.6,246.55,248.05,183561.0,
2016-09-02,248.05,251.9,234.55,235.95,406657.0,
2016-09-06,236.85,248.0,234.0,243.0,264805.0,
2016-09-07,243.35,246.0,240.1,241.15,140816.0,
2016-09-08,241.0,247.3,240.4,245.2,169262.0,
2016-09-09,243.0,253.1,241.1,242.85,434380.0,
2016-09-12,238.7,243.0,238.7,240.95,119785.0,
2016-09-14,239.0,243.9,239.0,242.05,167059.0,
2016-09-15,240.2,244.5,240.15,241.15,72602.0,
2016-09-16,241.55,249.0,241.15,244.9,270299.0,
2016-09-19,245.5,255.4,245.5,249.95,601161.0,
2016-09-20,252.0,255.1,247.8,250.3,264620.0,
2016-09-21,250.1,252.4,248.2,249.75,106647.0,
2016-09-22,250.75,259.95,245.1,255.8,425633.0,
2016-09-23,258.0,259.0,249.8,250.8,152006.0,
2016-09-26,249.0,252.0,245.05,246.25,117367.0,
2016-09-27,248.0,249.9,242.5,244.05,170188.0,
2016-09-28,244.45,245.5,242.5,244.15,143218.0,
2016-09-29,245.1,250.2,235.8,241.35,432878.0,
2016-09-30,238.0,249.9,238.0,246.5,174538.0,
2016-10-03,244.1,256.4,244.1,253.25,215122.0,
2016-10-04,253.4,267.95,253.4,266.2,538213.0,
2016-10-05,268.0,271.9,262.0,267.2,359149.0,
2016-10-06,268.1,274.9,261.7,264.9,320762.0,
2016-10-07,265.0,277.9,261.55,269.8,639234.0,
2016-10-10,271.0,278.35,266.5,273.7,255674.0,
2016-10-13,272.75,273.4,255.0,259.25,321971.0,
2016-10-14,261.0,263.5,254.65,258.2,313286.0,
