,Open,High,Low,Close,Volume,DeliveryPct
2016-08-18,57.5,58.25,56.75,56.9,76394.0,
2016-08-19,57.25,57.5,55.65,55.8,193360.0,
2016-08-22,56.1,57.45,55.55,56.35,210939.0,
2016-08-23,55.85,56.85,55.85,56.3,257229.0,
2016-08-24,56.75,57.15,56.1,56.3,235050.0,
2016-08-25,56.75,61.5,56.5,58.8,638026.0,
2016-08-26,58.75,60.15,56.85,57.15,365178.0,
2016-08-29,57.05,57.5,56.05,56.15,271767.0,
2016-08-30,56.3,58.75,56.1,57.05,328074.0,
2016-08-31,57.1,58.1,57.0,57.3,253326.0,
2016-09-01,57.35,58.2,56.55,57.05,143474.0,
2016-09-02,57.9,59.0,57.5,58.35,304157.0,
2016-09-06,58.55,59.6,57.05,57.2,274188.0,
2016-09-07,57.2,57.95,55.8,56.4,448381.0,
2016-09-08,56.7,60.6,56.1,58.5,769968.0,
2016-09-09,58.65,60.5,58.6,59.35,346218.0,
2016-09-12,58.0,58.75,56.85,57.1,158368.0,
2016-09-14,57.9,58.9,57.5,58.45,131001.0,
2016-09-15,58.6,59.7,58.6,59.1,163740.0,
2016-09-16,59.15,61.6,59.0,59.15,345281.0,
2016-09-19,59.25,61.9,58.95,61.1,589126.0,
2016-09-20,61.1,61.8,60.2,60.7,207240.0,
2016-09-21,60.65,63.15,60.4,61.75,474540.0,
2016-09-22,62.55,64.25,61.4,63.35,639967.0,
2016-09-23,63.45,63.5,61.7,62.0,244372.0,
2016-09-26,62.0,62.0,60.65,60.8,162302.0,
2016-09-27,61.2,61.7,60.8,61.0,161383.0,
2016-09-28,61.05,62.9,60.25,60.65,277809.0,
2016-09-29,61.0,62.15,55.0,56.6,345781.0,
2016-09-30,55.8,58.25,55.8,57.95,152003.0,
2016-10-03,59.0,60.7,58.1,59.85,160083.0,
2016-10-04,60.05,60.8,58.6,59.2,101255.0,
2016-10-05,58.55,61.2,58.55,60.5,235492.0,
