,Open,High,Low,Close,Volume,DeliveryPct
2016-08-18,1187.0,1199.0,1170.0,1180.8,40594.0,
2016-08-19,1180.0,1194.8,1170.2,1181.55,127527.0,
2016-08-22,1184.5,1196.0,1156.0,1172.1,108622.0,
2016-08-23,1170.85,1170.85,1138.0,1144.1,255184.0,
2016-08-24,1144.7,1167.0,1130.0,1137.2,103288.0,
2016-08-25,1145.0,1152.55,1130.0,1132.55,31614.0,
2016-08-26,1132.0,1144.0,1121.6,1125.15,43486.0,
2016-08-29,1125.15,1160.0,1124.25,1135.55,572070.0,
2016-08-30,1136.2,1158.0,1135.0,1148.9,145567.0,
2016-08-31,1148.9,1156.75,1137.3,1146.7,42560.0,
2016-09-01,1146.7,1180.0,1140.0,1172.45,107752.0,
2016-09-02,1182.0,1182.05,1156.0,1160.5,50521.0,
2016-09-06,1171.0,1227.0,1159.85,1222.0,265096.0,
2016-09-07,1227.3,1229.65,1186.0,1209.85,106216.0,
2016-09-08,1210.0,1225.0,1192.65,1200.9,53891.0,
2016-09-09,1200.85,1214.9,1180.0,1201.15,237377.0,
2016-09-12,1185.0,1209.0,1176.15,1197.6,56774.0,
2016-09-14,1195.0,1204.85,1175.05,1179.65,55271.0,
2016-09-15,1179.6,1194.95,1154.0,1169.95,145184.0,
2016-09-16,1180.8,1213.45,1180.0,1209.6,84566.0,
2016-09-19,1212.0,1248.0,1201.55,1226.3,153071.0,
2016-09-20,1221.0,1225.4,1195.85,1206.4,59766.0,
2016-09-21,1206.0,1212.05,1174.05,1180.95,144801.0,
2016-09-22,1199.8,1215.05,1191.0,1200.65,140873.0,
2016-09-23,1201.0,1210.0,1178.0,1184.1,218116.0,
2016-09-26,1190.0,1195.0,1166.0,1176.85,44154.0,
2016-09-27,1179.0,1184.7,1151.0,1157.45,102758.0,
2016-09-28,1155.1,1177.0,1152.05,1171.35,296020.0,
2016-09-29,1171.4,1187.0,1152.0,1167.3,328664.0,
2016-09-30,1166.9,1203.0,1140.3,1169.9,335258.0,
2016-10-03,1169.95,1194.9,1168.3,1183.2,60045.0,
2016-10-04,1188.0,1190.35,1163.45,1170.4,78319.0,
2016-10-05,1183.8,1183.8,1157.25,1163.4,43117.0,
2016-10-06,1163.45,1169.0,1155.05,1163.95,29574.0,
2016-10-07,1163.85,1167.55,1146.0,1152.35,48308.0,
2016-10-10,1152.0,1162.85,1145.35,1148.7,32637.0,
2016-10-13,1150.55,1150.55,1112.0,1125.0,236610.0,
2016-10-14,1125.0,1190.2,1107.0,1169.3,124447.0,
2016-10-17,1166.0,1185.0,1140.5,1166.55,104513.0,
2016-10-18,1168.0,1181.0,1153.5,1167.0,52726.0,
2016-10-19,1167.05,1179.0,1131.5,1143.7,82907.0,
2016-10-20,1146.6,1160.0,1135.0,1150.05,62532.0,
2016-10-21,1150.05,1161.0,1143.5,1151.2,104558.0,
2016-10-24,1161.0,1178.35,1148.5,1173.1,80639.0,
2016-10-25,1172.5,1187.95,1158.0,1178.35,78911.0,
2016-10-26,1178.4,1178.4,1163.05,1171.55,71557.0,
2016-10-27,1180.0,1187.95,1148.3,1161.4,155168.0,
2016-10-28,1181.0,1234.0,1168.05,1213.15,189873.0,
2016-11-01,1203.8,1245.65,1203.8,1244.15,133224.0,
2016-11-02,1235.0,1240.0,1185.0,1229.8,77503.0,
2016-11-03,1224.0,1258.8,1207.0,1247.45,283690.0,
2016-11-04,1252.65,1260.0,1190.0,1199.5,85845.0,
2016-11-07,1215.0,1216.0,1162.0,1174.6,1602347.0,
2016-11-08,1174.6,1185.55,1155.6,1170.0,39823.0,
2016-11-09,1149.0,1196.3,1100.0,1168.55,134408.0,
2016-11-10,1179.95,1198.0,1169.0,1185.65,26031.0,
2016-11-11,1172.6,1172.6,1092.0,1100.25,94727.0,
2016-11-15,1100.0,1100.25,990.0,1040.9,313355.0,
2016-11-16,1046.0,1083.95,1046.0,1050.9,128887.0,
2016-11-17,1055.0,1099.9,1051.0,1086.1,260498.0,
2016-11-18,1071.0,1090.0,1065.5,1080.5,63538.0,
2016-11-21,1088.0,1088.0,1041.5,1079.6,32727.0,
2016-11-22,1072.0,1084.55,1050.0,1060.1,197585.0,
2016-11-23,1062.0,1096.0,1032.55,1047.4,157715.0,
2016-11-24,1035.0,1080.5,1035.0,1057.7,94779.0,
2016-11-25,1057.75,1083.45,1053.0,1075.7,57104.0,
2016-11-28,1075.7,1110.0,1060.0,1096.0,49098.0,
2016-11-29,1114.0,1134.95,1088.0,1127.95,72779.0,
2016-11-30,1127.95,1137.95,1096.9,1108.9,316905.0,
2016-12-01,1108.9,1111.2,1065.0,1072.6,113401.0,
2016-12-02,1070.0,1070.0,1025.1,1030.25,146080.0,
2016-12-05,1039.7,1045.1,1025.0,1030.75,30620.0,
2016-12-06,1035.0,1040.0,1020.0,1025.45,32207.0,
2016-12-07,1025.25,1035.0,1007.0,1012.1,33478.0,
2016-12-08,1021.95,1045.35,1009.05,1035.4,121936.0,
2016-12-09,1036.0,1046.0,1030.05,1038.1,55840.0,
2016-12-12,1042.0,1054.0,1030.5,1040.15,24361.0,
2016-12-13,1040.0,1048.0,1016.05,1024.1,25410.0,
2016-12-14,1037.7,1037.7,1001.5,1009.85,49956.0,
2016-12-15,1014.7,1028.1,1010.4,1020.4,47850.0,
2016-12-16,1013.0,1028.0,1013.0,1020.9,20985.0,
2016-12-19,1020.0,1025.45,1006.05,1013.05,39528.0,
2016-12-20,1012.9,1021.0,1003.05,1006.4,21026.0,
2016-12-21,1008.0,1009.65,984.0,987.9,50601.0,
2016-12-22,987.9,989.8,945.5,953.3,89038.0,
2016-12-23,953.3,985.0,935.4,961.15,544597.0,
2016-12-26,975.0,1014.0,953.3,989.45,113163.0,
2016-12-27,994.0,999.9,959.8,979.35,65540.0,
2016-12-28,980.0,994.4,970.0,976.6,54651.0,
2016-12-29,976.0,982.0,955.5,970.35,140799.0,
2016-12-30,980.0,988.0,938.45,951.55,104960.0,
2017-01-02,941.55,978.0,941.55,972.4,50707.0,
2017-01-03,972.5,1039.0,972.5,1030.6,104448.0,
2017-01-04,1035.9,1053.6,1020.0,1037.5,70175.0,
2017-01-05,1049.8,1058.1,1028.2,1055.7,113256.0,
2017-01-06,1055.0,1055.6,1026.55,1031.25,34588.0,
2017-01-09,1035.3,1048.0,1030.0,1038.95,107524.0,
2017-01-10,1040.5,1045.45,1024.55,1040.1,107884.0,
2017-01-11,1045.0,1051.25,1036.35,1040.5,64238.0,
2017-01-12,1030.5,1070.0,1030.5,1062.45,157756.0,
2017-01-13,1069.0,1080.95,1054.0,1072.9,45754.0,
2017-01-16,1065.15,1089.0,1062.55,1075.95,147323.0,
2017-01-17,1063.5,1076.65,1042.05,1046.15,86503.0,
2017-01-18,1058.0,1058.0,1021.1,1027.15,121028.0,
