,Open,High,Low,Close,Volume,DeliveryPct
2024-07-10,1325.05,1385.0,1325.05,1359.15,14007559.0,62.22
2024-07-11,1354.35,1370.0,1341.15,1361.95,1200703.0,63.53
2024-07-12,1362.0,1373.35,1345.0,1362.45,882782.0,63.34
2024-07-15,1360.0,1408.7,1340.0,1374.75,1037827.0,46.2
2024-07-16,1380.0,1399.0,1360.0,1362.35,421306.0,58.27
2024-07-17,1380.0,1399.0,1360.0,1362.35,421306.0,58.27
2024-07-18,1360.05,1379.0,1349.5,1368.5,309066.0,59.09
2024-07-19,1365.05,1365.05,1341.1,1351.45,289152.0,61.94
2024-07-22,1341.0,1341.0,1305.2,1323.45,260396.0,56.53
2024-07-23,1320.0,1323.4,1261.05,1283.15,321841.0,49.46
2024-07-24,1294.95,1313.7,1285.25,1308.5,115886.0,53.19
2024-07-25,1270.05,1315.05,1270.05,1305.95,77559.0,56.16
2024-07-26,1310.95,1315.0,1285.7,1297.35,103355.0,62.01
2024-07-29,1310.0,1310.0,1282.5,1295.9,102054.0,62.04
2024-07-30,1285.0,1305.0,1285.0,1301.8,177736.0,85.23
2024-07-31,1302.25,1310.0,1299.95,1306.1,100240.0,70.94
2024-08-01,1311.0,1330.0,1302.85,1318.25,161028.0,63.1
2024-08-02,1290.0,1309.65,1281.05,1298.3,95697.0,53.69
2024-08-05,1261.0,1279.95,1231.65,1250.0,214960.0,59.25
2024-08-06,1251.0,1309.25,1235.0,1294.8,186401.0,49.21
2024-08-07,1300.0,1311.95,1288.0,1305.05,160161.0,58.56
2024-08-08,1300.0,1321.95,1280.5,1289.65,102065.0,48.61
2024-08-09,1295.0,1308.0,1272.0,1286.75,82452.0,54.07
2024-08-12,1280.0,1314.9,1267.25,1273.85,155206.0,47.44
2024-08-13,1286.5,1289.7,1225.0,1236.7,227263.0,61.95
2024-08-14,1263.0,1269.7,1226.6,1243.4,279561.0,31.16
2024-08-15,1263.0,1269.7,1226.6,1243.4,279561.0,31.16
2024-08-16,1250.95,1279.9,1247.0,1258.7,157716.0,60.14
2024-08-19,1264.95,1367.4,1259.65,1325.0,411065.0,50.98
2024-08-20,1328.95,1357.15,1305.5,1332.1,195390.0,48.91
2024-08-21,1339.0,1389.65,1328.0,1363.5,388054.0,52.65
2024-08-22,1369.75,1377.45,1351.15,1359.4,87048.0,67.83
2024-08-23,1368.9,1414.0,1357.05,1385.2,366974.0,51.28
2024-08-26,1421.25,1455.2,1391.0,1417.25,649487.0,40.27
2024-08-27,1425.0,1428.0,1382.0,1388.95,181716.0,48.44
2024-08-28,1390.0,1409.15,1372.0,1383.1,183453.0,44.76
