,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,178.65,180.0,174.65,175.4,1864978.0,
2016-08-23,175.1,177.15,173.2,175.0,1806157.0,
2016-08-24,175.3,176.05,173.5,174.95,1136739.0,
2016-08-25,176.0,178.35,173.85,176.6,4952196.0,
2016-08-26,176.5,178.35,174.25,174.6,952392.0,
2016-08-29,174.2,180.75,173.25,179.05,1984526.0,
2016-08-30,181.9,184.35,180.1,183.5,4669576.0,
2016-08-31,184.0,187.7,181.8,185.3,5277888.0,
2016-09-01,185.6,187.5,183.55,184.75,2533254.0,
2016-09-02,185.85,188.85,185.05,187.1,2266730.0,
2016-09-06,188.95,191.5,187.0,189.75,2578183.0,
2016-09-07,190.0,193.2,187.05,190.85,2157263.0,
2016-09-08,191.0,194.0,190.65,192.9,1560908.0,
2016-09-09,193.95,196.25,186.6,190.75,5023436.0,
2016-09-12,186.3,187.95,183.4,184.2,3137889.0,
2016-09-14,185.9,189.0,184.55,188.05,2140466.0,
2016-09-15,188.0,195.7,186.75,194.7,4076544.0,
2016-09-16,196.0,199.5,190.7,193.45,4534526.0,
2016-09-19,194.95,195.9,190.7,194.05,2091804.0,
2016-09-20,194.15,196.7,192.75,195.1,2267840.0,
2016-09-21,194.7,196.55,191.4,192.1,1797980.0,
2016-09-22,196.5,197.85,193.95,194.95,4533720.0,
2016-09-23,195.7,195.8,192.35,193.05,4567335.0,
2016-09-26,192.5,195.75,191.65,192.45,2194534.0,
2016-09-27,192.5,194.45,188.15,189.0,1843443.0,
2016-09-28,190.0,192.25,188.5,190.05,2178342.0,
2016-09-29,192.0,192.0,176.5,181.35,4729193.0,
2016-09-30,183.75,185.25,177.25,183.0,7648513.0,
2016-10-03,184.0,189.15,184.0,188.5,1928025.0,
2016-10-04,189.9,191.75,187.85,190.2,1903422.0,
2016-10-05,190.4,195.3,189.2,194.4,3273245.0,
2016-10-06,195.5,197.8,191.2,193.05,3025837.0,
2016-10-07,193.7,194.7,191.5,193.25,1379905.0,
2016-10-10,194.7,195.9,192.35,192.95,1086835.0,
2016-10-13,192.5,194.1,185.7,188.1,2314329.0,
2016-10-14,188.3,191.85,187.7,191.05,1405202.0,
2016-10-17,191.2,192.8,184.75,185.35,1622876.0,
2016-10-18,186.0,193.8,185.95,193.35,1815245.0,
2016-10-19,194.45,197.0,191.2,195.8,1858926.0,
2016-10-20,198.95,202.0,197.7,199.15,3351828.0,
2016-10-21,199.85,205.0,196.5,204.05,3759596.0,
2016-10-24,204.9,206.5,201.4,202.25,2429876.0,
2016-10-25,202.25,204.15,201.3,203.5,1320176.0,
2016-10-26,203.5,207.65,201.35,202.5,3797554.0,
2016-10-27,205.9,207.0,189.5,191.1,7311151.0,
