,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,437.8,440.05,432.3,435.2,246854.0,
2016-08-23,437.0,438.5,422.65,429.05,29657.0,
2016-08-24,431.0,436.2,426.65,431.3,47618.0,
2016-08-25,433.3,437.0,425.05,427.1,42587.0,
2016-08-26,427.5,438.0,425.1,429.2,141130.0,
2016-08-29,431.0,437.0,428.0,430.45,33241.0,
2016-08-30,432.15,439.5,431.45,437.3,51104.0,
2016-08-31,440.0,446.5,439.7,444.15,216248.0,
2016-09-01,448.5,450.0,431.25,435.6,46204.0,
2016-09-02,435.6,435.7,425.1,425.7,43515.0,
2016-09-06,427.6,429.9,420.35,424.85,47269.0,
2016-09-07,426.0,433.0,425.1,427.6,65464.0,
2016-09-08,429.95,436.0,429.95,433.85,35666.0,
2016-09-09,434.7,437.0,415.1,420.45,54457.0,
2016-09-12,415.6,444.0,405.75,431.1,121752.0,
2016-09-14,435.7,439.9,424.85,428.35,49947.0,
2016-09-15,435.0,435.9,428.0,429.1,26802.0,
2016-09-16,433.85,449.7,428.0,443.3,110312.0,
2016-09-19,445.0,449.9,431.75,432.7,32796.0,
2016-09-20,431.75,441.9,431.75,439.15,25225.0,
2016-09-21,444.6,444.6,432.15,434.65,43201.0,
2016-09-22,443.0,443.0,433.2,436.95,20353.0,
2016-09-23,440.0,443.0,436.1,442.25,26177.0,
2016-09-26,444.65,447.0,430.0,431.9,48452.0,
2016-09-27,438.0,439.0,430.1,437.1,34498.0,
2016-09-28,440.0,442.3,431.25,436.85,37531.0,
2016-09-29,439.0,458.95,434.25,445.3,242140.0,
2016-09-30,448.0,449.0,435.1,442.0,39896.0,
2016-10-03,447.8,447.8,431.0,440.05,78430.0,
2016-10-04,440.5,452.0,435.25,447.5,37268.0,
2016-10-05,444.0,452.7,444.0,449.65,35594.0,
2016-10-06,442.6,451.95,439.1,444.75,36214.0,
2016-10-07,449.0,449.0,438.0,438.95,21415.0,
2016-10-10,440.05,444.95,436.0,439.25,23130.0,
2016-10-13,438.8,442.8,433.1,439.1,38787.0,
2016-10-14,439.9,442.0,435.1,438.4,19384.0,
2016-10-17,444.9,444.9,433.35,438.55,38668.0,
2016-10-18,436.05,438.9,431.3,434.15,26647.0,
2016-10-19,435.1,438.0,431.3,432.15,17841.0,
2016-10-20,433.05,434.9,428.65,429.95,24181.0,
2016-10-21,431.9,432.0,424.8,427.35,20754.0,
2016-10-24,427.4,440.5,427.4,439.45,45335.0,
2016-10-25,440.0,443.9,434.0,437.1,12442.0,
2016-10-26,439.6,439.9,430.05,438.4,17662.0,
2016-10-27,440.0,447.0,437.05,438.7,16329.0,
2016-10-28,441.15,444.8,438.0,440.55,16360.0,
2016-11-01,450.0,450.0,442.6,446.05,19993.0,
2016-11-02,446.8,446.8,435.25,438.9,23585.0,
2016-11-03,434.2,444.3,434.2,438.05,14622.0,
2016-11-04,443.5,443.5,430.1,434.5,24198.0,
2016-11-07,442.85,442.85,430.0,430.95,18332.0,
2016-11-08,433.0,437.9,425.5,430.85,23712.0,
2016-11-09,407.9,423.0,360.0,420.4,63397.0,
2016-11-10,426.95,445.0,420.4,422.6,27771.0,
2016-11-11,444.0,444.0,420.55,425.2,107919.0,
2016-11-15,421.7,426.5,355.0,376.8,90860.0,
2016-11-16,395.5,402.0,385.1,399.45,129780.0,
2016-11-17,399.05,400.95,388.5,391.2,399092.0,
2016-11-18,399.8,399.8,380.2,389.4,153011.0,
2016-11-21,389.0,392.95,362.0,375.9,262161.0,
2016-11-22,381.5,393.0,375.0,387.2,287794.0,
2016-11-23,393.9,400.0,385.05,390.05,59386.0,
2016-11-24,396.95,397.0,380.0,385.8,32425.0,
2016-11-25,395.9,405.0,390.7,402.25,245989.0,
2016-11-28,403.5,412.8,396.7,405.05,48449.0,
2016-11-29,408.9,414.0,402.0,407.45,18881.0,
2016-11-30,407.45,419.0,407.1,415.05,31874.0,
2016-12-01,418.0,418.0,408.8,413.4,34865.0,
2016-12-02,417.1,423.5,405.15,415.6,35974.0,
2016-12-05,410.25,417.0,408.3,410.5,70491.0,
2016-12-06,414.9,414.9,409.6,410.4,8550.0,
2016-12-07,412.3,414.45,395.1,397.6,71705.0,
2016-12-08,407.65,432.0,403.05,427.45,114397.0,
2016-12-09,429.5,437.45,417.0,421.65,71031.0,
2016-12-12,421.65,433.0,416.1,428.55,37268.0,
2016-12-13,428.55,431.95,418.35,420.0,19568.0,
2016-12-14,423.9,435.3,423.9,427.25,42552.0,
2016-12-15,423.0,429.15,420.2,426.7,23322.0,
2016-12-16,422.0,435.0,406.35,411.15,82080.0,
2016-12-19,411.15,411.15,405.2,407.55,11646.0,
2016-12-20,408.9,414.9,408.65,412.4,11705.0,
