,Open,High,Low,Close,Volume,DeliveryPct
2024-08-13,651.0,707.7,640.0,679.1,61142512.0,66.75
2024-08-14,669.9,677.7,633.3,641.95,6852935.0,49.38
2024-08-15,669.9,677.7,633.3,641.95,6852935.0,49.38
2024-08-16,640.0,688.0,636.1,669.9,8853277.0,61.13
2024-08-19,674.0,704.0,658.65,671.65,3466502.0,31.89
2024-08-20,675.95,684.95,628.3,632.1,3365425.0,51.46
2024-08-21,633.15,644.65,621.9,627.3,1507649.0,40.28
2024-08-22,629.45,662.4,628.95,642.0,1875742.0,32.91
2024-08-23,645.0,657.0,635.0,638.65,1199216.0,49.04
2024-08-26,639.95,643.6,621.0,625.95,831690.0,44.88
2024-08-27,626.5,641.0,622.8,628.35,1029636.0,40.79
2024-08-28,631.95,640.95,621.45,623.4,954516.0,43.4
2024-08-29,625.0,636.0,623.05,628.3,1268583.0,79.23
2024-08-30,632.45,650.5,627.3,640.55,1613201.0,54.33
2024-09-02,639.05,650.0,624.1,632.2,1355319.0,74.75
2024-09-03,635.0,637.2,621.6,625.15,894678.0,55.58
2024-09-04,621.0,626.75,605.0,612.85,637472.0,46.89
2024-09-05,615.0,619.55,610.0,614.05,382162.0,43.22
2024-09-06,616.4,635.0,611.0,622.8,891796.0,50.87
2024-09-09,623.0,625.0,587.6,601.7,1780571.0,61.15
2024-09-10,604.25,617.35,599.0,606.85,694207.0,53.1
2024-09-11,606.5,644.9,604.05,639.35,1418481.0,42.09
2024-09-12,640.1,657.9,633.25,652.35,1328028.0,62.29
2024-09-13,649.35,663.3,646.05,655.75,571772.0,64.24
2024-09-16,660.0,661.45,638.0,641.1,557166.0,68.56
2024-09-17,640.05,645.0,635.0,639.75,307613.0,63.07
2024-09-18,641.0,645.55,635.85,641.35,591487.0,80.88
2024-09-19,676.95,688.45,632.75,645.75,2634494.0,30.8
2024-09-20,653.9,673.65,644.45,652.45,1091515.0,70.94
2024-09-23,656.05,658.2,641.2,653.05,687652.0,71.4
2024-09-24,649.9,672.95,641.5,665.5,647755.0,59.35
2024-09-25,664.9,664.9,652.0,657.9,391143.0,60.68
2024-09-26,658.1,662.65,648.7,657.95,502127.0,67.67
2024-09-27,651.25,656.95,621.1,625.75,288771.0,53.31
2024-09-30,625.75,648.0,611.4,644.0,644641.0,58.9
2024-10-01,635.0,662.0,634.0,646.2,1462403.0,74.93
2024-10-02,635.0,662.0,634.0,646.2,1462403.0,74.93
