,Open,High,Low,Close,Volume,DeliveryPct
2019-10-31,673.1,705.3,653.0,661.45,39192.0,88.5
2019-11-01,668.9,668.9,630.0,635.15,13350.0,88.26
2019-11-04,635.15,650.0,624.95,640.55,20336.0,93.24
2019-11-05,632.0,635.0,575.65,608.9,33701.0,76.34
2019-11-06,625.0,640.0,584.4,619.55,40890.0,67.59
2019-11-07,603.1,632.9,601.3,608.4,11792.0,64.56
2019-11-08,602.0,634.0,595.0,616.9,21249.0,68.73
2019-11-11,611.0,667.5,601.0,635.0,49732.0,75.68
2019-11-12,611.0,667.5,601.0,635.0,49732.0,75.68
2019-11-13,625.1,631.3,598.0,610.75,47466.0,77.32
2019-11-14,600.05,607.9,590.0,602.1,15435.0,72.17
2019-11-15,592.3,597.0,539.05,545.25,55469.0,77.55
2019-11-18,545.0,547.8,495.15,531.9,73289.0,60.01
2019-11-19,512.0,548.45,512.0,524.25,40428.0,72.83
2019-11-20,531.7,531.7,515.0,523.75,4277.0,73.18
2019-11-21,510.35,530.35,510.3,522.5,5239.0,78.56
2019-11-22,526.15,529.45,495.0,503.6,14079.0,68.09
2019-11-25,524.0,524.0,488.3,494.25,14318.0,87.2
2019-11-26,505.95,513.4,492.7,503.4,11635.0,83.04
2019-11-27,506.0,506.0,476.6,483.45,14877.0,74.85
2019-11-28,488.35,488.35,450.0,452.05,28906.0,69.14
2019-11-29,455.05,465.95,425.65,433.55,22343.0,74.23
2019-12-02,438.0,448.0,401.15,429.3,53607.0,81.0
2019-12-03,439.15,459.0,430.0,452.15,25119.0,55.19
2019-12-04,435.0,497.4,435.0,486.25,27246.0,38.76
2019-12-05,486.0,508.05,470.0,492.25,85870.0,74.58
2019-12-06,508.95,527.0,495.0,503.6,19931.0,44.44
2019-12-09,501.95,525.9,488.4,516.8,14202.0,73.11
2019-12-10,512.0,539.8,510.0,535.85,11380.0,55.02
2019-12-11,533.0,550.0,512.15,541.15,24852.0,61.16
2019-12-12,540.95,579.8,538.3,569.5,19070.0,59.22
2019-12-13,579.95,590.0,558.05,584.45,11792.0,50.31
2019-12-16,589.95,589.95,544.05,569.8,22445.0,51.9
2019-12-17,570.05,594.0,564.0,582.65,21883.0,62.68
2019-12-18,593.95,600.0,576.45,595.7,6327.0,62.18
2019-12-19,599.0,607.05,585.0,600.9,24555.0,68.04
2019-12-20,600.9,613.9,598.0,603.7,10034.0,57.95
2019-12-23,592.2,604.95,583.5,603.7,13370.0,76.63
2019-12-24,608.85,608.85,585.75,596.45,6714.0,50.27
2019-12-25,608.85,608.85,585.75,596.45,6714.0,50.27
2019-12-26,595.1,610.9,591.1,601.0,17932.0,64.74
2019-12-27,601.2,605.95,594.95,600.5,6647.0,74.59
2019-12-30,600.0,620.0,599.95,614.35,12580.0,84.54
2019-12-31,614.35,628.45,614.35,620.05,12217.0,68.35
2020-01-01,616.55,620.0,564.2,606.05,5401.0,64.21
