,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,190.0,194.6,180.05,181.9,4014553.0,
2016-08-23,181.9,185.3,176.45,182.0,1253366.0,
2016-08-24,182.95,184.5,180.1,181.45,609452.0,
2016-08-25,181.45,182.2,175.7,176.3,793073.0,
2016-08-26,176.7,177.85,172.3,172.9,630631.0,
2016-08-29,173.2,176.75,172.15,175.1,570523.0,
2016-08-30,175.85,178.3,174.15,175.1,772241.0,
2016-08-31,175.75,182.15,175.1,178.3,2856200.0,
2016-09-01,177.3,179.4,175.2,175.9,397941.0,
2016-09-02,176.4,180.9,175.15,176.65,731756.0,
2016-09-06,177.0,179.9,177.0,178.5,469744.0,
2016-09-07,178.0,179.0,175.55,176.55,298439.0,
2016-09-08,176.9,183.7,176.9,182.35,854542.0,
2016-09-09,183.15,184.4,178.5,179.15,589385.0,
2016-09-12,176.0,177.5,173.15,174.35,455266.0,
2016-09-14,173.9,175.75,172.7,174.6,292589.0,
2016-09-15,174.9,177.35,172.8,174.45,585026.0,
2016-09-16,174.7,180.5,173.4,174.95,778918.0,
2016-09-19,175.0,176.65,174.05,174.65,327203.0,
2016-09-20,175.0,175.85,171.7,172.3,303682.0,
2016-09-21,172.9,174.3,171.0,172.2,273485.0,
2016-09-22,174.75,176.8,173.05,175.0,344113.0,
2016-09-23,175.85,177.5,174.7,175.25,451964.0,
2016-09-26,175.0,176.9,172.9,173.35,294853.0,
2016-09-27,173.9,176.25,173.9,174.75,316319.0,
2016-09-28,174.9,175.9,173.3,173.6,257974.0,
2016-09-29,174.8,175.4,161.0,161.8,788057.0,
2016-09-30,161.8,167.9,161.75,167.0,532941.0,
2016-10-03,168.0,175.0,167.0,174.3,740677.0,
2016-10-04,174.5,175.3,172.85,174.6,681666.0,
2016-10-05,174.85,176.0,173.05,174.15,556204.0,
2016-10-06,174.5,175.15,169.65,171.85,652050.0,
2016-10-07,172.5,174.3,170.05,172.7,274140.0,
2016-10-10,173.75,177.05,173.25,173.8,473326.0,
2016-10-13,173.1,173.45,166.65,168.9,481976.0,
2016-10-14,169.25,172.2,168.55,170.55,501603.0,
2016-10-17,179.05,188.0,176.6,178.2,4850312.0,
2016-10-18,179.3,188.9,178.7,182.75,5313227.0,
2016-10-19,187.1,187.9,179.1,180.05,3392562.0,
2016-10-20,181.65,181.7,178.1,178.55,869439.0,
2016-10-21,179.4,182.8,175.8,177.3,1521388.0,
2016-10-24,178.9,181.6,178.25,178.85,1242277.0,
2016-10-25,179.45,179.85,176.5,177.8,326564.0,
2016-10-26,178.15,184.5,175.5,180.7,1024856.0,
2016-10-27,180.1,180.85,177.0,177.5,390343.0,
2016-10-28,178.3,181.5,177.0,178.5,717584.0,
2016-11-01,181.0,181.55,178.0,178.65,587257.0,
2016-11-02,177.75,177.75,173.15,173.65,708560.0,
2016-11-03,174.0,175.4,170.3,171.65,755578.0,
2016-11-04,171.85,172.15,165.15,168.7,738318.0,
2016-11-07,170.75,172.25,168.15,169.1,314220.0,
2016-11-08,170.1,170.95,168.0,170.35,363889.0,
2016-11-09,154.05,169.8,142.25,167.4,1380207.0,
2016-11-10,168.85,171.8,165.0,165.1,1981581.0,
2016-11-11,164.45,169.0,161.75,163.15,867162.0,
2016-11-15,163.5,163.75,158.75,161.6,671334.0,
2016-11-16,164.0,166.65,159.8,163.05,496846.0,
2016-11-17,162.15,164.65,159.5,161.25,463135.0,
2016-11-18,161.4,162.25,159.5,160.25,362333.0,
2016-11-21,160.85,162.0,155.3,158.05,458404.0,
2016-11-22,159.0,164.0,159.0,162.95,541875.0,
2016-11-23,163.25,174.15,163.25,173.25,932079.0,
2016-11-24,173.45,173.55,168.55,170.3,396438.0,
2016-11-25,171.85,177.5,170.55,176.45,1097024.0,
2016-11-28,175.95,185.75,175.65,183.45,1890976.0,
2016-11-29,183.85,186.4,173.8,182.85,1708228.0,
2016-11-30,181.0,181.7,176.35,177.35,469492.0,
2016-12-01,178.65,178.8,173.2,173.9,299499.0,
2016-12-02,174.0,177.4,172.5,172.9,253335.0,
2016-12-05,173.0,173.3,168.65,169.45,365224.0,
2016-12-06,170.75,171.95,168.05,168.85,337089.0,
2016-12-07,169.45,170.85,168.85,169.95,271605.0,
2016-12-08,171.0,172.0,168.9,169.15,259186.0,
2016-12-09,169.85,175.9,169.55,172.7,510318.0,
2016-12-12,173.45,173.85,169.55,170.6,225744.0,
2016-12-13,174.0,178.0,174.0,175.65,627302.0,
2016-12-14,175.0,182.95,174.15,179.95,1379533.0,
2016-12-15,179.05,187.0,178.3,184.8,1140477.0,
2016-12-16,184.0,186.5,180.15,183.25,375666.0,
2016-12-19,184.0,184.0,177.5,178.5,492042.0,
2016-12-20,179.0,182.4,175.8,180.8,1400428.0,
2016-12-21,181.5,189.0,181.5,185.6,1684217.0,
2016-12-22,185.5,185.85,180.05,183.3,514454.0,
2016-12-23,183.3,185.6,177.3,179.15,577890.0,
2016-12-26,178.05,178.5,171.35,172.05,431830.0,
2016-12-27,172.3,180.4,171.1,178.85,549024.0,
2016-12-28,179.0,181.4,176.35,177.25,449250.0,
2016-12-29,178.0,186.0,178.0,183.45,652430.0,
2016-12-30,183.55,184.85,179.8,180.85,336750.0,
2017-01-02,181.8,183.85,178.7,182.4,318628.0,
2017-01-03,183.5,188.5,180.95,187.5,692200.0,
2017-01-04,189.0,191.6,187.5,189.65,1046110.0,
2017-01-05,192.5,192.85,183.6,185.0,1724512.0,
2017-01-06,185.9,198.2,185.55,190.9,10974756.0,
2017-01-09,195.0,204.9,194.25,198.75,6469459.0,
2017-01-10,199.65,202.0,196.25,200.65,2539425.0,
2017-01-11,204.0,205.0,196.1,197.35,2811694.0,
2017-01-12,197.95,198.45,194.05,195.7,1047527.0,
2017-01-13,197.6,198.35,189.0,189.8,1965032.0,
2017-01-16,192.7,195.95,190.55,191.4,1113368.0,
2017-01-17,189.4,189.4,185.1,186.9,1990163.0,
2017-01-18,188.5,189.7,185.0,187.2,665734.0,
2017-01-19,187.85,189.9,186.05,189.0,385260.0,
2017-01-20,187.8,188.5,183.4,183.9,514690.0,
2017-01-23,183.4,185.05,179.05,181.7,786073.0,
2017-01-24,182.0,194.1,181.45,189.0,1588194.0,
2017-01-25,189.0,190.7,186.55,188.65,529935.0,
2017-01-27,188.65,195.5,188.3,190.7,1239595.0,
2017-01-30,189.8,192.2,187.9,188.1,555384.0,
2017-01-31,188.1,190.05,182.4,183.75,867356.0,
2017-02-01,182.25,184.7,179.15,183.45,668457.0,
2017-02-02,183.65,185.9,181.0,182.75,531810.0,
2017-02-03,182.1,190.7,182.0,184.1,5628355.0,
2017-02-06,191.0,191.8,185.1,186.15,4096194.0,
2017-02-07,185.8,190.2,183.6,185.25,1130093.0,
2017-02-08,185.6,189.3,184.6,188.4,1124442.0,
2017-02-09,188.75,196.0,188.2,194.7,3957008.0,
2017-02-10,196.0,203.2,193.0,194.7,5525465.0,
2017-02-13,195.0,195.75,184.8,185.7,1700310.0,
2017-02-14,186.5,199.8,185.7,195.75,4801870.0,
2017-02-15,197.9,199.75,190.2,192.2,2905470.0,
2017-02-16,193.0,199.8,192.9,198.95,1940753.0,
2017-02-17,200.2,201.9,194.5,195.45,2006471.0,
2017-02-20,195.45,198.8,193.6,196.35,1022121.0,
2017-02-21,196.55,198.1,190.4,193.05,3337992.0,
2017-02-22,193.55,194.7,188.1,188.8,960007.0,
2017-02-23,189.1,198.25,188.2,195.7,1584261.0,
2017-02-27,194.9,198.4,193.25,195.65,1409449.0,
2017-02-28,193.6,198.5,191.35,192.8,1554763.0,
2017-03-01,194.0,197.0,192.5,194.95,1147244.0,
2017-03-02,194.95,195.45,185.2,186.0,1356783.0,
2017-03-03,186.0,188.75,185.7,187.1,399134.0,
2017-03-06,187.2,188.75,181.1,182.2,1196939.0,
2017-03-07,182.5,183.8,179.45,181.1,1030225.0,
2017-03-08,180.6,185.5,178.1,180.15,2245043.0,
2017-03-09,179.0,181.3,177.6,178.65,1063669.0,
2017-03-10,181.0,182.0,177.2,178.2,1754069.0,
2017-03-14,180.85,183.6,178.3,179.1,4900197.0,
2017-03-15,179.9,186.2,179.25,183.05,2896207.0,
2017-03-16,185.0,185.8,183.3,185.3,779120.0,
2017-03-17,185.55,186.5,182.35,183.45,918216.0,
