,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,45.0,45.7,43.65,43.85,1742391.0,
2016-08-23,44.15,44.9,43.6,43.95,2102903.0,
2016-08-24,44.2,44.55,43.7,43.8,1012653.0,
2016-08-25,44.15,44.2,43.45,43.75,1008279.0,
2016-08-26,43.95,43.95,42.55,42.95,1231381.0,
2016-08-29,43.0,43.15,42.25,42.5,1030020.0,
2016-08-30,42.6,42.6,41.6,42.15,2042919.0,
2016-08-31,42.45,44.2,42.2,43.85,1953202.0,
2016-09-01,44.0,44.2,42.55,43.0,1189296.0,
2016-09-02,43.25,44.1,42.7,43.85,1123472.0,
2016-09-06,44.4,44.75,43.7,44.5,1326711.0,
2016-09-07,44.8,44.8,43.8,43.9,1016567.0,
2016-09-08,43.95,43.95,43.25,43.6,1062084.0,
2016-09-09,43.65,43.75,42.65,42.85,1806021.0,
2016-09-12,41.8,42.4,41.0,41.85,1208240.0,
2016-09-14,41.6,42.45,41.6,41.9,758022.0,
2016-09-15,42.2,42.4,41.6,41.7,679545.0,
2016-09-16,41.9,44.5,41.85,43.85,4457803.0,
2016-09-19,44.2,44.55,42.9,43.45,1741311.0,
2016-09-20,43.5,43.55,42.65,42.75,718224.0,
2016-09-21,42.9,43.2,42.0,42.25,792553.0,
2016-09-22,42.6,43.35,42.3,42.45,1580343.0,
2016-09-23,42.6,44.1,42.5,43.3,2274381.0,
2016-09-26,43.3,43.4,42.05,42.3,1614596.0,
2016-09-27,42.65,42.8,41.6,41.75,975677.0,
2016-09-28,41.85,42.9,41.6,41.9,1810327.0,
2016-09-29,42.4,42.4,37.7,39.05,2422524.0,
2016-09-30,39.1,41.1,39.0,40.55,1666065.0,
2016-10-03,41.05,42.75,41.05,41.75,1453655.0,
2016-10-04,42.0,42.45,40.25,41.1,2307338.0,
2016-10-05,40.3,41.45,40.3,40.5,1742186.0,
2016-10-06,40.8,42.45,40.45,40.85,2514811.0,
2016-10-07,41.0,41.75,40.7,41.2,903793.0,
2016-10-10,41.3,41.6,40.65,41.0,697669.0,
2016-10-13,40.8,40.9,39.3,40.2,1709991.0,
2016-10-14,40.35,40.5,39.85,40.0,911595.0,
2016-10-17,40.35,40.35,39.15,39.4,970388.0,
2016-10-18,39.85,40.5,39.55,40.15,920642.0,
2016-10-19,40.4,41.25,39.7,40.8,1290065.0,
2016-10-20,40.8,41.25,40.55,40.7,918474.0,
2016-10-21,40.85,40.9,40.05,40.35,1443041.0,
2016-10-24,40.35,41.75,40.0,40.95,3206974.0,
2016-10-25,41.3,41.6,40.4,40.65,1566464.0,
2016-10-26,40.5,41.1,40.0,40.4,907717.0,
2016-10-27,40.4,40.6,39.3,39.8,1959017.0,
2016-10-28,39.8,40.45,39.6,40.1,2427658.0,
2016-11-01,40.4,40.65,39.95,40.35,2661152.0,
2016-11-02,40.5,40.6,39.1,39.3,1718797.0,
2016-11-03,39.3,39.8,38.15,38.5,1253189.0,
2016-11-04,38.7,38.85,37.05,37.65,1661984.0,
2016-11-07,38.1,38.5,37.5,37.65,1238172.0,
2016-11-08,37.85,38.85,37.65,38.55,952108.0,
