,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,117.5,117.95,113.5,115.1,485856.0,
2016-08-23,115.4,116.6,113.4,115.8,318911.0,
2016-08-24,116.35,120.9,116.35,119.2,1118472.0,
2016-08-25,120.35,122.85,118.95,119.95,871749.0,
2016-08-26,120.0,120.0,116.8,117.8,370610.0,
2016-08-29,118.45,118.95,114.7,115.5,313456.0,
2016-08-30,116.0,118.25,116.0,117.5,310625.0,
2016-08-31,117.5,119.5,117.5,118.2,330678.0,
2016-09-01,120.0,121.8,118.0,119.1,541442.0,
2016-09-02,119.45,121.5,118.65,119.5,356074.0,
2016-09-06,119.5,119.9,116.95,117.9,256533.0,
2016-09-07,118.0,118.45,115.75,116.0,284595.0,
2016-09-08,116.1,120.75,114.2,120.25,525054.0,
2016-09-09,121.0,121.1,117.5,118.15,394341.0,
2016-09-12,115.0,116.4,113.15,114.45,273825.0,
2016-09-14,115.45,118.0,112.3,116.75,332607.0,
2016-09-15,117.85,117.85,114.85,115.6,246692.0,
2016-09-16,116.45,119.5,113.35,115.3,451060.0,
2016-09-19,115.5,119.9,115.5,118.9,395574.0,
2016-09-20,118.95,120.45,117.35,119.9,396424.0,
2016-09-21,120.5,121.25,118.25,119.1,395638.0,
2016-09-22,119.5,121.25,119.1,119.95,324779.0,
2016-09-23,120.75,120.75,118.05,119.35,212139.0,
2016-09-26,119.7,120.75,118.0,119.8,293886.0,
2016-09-27,120.25,120.25,116.95,118.45,199994.0,
2016-09-28,118.65,120.25,117.35,119.85,304045.0,
2016-09-29,121.7,126.4,111.4,116.15,2099728.0,
2016-09-30,114.2,118.5,113.3,116.2,495533.0,
2016-10-03,116.65,122.0,116.45,120.75,545976.0,
2016-10-04,121.0,122.8,119.2,120.65,296061.0,
2016-10-05,121.0,123.5,120.05,122.2,395286.0,
2016-10-06,122.0,122.7,117.55,118.8,356839.0,
2016-10-07,119.5,119.6,117.15,117.85,177204.0,
2016-10-10,118.1,122.4,117.5,121.2,323712.0,
2016-10-13,121.2,121.95,116.5,118.5,332205.0,
2016-10-14,119.5,120.5,118.1,119.9,150344.0,
2016-10-17,119.5,120.2,117.15,117.55,187133.0,
2016-10-18,118.0,119.4,117.7,118.75,134874.0,
2016-10-19,119.5,120.9,118.6,119.5,256138.0,
2016-10-20,119.75,120.3,118.05,119.2,149889.0,
2016-10-21,118.7,119.7,116.6,117.35,238333.0,
2016-10-24,117.25,121.5,117.15,120.3,347952.0,
2016-10-25,120.25,125.6,119.1,124.85,756945.0,
2016-10-26,125.0,129.1,123.15,124.35,1320909.0,
2016-10-27,124.85,125.85,121.9,124.15,341176.0,
2016-10-28,124.5,128.7,124.5,126.9,460661.0,
2016-11-01,128.5,129.3,121.95,124.05,358797.0,
2016-11-02,122.0,123.7,119.9,121.05,286763.0,
2016-11-03,121.5,122.85,120.4,121.75,161085.0,
2016-11-04,122.0,122.0,116.25,118.1,244339.0,
2016-11-07,120.0,123.0,120.0,122.15,161907.0,
2016-11-08,120.7,122.5,119.65,120.45,152466.0,
2016-11-09,108.0,119.5,105.0,119.0,366299.0,
2016-11-10,119.05,123.5,119.05,122.55,189258.0,
2016-11-11,119.4,123.9,115.0,117.55,387501.0,
2016-11-15,117.65,117.75,106.6,108.05,290353.0,
2016-11-16,110.0,112.0,102.25,104.9,241874.0,
2016-11-17,103.55,105.85,100.05,100.9,515447.0,
2016-11-18,101.4,112.0,101.25,108.4,541068.0,
2016-11-21,108.25,109.25,99.8,102.15,333452.0,
2016-11-22,103.25,106.2,101.5,103.4,190808.0,
2016-11-23,104.85,116.6,102.55,108.45,1637863.0,
2016-11-24,106.6,113.95,106.5,111.2,687891.0,
2016-11-25,112.7,113.8,110.6,111.75,206028.0,
2016-11-28,111.95,113.8,107.75,108.4,272022.0,
2016-11-29,108.95,111.1,108.55,109.05,321819.0,
2016-11-30,116.9,116.9,109.0,109.9,1046795.0,
2016-12-01,110.65,110.65,108.05,109.25,241503.0,
2016-12-02,108.5,108.95,106.8,107.2,186078.0,
2016-12-05,107.5,108.9,106.0,108.15,118096.0,
2016-12-06,108.85,109.0,106.9,107.2,111612.0,
2016-12-07,108.0,108.85,105.0,105.75,127513.0,
2016-12-08,106.35,108.9,106.2,108.0,134141.0,
2016-12-09,108.2,111.25,107.0,109.35,283193.0,
2016-12-12,109.3,109.35,105.9,107.8,210897.0,
2016-12-13,107.8,109.3,106.2,107.9,77390.0,
2016-12-14,108.95,108.95,105.95,106.1,109432.0,
2016-12-15,105.5,108.0,105.05,107.1,155255.0,
2016-12-16,109.0,109.65,107.0,108.05,207109.0,
2016-12-19,108.4,109.0,106.25,108.35,198685.0,
2016-12-20,108.35,108.75,106.85,107.4,87319.0,
2016-12-21,106.7,108.85,106.05,108.25,102051.0,
2016-12-22,107.3,110.0,106.5,108.4,158809.0,
2016-12-23,108.0,108.35,106.55,107.15,85116.0,
2016-12-26,106.2,106.65,103.15,104.65,108199.0,
2016-12-27,105.4,106.4,103.15,105.5,70188.0,
2016-12-28,105.2,106.55,104.55,104.9,106264.0,
2016-12-29,104.55,106.0,103.7,105.25,126510.0,
2016-12-30,105.95,108.5,105.7,107.55,155629.0,
2017-01-02,108.35,110.8,107.25,110.2,123417.0,
2017-01-03,110.95,110.95,108.65,109.3,85420.0,
2017-01-04,108.55,110.5,108.0,109.5,88088.0,
2017-01-05,110.4,111.2,108.2,108.8,127326.0,
2017-01-06,109.95,110.45,107.45,107.8,132078.0,
2017-01-09,109.5,111.2,107.0,109.5,380434.0,
2017-01-10,109.4,112.3,109.4,111.9,394454.0,
2017-01-11,116.5,116.5,110.25,110.8,1119047.0,
2017-01-12,111.35,113.45,110.35,111.3,306565.0,
2017-01-13,112.0,112.8,110.6,111.6,213394.0,
2017-01-16,112.0,112.9,111.4,111.8,187765.0,
2017-01-17,112.0,112.0,110.3,110.95,131888.0,
2017-01-18,111.25,111.45,108.8,109.25,186539.0,
2017-01-19,109.25,110.0,109.0,109.3,107090.0,
2017-01-20,109.25,110.0,108.0,108.95,136342.0,
2017-01-23,109.0,109.75,107.1,108.7,181467.0,
2017-01-24,109.5,109.95,108.2,109.45,115720.0,
2017-01-25,110.05,113.2,109.55,110.9,424321.0,
2017-01-27,110.9,112.9,110.9,111.5,247708.0,
2017-01-30,111.2,112.0,110.35,110.8,443346.0,
