,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,364.7,367.6,362.85,364.3,2014993.0,
2016-08-23,365.5,370.5,363.55,366.95,2366359.0,
2016-08-24,367.0,368.25,364.25,365.55,2822786.0,
2016-08-25,367.9,375.0,364.5,373.1,5526208.0,
2016-08-26,374.0,385.0,372.15,378.6,3261133.0,
2016-08-29,380.9,382.5,375.45,378.2,933012.0,
2016-08-30,379.5,389.25,379.2,386.7,2207145.0,
2016-08-31,387.15,389.8,381.8,383.9,1607971.0,
2016-09-01,383.0,395.1,383.0,391.75,2444262.0,
2016-09-02,391.0,396.5,388.5,395.75,1014526.0,
2016-09-06,396.65,405.9,394.25,403.2,2872228.0,
2016-09-07,405.95,407.7,385.35,395.95,3433153.0,
2016-09-08,407.0,407.0,387.0,388.75,4044545.0,
2016-09-09,388.1,399.0,388.0,395.0,3875929.0,
2016-09-12,389.4,389.8,383.4,386.5,1729111.0,
2016-09-14,386.0,390.0,384.55,386.0,1453397.0,
2016-09-15,386.55,393.5,384.6,385.45,1322989.0,
2016-09-16,387.0,395.5,387.0,388.4,2824595.0,
2016-09-19,388.6,394.0,387.1,388.45,1272016.0,
2016-09-20,388.8,391.65,384.3,385.05,1426638.0,
2016-09-21,386.4,391.8,386.1,387.2,2989775.0,
2016-09-22,390.6,394.0,388.35,390.05,1631134.0,
2016-09-23,387.1,393.3,385.0,386.1,3040261.0,
2016-09-26,384.05,387.0,375.05,376.75,1980748.0,
2016-09-27,377.0,378.5,371.85,373.05,1951921.0,
2016-09-28,373.05,378.8,373.05,375.45,1963154.0,
2016-09-29,378.8,384.0,357.75,363.45,4002401.0,
2016-09-30,365.05,376.4,364.1,374.65,1781208.0,
2016-10-03,372.95,387.7,371.55,385.85,2924125.0,
2016-10-04,386.0,412.0,386.0,402.45,7794482.0,
2016-10-05,404.8,407.8,399.1,400.4,2084692.0,
2016-10-06,402.05,419.8,400.0,414.45,4720229.0,
2016-10-07,416.1,419.0,412.4,414.05,2384084.0,
2016-10-10,416.0,424.3,412.75,419.1,2064756.0,
2016-10-13,415.3,425.0,410.05,413.7,2648443.0,
2016-10-14,415.45,432.75,413.3,430.4,4014055.0,
2016-10-17,434.9,437.9,424.7,427.85,2081234.0,
2016-10-18,428.9,434.7,426.6,429.0,1829719.0,
2016-10-19,431.0,445.0,429.75,436.05,3979560.0,
2016-10-20,440.0,443.65,433.6,439.35,2783120.0,
2016-10-21,438.0,448.95,437.3,439.95,2548222.0,
2016-10-24,443.4,451.0,441.75,444.05,2544401.0,
2016-10-25,445.4,445.6,433.2,435.05,1624269.0,
2016-10-26,435.2,437.2,429.8,432.5,1593821.0,
2016-10-27,432.25,436.8,430.4,435.4,1577919.0,
2016-10-28,435.3,435.3,428.9,433.4,1669981.0,
2016-11-01,432.8,442.0,430.5,432.35,1754623.0,
2016-11-02,429.0,431.65,419.3,427.95,2190915.0,
2016-11-03,427.3,434.0,424.3,428.05,3021692.0,
2016-11-04,430.0,432.7,421.5,424.0,1377727.0,
2016-11-07,425.7,430.0,421.75,426.35,1134169.0,
2016-11-08,428.2,441.5,424.2,439.1,2069839.0,
2016-11-09,425.0,448.7,418.0,446.5,2205922.0,
2016-11-10,453.0,456.0,445.6,449.25,1787819.0,
2016-11-11,444.4,448.0,428.15,438.25,2415791.0,
2016-11-15,443.0,446.8,420.6,435.9,2458762.0,
2016-11-16,441.0,445.85,424.5,428.3,2479614.0,
2016-11-17,425.0,437.2,425.0,434.95,1045864.0,
2016-11-18,435.15,441.55,425.05,427.0,1339372.0,
2016-11-21,430.0,433.5,420.0,420.85,1531111.0,
2016-11-22,423.0,428.7,408.0,414.55,1969958.0,
2016-11-23,418.7,420.05,408.5,412.35,1639713.0,
2016-11-24,408.95,412.65,401.0,402.55,1585741.0,
2016-11-25,406.9,419.7,403.65,417.2,2098418.0,
2016-11-28,416.2,423.8,413.5,417.5,2316407.0,
2016-11-29,417.5,429.15,416.85,428.0,3266486.0,
2016-11-30,431.8,432.8,422.5,424.75,2489595.0,
2016-12-01,426.0,445.4,425.95,439.65,3873167.0,
2016-12-02,436.0,443.4,431.25,432.9,1814172.0,
2016-12-05,431.75,434.45,425.85,427.45,1337174.0,
2016-12-06,430.0,436.2,429.1,431.4,1746223.0,
2016-12-07,432.0,435.2,424.1,427.55,1050988.0,
2016-12-08,431.9,436.7,428.55,429.9,1491382.0,
2016-12-09,432.9,434.35,427.0,429.35,856864.0,
2016-12-12,427.75,430.25,423.2,429.1,1158021.0,
2016-12-13,428.45,430.0,421.4,424.9,1487736.0,
2016-12-14,425.0,425.25,418.0,419.1,1121644.0,
2016-12-15,417.15,424.55,414.0,416.95,933776.0,
2016-12-16,418.0,423.5,410.65,415.1,1661016.0,
2016-12-19,414.0,428.3,413.0,425.85,2024907.0,
2016-12-20,424.75,432.5,424.0,429.85,1732205.0,
2016-12-21,430.0,432.75,423.2,430.15,1257221.0,
2016-12-22,427.8,430.45,424.3,425.95,1222877.0,
2016-12-23,425.4,434.0,418.0,431.55,1379100.0,
2016-12-26,430.0,433.75,424.1,428.5,1262405.0,
2016-12-27,429.0,430.85,420.75,424.05,1807494.0,
2016-12-28,424.5,426.8,419.2,424.65,1290256.0,
2016-12-29,424.65,430.9,418.5,425.55,4461384.0,
2016-12-30,425.8,443.0,423.5,439.2,2795932.0,
2017-01-02,440.0,441.7,434.0,435.15,1990102.0,
2017-01-03,435.7,444.7,434.0,441.45,1654622.0,
2017-01-04,441.25,446.8,438.25,440.15,1678894.0,
2017-01-05,445.2,445.6,439.5,442.15,1760175.0,
2017-01-06,444.4,450.75,441.0,442.55,1562639.0,
2017-01-09,443.5,444.7,434.95,435.7,1370493.0,
2017-01-10,436.4,443.8,436.4,440.7,2223264.0,
2017-01-11,442.1,447.3,439.65,444.7,3490013.0,
2017-01-12,445.0,449.0,441.2,442.05,1856147.0,
2017-01-13,442.25,455.0,442.25,452.25,2880200.0,
2017-01-16,453.0,455.95,446.6,447.8,1545660.0,
2017-01-17,447.8,452.55,437.5,445.6,1759308.0,
2017-01-18,447.0,449.8,436.2,439.5,1871178.0,
2017-01-19,441.5,465.0,436.5,461.65,7212650.0,
2017-01-20,465.05,471.15,456.7,460.1,5481941.0,
2017-01-23,460.5,474.95,460.45,470.9,3434412.0,
2017-01-24,474.0,475.45,468.7,474.55,2340642.0,
2017-01-25,475.0,478.0,470.5,475.9,3645278.0,
2017-01-27,480.0,493.8,480.0,482.05,5642111.0,
2017-01-30,483.0,485.0,478.95,483.85,2087051.0,
2017-01-31,481.0,481.5,465.0,468.15,7760191.0,
2017-02-01,469.7,488.0,463.6,484.9,4194412.0,
2017-02-02,481.3,483.75,475.5,476.45,3021580.0,
2017-02-03,477.0,481.5,470.25,478.7,2057748.0,
2017-02-06,479.7,484.5,477.5,482.45,1879113.0,
2017-02-07,485.0,490.65,472.55,476.2,2373673.0,
2017-02-08,477.1,487.5,475.0,485.35,1030432.0,
2017-02-09,486.9,494.35,485.4,490.35,1973213.0,
2017-02-10,493.0,493.0,481.1,483.35,1882148.0,
2017-02-13,489.0,491.7,475.5,481.75,2370243.0,
2017-02-14,482.0,496.8,481.05,495.45,3777837.0,
2017-02-15,498.95,499.75,488.55,493.85,3169033.0,
2017-02-16,495.05,505.0,494.5,502.95,2609464.0,
2017-02-17,504.1,513.0,499.2,510.2,3028622.0,
2017-02-20,511.25,528.0,510.2,524.1,4557166.0,
2017-02-21,525.0,530.8,520.1,524.0,2676537.0,
2017-02-22,523.95,524.0,516.75,518.9,2457499.0,
2017-02-23,521.55,530.55,513.55,517.55,7489017.0,
2017-02-27,520.7,526.2,514.1,515.3,4564595.0,
2017-02-28,517.4,521.65,513.0,516.9,2127130.0,
2017-03-01,518.05,519.9,503.4,506.35,3983205.0,
2017-03-02,510.0,513.1,499.0,501.6,3252052.0,
2017-03-03,502.25,522.0,502.0,520.25,6031027.0,
2017-03-06,524.95,525.4,517.05,522.25,5616167.0,
2017-03-07,520.0,526.95,520.0,524.9,8593531.0,
2017-03-08,524.3,534.15,513.05,518.75,16315865.0,
2017-03-09,376.0,383.0,369.1,379.25,18906962.0,
2017-03-10,379.9,383.4,375.55,378.25,5897121.0,
2017-03-14,385.35,387.85,373.3,375.8,10797125.0,
2017-03-15,376.45,378.1,372.8,375.3,4620710.0,
2017-03-16,377.2,379.45,376.6,378.8,4272601.0,
2017-03-17,378.8,380.0,373.0,375.15,3646251.0,
2017-03-20,373.8,377.0,371.1,374.35,3571777.0,
2017-03-21,375.0,375.15,366.65,370.3,2769918.0,
2017-03-22,368.9,371.8,367.35,369.0,3032252.0,
2017-03-23,370.9,377.9,369.4,376.9,3820476.0,
2017-03-24,376.95,383.0,375.0,381.3,3442470.0,
2017-03-27,382.8,384.0,375.05,375.7,2234120.0,
2017-03-28,377.45,377.45,371.6,374.8,3415354.0,
2017-03-29,375.9,375.95,372.2,373.45,2417312.0,
2017-03-30,373.1,386.95,373.1,379.0,18058943.0,
2017-03-31,378.7,381.65,375.3,376.95,1561982.0,
2017-04-03,377.0,387.4,377.0,384.75,4654050.0,
2017-04-05,386.9,386.9,379.25,382.4,2583642.0,
2017-04-06,381.0,388.55,380.2,386.65,2571833.0,
2017-04-07,386.4,392.0,384.3,386.65,2981555.0,
2017-04-10,387.1,389.0,383.4,384.85,1405087.0,
2017-04-11,386.0,388.0,383.9,384.75,1634520.0,
2017-04-12,385.5,388.0,377.0,378.25,2380918.0,
2017-04-13,377.1,384.45,377.1,379.7,2920352.0,
2017-04-17,380.1,396.4,380.1,394.5,2713172.0,
2017-04-18,398.7,403.5,392.8,394.55,4573197.0,
2017-04-19,397.4,399.9,389.05,393.8,4679705.0,
2017-04-20,395.0,412.0,393.15,401.75,7053007.0,
2017-04-21,404.3,409.0,397.25,399.5,2635181.0,
2017-04-24,401.0,414.2,399.15,412.7,4066437.0,
2017-04-25,415.85,415.9,410.1,411.5,2938580.0,
