,Open,High,Low,Close,Volume,DeliveryPct
2017-10-25,850.0,899.0,780.0,874.3,27556221.0,
2017-10-26,879.5,879.5,845.0,852.15,2045983.0,
2017-10-27,850.0,858.0,830.0,834.85,561271.0,
2017-10-30,834.85,860.05,826.25,855.45,894609.0,
2017-10-31,850.0,875.0,844.05,861.95,1380572.0,
2017-11-01,865.0,868.0,844.55,848.0,268587.0,
2017-11-02,845.0,852.5,835.0,837.8,165896.0,
2017-11-03,832.0,842.0,827.5,830.05,172227.0,
2017-11-06,828.0,831.95,815.0,817.8,199889.0,
2017-11-07,817.8,830.0,802.55,806.75,239129.0,
2017-11-08,806.0,811.05,799.05,800.05,157748.0,
2017-11-09,801.0,810.0,790.0,791.4,268063.0,
2017-11-10,790.1,830.0,790.1,822.05,460788.0,
2017-11-13,825.05,849.0,807.5,811.85,626837.0,
2017-11-14,823.5,833.85,816.05,824.85,238195.0,
2017-11-15,825.0,825.0,796.1,799.95,101299.0,
2017-11-16,800.6,813.0,800.0,802.65,89209.0,
2017-11-17,803.75,810.1,792.0,793.75,204024.0,
2017-11-20,795.0,802.3,792.05,799.85,281824.0,
2017-11-21,796.15,820.8,793.0,796.5,351467.0,
2017-11-22,800.0,808.8,797.0,798.5,113027.0,
2017-11-23,797.15,804.7,791.65,794.2,116569.0,
2017-11-24,799.8,799.8,792.65,795.8,81887.0,
2017-11-27,796.0,797.4,785.0,787.2,197791.0,
2017-11-28,786.0,800.0,786.0,798.1,156129.0,
2017-11-29,797.5,805.9,794.5,801.45,127947.0,
2017-11-30,803.0,812.0,795.1,803.25,145010.0,
2017-12-01,806.4,806.4,795.0,796.95,96736.0,
2017-12-04,797.0,799.95,786.1,795.85,74054.0,
2017-12-05,795.8,798.0,790.05,793.3,61386.0,
2017-12-06,795.0,801.75,786.0,800.8,109219.0,
2017-12-07,795.55,806.0,795.55,802.65,92495.0,
2017-12-08,799.0,804.6,795.5,801.4,64572.0,
2017-12-11,801.9,803.05,790.0,791.75,127370.0,
2017-12-12,790.0,798.0,790.0,790.35,57287.0,
2017-12-13,788.25,794.6,785.0,786.95,44143.0,
2017-12-14,785.35,788.35,777.0,778.9,61968.0,
2017-12-15,782.3,786.0,775.0,780.4,75233.0,
2017-12-18,780.0,784.85,767.0,782.0,75037.0,
2017-12-19,782.55,789.5,777.55,782.4,126378.0,
2017-12-20,779.05,790.0,779.05,785.1,62459.0,
2017-12-21,787.0,790.0,780.0,780.6,77568.0,
2017-12-22,778.0,782.2,773.1,773.8,100409.0,
2017-12-26,775.0,781.8,771.0,779.55,132431.0,
2017-12-27,780.0,780.0,763.5,765.35,243888.0,
2017-12-28,765.35,773.2,760.6,761.4,81062.0,
2017-12-29,762.0,762.6,752.5,753.7,110137.0,
2018-01-01,753.0,767.05,752.3,764.75,99009.0,
2018-01-02,764.75,770.0,760.0,762.75,63302.0,
2018-01-03,762.9,769.75,762.8,765.85,58158.0,
2018-01-04,765.0,777.85,762.0,767.8,91645.0,
2018-01-05,768.0,774.0,764.0,764.35,63778.0,
2018-01-08,764.45,774.95,764.45,772.1,262194.0,
2018-01-09,774.0,774.9,769.95,772.2,81769.0,
2018-01-10,770.0,773.9,769.05,770.9,102855.0,
2018-01-11,768.0,772.0,768.0,770.45,45196.0,
2018-01-12,770.0,804.75,770.0,801.85,369116.0,
2018-01-15,806.0,809.5,797.5,800.0,212384.0,
2018-01-16,793.65,807.05,777.0,799.95,249637.0,
2018-01-17,802.0,807.0,790.0,795.05,83982.0,
2018-01-18,803.0,803.8,785.5,792.8,97273.0,
2018-01-19,793.0,798.5,777.0,782.75,75981.0,
2018-01-22,780.3,792.1,777.3,784.8,61458.0,
2018-01-23,784.15,787.9,778.1,780.0,90348.0,
2018-01-24,780.0,780.85,772.45,775.15,66988.0,
2018-01-25,776.15,789.05,769.95,772.0,160024.0,
2018-01-29,769.15,773.85,765.0,766.75,658615.0,
2018-01-30,765.15,778.75,759.0,762.0,1516749.0,
2018-01-31,762.15,767.4,755.0,756.65,40118.0,
2018-02-01,765.85,775.95,750.0,753.25,214636.0,
2018-02-02,750.15,759.0,727.75,729.35,108863.0,
2018-02-05,726.55,765.9,718.35,754.85,168525.0,
2018-02-06,731.0,760.0,721.0,754.15,148926.0,
2018-02-07,761.5,767.4,753.0,764.95,69317.0,
2018-02-08,765.0,768.75,750.5,753.65,36612.0,
2018-02-09,743.8,758.2,738.15,745.2,347036.0,
2018-02-12,750.0,762.0,734.2,746.85,106639.0,
2018-02-14,759.95,785.0,755.0,780.6,181848.0,
2018-02-15,778.5,793.65,775.0,784.3,98804.0,
2018-02-16,784.0,789.45,765.0,770.45,43266.0,
2018-02-19,768.2,773.95,750.8,768.4,81930.0,
2018-02-20,765.0,768.0,755.0,756.0,18995.0,
2018-02-21,756.1,762.4,727.75,731.0,82316.0,
2018-02-22,731.0,736.45,725.0,726.65,40269.0,
2018-02-23,725.25,741.35,725.25,737.9,43069.0,
2018-02-26,740.0,742.25,733.3,734.55,25133.0,
2018-02-27,735.3,741.0,726.5,727.9,26726.0,
2018-02-28,729.0,732.9,720.0,721.15,63489.0,
