,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,3121.0,3148.5,3066.65,3075.6,5169.0,
2016-08-23,3075.0,3110.0,3066.2,3081.95,4126.0,
2016-08-24,3081.0,3094.0,3041.0,3051.15,11444.0,
2016-08-25,3042.0,3056.0,2990.05,3012.65,14145.0,
2016-08-26,3013.05,3043.45,2971.4,2981.7,12888.0,
2016-08-29,2982.0,2995.4,2962.1,2979.25,5939.0,
2016-08-30,2970.0,3040.0,2969.0,3010.45,4603.0,
2016-08-31,3010.0,3323.0,2972.05,3033.95,86171.0,
2016-09-01,3062.0,3089.95,2971.55,2985.15,25854.0,
2016-09-02,3000.0,3053.95,2965.0,2974.05,19297.0,
2016-09-06,2974.0,3019.0,2974.0,3000.05,11029.0,
2016-09-07,3024.8,3024.8,3001.4,3010.6,6283.0,
2016-09-08,3020.0,3020.0,2982.0,3003.4,8677.0,
2016-09-09,3003.0,3033.0,2990.0,3001.05,5977.0,
2016-09-12,2990.0,3008.45,2975.0,2986.35,6391.0,
2016-09-14,2986.0,3005.0,2950.1,2957.25,12254.0,
2016-09-15,2974.0,2999.0,2951.25,2968.25,7047.0,
2016-09-16,2985.0,2985.0,2799.95,2826.45,343527.0,
2016-09-19,2836.35,2877.0,2836.35,2841.5,20160.0,
2016-09-20,2841.5,2850.0,2825.0,2828.8,12004.0,
2016-09-21,2828.8,2848.0,2801.0,2810.55,13545.0,
2016-09-22,2834.8,2835.0,2786.25,2794.85,34401.0,
2016-09-23,2800.05,2826.45,2793.35,2805.25,41160.0,
2016-09-26,2808.0,2821.9,2790.0,2798.35,56247.0,
2016-09-27,2819.0,2845.0,2795.0,2822.9,15395.0,
2016-09-28,2822.9,2850.0,2820.0,2839.75,23206.0,
2016-09-29,2850.0,2870.0,2775.0,2807.25,62678.0,
2016-09-30,2807.0,2810.0,2752.0,2780.95,35018.0,
2016-10-03,2790.0,2828.8,2780.5,2820.1,6986.0,
2016-10-04,2815.0,2914.7,2813.35,2868.35,10483.0,
2016-10-05,2835.0,2880.0,2835.0,2874.6,8863.0,
2016-10-06,2897.95,2945.8,2851.5,2918.9,11685.0,
2016-10-07,2918.9,2945.0,2862.35,2919.6,9347.0,
2016-10-10,2919.0,2936.55,2900.0,2927.3,6664.0,
2016-10-13,2920.0,2949.9,2907.7,2937.65,8918.0,
2016-10-14,2935.0,2969.0,2920.55,2956.25,16880.0,
2016-10-17,2951.0,2999.9,2929.95,2975.4,6113.0,
2016-10-18,2956.35,2996.75,2956.0,2971.1,5957.0,
2016-10-19,2980.0,2990.0,2946.8,2977.25,6402.0,
2016-10-20,2989.0,3000.0,2960.05,2980.4,7352.0,
2016-10-21,2980.4,2980.4,2948.2,2966.35,3797.0,
2016-10-24,2966.3,2983.45,2933.0,2961.8,5684.0,
