,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,87.0,91.3,86.0,90.05,1272649.0,
2016-08-23,90.25,92.0,89.0,90.0,805811.0,
2016-08-24,90.7,93.6,90.25,90.85,623362.0,
2016-08-25,91.45,93.9,90.0,90.05,728434.0,
2016-08-26,90.1,91.9,89.2,89.8,875881.0,
2016-08-29,92.7,92.7,88.55,90.7,536626.0,
2016-08-30,97.2,100.5,96.1,97.85,5600133.0,
2016-08-31,99.0,99.75,95.95,96.85,1222129.0,
2016-09-01,97.35,97.35,93.1,93.65,464139.0,
2016-09-02,93.2,94.75,92.25,92.75,411649.0,
2016-09-06,93.8,94.6,91.8,92.15,509136.0,
2016-09-07,92.8,94.35,92.55,93.45,936153.0,
2016-09-08,94.2,94.7,92.65,93.15,890590.0,
2016-09-09,93.4,95.2,92.5,94.05,835392.0,
2016-09-12,92.65,93.15,90.6,90.9,629793.0,
2016-09-14,91.2,92.6,91.0,92.0,277297.0,
2016-09-15,92.5,93.0,91.65,92.25,370206.0,
2016-09-16,92.6,93.8,91.25,91.5,501884.0,
2016-09-19,92.0,92.8,91.55,91.85,479717.0,
2016-09-20,92.3,92.3,90.75,91.0,434312.0,
2016-09-21,88.0,89.5,87.55,88.5,935440.0,
2016-09-22,89.9,89.9,87.05,87.95,700834.0,
2016-09-23,88.8,88.8,85.65,86.0,866481.0,
2016-09-26,86.4,88.0,85.3,85.7,335479.0,
2016-09-27,86.25,88.9,85.8,87.15,760405.0,
2016-09-28,87.95,88.85,87.3,88.45,400523.0,
2016-09-29,88.45,89.9,76.7,84.65,1015078.0,
2016-09-30,84.0,86.0,79.6,84.15,459601.0,
2016-10-03,85.55,86.8,85.0,86.05,239161.0,
2016-10-04,86.5,88.3,86.05,87.1,315653.0,
2016-10-05,87.75,92.75,87.3,92.4,1124236.0,
2016-10-06,93.35,97.4,92.55,93.95,2038397.0,
2016-10-07,94.5,97.2,94.5,96.95,1288723.0,
2016-10-10,97.2,101.8,96.95,99.35,1885223.0,
2016-10-13,99.25,99.25,94.85,96.7,640281.0,
2016-10-14,97.65,97.85,96.05,97.2,326683.0,
2016-10-17,100.8,104.4,100.1,103.5,2478412.0,
2016-10-18,104.6,105.8,104.4,104.8,1083696.0,
2016-10-19,105.5,107.3,103.05,103.95,996940.0,
2016-10-20,104.7,105.7,101.5,102.15,681777.0,
2016-10-21,102.75,103.95,101.0,103.5,377270.0,
2016-10-24,104.45,108.5,103.5,107.6,1555396.0,
2016-10-25,107.6,107.8,104.0,106.0,548852.0,
2016-10-26,106.0,111.3,104.15,109.05,1384622.0,
2016-10-27,110.85,110.85,105.5,107.95,677548.0,
2016-10-28,107.95,114.8,106.35,110.95,1951182.0,
2016-11-01,114.4,119.25,112.5,114.95,1903106.0,
2016-11-02,113.6,117.4,112.2,114.0,962593.0,
2016-11-03,113.0,117.55,109.5,110.75,1016334.0,
2016-11-04,110.75,111.45,101.6,103.7,1082475.0,
2016-11-07,105.0,107.95,104.5,105.2,521783.0,
2016-11-08,106.0,107.6,104.4,105.35,397933.0,
2016-11-09,99.0,105.8,91.25,104.35,912603.0,
2016-11-10,105.65,110.65,102.5,104.2,847028.0,
2016-11-11,105.8,108.5,101.2,102.35,960541.0,
2016-11-15,103.05,104.0,98.35,98.8,426440.0,
2016-11-16,100.15,101.8,96.6,98.45,384854.0,
2016-11-17,98.7,100.9,95.15,95.85,318657.0,
2016-11-18,96.8,98.45,94.25,95.95,415423.0,
2016-11-21,97.0,98.0,91.0,91.3,386650.0,
2016-11-22,93.0,96.15,91.6,95.3,420518.0,
2016-11-23,96.4,101.1,95.5,100.25,527142.0,
2016-11-24,100.8,104.5,99.55,102.85,1189676.0,
2016-11-25,103.5,105.5,102.0,104.7,1196364.0,
2016-11-28,104.85,107.5,102.8,103.8,881876.0,
2016-11-29,104.8,107.15,103.8,106.2,1197404.0,
2016-11-30,107.25,108.4,105.35,106.3,618105.0,
2016-12-01,106.9,107.55,100.65,101.2,566294.0,
2016-12-02,100.5,102.5,99.1,100.45,532986.0,
2016-12-05,102.25,102.85,98.15,99.8,489435.0,
2016-12-06,100.85,101.3,97.75,98.25,385211.0,
2016-12-07,98.95,100.3,98.5,99.0,433349.0,
2016-12-08,99.55,101.9,98.45,99.0,662868.0,
2016-12-09,99.45,101.5,99.0,101.1,436467.0,
2016-12-12,101.7,105.75,100.25,102.7,1041220.0,
2016-12-13,103.45,104.4,100.4,100.85,460741.0,
2016-12-14,99.9,99.9,96.9,97.3,719638.0,
2016-12-15,96.5,97.5,95.65,96.0,368799.0,
2016-12-16,96.2,96.55,93.7,94.1,373931.0,
2016-12-19,92.8,93.8,92.0,92.65,271296.0,
2016-12-20,92.85,93.65,91.95,92.25,206502.0,
2016-12-21,93.0,94.55,92.25,93.9,248220.0,
2016-12-22,94.3,94.7,91.15,92.05,344487.0,
2016-12-23,92.5,92.5,90.55,91.6,173996.0,
2016-12-26,91.55,91.9,89.4,89.6,221017.0,
2016-12-27,89.5,91.75,89.05,90.0,735530.0,
2016-12-28,91.0,91.5,90.25,90.75,273319.0,
2016-12-29,90.75,91.2,89.6,90.5,798518.0,
2016-12-30,90.95,92.15,90.65,91.5,1924799.0,
2017-01-02,91.8,93.75,91.75,93.05,1449698.0,
2017-01-03,93.85,97.65,93.4,94.6,1020784.0,
2017-01-04,94.5,96.5,94.0,95.15,728234.0,
2017-01-05,96.0,101.75,95.65,100.85,1591427.0,
2017-01-06,101.4,101.45,98.45,98.95,536024.0,
2017-01-09,99.0,104.25,97.9,98.75,1133654.0,
2017-01-10,100.35,102.8,100.25,101.5,876199.0,
2017-01-11,101.75,108.5,101.5,106.4,2056376.0,
2017-01-12,106.4,110.4,102.4,108.35,2282050.0,
2017-01-13,111.7,114.2,109.8,112.55,3089272.0,
2017-01-16,112.9,115.15,111.8,112.45,907862.0,
2017-01-17,113.0,114.5,111.7,113.65,1266998.0,
2017-01-18,113.95,114.9,112.6,113.65,609670.0,
2017-01-19,114.0,116.6,112.6,115.95,823992.0,
2017-01-20,116.9,117.8,111.65,112.35,1129545.0,
2017-01-23,112.2,116.9,111.55,116.15,742408.0,
2017-01-24,117.4,119.8,116.2,117.35,1867206.0,
2017-01-25,118.6,118.6,116.85,117.35,671879.0,
2017-01-27,118.0,120.3,117.5,118.95,998397.0,
2017-01-30,119.4,122.9,119.4,120.4,1393243.0,
2017-01-31,120.8,120.8,116.0,116.8,520695.0,
2017-02-01,117.25,121.7,117.1,120.7,708030.0,
2017-02-02,120.0,121.6,119.1,119.95,717201.0,
