,Open,High,Low,Close,Volume,DeliveryPct
2024-12-11,84.75,85.84,84.75,85.44,5476910.0,66.7
2024-12-12,85.7,85.7,84.2,84.56,7381845.0,63.08
2024-12-13,83.81,84.47,81.92,83.95,7881359.0,40.9
2024-12-16,84.05,84.44,83.65,83.9,4526525.0,56.83
2024-12-17,85.4,85.76,83.0,83.44,13065340.0,41.64
2024-12-18,83.0,83.16,81.58,82.15,7559892.0,51.47
2024-12-19,80.2,81.49,80.2,80.63,4878495.0,42.81
2024-12-20,81.6,81.6,78.0,78.82,10082347.0,58.36
2024-12-23,79.18,80.64,78.55,79.3,19622227.0,50.82
2024-12-24,79.49,80.48,78.66,79.15,6303126.0,31.77
2024-12-25,79.49,80.48,78.66,79.15,6303126.0,31.77
2024-12-26,79.15,79.75,78.56,79.04,10679581.0,41.68
2024-12-27,79.8,80.14,78.92,79.05,10133639.0,59.61
2024-12-30,79.24,79.75,76.71,77.32,16632173.0,56.7
2024-12-31,77.05,78.81,76.96,78.56,14038476.0,56.12
2025-01-01,78.99,79.05,77.8,78.59,3400151.0,41.77
2025-01-02,78.74,79.05,78.03,78.69,4945975.0,58.83
2025-01-03,78.41,79.92,78.26,78.68,6224506.0,42.79
2025-01-06,78.99,78.99,75.93,76.42,19299307.0,64.45
2025-01-07,76.3,77.57,76.11,76.64,6456372.0,49.35
2025-01-08,76.49,77.22,75.0,76.81,9678431.0,47.77
2025-01-09,77.36,77.36,75.86,76.08,5515487.0,50.73
2025-01-10,76.09,76.3,74.0,74.53,11314699.0,53.41
2025-01-13,73.0,73.98,69.27,69.7,18419378.0,47.71
2025-01-14,70.99,73.13,70.34,72.2,23038361.0,47.71
2025-01-15,72.5,74.69,72.5,74.32,9958755.0,49.76
2025-01-16,74.91,75.65,74.49,74.68,13439651.0,62.21
2025-01-17,74.68,76.49,74.14,76.07,8571378.0,47.84
2025-01-20,75.89,77.35,75.62,76.77,8011477.0,41.74
2025-01-21,77.01,77.3,74.11,74.36,10210742.0,47.77
2025-01-22,74.57,74.7,70.85,72.98,14826279.0,48.96
2025-01-23,73.2,73.74,72.33,73.5,6441341.0,52.3
2025-01-24,73.5,74.01,71.1,71.49,10814737.0,57.48
2025-01-27,70.89,71.03,69.66,70.51,12784262.0,55.46
2025-01-28,70.81,72.0,68.9,71.06,13779506.0,45.48
