,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,1196.0,1208.0,1156.05,1165.35,48998.0,
2016-08-23,1175.4,1189.5,1158.0,1165.25,46502.0,
2016-08-24,1171.15,1180.0,1161.2,1165.05,39908.0,
2016-08-25,1167.1,1231.95,1165.5,1199.8,259319.0,
2016-08-26,1200.55,1215.0,1188.0,1194.3,53613.0,
2016-08-29,1181.3,1204.9,1169.95,1177.1,35683.0,
2016-08-30,1180.0,1223.0,1180.0,1190.95,124186.0,
2016-08-31,1190.0,1235.0,1180.1,1207.35,225559.0,
2016-09-01,1215.0,1288.35,1215.0,1244.25,453384.0,
2016-09-02,1256.0,1359.0,1247.4,1343.9,694126.0,
2016-09-06,1371.0,1434.0,1362.05,1411.85,409301.0,
2016-09-07,1425.45,1487.7,1400.0,1461.35,349571.0,
2016-09-08,1493.4,1525.0,1478.25,1512.15,358725.0,
2016-09-09,1510.0,1518.0,1451.05,1467.25,178803.0,
2016-09-12,1435.0,1464.85,1411.1,1446.35,127864.0,
2016-09-14,1374.85,1446.0,1301.1,1331.2,769952.0,
2016-09-15,1334.95,1394.0,1332.95,1368.5,252930.0,
2016-09-16,1370.0,1394.8,1335.0,1350.0,235451.0,
2016-09-19,1345.0,1363.5,1310.35,1316.9,75506.0,
2016-09-20,1320.0,1356.2,1310.1,1319.05,121750.0,
2016-09-21,1316.1,1340.0,1311.85,1316.65,84155.0,
2016-09-22,1330.8,1340.0,1292.8,1297.3,84117.0,
2016-09-23,1300.0,1310.45,1291.0,1295.35,51933.0,
2016-09-26,1295.0,1363.0,1264.0,1326.3,375346.0,
2016-09-27,1327.0,1336.65,1284.0,1294.35,85808.0,
2016-09-28,1299.05,1325.0,1271.0,1278.15,82111.0,
2016-09-29,1288.3,1303.0,1129.0,1218.55,180142.0,
2016-09-30,1218.55,1296.0,1200.0,1286.6,151413.0,
2016-10-03,1295.0,1346.2,1278.0,1319.9,211486.0,
2016-10-04,1320.0,1338.0,1303.6,1320.7,94759.0,
2016-10-05,1320.7,1350.0,1302.85,1312.1,113380.0,
2016-10-06,1323.8,1325.0,1282.25,1290.8,94456.0,
2016-10-07,1290.0,1347.0,1284.0,1339.0,155764.0,
2016-10-10,1345.0,1349.8,1306.0,1313.2,56349.0,
2016-10-13,1320.0,1384.0,1292.3,1345.45,307231.0,
2016-10-14,1351.0,1442.5,1351.0,1406.7,235974.0,
2016-10-17,1430.05,1517.7,1430.05,1490.95,603500.0,
2016-10-18,1495.0,1542.5,1473.2,1513.95,369331.0,
2016-10-19,1500.1,1512.0,1451.1,1459.3,127819.0,
2016-10-20,1466.0,1489.5,1445.0,1458.55,113474.0,
