,Open,High,Low,Close,Volume,DeliveryPct
2024-05-23,286.0,314.0,280.0,306.0,54121525.0,62.81
2024-05-24,307.8,308.0,297.0,300.2,6397582.0,63.88
2024-05-27,300.25,302.0,285.0,300.15,3414127.0,63.2
2024-05-28,297.15,304.9,295.55,300.1,1377345.0,64.32
2024-05-29,298.7,302.2,297.3,301.25,1479134.0,70.81
2024-05-30,299.0,303.0,291.6,298.4,2916705.0,80.74
2024-05-31,296.9,300.35,295.0,298.4,984823.0,67.67
2024-06-03,300.25,306.0,299.25,301.1,706028.0,77.67
2024-06-04,291.5,301.9,278.55,297.2,982994.0,57.66
2024-06-05,295.0,303.6,283.05,301.95,732622.0,53.69
2024-06-06,304.0,335.0,300.45,334.65,1773723.0,40.28
2024-06-07,335.05,363.9,334.75,339.5,2147985.0,39.01
2024-06-10,339.5,353.8,335.05,344.6,570110.0,50.11
2024-06-11,347.0,350.35,335.05,337.6,259022.0,50.17
2024-06-12,366.0,372.0,338.05,341.5,2694647.0,23.94
2024-06-13,347.35,347.35,338.0,340.8,474789.0,32.27
2024-06-14,344.45,344.45,338.05,338.95,830449.0,78.79
2024-06-17,344.45,344.45,338.05,338.95,830449.0,78.79
2024-06-18,339.8,341.25,329.5,334.35,718819.0,54.44
2024-06-19,328.0,342.65,320.0,330.35,1337509.0,37.16
2024-06-20,330.0,330.35,310.35,321.05,1280100.0,51.68
2024-06-21,321.05,336.0,320.0,334.1,609225.0,51.34
2024-06-24,330.0,340.0,328.8,332.45,932002.0,66.88
2024-06-25,332.9,335.5,326.1,331.0,259740.0,49.15
2024-06-26,331.25,341.55,329.7,335.05,403040.0,54.59
2024-06-27,336.0,339.95,328.0,332.75,282421.0,46.69
2024-06-28,334.7,340.0,329.75,338.0,575207.0,74.15
2024-07-01,341.0,357.9,341.0,351.0,2741840.0,76.31
2024-07-02,352.0,352.5,335.1,341.25,356420.0,55.01
2024-07-03,343.0,347.45,341.2,345.4,202987.0,57.22
2024-07-04,345.5,346.55,341.5,343.15,301041.0,78.96
2024-07-05,341.05,355.0,338.6,347.5,339758.0,47.02
2024-07-08,347.5,350.05,342.0,347.35,156448.0,50.09
2024-07-09,352.9,367.0,341.0,346.35,534746.0,38.78
2024-07-10,348.95,375.0,345.1,362.85,1630485.0,50.78
2024-07-11,366.9,371.5,361.2,364.45,515489.0,48.69
2024-07-12,364.45,365.9,340.1,341.8,1930034.0,76.53
2024-07-15,341.05,346.95,334.25,337.55,349603.0,55.61
2024-07-16,341.0,341.9,334.55,339.4,228749.0,54.0
2024-07-17,341.0,341.9,334.55,339.4,228749.0,54.0
2024-07-18,339.45,346.6,335.45,340.4,1401791.0,88.56
2024-07-19,355.0,363.95,341.0,344.15,1029064.0,34.9
2024-07-22,344.15,350.3,338.65,343.95,297719.0,50.84
2024-07-23,346.95,346.95,324.85,338.8,335363.0,48.01
2024-07-24,340.0,350.0,337.2,345.65,645247.0,78.3
2024-07-25,341.95,342.0,333.0,334.9,221690.0,56.56
2024-07-26,361.0,362.5,342.85,345.7,1949077.0,41.75
2024-07-29,350.0,373.75,349.0,352.05,3965428.0,81.1
2024-07-30,353.15,363.9,351.45,359.95,1260239.0,73.16
2024-07-31,362.4,370.6,347.15,350.65,4564379.0,79.96
2024-08-01,353.0,361.85,342.5,344.7,1097286.0,68.69
2024-08-02,343.0,347.2,337.95,340.15,288114.0,57.56
2024-08-05,338.0,338.0,322.85,326.55,363066.0,63.97
2024-08-06,323.0,331.4,315.75,321.0,2181287.0,92.12
2024-08-07,326.0,332.65,321.0,326.5,889310.0,79.16
2024-08-08,329.0,331.4,322.3,329.8,380056.0,54.98
2024-08-09,332.45,332.45,324.7,329.6,767585.0,69.4
2024-08-12,328.0,355.5,325.05,352.75,1032490.0,52.24
2024-08-13,352.0,356.9,344.1,348.15,414658.0,51.13
2024-08-14,345.0,355.65,343.35,351.25,435649.0,53.58
2024-08-15,345.0,355.65,343.35,351.25,435649.0,53.58
2024-08-16,351.15,359.8,348.2,349.85,340742.0,55.37
2024-08-19,353.85,356.0,341.25,344.5,1106650.0,72.17
2024-08-20,348.6,363.3,344.45,355.75,3433783.0,85.27
2024-08-21,350.0,383.4,348.15,358.25,7246000.0,66.7
2024-08-22,360.0,367.0,357.6,359.4,741999.0,46.78
2024-08-23,366.95,377.25,363.0,365.15,2479620.0,44.92
2024-08-26,369.0,370.55,360.05,369.4,1952125.0,68.11
2024-08-27,370.0,378.95,360.75,367.3,3781628.0,71.01
2024-08-28,365.0,375.0,364.4,373.9,813788.0,45.07
2024-08-29,376.6,379.4,366.0,370.15,714303.0,46.83
2024-08-30,373.7,390.9,369.6,383.7,6925614.0,55.26
2024-09-02,387.0,398.75,373.2,392.65,1769772.0,57.2
2024-09-03,391.4,398.0,389.35,393.6,1575747.0,50.34
2024-09-04,387.7,407.4,381.25,383.9,2926126.0,58.65
2024-09-05,386.5,395.0,377.15,392.15,1118500.0,46.94
2024-09-06,393.05,404.75,387.0,389.05,1063605.0,38.91
2024-09-09,388.9,390.3,380.65,386.8,414958.0,33.28
2024-09-10,386.95,390.3,378.0,379.3,579935.0,57.13
2024-09-11,379.3,380.9,370.45,373.55,649585.0,75.69
2024-09-12,377.0,377.0,369.6,372.5,504346.0,72.93
2024-09-13,375.0,380.0,372.45,374.0,1151356.0,87.22
2024-09-16,374.0,374.0,362.6,371.25,442569.0,58.58
2024-09-17,371.0,372.5,363.5,371.25,355507.0,66.92
2024-09-18,370.0,376.0,356.0,357.7,1619745.0,62.71
2024-09-19,359.75,360.5,339.1,345.8,629920.0,47.64
2024-09-20,346.0,361.6,345.1,358.7,734715.0,54.89
2024-09-23,361.0,382.9,357.4,379.2,3208681.0,81.73
2024-09-24,380.0,380.05,363.65,370.25,432499.0,47.45
2024-09-25,370.45,371.65,359.05,361.8,348523.0,50.72
2024-09-26,361.8,361.85,350.45,355.4,635418.0,75.7
2024-09-27,354.0,387.9,349.35,378.3,1533000.0,67.63
2024-09-30,371.25,380.3,362.55,376.7,931783.0,49.35
2024-10-01,373.6,383.2,367.7,379.3,461644.0,36.07
2024-10-02,373.6,383.2,367.7,379.3,461644.0,36.07
2024-10-03,368.35,404.0,368.0,398.4,3019034.0,20.29
2024-10-04,396.95,396.95,373.05,377.65,1081270.0,21.57
2024-10-07,377.0,383.9,372.2,381.45,963076.0,40.4
2024-10-08,376.8,380.0,374.05,376.9,414485.0,60.94
2024-10-09,377.0,395.85,377.0,382.9,507510.0,29.54
2024-10-10,382.85,382.85,372.55,374.9,173156.0,49.47
2024-10-11,370.2,378.5,366.6,370.15,283586.0,60.74
2024-10-14,373.85,376.7,371.05,372.85,145748.0,59.29
2024-10-15,372.85,376.0,365.0,367.7,160499.0,56.11
2024-10-16,368.0,373.95,365.0,368.2,450398.0,78.41
2024-10-17,367.0,374.0,358.75,360.6,186887.0,48.44
2024-10-18,361.0,370.95,347.35,365.4,1632169.0,44.23
2024-10-21,366.15,369.6,355.05,358.1,540049.0,71.34
2024-10-22,361.0,361.0,343.5,347.3,1493599.0,75.52
2024-10-23,342.0,350.0,338.95,347.55,362581.0,52.92
2024-10-24,346.5,346.5,336.75,340.3,173374.0,34.86
2024-10-25,351.0,351.0,316.8,319.75,2865660.0,67.73
2024-10-28,320.7,335.25,320.7,325.8,1096612.0,60.96
2024-10-29,322.35,338.4,322.35,327.9,1053686.0,42.75
2024-10-30,329.0,347.55,329.0,345.0,764926.0,50.76
2024-10-31,344.0,344.0,327.0,330.2,525948.0,38.96
2024-11-01,338.4,344.0,335.2,337.05,59395.0,40.79
2024-11-04,334.7,343.25,332.5,339.85,678866.0,58.48
2024-11-05,341.45,343.1,334.05,338.05,177278.0,49.85
2024-11-06,337.65,341.95,335.2,337.8,283904.0,61.75
2024-11-07,351.0,351.0,336.2,341.9,625863.0,39.6
2024-11-08,347.0,347.0,332.1,335.15,241503.0,41.47
2024-11-11,337.0,345.5,332.45,333.85,490558.0,42.66
2024-11-12,337.3,345.0,320.0,331.35,468684.0,40.01
2024-11-13,332.35,334.7,314.1,316.45,411563.0,52.86
2024-11-14,318.1,334.4,318.1,330.65,555788.0,41.94
2024-11-18,333.0,334.65,312.8,316.2,888731.0,42.91
2024-11-19,320.95,322.7,313.5,315.85,525549.0,57.61
2024-11-20,320.95,322.7,313.5,315.85,525549.0,57.61
2024-11-21,319.7,329.0,310.35,325.9,1399558.0,26.03
2024-11-22,325.0,325.15,314.4,318.6,828626.0,64.2
2024-11-25,322.0,366.0,320.0,351.55,6867957.0,37.43
2024-11-26,344.5,345.45,336.65,340.8,1065693.0,30.42
2024-11-27,344.3,345.6,331.55,334.5,539180.0,33.62
2024-11-28,337.7,343.7,330.8,336.55,1048955.0,58.73
2024-11-29,333.75,344.55,333.55,342.8,526557.0,51.93
2024-12-02,339.35,345.0,336.4,343.65,414900.0,47.83
2024-12-03,345.7,350.0,341.15,348.3,411761.0,53.54
2024-12-04,353.0,353.7,341.0,344.25,517791.0,41.68
