,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,1546.95,1558.55,1525.1,1529.6,158392.0,
2016-08-23,1523.7,1528.95,1490.6,1499.1,207492.0,
2016-08-24,1499.1,1540.6,1499.1,1535.65,223737.0,
2016-08-25,1537.3,1548.0,1518.5,1529.6,180955.0,
2016-08-26,1529.6,1543.9,1505.6,1518.2,174770.0,
2016-08-29,1520.0,1540.0,1509.05,1536.25,127580.0,
2016-08-30,1539.2,1575.35,1539.0,1562.65,196471.0,
2016-08-31,1562.0,1580.0,1510.0,1516.7,384154.0,
2016-09-01,1530.0,1564.4,1520.05,1556.15,115721.0,
2016-09-02,1556.0,1582.25,1540.0,1568.2,168568.0,
2016-09-06,1575.0,1629.9,1570.0,1623.05,288959.0,
2016-09-07,1625.15,1685.0,1625.15,1669.9,649887.0,
2016-09-08,1670.0,1685.3,1669.1,1680.7,622971.0,
2016-09-09,1690.0,1690.0,1641.0,1654.65,274608.0,
2016-09-12,1645.0,1645.0,1604.1,1611.6,85390.0,
2016-09-14,1611.6,1665.0,1611.6,1651.9,235901.0,
2016-09-15,1651.0,1682.5,1650.95,1672.95,211933.0,
2016-09-16,1666.0,1715.0,1666.0,1687.25,284058.0,
2016-09-19,1688.0,1698.75,1644.8,1658.35,134654.0,
2016-09-20,1679.0,1679.0,1621.6,1634.75,282491.0,
2016-09-21,1642.35,1647.9,1600.05,1606.7,430400.0,
2016-09-22,1621.0,1648.1,1581.45,1588.75,235373.0,
2016-09-23,1576.85,1598.9,1561.0,1581.15,313500.0,
2016-09-26,1585.0,1612.0,1570.75,1604.65,200571.0,
2016-09-27,1610.0,1629.0,1600.05,1613.1,144902.0,
2016-09-28,1620.0,1632.0,1592.65,1601.55,220186.0,
2016-09-29,1605.5,1616.65,1562.4,1577.05,210323.0,
2016-09-30,1585.0,1594.0,1550.0,1586.65,160443.0,
2016-10-03,1595.0,1644.0,1587.3,1638.9,237871.0,
2016-10-04,1644.95,1655.2,1612.25,1643.9,193844.0,
2016-10-05,1640.95,1645.0,1615.0,1621.75,129164.0,
2016-10-06,1643.0,1647.0,1618.6,1636.65,164721.0,
2016-10-07,1636.45,1668.0,1624.5,1634.05,131140.0,
2016-10-10,1635.0,1649.1,1609.0,1615.3,92168.0,
2016-10-13,1603.2,1603.2,1556.0,1564.8,423648.0,
2016-10-14,1559.1,1589.0,1552.1,1573.1,173888.0,
2016-10-17,1590.0,1590.0,1555.3,1564.5,113085.0,
2016-10-18,1564.0,1597.3,1561.0,1590.4,143477.0,
2016-10-19,1590.4,1613.4,1574.05,1578.05,154331.0,
2016-10-20,1579.0,1602.35,1575.05,1582.85,71915.0,
2016-10-21,1594.0,1629.9,1565.0,1624.2,152717.0,
2016-10-24,1624.0,1633.0,1591.2,1595.9,102229.0,
2016-10-25,1605.35,1629.0,1596.05,1622.5,83803.0,
2016-10-26,1621.8,1621.8,1572.0,1579.3,190093.0,
2016-10-27,1579.0,1590.0,1571.2,1580.05,190943.0,
2016-10-28,1602.0,1613.25,1577.5,1609.1,164765.0,
2016-11-01,1611.65,1611.65,1567.6,1573.7,304943.0,
2016-11-02,1557.0,1570.95,1546.0,1563.05,185204.0,
2016-11-03,1551.0,1569.6,1531.2,1535.3,344367.0,
2016-11-04,1550.0,1559.85,1501.0,1526.25,211127.0,
2016-11-07,1528.55,1544.95,1501.0,1520.75,411348.0,
2016-11-08,1530.0,1538.4,1523.05,1531.45,165853.0,
2016-11-09,1450.0,1510.0,1430.0,1481.9,285895.0,
2016-11-10,1526.5,1527.0,1489.4,1506.75,270593.0,
2016-11-11,1495.0,1500.2,1431.4,1449.1,376890.0,
