,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,418.0,422.95,416.9,420.6,464287.0,
2016-08-23,420.0,422.25,417.7,420.0,830645.0,
2016-08-24,420.0,421.5,411.2,420.35,497101.0,
2016-08-25,420.8,431.9,419.55,424.35,1032862.0,
2016-08-26,423.5,427.0,420.8,423.65,97924.0,
2016-08-29,424.0,429.5,414.85,426.55,321784.0,
2016-08-30,430.7,431.9,422.8,426.35,329436.0,
2016-08-31,429.2,429.4,419.25,420.95,202935.0,
2016-09-01,421.95,422.85,414.3,418.4,186020.0,
2016-09-02,418.4,427.2,416.65,423.5,199829.0,
2016-09-06,424.3,429.3,421.95,428.2,141765.0,
2016-09-07,430.0,438.9,422.35,436.0,473710.0,
2016-09-08,439.0,441.15,433.35,435.35,275394.0,
2016-09-09,435.8,435.8,424.65,428.0,180477.0,
2016-09-12,422.0,424.55,412.5,416.15,272222.0,
2016-09-14,416.0,422.6,416.0,418.7,646877.0,
2016-09-15,418.65,422.5,413.4,416.1,304315.0,
2016-09-16,419.0,427.2,414.1,419.45,315575.0,
2016-09-19,419.4,422.45,415.3,420.1,285173.0,
2016-09-20,421.0,427.25,417.95,421.2,272905.0,
2016-09-21,421.2,422.8,416.75,419.2,239512.0,
2016-09-22,421.45,429.0,421.25,428.3,224996.0,
2016-09-23,431.0,435.95,425.2,434.1,526064.0,
2016-09-26,436.1,439.8,430.55,432.45,357486.0,
2016-09-27,432.5,435.0,418.0,420.15,435939.0,
2016-09-28,420.3,427.0,418.95,425.0,267373.0,
2016-09-29,426.0,429.1,411.3,413.35,585099.0,
2016-09-30,411.05,433.9,410.0,429.95,664179.0,
2016-10-03,430.45,446.9,427.0,445.0,695440.0,
2016-10-04,445.95,450.7,440.25,444.8,886320.0,
2016-10-05,444.2,449.9,437.2,444.95,395351.0,
2016-10-06,444.95,458.3,442.95,447.15,517101.0,
2016-10-07,448.55,454.15,444.65,447.55,201265.0,
2016-10-10,448.1,455.0,446.05,448.45,312707.0,
2016-10-13,447.0,450.0,437.0,447.2,223095.0,
2016-10-14,448.2,461.4,445.2,452.55,536458.0,
