,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,133.0,133.2,128.05,129.1,1132334.0,
2016-08-23,128.0,128.0,125.25,126.6,1141342.0,
2016-08-24,126.7,131.4,126.5,130.5,1885368.0,
2016-08-25,131.35,131.9,127.85,128.8,2139187.0,
2016-08-26,129.4,129.8,127.0,127.65,903792.0,
2016-08-29,127.7,129.0,125.6,126.55,1106269.0,
2016-08-30,126.3,128.35,124.3,127.1,1757647.0,
2016-08-31,127.9,129.95,125.9,129.0,1587467.0,
2016-09-01,129.55,129.85,126.0,126.8,1052516.0,
2016-09-02,127.8,127.8,125.4,125.95,993459.0,
2016-09-06,126.1,127.35,124.5,124.85,1225121.0,
2016-09-07,125.45,125.65,121.1,122.9,2009517.0,
2016-09-08,123.45,127.5,122.4,126.9,1531571.0,
2016-09-09,127.3,128.1,124.3,125.35,2419212.0,
2016-09-12,122.8,123.15,116.5,117.2,2514375.0,
2016-09-14,117.0,118.4,114.2,115.95,2158264.0,
2016-09-15,116.1,119.2,116.1,117.45,1543606.0,
2016-09-16,118.55,120.2,117.0,118.15,1425964.0,
2016-09-19,118.1,120.3,117.15,119.8,1099041.0,
2016-09-20,119.6,123.3,119.15,121.4,1499247.0,
2016-09-21,124.2,124.2,120.5,121.15,1072836.0,
2016-09-22,122.35,122.8,121.2,122.15,586802.0,
2016-09-23,122.45,122.45,121.0,121.35,490834.0,
2016-09-26,121.0,122.7,120.2,121.25,805428.0,
2016-09-27,121.7,123.6,121.15,122.6,940882.0,
2016-09-28,122.15,124.6,122.15,122.8,1432593.0,
2016-09-29,123.2,123.8,111.0,113.25,2666472.0,
2016-09-30,112.6,117.8,110.0,116.3,1989129.0,
2016-10-03,117.4,120.45,117.05,119.9,1245621.0,
2016-10-04,119.5,120.65,119.0,119.7,712264.0,
2016-10-05,121.45,123.05,121.05,122.05,1126332.0,
2016-10-06,122.6,123.0,119.5,120.35,822164.0,
2016-10-07,121.15,121.75,118.55,119.1,531974.0,
2016-10-10,119.5,122.2,118.25,120.3,1045794.0,
2016-10-13,122.0,122.05,117.5,119.25,1192305.0,
2016-10-14,120.35,121.05,119.25,120.0,623589.0,
2016-10-17,123.85,125.6,120.1,121.2,3168284.0,
2016-10-18,122.0,123.1,121.9,122.4,594404.0,
2016-10-19,123.3,124.8,122.6,123.1,1150941.0,
2016-10-20,123.9,124.9,121.8,122.5,1344788.0,
2016-10-21,122.6,124.0,122.5,122.95,797693.0,
2016-10-24,123.8,126.3,123.25,125.1,1196849.0,
2016-10-25,125.95,127.8,123.85,125.0,3550697.0,
2016-10-26,126.0,126.0,121.75,122.15,954242.0,
2016-10-27,121.2,122.85,119.35,121.45,1253792.0,
2016-10-28,121.6,122.75,120.7,121.65,562584.0,
2016-11-01,122.4,124.2,121.7,122.05,707425.0,
2016-11-02,120.7,121.3,115.4,117.1,844952.0,
2016-11-03,116.55,118.75,114.4,115.5,975835.0,
2016-11-04,115.7,116.55,110.6,111.9,1483504.0,
2016-11-07,114.0,116.2,114.0,114.7,725442.0,
2016-11-08,115.5,115.75,112.0,114.1,750133.0,
2016-11-09,103.0,109.9,91.45,108.25,5906142.0,
2016-11-10,112.5,116.9,111.05,113.55,1280364.0,
2016-11-11,113.0,113.9,108.05,108.65,1093340.0,
2016-11-15,109.5,110.65,104.55,105.1,1483381.0,
2016-11-16,107.8,108.25,101.1,101.7,1138990.0,
2016-11-17,102.4,104.3,101.1,102.5,862975.0,
2016-11-18,103.2,104.5,101.75,103.2,602928.0,
2016-11-21,104.0,104.1,98.4,99.1,948827.0,
2016-11-22,100.5,103.7,98.65,103.05,1148643.0,
2016-11-23,104.1,107.2,103.15,106.4,1163927.0,
2016-11-24,106.0,106.4,102.6,104.35,1425912.0,
2016-11-25,105.0,109.4,104.5,108.55,1001847.0,
2016-11-28,108.95,110.2,106.7,108.3,693715.0,
2016-11-29,108.9,109.6,107.6,108.45,490438.0,
2016-11-30,109.6,110.0,108.1,109.6,501389.0,
2016-12-01,110.4,113.8,109.0,111.4,1284948.0,
2016-12-02,111.4,112.45,108.65,111.5,1871206.0,
2016-12-05,113.0,114.2,111.25,112.0,1254717.0,
2016-12-06,113.0,113.4,111.7,112.1,446362.0,
2016-12-07,112.5,113.1,110.6,111.1,447820.0,
2016-12-08,111.4,112.9,111.4,112.3,477480.0,
2016-12-09,113.2,113.2,111.5,112.45,404794.0,
2016-12-12,112.6,115.7,110.55,111.15,946108.0,
2016-12-13,111.9,112.15,110.55,111.2,364676.0,
2016-12-14,111.2,112.3,109.85,111.4,563718.0,
2016-12-15,110.0,117.7,109.5,116.4,2253495.0,
2016-12-16,117.0,118.0,115.3,116.1,1114377.0,
2016-12-19,115.9,116.5,114.05,115.6,696018.0,
2016-12-20,112.0,113.75,110.25,110.65,1245578.0,
2016-12-21,111.5,113.95,108.4,112.35,1026632.0,
2016-12-22,110.6,112.4,108.75,109.2,770864.0,
2016-12-23,109.2,111.05,108.25,108.55,444728.0,
2016-12-26,108.45,108.65,101.15,102.1,1200587.0,
2016-12-27,101.55,106.3,101.55,105.05,1014901.0,
2016-12-28,105.75,107.3,104.55,105.15,675800.0,
2016-12-29,105.0,108.0,104.6,107.25,795089.0,
2016-12-30,107.65,109.2,107.05,108.05,695378.0,
