,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,74.95,75.9,73.4,74.05,24556.0,
2016-08-23,74.95,74.95,73.5,73.8,10688.0,
2016-08-24,74.4,76.3,73.6,75.05,16479.0,
2016-08-25,75.05,76.45,74.45,74.95,15208.0,
2016-08-26,75.8,75.8,74.0,74.35,10090.0,
2016-08-29,75.0,75.2,73.5,74.65,6684.0,
2016-08-30,74.65,75.65,74.25,74.8,11223.0,
2016-08-31,75.45,75.9,74.55,74.85,9415.0,
2016-09-01,74.5,74.9,73.15,73.85,18499.0,
2016-09-02,73.4,75.0,73.3,74.5,9935.0,
2016-09-06,74.0,75.55,73.55,74.35,11278.0,
2016-09-07,75.25,75.55,74.55,74.9,14676.0,
2016-09-08,74.9,75.9,74.6,74.9,10193.0,
2016-09-09,74.35,75.85,73.4,73.7,25977.0,
2016-09-12,74.0,74.7,73.0,73.75,10729.0,
2016-09-14,73.3,74.45,73.0,73.35,14391.0,
2016-09-15,73.05,74.5,73.05,74.0,2848.0,
2016-09-16,74.4,79.3,73.75,74.45,75762.0,
2016-09-19,74.4,75.5,74.3,74.65,12566.0,
2016-09-20,75.0,78.6,75.0,76.9,99413.0,
2016-09-21,79.0,81.5,78.0,78.6,82863.0,
2016-09-22,79.0,79.9,77.15,77.55,37087.0,
2016-09-23,78.0,78.2,76.2,76.45,19071.0,
2016-09-26,77.95,77.95,75.5,76.05,13681.0,
2016-09-27,76.0,76.9,75.1,75.4,14694.0,
2016-09-28,76.8,77.75,75.9,76.05,20495.0,
2016-09-29,76.8,76.8,70.0,72.35,41560.0,
2016-09-30,71.2,74.4,71.2,73.3,12400.0,
2016-10-03,74.0,75.8,73.65,75.3,13733.0,
2016-10-04,75.85,76.35,74.6,75.0,9439.0,
2016-10-05,75.85,79.5,75.1,76.85,43985.0,
2016-10-06,77.1,79.0,76.0,77.0,58478.0,
2016-10-07,77.9,77.9,76.6,76.75,16701.0,
2016-10-10,77.15,78.2,76.75,77.05,13883.0,
2016-10-13,77.5,80.0,74.2,77.15,44281.0,
2016-10-14,76.9,77.05,75.35,75.85,12924.0,
2016-10-17,77.15,77.65,75.0,75.7,8979.0,
2016-10-18,76.0,78.4,75.75,76.45,35079.0,
2016-10-19,77.0,77.75,76.15,76.65,24063.0,
2016-10-20,79.0,80.4,77.0,78.8,110086.0,
2016-10-21,79.0,79.95,78.5,79.05,32573.0,
2016-10-24,79.5,82.0,79.0,79.6,112853.0,
2016-10-25,79.55,80.35,78.2,78.55,38050.0,
2016-10-26,78.55,79.0,77.5,78.05,24979.0,
2016-10-27,78.1,79.65,78.1,78.8,25405.0,
2016-10-28,78.8,79.35,78.1,78.25,22637.0,
2016-11-01,80.0,84.45,79.2,83.2,222165.0,
