,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,28.8,29.35,28.0,28.15,102157.0,
2016-08-23,28.2,29.9,28.2,28.9,92414.0,
2016-08-24,29.4,32.1,28.9,30.75,513307.0,
2016-08-25,31.05,31.85,30.1,30.5,172982.0,
2016-08-26,30.8,31.2,29.6,29.9,79903.0,
2016-08-29,29.35,31.35,29.35,30.2,120340.0,
2016-08-30,30.5,32.25,29.95,31.3,233176.0,
2016-08-31,31.4,31.6,30.2,30.3,87947.0,
2016-09-01,30.3,30.65,29.75,29.9,112458.0,
2016-09-02,30.05,30.85,29.15,29.5,68234.0,
2016-09-06,29.6,30.8,29.6,29.95,86824.0,
2016-09-07,30.0,30.5,29.5,29.85,94060.0,
2016-09-08,30.15,30.3,29.6,30.15,68935.0,
2016-09-09,30.2,30.3,29.8,29.9,36513.0,
2016-09-12,29.05,29.6,28.8,29.0,34099.0,
2016-09-14,28.5,32.25,28.5,30.55,152686.0,
2016-09-15,30.5,32.0,30.5,30.65,105992.0,
2016-09-16,30.8,31.7,29.15,29.6,283714.0,
2016-09-19,29.55,31.65,29.3,31.2,263561.0,
2016-09-20,31.45,31.45,30.3,30.7,59168.0,
2016-09-21,30.4,32.2,30.4,31.05,277660.0,
2016-09-22,31.4,33.4,31.05,33.15,573913.0,
2016-09-23,34.2,37.95,33.5,36.85,2067760.0,
2016-09-26,37.0,37.2,34.15,35.1,591178.0,
2016-09-27,35.25,37.0,34.55,35.25,566006.0,
2016-09-28,35.0,35.7,33.35,33.8,443604.0,
2016-09-29,34.1,35.0,28.2,30.8,444628.0,
2016-09-30,31.45,33.5,30.6,32.8,226231.0,
2016-10-03,33.75,33.9,33.0,33.4,126428.0,
2016-10-04,33.5,33.8,32.15,32.65,74441.0,
2016-10-05,32.75,33.5,32.55,32.8,105322.0,
2016-10-06,32.65,33.5,31.45,31.6,284873.0,
2016-10-07,31.6,32.5,31.2,31.95,191914.0,
2016-10-10,32.15,32.85,31.8,32.2,67579.0,
2016-10-13,32.35,33.25,31.45,32.85,253034.0,
2016-10-14,33.4,33.45,32.35,32.65,55282.0,
2016-10-17,32.7,34.45,32.7,33.35,332837.0,
2016-10-18,33.45,34.2,32.6,33.2,258958.0,
2016-10-19,33.55,33.55,31.55,31.7,285698.0,
2016-10-20,32.25,32.25,28.9,29.6,734444.0,
2016-10-21,29.75,31.6,29.5,31.0,333466.0,
2016-10-24,31.0,34.0,31.0,33.65,544325.0,
2016-10-25,34.0,36.9,33.1,36.7,674917.0,
2016-10-26,36.8,38.4,35.3,36.65,618748.0,
2016-10-27,36.75,38.3,36.0,36.85,390137.0,
2016-10-28,37.05,37.6,36.25,36.45,97895.0,
2016-11-01,37.0,37.1,34.7,35.1,217609.0,
2016-11-02,35.25,36.0,34.0,35.55,306800.0,
2016-11-03,35.5,37.2,34.8,35.3,214977.0,
2016-11-04,34.55,35.85,34.0,34.35,237328.0,
2016-11-07,34.7,36.5,34.2,35.3,134440.0,
2016-11-08,35.6,36.6,35.6,36.3,173114.0,
2016-11-09,32.25,36.3,29.5,35.4,315708.0,
2016-11-10,35.3,39.0,35.3,38.5,732095.0,
2016-11-11,38.4,40.6,37.0,38.3,531584.0,
2016-11-15,38.3,40.45,37.1,37.75,327688.0,
2016-11-16,39.75,39.75,37.25,37.75,115997.0,
2016-11-17,37.1,38.0,35.3,36.25,97677.0,
2016-11-18,35.95,36.25,35.0,35.2,70365.0,
2016-11-21,35.65,35.65,33.4,33.65,94904.0,
2016-11-22,34.5,34.5,31.6,33.15,55676.0,
2016-11-23,33.45,33.9,32.8,33.0,58327.0,
2016-11-24,33.7,34.5,32.5,32.75,127784.0,
2016-11-25,33.1,34.7,33.05,34.1,152013.0,
2016-11-28,34.95,40.9,34.15,40.9,815639.0,
2016-11-29,42.75,47.85,41.35,43.4,1858996.0,
2016-11-30,43.8,46.25,41.25,42.0,1476867.0,
2016-12-01,42.3,44.5,42.0,42.2,521501.0,
2016-12-02,42.55,43.8,40.85,42.65,549514.0,
2016-12-05,42.7,43.8,41.05,42.4,278524.0,
2016-12-06,42.5,44.6,42.1,42.65,694830.0,
2016-12-07,43.0,43.45,41.3,41.65,247949.0,
2016-12-08,42.45,42.85,41.55,42.15,212319.0,
2016-12-09,42.4,42.8,41.5,41.95,177310.0,
2016-12-12,42.0,43.1,41.5,41.75,187355.0,
2016-12-13,42.0,42.85,41.05,41.55,189103.0,
2016-12-14,41.7,42.5,41.0,41.6,242479.0,
2016-12-15,41.2,41.7,40.6,40.85,101344.0,
