,Open,High,Low,Close,Volume,DeliveryPct
2016-08-19,16.35,16.45,16.15,16.25,2288208.0,
2016-08-22,16.3,17.25,16.2,16.9,4320699.0,
2016-08-23,16.25,16.65,16.05,16.35,3349842.0,
2016-08-24,16.45,16.5,16.2,16.25,2119701.0,
2016-08-25,16.45,16.65,16.2,16.3,2440292.0,
2016-08-26,16.35,16.45,15.85,16.05,3417779.0,
2016-08-29,16.15,16.25,15.95,15.95,1839262.0,
2016-08-30,16.1,16.55,16.0,16.3,7842306.0,
2016-08-31,16.3,17.3,16.3,17.1,6584051.0,
2016-09-01,17.2,17.55,16.4,16.6,7095972.0,
2016-09-02,16.85,16.9,16.4,16.5,2050853.0,
2016-09-06,16.4,16.8,16.2,16.25,2090536.0,
2016-09-07,16.3,16.45,16.2,16.35,1269583.0,
2016-09-08,16.45,16.8,16.35,16.55,2973608.0,
2016-09-09,16.65,17.25,16.4,16.85,6010389.0,
2016-09-12,16.45,17.15,16.4,16.5,3599587.0,
2016-09-14,16.3,17.1,16.3,16.65,3473874.0,
2016-09-15,16.7,16.85,16.4,16.45,1397243.0,
2016-09-16,16.6,16.75,16.35,16.45,3390037.0,
2016-09-19,16.4,16.55,16.25,16.3,1152958.0,
2016-09-20,16.3,16.45,16.1,16.25,1954569.0,
2016-09-21,16.4,17.4,16.25,16.65,8867491.0,
2016-09-22,16.9,17.0,16.4,16.5,1721681.0,
2016-09-23,16.5,16.75,16.35,16.45,1713902.0,
2016-09-26,16.45,16.6,16.1,16.2,2312477.0,
2016-09-27,16.5,16.5,15.95,16.0,1917364.0,
2016-09-28,16.1,16.35,15.8,15.9,3060974.0,
2016-09-29,16.15,16.15,14.75,15.0,4450827.0,
2016-09-30,15.0,15.4,14.6,14.85,5253788.0,
2016-10-03,14.9,15.4,14.9,15.15,2027327.0,
2016-10-04,15.2,15.35,15.05,15.1,1491588.0,
2016-10-05,15.15,15.35,14.95,15.15,2174571.0,
2016-10-06,15.25,15.35,15.0,15.05,2291119.0,
2016-10-07,15.1,15.15,14.65,14.7,3122429.0,
2016-10-10,14.85,14.95,14.65,14.75,1266519.0,
2016-10-13,14.8,15.75,14.7,15.3,4347260.0,
2016-10-14,15.45,15.45,15.0,15.1,1548333.0,
2016-10-17,15.2,15.4,14.9,15.0,2128053.0,
2016-10-18,15.2,16.1,15.0,15.8,4927855.0,
2016-10-19,15.95,16.5,15.55,16.1,6718893.0,
2016-10-20,16.25,16.4,15.8,15.9,2944423.0,
2016-10-21,15.95,15.95,15.0,15.25,4482550.0,
2016-10-24,15.4,15.95,15.25,15.7,3325675.0,
2016-10-25,15.7,15.9,15.35,15.4,1626173.0,
2016-10-26,15.4,15.65,15.1,15.2,1573207.0,
2016-10-27,15.2,15.45,15.0,15.05,1585553.0,
2016-10-28,15.1,15.3,14.95,15.15,1578223.0,
2016-11-01,15.2,15.6,15.2,15.3,1559243.0,
2016-11-02,15.15,15.2,14.85,14.9,1736845.0,
2016-11-03,15.0,15.1,14.5,14.55,1504478.0,
2016-11-04,14.55,14.8,14.15,14.35,2121408.0,
2016-11-07,14.5,14.65,14.35,14.45,1198174.0,
2016-11-08,14.6,14.65,14.2,14.25,1056198.0,
2016-11-09,13.35,13.75,11.55,13.6,5405457.0,
2016-11-10,13.9,14.2,13.65,13.75,1977017.0,
2016-11-11,13.6,13.8,13.1,13.25,1478246.0,
2016-11-15,13.05,13.3,12.25,12.65,6101489.0,
2016-11-16,12.8,12.85,12.1,12.25,1335908.0,
2016-11-17,12.35,12.45,12.05,12.1,1219595.0,
2016-11-18,12.1,12.4,12.1,12.3,1098741.0,
2016-11-21,12.45,12.45,11.8,11.85,1512978.0,
2016-11-22,12.05,12.05,11.0,11.15,3802550.0,
2016-11-23,11.35,12.6,11.2,12.3,3684970.0,
2016-11-24,12.45,13.1,12.15,12.75,2030416.0,
2016-11-25,13.5,13.8,12.9,13.05,3335842.0,
2016-11-28,13.0,13.3,12.85,13.0,1453470.0,
2016-11-29,12.75,13.0,12.55,12.6,2162341.0,
2016-11-30,12.6,12.8,12.6,12.65,1167893.0,
2016-12-01,12.7,12.8,12.45,12.5,1195241.0,
2016-12-02,12.5,12.75,12.2,12.3,4164793.0,
2016-12-05,12.3,12.5,12.2,12.25,1252299.0,
2016-12-06,12.35,12.45,12.2,12.25,2056030.0,
2016-12-07,12.3,12.35,12.15,12.15,1201875.0,
2016-12-08,12.3,12.35,12.2,12.25,1271624.0,
2016-12-09,12.3,13.0,12.2,12.65,4226403.0,
2016-12-12,12.75,12.8,12.4,12.4,1832669.0,
2016-12-13,12.45,12.65,12.3,12.35,1263065.0,
2016-12-14,12.4,13.55,12.3,13.15,6890955.0,
2016-12-15,13.0,13.45,12.9,13.05,2536188.0,
2016-12-16,13.25,13.3,12.85,12.95,1564578.0,
2016-12-19,13.1,13.4,12.95,13.1,1175836.0,
2016-12-20,13.2,13.25,12.6,12.7,2544925.0,
2016-12-21,12.85,12.95,12.6,12.65,1004903.0,
2016-12-22,12.8,12.8,12.25,12.3,1201501.0,
2016-12-23,12.4,12.55,12.2,12.25,1077507.0,
2016-12-26,12.3,12.3,11.9,12.0,1119373.0,
2016-12-27,12.05,12.2,12.0,12.1,916036.0,
2016-12-28,12.2,12.45,12.1,12.15,1081383.0,
2016-12-29,12.2,12.25,12.1,12.15,733469.0,
2016-12-30,12.25,12.85,12.2,12.55,1708031.0,
2017-01-02,12.65,13.0,12.45,12.9,1301815.0,
2017-01-03,13.0,13.5,12.85,12.9,2551183.0,
2017-01-04,13.0,13.2,12.8,13.05,1381682.0,
2017-01-05,13.15,13.4,13.1,13.25,1494168.0,
2017-01-06,13.3,13.5,13.15,13.2,1691457.0,
2017-01-09,13.2,13.35,13.2,13.25,581359.0,
