,Open,High,Low,Close,Volume,DeliveryPct
2016-08-19,1225.0,1244.9,1215.5,1239.7,1140514.0,
2016-08-22,1247.0,1251.4,1205.05,1215.15,1576905.0,
2016-08-23,1210.0,1210.0,1141.0,1150.7,5456866.0,
2016-08-24,1162.3,1175.75,1143.6,1171.3,2597249.0,
2016-08-25,1180.0,1181.0,1162.0,1169.95,2743339.0,
2016-08-26,1172.15,1186.15,1169.9,1180.35,1141703.0,
2016-08-29,1180.35,1187.75,1175.0,1183.25,792692.0,
2016-08-30,1188.0,1195.8,1185.05,1189.25,902659.0,
2016-08-31,1194.55,1229.2,1188.65,1218.7,1563288.0,
2016-09-01,1233.95,1235.75,1204.2,1210.4,1115956.0,
2016-09-02,1217.9,1235.0,1204.8,1231.65,1312575.0,
2016-09-06,1240.0,1257.95,1230.05,1253.4,1642929.0,
2016-09-07,1258.0,1267.95,1241.1,1249.9,1502161.0,
2016-09-08,1254.85,1261.5,1245.1,1252.1,2038519.0,
2016-09-09,1250.0,1270.85,1245.6,1250.7,2329639.0,
2016-09-12,1235.9,1240.45,1187.3,1199.75,3136957.0,
2016-09-14,403.95,408.35,395.75,399.2,5969489.0,
2016-09-15,400.9,403.0,389.5,396.85,3463459.0,
2016-09-16,401.4,404.95,392.55,400.35,6746348.0,
2016-09-19,401.5,404.9,399.0,403.45,2249226.0,
2016-09-20,404.0,406.0,399.6,401.95,1949897.0,
2016-09-21,403.9,409.75,400.05,403.8,3480935.0,
2016-09-22,406.9,413.5,405.95,412.4,3285225.0,
2016-09-23,413.3,423.0,412.25,418.4,3516695.0,
2016-09-26,419.0,430.0,413.5,428.95,4232650.0,
2016-09-27,433.0,434.8,422.2,425.1,3540888.0,
2016-09-28,428.05,432.35,423.8,427.4,2527957.0,
2016-09-29,427.05,431.45,409.6,414.7,4731709.0,
2016-09-30,415.0,427.7,410.0,423.95,2359784.0,
2016-10-03,425.8,434.5,425.8,432.5,2126841.0,
2016-10-04,435.0,438.75,430.65,434.3,2374826.0,
2016-10-05,431.55,437.35,425.15,435.1,2663007.0,
2016-10-06,437.5,460.0,436.1,451.55,5474157.0,
2016-10-07,457.8,462.9,440.2,443.65,4212544.0,
2016-10-10,447.9,449.95,435.35,438.15,2277216.0,
2016-10-13,438.15,448.5,421.5,430.55,3713188.0,
2016-10-14,434.0,441.55,428.55,438.25,2821044.0,
2016-10-17,443.0,445.45,432.4,436.95,2849770.0,
2016-10-18,441.9,441.9,432.75,439.4,2221719.0,
2016-10-19,442.4,447.45,434.2,445.4,3242874.0,
2016-10-20,448.95,448.95,440.1,443.65,2425466.0,
2016-10-21,443.9,451.35,442.85,449.6,2235289.0,
2016-10-24,452.5,458.45,447.55,457.2,2339165.0,
2016-10-25,457.0,464.0,451.55,463.0,2516682.0,
2016-10-26,461.8,463.55,455.55,459.15,1975036.0,
2016-10-27,458.3,461.55,447.2,453.2,2520907.0,
2016-10-28,454.0,471.45,452.0,466.4,2068453.0,
2016-11-01,470.0,470.7,461.5,464.85,2447638.0,
2016-11-02,459.0,460.5,450.8,453.0,1415560.0,
2016-11-03,457.35,459.4,435.35,437.25,2397153.0,
2016-11-04,438.0,442.4,421.65,435.15,2570274.0,
2016-11-07,443.0,453.95,443.0,444.95,2244548.0,
2016-11-08,447.0,452.25,445.0,451.0,1920896.0,
2016-11-09,416.0,451.0,411.0,450.05,5142661.0,
2016-11-10,455.0,466.95,451.0,462.6,3822449.0,
2016-11-11,450.5,457.5,439.6,448.8,4924918.0,
2016-11-15,448.8,457.8,403.95,444.25,14224298.0,
2016-11-16,448.0,458.4,442.35,443.95,5275350.0,
2016-11-17,447.25,453.95,440.55,443.55,4450457.0,
2016-11-18,445.8,463.35,444.05,460.2,5815182.0,
2016-11-21,462.25,465.55,436.55,441.95,4374895.0,
2016-11-22,446.0,454.65,442.55,451.1,4165814.0,
2016-11-23,451.0,457.0,443.85,454.15,3805351.0,
2016-11-24,450.65,456.7,440.5,452.15,6836382.0,
2016-11-25,454.0,465.0,452.55,462.05,2673436.0,
2016-11-28,463.5,483.4,462.6,480.8,5936804.0,
2016-11-29,481.1,486.4,470.3,475.35,6309961.0,
2016-11-30,478.0,479.1,465.5,471.2,44957808.0,
2016-12-01,461.1,465.25,442.15,447.0,6820367.0,
2016-12-02,442.0,444.9,431.2,436.15,4863643.0,
2016-12-05,434.2,440.5,427.0,432.05,3099037.0,
2016-12-06,434.95,443.35,433.7,438.3,3111066.0,
2016-12-07,441.6,449.9,440.0,447.85,3735413.0,
2016-12-08,453.85,455.0,447.3,453.25,1778802.0,
2016-12-09,456.6,460.6,442.55,454.3,4005764.0,
2016-12-12,448.2,448.9,431.4,433.55,3711162.0,
2016-12-13,435.6,440.95,432.75,439.65,2070797.0,
2016-12-14,441.2,443.85,433.0,434.0,2161137.0,
2016-12-15,433.95,441.55,418.75,427.0,5533843.0,
2016-12-16,422.1,428.25,417.7,425.9,4267214.0,
2016-12-19,429.5,434.05,422.5,424.5,3891923.0,
2016-12-20,425.0,428.1,419.6,422.45,2375085.0,
2016-12-21,422.8,425.5,416.45,421.95,2365873.0,
2016-12-22,422.8,423.4,415.1,418.05,1484825.0,
2016-12-23,417.6,424.75,416.4,420.55,1788239.0,
2016-12-26,420.0,421.1,410.0,413.3,2125904.0,
2016-12-27,413.6,425.85,412.6,424.45,1978225.0,
2016-12-28,425.0,431.9,418.05,419.55,3288038.0,
2016-12-29,420.0,433.55,419.6,429.5,5027551.0,
2016-12-30,431.55,443.2,427.85,441.3,2911047.0,
2017-01-02,443.95,452.65,441.75,450.0,2857865.0,
2017-01-03,450.0,468.45,450.0,464.3,4036374.0,
2017-01-04,462.5,467.8,451.45,460.95,2943290.0,
2017-01-05,460.75,474.45,460.0,472.95,2485450.0,
2017-01-06,470.0,476.95,463.6,466.7,1822999.0,
2017-01-09,466.0,467.95,456.25,463.0,1695685.0,
2017-01-10,470.1,482.0,470.1,479.25,3376785.0,
2017-01-11,482.0,494.0,477.0,490.7,2563233.0,
2017-01-12,490.1,499.1,485.5,494.15,2431254.0,
2017-01-13,497.0,497.4,481.75,488.9,2154006.0,
2017-01-16,493.2,493.75,486.0,489.55,1854804.0,
2017-01-17,489.55,491.95,478.7,482.35,2278530.0,
2017-01-18,482.65,489.2,479.4,488.0,1491338.0,
2017-01-19,490.65,498.0,490.65,495.05,2172343.0,
2017-01-20,494.5,497.5,489.2,492.75,1733267.0,
2017-01-23,492.1,513.3,490.1,511.9,3004632.0,
2017-01-24,512.0,521.6,511.1,517.95,2749536.0,
2017-01-25,517.8,547.75,513.5,544.45,7962141.0,
2017-01-27,542.55,550.5,532.4,535.1,2513155.0,
2017-01-30,534.8,537.5,525.45,528.1,1606709.0,
2017-01-31,527.9,537.45,515.65,521.35,2799930.0,
2017-02-01,522.9,543.0,520.5,538.85,2434030.0,
2017-02-02,539.9,555.0,539.9,552.05,2597081.0,
2017-02-03,550.9,551.8,539.7,543.85,1988237.0,
2017-02-06,547.0,554.5,545.7,551.2,1768483.0,
2017-02-07,551.35,569.8,549.05,559.15,3455421.0,
2017-02-08,561.4,583.0,560.0,573.15,3208216.0,
2017-02-09,575.9,582.0,572.4,576.9,2261083.0,
2017-02-10,577.9,578.25,562.75,571.65,2776119.0,
2017-02-13,573.9,581.95,569.1,578.3,1891971.0,
2017-02-14,580.0,580.0,540.4,546.15,6198411.0,
2017-02-15,546.0,549.75,519.25,525.15,5945078.0,
2017-02-16,528.0,536.45,521.0,530.2,3388813.0,
2017-02-17,535.0,545.45,527.75,543.0,2630162.0,
2017-02-20,546.15,558.75,542.55,557.2,2303552.0,
2017-02-21,559.0,569.55,557.55,562.4,2614760.0,
2017-02-22,565.0,568.4,550.4,553.8,2708867.0,
2017-02-23,555.0,573.5,554.0,571.0,5320551.0,
2017-02-27,571.0,575.0,556.2,559.7,3169019.0,
2017-02-28,560.75,561.0,530.6,537.75,8487583.0,
2017-03-01,520.7,526.5,509.1,518.55,7078858.0,
2017-03-02,524.0,526.95,504.75,507.55,5937760.0,
