,Open,High,Low,Close,Volume,DeliveryPct
2016-08-19,909.0,915.7,901.25,910.65,1232642.0,
2016-08-22,911.9,933.9,911.9,930.05,1405730.0,
2016-08-23,931.0,931.65,919.05,921.7,923109.0,
2016-08-24,921.0,924.95,908.25,919.4,929753.0,
2016-08-25,921.0,922.0,907.2,910.8,1760911.0,
2016-08-26,914.8,914.8,900.0,904.5,753284.0,
2016-08-29,906.0,908.0,901.0,905.2,488018.0,
2016-08-30,908.0,926.3,907.6,924.8,921470.0,
2016-08-31,925.0,926.5,911.85,917.05,2185015.0,
2016-09-01,917.1,929.5,913.35,925.8,654587.0,
2016-09-02,923.5,926.55,917.55,920.75,968873.0,
2016-09-06,924.25,939.75,922.3,937.85,811241.0,
2016-09-07,937.0,938.9,927.4,933.0,728867.0,
2016-09-08,933.0,953.6,931.5,951.55,1528195.0,
2016-09-09,950.0,954.0,927.4,929.95,888951.0,
2016-09-12,924.85,924.85,912.45,918.45,677577.0,
2016-09-14,917.0,924.5,905.0,908.45,1349809.0,
2016-09-15,910.2,920.85,906.0,914.0,964711.0,
2016-09-16,916.25,928.6,909.4,911.7,1542460.0,
2016-09-19,915.45,922.5,909.1,911.95,793036.0,
2016-09-20,912.15,916.8,900.9,902.9,1133099.0,
2016-09-21,902.0,914.55,900.55,913.05,1102665.0,
2016-09-22,913.0,917.95,903.25,910.15,1250220.0,
2016-09-23,911.0,912.5,901.0,910.55,1498875.0,
2016-09-26,909.0,913.9,886.5,892.6,1153660.0,
2016-09-27,895.0,900.95,889.4,897.3,849724.0,
2016-09-28,900.0,900.85,881.25,887.15,1877866.0,
2016-09-29,891.0,892.8,873.5,878.3,3307074.0,
2016-09-30,877.1,879.85,865.0,867.85,3104818.0,
2016-10-03,878.0,878.0,860.2,868.75,2066037.0,
2016-10-04,872.0,872.0,858.8,860.4,1465854.0,
2016-10-05,865.0,873.7,862.4,870.95,1781339.0,
2016-10-06,874.0,886.85,874.0,884.45,1360160.0,
2016-10-07,889.7,889.7,868.15,877.25,1088191.0,
2016-10-10,879.7,885.55,874.45,876.15,734544.0,
2016-10-13,869.5,874.75,852.5,862.05,2130773.0,
2016-10-14,854.75,855.55,837.0,842.25,2077909.0,
2016-10-17,844.0,851.0,839.0,849.25,1136539.0,
2016-10-18,850.3,857.0,849.0,855.6,1146943.0,
2016-10-19,855.0,855.95,844.05,846.0,1171167.0,
2016-10-20,848.55,849.45,838.6,840.3,818580.0,
2016-10-21,840.0,852.25,837.05,851.2,1247395.0,
2016-10-24,851.8,855.0,844.25,848.35,1639740.0,
2016-10-25,847.1,849.8,829.55,832.35,1925999.0,
2016-10-26,831.1,846.8,826.55,842.85,1928005.0,
2016-10-27,850.0,850.0,818.4,840.3,3193498.0,
2016-10-28,841.0,846.95,833.8,836.5,1396899.0,
2016-11-01,835.0,842.7,831.65,835.25,891827.0,
2016-11-02,835.0,848.45,832.05,841.1,1085441.0,
2016-11-03,838.15,848.5,834.7,839.4,1975240.0,
2016-11-04,849.0,866.4,842.5,848.0,2273336.0,
2016-11-07,850.0,851.75,834.55,837.65,803129.0,
2016-11-08,838.45,846.75,836.1,844.6,797363.0,
2016-11-09,820.0,835.35,799.0,828.3,2122893.0,
2016-11-10,840.0,841.9,813.8,818.55,1017007.0,
2016-11-11,815.0,815.0,798.1,801.75,1758762.0,
2016-11-15,804.0,809.8,783.25,805.45,2007604.0,
2016-11-16,809.0,813.5,798.0,808.75,2677282.0,
2016-11-17,808.75,816.0,803.0,811.65,665671.0,
2016-11-18,813.0,814.8,795.55,802.85,1462211.0,
2016-11-21,802.85,805.8,792.65,797.75,993597.0,
2016-11-22,806.3,822.5,802.8,819.9,1226008.0,
2016-11-23,820.35,834.0,815.1,831.7,1254013.0,
2016-11-24,828.8,834.5,820.55,825.3,1588843.0,
2016-11-25,830.0,838.0,825.65,833.6,788448.0,
2016-11-28,830.45,841.95,829.0,837.85,930063.0,
2016-11-29,837.0,841.0,830.25,832.7,1157881.0,
2016-11-30,835.25,850.3,831.05,844.0,2734453.0,
2016-12-01,844.0,855.7,840.9,848.1,951938.0,
2016-12-02,845.0,848.4,828.15,831.45,623704.0,
2016-12-05,832.9,851.4,832.0,844.9,760110.0,
2016-12-06,845.4,849.8,833.2,836.0,611314.0,
2016-12-07,839.85,844.0,832.05,833.7,394177.0,
2016-12-08,836.0,846.8,836.0,843.0,609858.0,
2016-12-09,839.9,847.0,836.35,845.05,463868.0,
2016-12-12,845.0,845.85,830.35,832.6,317031.0,
2016-12-13,834.0,836.4,824.9,831.15,716723.0,
2016-12-14,831.0,832.85,818.8,821.8,418711.0,
2016-12-15,818.0,823.7,813.65,816.05,552176.0,
2016-12-16,817.5,827.0,813.6,816.95,907271.0,
2016-12-19,817.0,817.8,808.0,809.75,709550.0,
2016-12-20,808.75,812.75,798.45,801.4,1057366.0,
2016-12-21,802.0,805.0,795.9,796.8,1024157.0,
2016-12-22,796.0,802.5,783.85,787.05,1147406.0,
2016-12-23,786.5,799.4,781.95,789.5,893290.0,
2016-12-26,788.0,804.9,785.05,801.8,686679.0,
2016-12-27,801.9,808.5,796.6,806.75,552306.0,
2016-12-28,808.0,821.2,806.0,810.3,811567.0,
2016-12-29,811.25,821.95,806.55,818.5,1295881.0,
2016-12-30,819.45,829.45,818.5,826.35,709395.0,
2017-01-02,828.0,828.0,819.1,825.35,439748.0,
2017-01-03,826.45,832.8,819.5,829.85,617599.0,
2017-01-04,829.85,837.4,816.55,821.6,1298675.0,
2017-01-05,824.9,835.75,822.0,833.15,800848.0,
2017-01-06,832.9,874.8,831.7,833.75,545826.0,
2017-01-09,838.0,838.55,828.35,831.05,323290.0,
2017-01-10,833.8,835.95,829.0,830.55,337793.0,
2017-01-11,832.1,845.0,830.1,841.5,867646.0,
2017-01-12,843.7,843.7,824.7,825.9,985100.0,
2017-01-13,830.0,835.6,825.1,827.95,567779.0,
2017-01-16,828.0,831.35,822.45,827.5,472383.0,
2017-01-17,826.75,843.0,826.75,840.65,1081184.0,
2017-01-18,840.7,867.75,837.6,864.95,2032995.0,
2017-01-19,865.4,875.95,858.55,860.3,1350359.0,
2017-01-20,855.2,872.0,854.5,860.45,1032081.0,
2017-01-23,854.6,866.8,851.55,862.4,1615902.0,
2017-01-24,856.0,862.4,842.1,860.35,1843785.0,
2017-01-25,857.0,869.95,855.95,869.2,1360342.0,
2017-01-27,869.0,875.7,853.8,855.95,1272497.0,
2017-01-30,856.95,863.2,851.15,853.55,600766.0,
2017-01-31,856.0,862.9,851.25,855.4,1210100.0,
2017-02-01,857.0,867.55,849.2,854.05,1750447.0,
2017-02-02,857.5,858.8,841.8,845.3,1617828.0,
2017-02-03,845.0,852.45,838.6,849.75,999913.0,
2017-02-06,850.05,862.0,850.0,860.55,1007603.0,
2017-02-07,863.0,863.3,851.0,855.25,866921.0,
2017-02-08,859.9,859.9,847.35,852.95,995337.0,
2017-02-09,856.0,856.1,843.5,850.75,884351.0,
2017-02-10,848.25,858.4,847.65,850.9,648644.0,
2017-02-13,854.95,864.75,852.45,862.3,688095.0,
2017-02-14,863.0,868.05,845.0,848.15,1294385.0,
2017-02-15,848.55,852.5,843.4,850.05,863541.0,
2017-02-16,852.0,852.5,844.05,846.1,529692.0,
2017-02-17,847.0,847.95,837.5,841.25,917969.0,
2017-02-20,850.7,858.0,847.5,854.45,1511663.0,
2017-02-21,853.5,866.6,852.05,862.75,1061217.0,
2017-02-22,866.0,869.0,852.0,864.15,1996095.0,
2017-02-23,870.9,872.0,856.25,858.25,1313518.0,
2017-02-27,859.05,870.55,854.25,866.45,1194357.0,
2017-02-28,865.5,868.45,858.15,865.9,1409380.0,
2017-03-01,868.4,880.9,862.95,875.5,1199589.0,
