,Open,High,Low,Close,Volume,DeliveryPct
2016-08-19,227.95,230.6,223.5,228.95,2115207.0,
2016-08-22,228.25,232.5,226.1,230.2,1713296.0,
2016-08-23,229.1,231.1,225.0,227.25,1037654.0,
2016-08-24,226.2,230.5,226.2,228.2,1103595.0,
2016-08-25,227.9,229.4,222.35,223.8,1940709.0,
2016-08-26,225.0,226.1,221.9,224.95,762134.0,
2016-08-29,227.0,232.65,225.2,227.1,1861663.0,
2016-08-30,229.8,232.5,227.4,228.4,796938.0,
2016-08-31,227.8,228.85,226.0,227.0,834787.0,
2016-09-01,228.0,228.8,225.0,225.8,833706.0,
2016-09-02,226.15,228.5,224.05,227.5,1212286.0,
2016-09-06,227.85,233.8,227.1,230.2,1388234.0,
2016-09-07,230.1,230.85,226.95,228.35,874257.0,
2016-09-08,229.5,230.05,221.75,223.6,1527265.0,
2016-09-09,224.0,224.0,212.4,220.35,1518470.0,
2016-09-12,212.5,216.8,210.0,212.55,1144134.0,
2016-09-14,213.5,221.5,212.2,220.35,2059077.0,
2016-09-15,220.45,222.6,217.4,218.8,803494.0,
2016-09-16,219.2,220.95,210.0,211.8,2735043.0,
2016-09-19,212.2,217.9,211.65,216.9,864991.0,
2016-09-20,217.65,222.0,215.0,221.05,1183102.0,
2016-09-21,222.75,222.75,218.4,219.75,1248571.0,
2016-09-22,223.9,223.9,220.1,223.2,1346645.0,
2016-09-23,222.7,229.4,221.6,227.45,3264488.0,
2016-09-26,228.0,230.65,224.45,229.7,1586051.0,
2016-09-27,230.05,231.05,225.0,228.95,1572476.0,
2016-09-28,228.95,232.2,228.05,230.55,1024885.0,
2016-09-29,230.1,235.5,225.95,229.15,3159360.0,
2016-09-30,227.0,236.4,226.15,233.35,1172607.0,
2016-10-03,234.8,262.5,234.05,254.45,7070078.0,
2016-10-04,255.0,256.55,248.25,251.95,3082075.0,
2016-10-05,253.9,260.35,251.6,253.35,3499814.0,
2016-10-06,253.4,258.65,246.85,250.0,1742027.0,
2016-10-07,251.8,253.3,248.85,252.0,1400188.0,
2016-10-10,251.75,255.65,250.15,251.65,2291956.0,
2016-10-13,249.9,249.9,240.4,243.35,2464838.0,
2016-10-14,243.1,247.0,241.7,245.75,745366.0,
2016-10-17,245.5,247.35,237.0,240.35,2358367.0,
2016-10-18,240.5,248.75,240.05,245.0,3264263.0,
2016-10-19,245.95,252.0,245.4,248.1,4325941.0,
2016-10-20,260.0,260.0,247.8,249.9,6395649.0,
2016-10-21,250.0,252.9,242.5,249.7,1933457.0,
2016-10-24,248.25,254.8,247.65,253.25,2271045.0,
2016-10-25,254.0,257.8,251.3,254.65,2220816.0,
2016-10-26,255.05,257.6,251.0,253.2,1805353.0,
2016-10-27,253.0,254.15,248.45,250.8,2261358.0,
2016-10-28,250.0,256.0,250.0,252.95,1400695.0,
2016-11-01,255.45,276.2,254.1,272.55,6300763.0,
2016-11-02,271.75,273.45,266.3,269.5,3197550.0,
2016-11-03,264.3,275.5,264.3,267.2,2132194.0,
2016-11-04,268.0,270.7,253.15,255.65,1377902.0,
2016-11-07,262.95,266.55,259.25,262.45,963090.0,
2016-11-08,266.0,266.7,257.3,259.15,1601920.0,
2016-11-09,233.3,256.25,221.0,253.45,2150302.0,
2016-11-10,258.7,272.0,255.65,258.1,4080584.0,
2016-11-11,257.0,260.0,248.1,249.75,1693349.0,
2016-11-15,255.9,256.0,235.35,238.6,2831194.0,
2016-11-16,245.85,246.05,236.65,237.95,1433958.0,
2016-11-17,240.0,253.5,232.4,250.7,3517774.0,
2016-11-18,249.0,251.35,244.0,249.8,2101271.0,
2016-11-21,247.05,255.4,242.15,244.45,1687481.0,
2016-11-22,249.0,254.55,246.05,253.0,1122530.0,
2016-11-23,255.0,259.7,251.25,257.8,2267646.0,
2016-11-24,258.8,278.4,258.0,273.35,5610394.0,
2016-11-25,276.8,281.4,271.0,273.25,2941713.0,
2016-11-28,276.0,287.0,275.5,284.5,4709996.0,
2016-11-29,287.95,287.95,277.2,282.35,3989346.0,
2016-11-30,278.1,283.95,273.85,282.6,2362723.0,
2016-12-01,284.05,284.05,274.05,275.0,1109940.0,
2016-12-02,274.0,279.8,270.2,272.55,1054154.0,
2016-12-05,274.05,280.6,268.5,275.15,2154225.0,
2016-12-06,276.8,278.5,274.9,275.95,767204.0,
2016-12-07,277.85,281.0,274.0,278.45,1395795.0,
2016-12-08,280.5,286.8,277.7,283.65,1927671.0,
2016-12-09,285.0,285.0,279.45,281.15,949704.0,
2016-12-12,281.0,283.5,277.4,281.05,873829.0,
2016-12-13,281.0,282.0,275.1,278.15,1495541.0,
2016-12-14,278.15,279.15,274.9,276.65,712136.0,
2016-12-15,277.0,288.3,275.5,285.3,2882439.0,
2016-12-16,287.0,290.0,279.45,281.15,2402547.0,
2016-12-19,279.35,279.85,268.6,269.5,1573803.0,
2016-12-20,266.0,269.0,261.35,262.3,2184292.0,
2016-12-21,264.7,271.0,263.0,266.8,2216013.0,
2016-12-22,264.15,265.9,260.0,260.95,996408.0,
2016-12-23,261.45,262.0,254.7,258.45,1360594.0,
2016-12-26,255.05,257.0,248.5,249.7,1626586.0,
2016-12-27,249.85,254.0,247.05,252.4,1445798.0,
2016-12-28,254.25,256.05,249.1,249.6,1037376.0,
2016-12-29,249.85,259.0,249.45,256.5,1125490.0,
2016-12-30,257.3,259.4,254.4,255.4,953908.0,
2017-01-02,256.95,260.5,253.65,259.55,784038.0,
2017-01-03,260.7,261.2,256.65,259.4,865382.0,
2017-01-04,259.8,260.0,250.2,251.3,2186297.0,
2017-01-05,256.5,262.65,254.6,261.9,2537509.0,
2017-01-06,263.0,267.7,262.5,264.5,2178696.0,
2017-01-09,266.35,274.6,266.0,269.95,1984683.0,
2017-01-10,271.5,274.45,270.2,272.85,983380.0,
2017-01-11,276.0,280.4,275.05,278.15,1830540.0,
2017-01-12,278.55,280.0,271.2,275.45,1768719.0,
2017-01-13,276.85,279.65,272.35,277.6,1539748.0,
2017-01-16,279.0,287.8,278.6,285.75,2269644.0,
2017-01-17,287.2,289.15,283.1,284.95,1721964.0,
2017-01-18,293.0,296.4,286.0,289.55,3645696.0,
2017-01-19,289.8,293.8,287.1,293.15,1263244.0,
2017-01-20,291.9,293.15,285.4,288.05,1697737.0,
2017-01-23,288.9,297.0,288.05,295.1,1265838.0,
2017-01-24,297.95,304.9,296.05,303.65,2052442.0,
2017-01-25,306.0,306.95,299.55,300.45,2518719.0,
2017-01-27,303.35,304.05,297.65,300.65,1065612.0,
