,Open,High,Low,Close,Volume,DeliveryPct
2023-11-07,330.0,340.45,321.1,337.1,30126205.0,60.44
2023-11-08,337.65,340.0,320.75,322.5,2866245.0,56.08
2023-11-09,318.95,320.0,298.35,302.1,3242424.0,63.95
2023-11-10,290.35,326.0,256.3,317.9,13661717.0,23.53
2023-11-13,317.0,329.7,312.3,317.95,1643364.0,19.4
2023-11-14,317.0,329.7,312.3,317.95,1643364.0,19.4
2023-11-15,324.0,324.0,309.05,314.55,1387766.0,37.84
2023-11-16,315.0,335.0,310.7,332.2,3140751.0,36.84
2023-11-17,328.3,342.2,328.0,332.2,2399839.0,33.69
2023-11-20,334.95,374.95,334.95,349.7,7365898.0,34.03
2023-11-21,349.0,369.75,345.75,366.8,2872719.0,22.65
2023-11-22,369.0,384.0,331.2,353.15,5614011.0,21.82
2023-11-23,387.95,423.75,371.4,423.75,9880412.0,23.86
2023-11-24,456.0,486.15,442.85,475.1,22452906.0,11.68
2023-11-27,456.0,486.15,442.85,475.1,22452906.0,11.68
2023-11-28,469.05,469.7,440.2,445.15,2914048.0,51.02
2023-11-29,443.0,443.2,420.2,426.25,2036454.0,51.87
2023-11-30,420.05,425.9,405.1,416.95,2802025.0,67.46
2023-12-01,409.0,412.45,395.3,400.2,739138.0,56.56
2023-12-04,405.4,410.0,381.0,384.1,1362126.0,69.5
2023-12-05,379.8,406.0,358.0,363.4,10031089.0,75.41
2023-12-06,370.0,384.95,364.8,380.95,1755626.0,36.86
2023-12-07,381.95,393.65,376.55,390.3,1105102.0,50.77
2023-12-08,394.0,412.0,386.1,399.95,1696410.0,39.97
2023-12-11,402.0,410.0,396.3,406.55,1013316.0,62.81
2023-12-12,410.0,424.5,408.0,416.75,1140391.0,49.96
2023-12-13,417.95,420.9,385.0,387.45,994283.0,49.98
2023-12-14,394.5,398.95,382.2,385.2,1108971.0,38.95
2023-12-15,388.3,412.3,388.3,406.55,1604061.0,48.09
2023-12-18,408.15,411.45,398.15,409.1,657102.0,28.3
2023-12-19,409.95,422.0,405.55,420.7,952233.0,53.49
2023-12-20,425.0,429.9,393.55,405.75,1099357.0,47.55
2023-12-21,391.0,414.35,390.05,412.55,673335.0,54.74
2023-12-22,410.05,443.75,410.05,425.3,3020835.0,59.35
2023-12-25,410.05,443.75,410.05,425.3,3020835.0,59.35
2023-12-26,430.0,443.0,430.0,436.5,956054.0,55.58
2023-12-27,436.5,469.0,431.95,461.5,1899641.0,46.4
2023-12-28,465.0,472.95,447.1,461.4,1957593.0,54.33
2023-12-29,463.95,464.0,436.0,440.8,918952.0,40.7
2024-01-01,444.6,448.0,424.0,426.85,435620.0,55.48
2024-01-02,431.1,436.0,417.0,432.35,893359.0,57.23
2024-01-03,432.9,444.65,419.4,441.7,718068.0,44.12
2024-01-04,450.0,464.0,444.05,454.25,706476.0,37.57
2024-01-05,458.25,467.8,442.15,445.65,688164.0,59.77
2024-01-08,449.35,490.2,436.45,473.45,6208737.0,71.78
