,Open,High,Low,Close,Volume,DeliveryPct
2016-08-19,9921.0,9999.0,9890.0,9965.45,325.0,
2016-08-22,9965.0,9999.0,9865.8,9882.95,171.0,
2016-08-23,9969.95,9969.95,9840.0,9889.2,165.0,
2016-08-24,9800.3,9950.0,9790.3,9917.2,264.0,
2016-08-25,9900.0,9950.0,9850.0,9872.0,239.0,
2016-08-26,9872.0,9979.85,9850.0,9942.6,131.0,
2016-08-29,9850.05,9980.0,9836.85,9891.5,191.0,
2016-08-30,9891.0,9930.0,9732.0,9811.0,286.0,
2016-08-31,9821.05,9869.0,9724.45,9778.15,394.0,
2016-09-01,9740.0,9787.95,9620.05,9710.5,332.0,
2016-09-02,9715.0,9878.0,9710.0,9835.8,127.0,
2016-09-06,9835.0,9911.7,9722.0,9828.6,239.0,
2016-09-07,9800.0,9800.0,9750.0,9792.0,165.0,
2016-09-08,9792.0,9820.0,9725.0,9748.3,364.0,
2016-09-09,9755.05,9785.0,9632.0,9770.2,248.0,
2016-09-12,9708.05,9749.95,9500.0,9534.7,626.0,
2016-09-14,9619.9,9619.9,9113.05,9183.55,1000.0,
2016-09-15,9190.15,9208.95,9012.0,9125.7,507.0,
2016-09-16,9125.0,9213.95,8851.15,8938.55,1068.0,
2016-09-19,8950.0,9099.9,8855.0,9054.0,371.0,
2016-09-20,9030.05,9240.0,9030.05,9198.4,315.0,
2016-09-21,9204.0,9334.35,9125.0,9215.2,232.0,
2016-09-22,9307.0,9338.55,9235.1,9294.95,1159.0,
2016-09-23,9330.0,9350.0,9220.0,9269.8,241.0,
2016-09-26,9269.0,9297.0,9225.05,9274.55,134.0,
2016-09-27,9274.0,9274.0,9115.0,9196.1,179.0,
2016-09-28,9104.1,9285.0,9026.1,9190.15,247.0,
2016-09-29,9190.0,9245.0,8950.15,9057.95,516.0,
2016-09-30,9057.0,9488.0,8900.0,9265.15,376.0,
2016-10-03,9274.0,9340.0,9200.0,9240.95,260.0,
2016-10-04,9248.95,9248.95,9120.0,9180.35,234.0,
2016-10-05,9185.0,9190.0,9015.5,9141.25,261.0,
2016-10-06,9141.0,9228.0,9106.0,9202.95,241.0,
2016-10-07,9202.0,9220.0,9156.6,9198.0,163.0,
2016-10-10,9198.05,9300.0,9115.0,9271.7,378.0,
2016-10-13,9271.0,9279.85,9100.0,9149.25,478.0,
2016-10-14,9149.0,9199.95,8970.0,9077.2,390.0,
2016-10-17,9000.25,9165.0,9000.25,9092.2,216.0,
2016-10-18,9160.0,9197.0,9105.0,9142.35,58.0,
2016-10-19,9142.0,9199.0,9120.0,9121.0,118.0,
2016-10-20,9182.9,9182.9,9049.95,9059.55,201.0,
2016-10-21,9124.95,9150.15,9005.5,9128.35,148.0,
2016-10-24,9160.0,9160.0,9006.4,9046.8,359.0,
2016-10-25,9001.0,9034.0,8735.0,8849.15,9156.0,
2016-10-26,8849.0,8999.95,8815.0,8974.0,147.0,
2016-10-27,8974.0,8989.0,8750.05,8965.6,160.0,
2016-10-28,8815.0,8979.0,8810.0,8884.4,266.0,
2016-11-01,8917.3,8960.7,8860.0,8892.7,408.0,
2016-11-02,8873.0,8900.0,8825.0,8899.8,141.0,
2016-11-03,8899.0,8900.0,8799.95,8888.0,254.0,
2016-11-04,8880.0,8880.0,8642.05,8785.5,403.0,
2016-11-07,8873.0,8873.0,8652.1,8686.85,343.0,
2016-11-08,8773.65,8773.65,8557.0,8599.1,486.0,
2016-11-09,8513.1,8899.0,8000.0,8567.3,517.0,
2016-11-10,8700.0,8900.0,8700.0,8775.35,568.0,
2016-11-11,8719.65,8795.0,8652.0,8696.5,490.0,
2016-11-15,8696.0,8696.0,8305.0,8594.45,753.0,
2016-11-16,8501.05,8585.0,8400.0,8488.3,292.0,
2016-11-17,8404.0,8539.0,8300.0,8406.4,259.0,
2016-11-18,8360.0,8499.0,8360.0,8483.45,190.0,
2016-11-21,8480.0,8480.0,8213.0,8328.55,358.0,
2016-11-22,8400.0,8410.0,8306.0,8396.1,235.0,
2016-11-23,8480.05,8550.0,8232.4,8446.8,195.0,
2016-11-24,8531.25,8910.0,8320.0,8519.95,195.0,
2016-11-25,8455.0,8660.0,8455.0,8623.35,358.0,
2016-11-28,8659.95,8659.95,8442.0,8518.15,317.0,
2016-11-29,8465.0,8596.0,8465.0,8499.65,211.0,
2016-11-30,8580.0,8580.0,8471.15,8490.75,349.0,
2016-12-01,8510.0,8510.0,8492.0,8499.95,121.0,
2016-12-02,8470.1,8534.0,8470.0,8495.45,135.0,
2016-12-05,8424.0,8469.95,8355.15,8386.55,467.0,
2016-12-06,8465.0,8500.0,8301.0,8489.7,449.0,
2016-12-07,8411.2,8529.75,8411.2,8502.5,173.0,
2016-12-08,8455.25,8590.0,8455.25,8552.35,197.0,
2016-12-09,8488.1,8557.9,8488.1,8499.55,294.0,
2016-12-12,8500.0,8600.0,8500.0,8587.1,240.0,
2016-12-13,8649.95,8649.95,8542.8,8595.8,345.0,
2016-12-14,8530.0,8587.0,8490.0,8549.15,274.0,
2016-12-15,8550.0,8597.8,8477.05,8592.6,205.0,
2016-12-16,8619.95,8620.0,8540.0,8549.65,337.0,
2016-12-19,8531.4,8589.95,8489.95,8501.55,389.0,
2016-12-20,8543.0,8543.0,8441.0,8504.0,294.0,
2016-12-21,8441.0,8549.0,8400.0,8473.8,330.0,
2016-12-22,8444.3,8495.0,8405.1,8456.45,289.0,
2016-12-23,8431.0,8525.0,8355.05,8503.85,208.0,
2016-12-26,8422.0,8490.0,8255.0,8389.1,359.0,
2016-12-27,8448.95,8500.0,8430.0,8498.9,283.0,
2016-12-28,8445.15,8549.95,8410.0,8503.0,326.0,
2016-12-29,8524.95,8700.0,8467.1,8632.1,509.0,
2016-12-30,8698.95,9100.05,8600.1,8971.55,1169.0,
2017-01-02,8995.0,9126.95,8970.1,9063.2,175.0,
2017-01-03,9063.0,9140.0,8974.0,9116.05,146.0,
2017-01-04,9150.0,9270.0,9028.0,9222.2,427.0,
2017-01-05,9299.95,9383.0,9036.0,9259.25,13507.0,
2017-01-06,9390.0,9390.0,9166.65,9288.8,80.0,
2017-01-09,9260.0,9285.1,9120.0,9241.3,121.0,
2017-01-10,9333.0,9450.0,7577.9,9016.85,2545.0,
2017-01-11,9198.75,9198.75,8903.0,9036.55,511.0,
2017-01-12,8946.15,9287.0,8855.8,9172.7,232.0,
2017-01-13,9115.1,9200.0,9021.0,9196.8,305.0,
2017-01-16,9200.0,9381.0,9015.0,9255.35,553.0,
2017-01-17,9222.35,9320.0,9162.8,9235.25,329.0,
2017-01-18,9205.05,9399.9,9175.0,9351.6,391.0,
2017-01-19,9351.6,9480.0,9280.0,9336.4,691.0,
2017-01-20,9400.0,9439.0,9285.0,9342.6,212.0,
2017-01-23,9480.0,9480.0,9274.95,9413.1,265.0,
2017-01-24,9436.95,9500.0,9315.0,9465.05,324.0,
2017-01-25,9351.05,9500.0,9351.05,9478.1,319.0,
2017-01-27,9383.1,9600.0,9205.0,9519.1,598.0,
2017-01-30,9423.95,9520.0,9311.15,9475.25,430.0,
2017-01-31,9479.0,9500.0,9391.0,9478.1,232.0,
2017-02-01,9441.0,9600.0,9115.5,9525.45,777.0,
2017-02-02,9477.8,9519.95,9400.0,9485.7,411.0,
2017-02-03,9417.05,9625.0,9417.0,9558.2,411.0,
2017-02-06,9616.65,9845.05,9616.65,9707.7,698.0,
2017-02-07,10000.0,10500.0,10000.0,10055.85,7571.0,
2017-02-08,10168.9,10195.0,10000.0,10039.8,861.0,
2017-02-09,10133.7,10175.0,9861.55,9948.65,621.0,
2017-02-10,9999.0,10080.0,9900.0,9943.95,635.0,
2017-02-13,10000.0,10179.95,9925.05,9991.0,1284.0,
2017-02-14,10090.9,10090.9,9920.0,9979.0,336.0,
2017-02-15,10075.0,10075.0,9832.0,9890.85,288.0,
2017-02-16,9825.05,10000.0,9825.05,9981.9,337.0,
2017-02-17,10080.0,10080.0,9850.0,9996.45,288.0,
2017-02-20,9921.0,10050.0,9911.05,9998.0,414.0,
2017-02-21,10100.0,10100.0,9875.05,9945.05,450.0,
2017-02-22,10099.0,10099.0,9880.35,9955.6,259.0,
2017-02-23,9999.9,9999.9,9916.1,9984.05,190.0,
2017-02-27,9997.0,9999.0,9840.0,9946.8,287.0,
2017-02-28,9920.0,9998.9,9864.0,9978.3,256.0,
2017-03-01,10100.0,10200.0,9860.0,9944.7,472.0,
2017-03-02,9969.0,9969.0,9826.0,9888.95,564.0,
2017-03-03,9887.0,9887.0,9731.0,9779.8,451.0,
2017-03-06,9876.0,9876.0,9704.0,9782.55,323.0,
2017-03-07,9848.0,9848.0,9722.0,9795.8,242.0,
2017-03-08,9785.0,9800.0,9760.0,9798.25,6909.0,
2017-03-09,9950.0,9950.0,9535.0,9583.2,1395.0,
2017-03-10,9869.0,9869.0,9511.15,9592.9,893.0,
2017-03-14,9835.0,9900.0,9550.05,9815.85,4733.0,
2017-03-15,9815.0,9950.0,9815.0,9942.5,568.0,
2017-03-16,10012.0,10012.0,9821.25,9944.55,637.0,
2017-03-17,9972.9,9974.95,9835.05,9937.75,6929.0,
2017-03-20,10037.1,10037.1,9775.0,9882.95,380.0,
2017-03-21,9845.05,9845.05,9710.95,9798.9,579.0,
2017-03-22,9770.0,9770.0,9621.0,9695.0,2905.0,
2017-03-23,9789.95,9975.0,9555.0,9847.1,1125.0,
2017-03-24,9944.95,9945.0,9810.0,9921.6,610.0,
2017-03-27,9937.95,9949.95,9855.0,9938.55,663.0,
2017-03-28,9944.95,9946.0,9875.0,9940.55,351.0,
2017-03-29,9841.1,10400.0,9841.1,10009.0,898.0,
2017-03-30,10099.0,10298.55,10001.0,10151.45,1529.0,
2017-03-31,10198.0,10500.0,10151.2,10346.9,1919.0,
