,Open,High,Low,Close,Volume,DeliveryPct
2016-08-19,36.4,37.95,35.25,37.15,1162926.0,
2016-08-22,37.4,37.55,36.1,36.35,397597.0,
2016-08-23,36.55,37.0,35.75,36.35,790150.0,
2016-08-24,36.5,36.5,33.4,33.9,2104478.0,
2016-08-25,33.9,34.6,31.8,33.95,1527980.0,
2016-08-26,34.0,34.35,33.15,33.85,1119632.0,
2016-08-29,33.6,34.75,33.4,33.75,821966.0,
2016-08-30,33.95,36.05,33.95,35.65,1531115.0,
2016-08-31,34.95,36.1,34.7,35.65,790699.0,
2016-09-01,35.75,36.65,35.1,35.6,608012.0,
2016-09-02,35.9,36.25,34.9,35.6,742830.0,
2016-09-06,35.8,35.9,34.7,35.0,496407.0,
2016-09-07,35.15,35.5,34.15,34.5,968875.0,
2016-09-08,34.5,35.6,34.5,35.15,1229105.0,
2016-09-09,35.2,35.3,34.4,34.6,341777.0,
2016-09-12,33.7,35.5,33.2,34.35,1095938.0,
2016-09-14,34.5,36.45,34.3,35.9,879283.0,
2016-09-15,36.85,37.4,35.0,35.4,1526419.0,
2016-09-16,35.5,36.4,35.2,35.6,727935.0,
2016-09-19,35.65,37.0,35.65,36.7,1311812.0,
2016-09-20,36.7,37.95,36.6,37.1,1727036.0,
2016-09-21,37.4,38.4,36.65,37.35,1166752.0,
2016-09-22,37.8,38.55,37.45,38.0,2158750.0,
2016-09-23,38.3,40.1,37.75,39.5,3608158.0,
2016-09-26,39.5,40.85,39.5,39.85,1710724.0,
2016-09-27,40.4,40.6,38.15,38.8,1665209.0,
2016-09-28,39.15,41.4,38.45,41.0,3164893.0,
2016-09-29,41.35,41.8,32.8,36.9,3458453.0,
2016-09-30,36.8,39.8,36.8,39.55,1121655.0,
2016-10-03,39.8,43.7,39.8,42.8,3697261.0,
2016-10-04,42.85,44.0,41.85,43.8,2511233.0,
2016-10-05,43.6,45.95,43.0,45.0,2488420.0,
2016-10-06,45.2,46.0,43.2,44.4,1875714.0,
2016-10-07,44.7,44.9,42.7,43.05,978409.0,
2016-10-10,43.25,43.65,41.9,42.15,743022.0,
2016-10-13,42.0,43.85,40.7,42.85,886508.0,
2016-10-14,43.05,43.55,41.1,42.0,1012060.0,
2016-10-17,42.0,42.75,41.6,41.95,545756.0,
2016-10-18,42.4,42.9,41.9,42.35,475727.0,
2016-10-19,42.05,42.9,41.8,42.6,824377.0,
2016-10-20,42.8,42.9,42.1,42.55,581714.0,
2016-10-21,42.15,43.75,42.15,43.5,1037958.0,
2016-10-24,43.7,46.75,43.7,45.65,2112657.0,
2016-10-25,45.7,47.4,44.75,46.85,1058615.0,
2016-10-26,47.2,47.75,45.4,45.9,1299803.0,
2016-10-27,46.0,47.25,44.6,45.2,768023.0,
2016-10-28,45.35,46.95,45.0,46.7,791053.0,
2016-11-01,47.7,47.7,45.1,46.4,516996.0,
2016-11-02,45.0,46.15,44.5,45.45,571711.0,
2016-11-03,45.1,46.5,44.95,45.25,731622.0,
2016-11-04,45.1,45.7,41.6,43.45,1079579.0,
2016-11-07,44.15,46.05,44.0,44.5,981693.0,
2016-11-08,44.9,45.25,43.5,43.75,621498.0,
2016-11-09,36.5,41.9,35.0,41.15,2236410.0,
2016-11-10,42.05,44.85,42.05,43.65,986132.0,
2016-11-11,42.15,45.9,42.15,44.65,1996915.0,
2016-11-15,46.0,46.0,38.6,39.95,1655922.0,
2016-11-16,40.5,43.5,38.55,39.0,765177.0,
2016-11-17,39.15,40.5,36.1,37.9,1120248.0,
2016-11-18,37.5,38.0,36.0,36.3,552869.0,
2016-11-21,36.7,36.85,32.65,33.2,817336.0,
2016-11-22,33.7,37.65,33.7,35.95,1201844.0,
2016-11-23,36.3,37.0,35.0,36.45,584027.0,
2016-11-24,36.35,36.9,35.5,36.05,424286.0,
2016-11-25,36.5,37.6,36.35,37.1,736990.0,
2016-11-28,37.25,38.0,37.05,37.4,483817.0,
2016-11-29,37.75,38.25,36.65,37.35,587755.0,
2016-11-30,37.6,37.85,36.9,37.4,448288.0,
2016-12-01,37.5,37.9,36.8,36.9,813478.0,
2016-12-02,36.9,37.3,36.3,36.5,296526.0,
2016-12-05,36.5,37.0,36.3,36.45,327187.0,
2016-12-06,36.4,37.2,36.4,36.55,219298.0,
2016-12-07,36.7,37.25,35.8,36.25,325067.0,
2016-12-08,36.6,37.5,36.5,36.9,281491.0,
2016-12-09,37.0,37.45,36.45,36.6,279052.0,
2016-12-12,36.55,37.25,36.25,36.45,335296.0,
2016-12-13,36.1,36.85,35.95,36.2,308942.0,
2016-12-14,36.0,36.85,34.55,34.8,524675.0,
2016-12-15,34.5,36.3,34.35,34.95,306977.0,
2016-12-16,35.0,35.6,34.8,35.05,410084.0,
2016-12-19,35.1,35.1,34.05,34.25,365870.0,
2016-12-20,34.3,35.45,32.85,34.9,578453.0,
2016-12-21,35.2,36.05,34.5,35.25,368419.0,
2016-12-22,34.9,34.95,33.65,34.05,444244.0,
2016-12-23,34.55,34.85,34.1,34.25,406878.0,
2016-12-26,34.25,34.3,33.7,34.0,182446.0,
2016-12-27,34.0,34.0,32.9,33.25,483258.0,
2016-12-28,33.25,35.7,32.9,33.1,1483981.0,
2016-12-29,33.2,34.0,33.1,33.3,270549.0,
2016-12-30,33.5,33.85,33.2,33.25,560963.0,
2017-01-02,33.3,33.95,33.25,33.7,408711.0,
2017-01-03,33.85,36.1,33.45,35.9,1151756.0,
2017-01-04,36.05,37.5,36.05,36.7,854782.0,
2017-01-05,37.0,38.75,37.0,38.6,825690.0,
2017-01-06,38.85,40.4,38.3,39.85,1505082.0,
2017-01-09,40.35,41.8,40.3,41.55,1177932.0,
2017-01-10,41.75,42.6,41.5,42.4,998424.0,
2017-01-11,42.65,44.0,42.65,43.6,2259190.0,
2017-01-12,43.85,44.15,42.35,42.7,783179.0,
2017-01-13,42.8,43.3,41.05,41.45,575787.0,
2017-01-16,41.0,42.5,41.0,42.15,563382.0,
2017-01-17,42.3,43.65,42.3,43.1,1024266.0,
2017-01-18,43.0,43.35,42.5,42.65,263744.0,
2017-01-19,42.45,42.8,41.7,42.1,344161.0,
2017-01-20,41.85,41.95,40.8,41.4,453576.0,
2017-01-23,41.3,42.45,40.6,42.15,346634.0,
2017-01-24,42.3,42.7,41.5,42.15,310182.0,
2017-01-25,42.5,43.55,41.9,43.15,443699.0,
2017-01-27,44.0,44.0,42.6,43.3,446671.0,
2017-01-30,43.25,43.75,42.75,43.1,445158.0,
2017-01-31,43.45,43.7,41.55,42.05,197164.0,
2017-02-01,42.0,42.95,40.25,42.8,363470.0,
2017-02-02,42.6,45.5,41.5,45.25,2234479.0,
2017-02-03,45.3,47.55,45.1,47.25,2092796.0,
2017-02-06,47.75,49.4,47.5,49.2,2092656.0,
2017-02-07,49.25,49.5,47.0,47.45,1183281.0,
2017-02-08,47.6,47.9,46.7,47.7,556991.0,
2017-02-09,48.0,48.95,46.9,47.3,1390661.0,
2017-02-10,47.45,48.2,46.3,46.85,1338771.0,
2017-02-13,47.4,47.45,44.25,44.65,2130651.0,
2017-02-14,45.4,45.9,44.0,45.65,698748.0,
2017-02-15,45.6,45.85,43.5,43.65,581973.0,
2017-02-16,44.25,46.0,43.3,45.75,784124.0,
2017-02-17,46.0,46.8,45.5,45.85,878582.0,
2017-02-20,45.55,46.3,44.85,45.7,391167.0,
2017-02-21,45.8,46.4,44.15,44.8,400826.0,
2017-02-22,44.95,45.4,44.0,44.2,249155.0,
2017-02-23,44.2,44.7,43.2,43.65,452197.0,
2017-02-27,43.5,44.2,43.2,43.95,395619.0,
2017-02-28,44.0,44.1,43.2,43.4,255513.0,
2017-03-01,43.6,44.6,43.0,44.1,1474745.0,
2017-03-02,44.0,45.25,43.95,44.7,1556167.0,
2017-03-03,44.9,45.05,44.15,44.8,1178876.0,
2017-03-06,44.8,45.25,43.9,44.05,260255.0,
2017-03-07,44.2,44.25,43.05,43.55,270721.0,
2017-03-08,43.55,43.8,42.5,42.8,132150.0,
2017-03-09,42.7,43.8,42.5,43.5,1135273.0,
2017-03-10,43.8,44.25,42.25,42.6,467739.0,
2017-03-14,43.5,44.8,42.8,44.55,1329046.0,
2017-03-15,44.6,45.4,43.65,43.95,510350.0,
2017-03-16,44.1,44.8,43.75,43.9,494914.0,
2017-03-17,44.25,44.45,43.5,43.8,333052.0,
2017-03-20,44.05,44.25,43.5,44.0,543855.0,
2017-03-21,44.1,44.95,43.0,43.3,373335.0,
2017-03-22,43.3,43.8,42.75,43.65,323526.0,
2017-03-23,43.9,44.3,43.35,43.55,218740.0,
2017-03-24,43.8,44.25,42.75,43.0,390352.0,
2017-03-27,42.9,44.0,42.75,43.7,659040.0,
2017-03-28,43.75,44.05,42.8,43.0,504163.0,
2017-03-29,43.45,43.75,42.45,42.85,649581.0,
2017-03-30,42.85,43.55,42.55,42.75,331999.0,
2017-03-31,43.0,44.0,42.6,43.75,332507.0,
2017-04-03,44.0,48.2,44.0,47.35,2191529.0,
2017-04-05,47.9,52.0,47.6,49.9,4138098.0,
2017-04-06,49.9,50.2,48.25,49.0,2356526.0,
2017-04-07,48.35,51.2,48.35,50.5,1648064.0,
2017-04-10,50.85,51.45,49.7,50.05,728446.0,
2017-04-11,50.1,50.9,49.9,50.15,525094.0,
2017-04-12,50.1,50.15,47.4,48.65,739308.0,
2017-04-13,48.95,50.1,48.05,48.25,327865.0,
2017-04-17,50.85,50.85,48.8,49.65,1099966.0,
2017-04-18,50.2,50.85,48.7,49.1,671992.0,
2017-04-19,49.4,50.1,47.3,49.85,575419.0,
2017-04-20,50.0,50.7,49.7,50.3,648586.0,
2017-04-21,50.45,50.7,49.9,50.25,1094528.0,
2017-04-24,50.0,54.4,50.0,53.25,4229811.0,
2017-04-25,53.2,56.2,53.2,55.6,2848940.0,
2017-04-26,56.05,57.0,53.7,54.15,5296394.0,
2017-04-27,54.9,57.7,54.3,57.05,1395220.0,
2017-04-28,57.3,57.3,55.45,56.05,671433.0,
2017-05-02,56.2,56.55,54.1,55.3,744511.0,
2017-05-03,55.5,59.25,54.65,58.4,2600413.0,
2017-05-04,58.6,60.0,57.95,58.9,1429484.0,
2017-05-05,59.0,60.95,57.3,60.5,2198313.0,
2017-05-08,61.0,62.6,60.75,61.85,1908052.0,
2017-05-09,61.5,62.7,60.25,60.9,1647249.0,
2017-05-10,61.45,63.95,60.5,62.4,4545772.0,
2017-05-11,62.9,63.3,60.2,60.95,1404647.0,
2017-05-12,61.7,62.45,60.4,62.05,1054486.0,
2017-05-15,62.4,64.0,62.35,63.8,1387297.0,
2017-05-16,64.0,67.3,63.2,66.7,2118825.0,
2017-05-17,66.05,67.7,62.65,63.55,4453884.0,
2017-05-18,63.0,64.9,62.1,64.05,2833179.0,
2017-05-19,64.6,65.8,62.8,65.0,1379982.0,
2017-05-22,65.05,65.5,62.75,63.0,670929.0,
2017-05-23,62.45,63.55,57.1,61.25,1070948.0,
2017-05-24,60.65,61.7,58.0,58.5,800302.0,
2017-05-25,58.95,61.4,58.9,60.4,458215.0,
2017-05-26,61.45,61.9,60.6,61.3,285490.0,
2017-05-29,61.9,62.0,59.7,60.25,591798.0,
2017-05-30,60.4,61.9,59.5,61.65,386664.0,
2017-05-31,61.9,61.95,59.55,60.1,349305.0,
2017-06-01,60.5,61.0,59.7,60.35,280505.0,
2017-06-02,60.75,61.9,60.3,60.75,546850.0,
2017-06-05,61.3,61.7,60.0,60.85,364593.0,
2017-06-06,61.0,61.3,58.9,59.5,300687.0,
2017-06-07,59.6,61.9,58.65,60.75,627001.0,
2017-06-08,60.95,61.55,60.1,61.05,339697.0,
2017-06-09,60.95,62.95,60.5,61.9,486137.0,
2017-06-12,62.1,63.9,61.05,62.85,270685.0,
2017-06-13,63.35,66.9,62.7,66.5,1922304.0,
2017-06-14,66.5,67.9,65.75,66.4,784604.0,
2017-06-15,66.45,66.45,65.35,65.65,360416.0,
2017-06-16,65.65,68.7,65.1,67.95,1360618.0,
2017-06-19,68.2,68.4,66.65,67.95,1260741.0,
2017-06-20,67.95,68.4,66.75,67.95,713700.0,
2017-06-21,67.15,69.95,67.15,69.75,1710802.0,
2017-06-22,69.75,71.95,69.35,70.25,1546326.0,
2017-06-23,70.95,73.3,69.55,71.8,1286553.0,
2017-06-27,72.2,74.45,72.1,73.85,1234873.0,
2017-06-28,74.4,75.0,74.0,74.6,728295.0,
2017-06-29,75.0,75.9,74.3,75.75,792263.0,
2017-06-30,75.7,79.0,74.85,78.6,1712004.0,
2017-07-03,78.5,79.35,74.15,76.75,1737360.0,
2017-07-04,76.0,76.5,73.0,74.3,1080298.0,
2017-07-05,74.95,76.8,74.0,75.1,727920.0,
2017-07-06,76.0,76.65,74.05,74.25,678668.0,
2017-07-07,74.5,75.2,73.5,74.25,348869.0,
2017-07-10,74.05,76.45,73.8,74.6,87141.0,
2017-07-11,75.9,76.85,74.0,74.35,792402.0,
2017-07-12,74.3,76.1,73.2,75.55,973457.0,
2017-07-13,75.5,76.2,74.55,75.65,911106.0,
2017-07-14,75.95,75.95,74.05,74.55,573798.0,
2017-07-17,75.25,75.6,73.8,74.35,643095.0,
2017-07-18,74.4,74.9,74.0,74.55,398424.0,
2017-07-19,74.7,78.05,74.25,77.25,938098.0,
2017-07-20,78.5,83.7,77.75,83.15,3100474.0,
2017-07-21,83.9,85.5,82.65,83.55,1844656.0,
2017-07-24,83.9,86.8,81.7,84.95,812239.0,
2017-07-25,87.0,87.5,85.0,86.15,1042812.0,
2017-07-26,86.5,87.4,84.7,85.5,557354.0,
2017-07-27,86.3,88.3,84.1,84.7,972792.0,
2017-07-28,84.5,85.6,83.1,84.85,428455.0,
2017-07-31,85.5,87.0,84.0,86.5,487071.0,
2017-08-01,86.95,87.4,85.5,86.85,458422.0,
2017-08-02,87.0,89.75,84.55,85.5,2400716.0,
2017-08-03,85.95,88.35,84.0,84.25,5387379.0,
2017-08-04,84.9,85.95,82.25,84.65,1490736.0,
2017-08-07,86.9,86.9,84.8,86.2,810261.0,
2017-08-08,86.4,86.8,82.5,84.0,821987.0,
2017-08-09,82.95,85.0,80.6,82.5,735278.0,
2017-08-10,81.55,83.2,74.7,75.35,1474694.0,
2017-08-11,74.0,81.9,72.6,79.15,1633361.0,
2017-08-14,80.0,82.0,79.75,80.65,344458.0,
2017-08-16,81.1,82.5,80.55,80.85,409792.0,
2017-08-17,81.2,82.25,80.35,81.0,541392.0,
2017-08-18,80.4,82.4,79.2,81.3,951808.0,
2017-08-21,81.55,87.25,81.55,87.0,2522027.0,
2017-08-22,87.9,90.95,87.8,89.1,2097708.0,
2017-08-23,89.8,91.4,89.4,90.45,1072771.0,
2017-08-24,90.5,94.0,89.4,92.95,1305776.0,
2017-08-28,93.7,96.75,93.15,96.5,1339935.0,
2017-08-29,96.3,99.0,93.0,96.15,1381195.0,
2017-08-30,97.4,99.5,96.1,98.75,676654.0,
2017-08-31,99.0,105.85,98.3,105.1,2797961.0,
2017-09-01,105.4,115.0,104.0,111.85,3212529.0,
2017-09-04,112.3,116.85,111.0,115.2,2655600.0,
2017-09-05,116.0,120.0,115.7,117.0,1762547.0,
2017-09-06,116.45,118.65,112.3,113.55,1700717.0,
2017-09-07,114.35,115.55,104.2,108.4,1700275.0,
2017-09-08,109.4,109.45,102.25,104.65,1374861.0,
2017-09-11,114.7,114.7,105.4,105.95,1416412.0,
2017-09-12,106.8,110.9,105.95,106.75,1476713.0,
2017-09-13,107.8,109.15,105.65,106.1,938101.0,
2017-09-14,107.1,111.35,105.05,105.9,2084745.0,
2017-09-15,106.1,118.0,104.85,116.0,3291212.0,
2017-09-18,118.0,128.6,118.0,126.85,4789093.0,
2017-09-19,129.3,135.9,129.0,133.0,4567909.0,
2017-09-20,133.6,136.0,126.2,129.3,2125729.0,
2017-09-21,130.3,141.0,122.0,139.85,4847803.0,
2017-09-22,141.15,142.5,132.2,133.5,4332457.0,
2017-09-25,134.05,135.95,120.95,127.6,2549386.0,
2017-09-26,127.0,139.0,126.5,136.95,3266377.0,
2017-09-27,138.5,145.4,134.0,136.65,3633933.0,
2017-09-28,139.65,141.7,135.1,140.6,1913995.0,
2017-09-29,143.1,144.8,139.0,139.75,1516520.0,
2017-10-03,142.5,143.0,136.95,139.3,1346948.0,
2017-10-04,140.3,149.2,137.9,146.45,2882915.0,
2017-10-05,150.0,167.4,150.0,161.9,8159706.0,
2017-10-06,163.45,166.5,156.05,157.35,3731857.0,
2017-10-09,157.9,168.5,154.55,165.55,4280629.0,
2017-10-10,167.7,169.0,162.0,163.55,2071722.0,
2017-10-11,164.45,174.0,162.2,168.85,5435067.0,
2017-10-12,171.7,174.8,168.85,172.65,2451250.0,
2017-10-13,173.5,173.95,168.0,169.55,1892842.0,
2017-10-16,170.35,172.35,163.4,164.65,1886427.0,
2017-10-17,164.95,167.9,163.0,165.8,1379703.0,
2017-10-18,165.35,166.65,162.5,163.55,1390787.0,
2017-10-19,163.5,163.85,158.3,159.85,464915.0,
2017-10-23,160.95,165.0,158.7,160.15,1211573.0,
2017-10-24,161.05,163.5,158.0,158.3,1296592.0,
2017-10-25,159.9,160.4,149.75,151.3,1784269.0,
2017-10-26,151.4,174.4,151.3,168.95,4265437.0,
2017-10-27,170.4,174.5,167.5,169.9,2408643.0,
2017-10-30,170.7,178.2,168.1,175.8,3342239.0,
2017-10-31,175.7,177.9,167.0,173.45,2524084.0,
2017-11-01,174.85,175.8,169.0,170.7,1508634.0,
2017-11-02,171.5,177.95,165.0,168.1,3700865.0,
2017-11-03,170.0,176.9,168.35,169.7,3148064.0,
2017-11-06,171.3,173.8,165.1,166.1,1500880.0,
2017-11-07,167.2,168.4,158.3,159.3,2672604.0,
2017-11-08,160.4,160.7,152.15,154.35,1677079.0,
2017-11-09,156.15,172.2,156.15,170.4,3669644.0,
2017-11-10,166.6,170.4,162.8,164.7,1681327.0,
2017-11-13,165.45,173.4,161.25,168.15,2101175.0,
2017-11-14,170.0,173.0,167.05,168.3,1676680.0,
2017-11-15,166.0,166.0,161.2,162.25,1458878.0,
2017-11-16,163.3,165.7,162.55,163.1,912081.0,
2017-11-17,165.0,169.8,163.2,163.8,961788.0,
2017-11-20,164.0,165.8,162.0,163.65,652425.0,
2017-11-21,165.0,165.05,160.6,161.3,629132.0,
2017-11-22,162.4,174.8,157.3,172.0,3913825.0,
2017-11-23,173.95,175.8,168.1,171.1,2025965.0,
2017-11-24,171.4,171.4,166.1,166.65,901501.0,
2017-11-27,165.0,170.7,163.25,168.85,885701.0,
2017-11-28,168.7,168.9,162.5,164.1,1008332.0,
2017-11-29,164.5,166.3,162.15,162.95,923952.0,
2017-11-30,162.9,167.1,160.1,164.4,2166642.0,
2017-12-01,166.4,168.8,160.8,161.6,1135635.0,
2017-12-04,162.9,163.75,158.3,159.15,638880.0,
2017-12-05,158.5,160.8,156.2,157.0,841386.0,
2017-12-06,156.95,162.0,155.05,156.1,924013.0,
2017-12-07,156.9,160.45,154.7,158.55,976975.0,
2017-12-08,159.5,162.4,157.15,157.65,1382165.0,
2017-12-11,159.3,161.8,157.35,158.7,739349.0,
2017-12-12,159.15,159.25,156.7,157.05,603534.0,
2017-12-13,157.1,159.4,151.7,153.3,952400.0,
2017-12-14,154.4,154.7,147.0,151.75,917529.0,
2017-12-15,154.0,158.5,154.0,155.25,1081749.0,
2017-12-18,153.0,157.5,147.45,153.0,655547.0,
2017-12-19,154.0,158.0,154.0,155.9,653226.0,
2017-12-20,157.55,159.75,156.2,156.9,657657.0,
2017-12-21,157.0,162.9,153.05,160.5,1536884.0,
2017-12-22,161.8,166.75,160.8,162.45,1517284.0,
2017-12-26,162.45,163.15,157.6,158.9,687203.0,
2017-12-27,159.8,159.8,155.25,156.15,642157.0,
2017-12-28,156.7,157.7,153.5,154.35,536354.0,
2017-12-29,155.2,157.1,151.5,153.75,954472.0,
2018-01-01,154.4,155.85,153.0,153.55,503063.0,
2018-01-02,154.9,170.9,151.5,168.55,6715434.0,
2018-01-03,172.0,177.8,171.1,174.25,6009460.0,
2018-01-04,175.0,175.6,168.55,170.75,2099816.0,
2018-01-05,172.4,174.7,168.5,170.95,1828733.0,
2018-01-08,170.7,185.9,170.5,184.15,6076378.0,
2018-01-09,185.25,193.4,181.0,187.3,6224686.0,
2018-01-10,187.4,189.0,182.0,183.75,1904978.0,
2018-01-11,185.1,196.0,185.1,192.8,4407910.0,
2018-01-12,193.5,195.2,184.1,188.75,2482254.0,
2018-01-15,192.0,196.8,190.0,191.4,2889629.0,
2018-01-16,192.75,193.15,182.7,184.2,2176166.0,
2018-01-17,182.9,184.7,170.6,181.95,2324584.0,
2018-01-18,183.15,186.1,172.5,175.85,1481605.0,
2018-01-19,175.85,177.4,170.3,173.5,1264260.0,
2018-01-22,175.3,187.9,175.0,186.55,2839705.0,
2018-01-23,187.0,189.0,183.8,185.6,1386175.0,
2018-01-24,184.95,186.3,180.05,181.8,1093287.0,
2018-01-25,184.6,189.9,183.05,187.2,2242505.0,
2018-01-29,192.0,193.0,181.35,184.55,4749541.0,
