,Open,High,Low,Close,Volume,DeliveryPct
2017-05-19,73.0,77.85,71.0,72.55,210956446.0,
2017-05-22,72.65,73.45,69.65,70.15,19233222.0,
2017-05-23,69.4,69.9,66.55,68.15,14721869.0,
2017-05-24,68.5,69.45,66.4,66.65,8670873.0,
2017-05-25,67.1,72.25,66.95,70.75,13265189.0,
2017-05-26,71.0,73.25,70.55,72.95,12062826.0,
2017-05-29,73.25,74.7,72.75,73.15,8905003.0,
2017-05-30,73.25,74.0,71.55,73.0,10410782.0,
2017-05-31,72.55,73.65,71.65,73.2,5615107.0,
2017-06-01,73.2,74.25,72.5,73.0,3673826.0,
2017-06-02,73.4,73.6,72.55,73.0,3123069.0,
2017-06-05,73.0,73.3,72.0,72.2,1682821.0,
2017-06-06,72.05,72.9,71.3,71.9,2086019.0,
2017-06-07,72.0,72.25,71.3,71.55,1284804.0,
2017-06-08,71.6,71.9,69.85,70.0,2299141.0,
2017-06-09,70.0,70.7,69.7,70.3,1635150.0,
2017-06-12,70.1,70.1,68.55,68.75,2136002.0,
2017-06-13,69.25,69.4,68.1,68.3,2062007.0,
2017-06-14,68.5,68.7,68.0,68.2,1103623.0,
2017-06-15,68.0,70.7,68.0,69.05,2373038.0,
2017-06-16,69.4,69.7,68.35,68.55,1394334.0,
2017-06-19,68.1,69.05,67.75,67.9,2181687.0,
2017-06-20,68.1,68.35,67.55,68.0,1856784.0,
2017-06-21,67.7,69.0,67.55,68.05,1745830.0,
2017-06-22,68.3,68.3,67.8,68.0,1433730.0,
2017-06-23,69.6,70.0,68.25,68.55,3423901.0,
2017-06-27,68.8,68.8,66.55,66.8,1902993.0,
2017-06-28,67.1,67.2,66.0,66.1,1737873.0,
2017-06-29,66.4,68.15,66.25,67.85,1866113.0,
2017-06-30,67.15,68.1,66.7,67.1,1341896.0,
2017-07-03,67.5,67.9,67.05,67.45,1022100.0,
2017-07-04,67.25,68.85,67.2,67.45,1760410.0,
2017-07-05,67.5,67.9,67.2,67.65,710006.0,
2017-07-06,67.7,70.35,67.65,68.7,3817920.0,
2017-07-07,68.7,69.9,68.3,69.0,2144002.0,
2017-07-10,69.4,82.8,69.0,69.5,407351.0,
2017-07-11,69.75,79.8,69.6,78.45,52983772.0,
2017-07-12,81.0,92.65,81.0,90.05,104720139.0,
2017-07-13,92.3,99.75,92.0,97.7,100252333.0,
2017-07-14,99.2,102.3,88.55,90.7,106125913.0,
2017-07-17,90.5,93.9,86.8,89.65,50591166.0,
2017-07-18,88.0,91.5,86.55,87.0,18910056.0,
2017-07-19,87.75,89.15,86.6,87.2,10858237.0,
2017-07-20,87.75,91.45,86.2,90.25,29764568.0,
2017-07-21,90.75,91.65,87.75,88.65,12588587.0,
2017-07-24,89.1,89.9,87.5,87.8,9212165.0,
2017-07-25,89.0,89.45,86.2,86.4,15364923.0,
2017-07-26,86.75,86.9,83.15,83.3,10209823.0,
2017-07-27,83.75,85.45,82.35,82.7,12314817.0,
2017-07-28,82.2,84.4,80.75,83.3,19771547.0,
2017-07-31,83.4,83.55,81.4,81.8,6389486.0,
2017-08-01,82.05,82.45,80.75,81.05,4152813.0,
2017-08-02,81.3,83.3,80.8,82.65,8086692.0,
2017-08-03,82.6,83.9,81.15,81.55,5682769.0,
2017-08-04,81.7,81.8,79.55,79.9,5373958.0,
2017-08-07,80.25,84.9,80.15,84.3,15749582.0,
2017-08-08,84.9,84.9,81.65,81.85,5177438.0,
2017-08-09,81.15,81.7,80.1,80.65,4098213.0,
2017-08-10,80.5,80.5,75.0,76.8,6093546.0,
2017-08-11,75.0,78.35,74.1,77.25,6669956.0,
2017-08-14,78.45,79.4,77.75,78.6,3008213.0,
2017-08-16,79.25,81.3,78.25,80.8,6885913.0,
2017-08-17,81.0,82.9,80.45,81.55,4036546.0,
2017-08-18,80.3,81.05,79.3,80.15,3353101.0,
2017-08-21,80.75,82.2,79.55,79.75,4238978.0,
2017-08-22,80.25,80.5,78.5,78.85,2281770.0,
2017-08-23,79.4,80.6,79.0,79.8,2882497.0,
2017-08-24,80.2,80.4,79.4,79.55,1929941.0,
2017-08-28,79.95,80.8,79.5,79.75,3439649.0,
2017-08-29,79.9,81.75,78.85,79.2,7048692.0,
2017-08-30,79.9,81.15,79.55,80.55,4314894.0,
2017-08-31,82.05,83.6,81.6,83.15,10973531.0,
2017-09-01,83.5,85.6,83.2,84.25,7797828.0,
2017-09-04,84.25,84.35,81.0,82.45,3823792.0,
2017-09-05,82.7,87.3,82.2,86.8,11151207.0,
2017-09-06,86.25,89.15,85.7,87.1,14628247.0,
2017-09-07,88.1,89.0,86.0,86.35,6581393.0,
2017-09-08,86.8,87.3,83.7,84.65,6156417.0,
2017-09-11,85.0,86.45,84.65,85.15,3748422.0,
2017-09-12,85.4,86.2,84.75,84.95,3231618.0,
2017-09-13,85.35,85.35,82.55,82.95,2910395.0,
2017-09-14,83.5,84.7,82.75,83.15,2805037.0,
2017-09-15,82.7,86.1,82.7,85.6,7470209.0,
2017-09-18,86.9,88.4,86.15,87.45,8564963.0,
2017-09-19,87.7,89.0,86.5,88.25,6253915.0,
2017-09-20,88.45,91.55,87.45,89.45,17213784.0,
2017-09-21,89.7,92.6,88.6,90.95,16368508.0,
2017-09-22,90.05,90.65,85.3,85.85,7831522.0,
2017-09-25,86.2,86.85,81.6,83.65,7148107.0,
2017-09-26,83.95,85.95,83.0,84.95,5364467.0,
2017-09-27,85.6,86.5,82.55,83.05,4037610.0,
2017-09-28,83.55,84.15,82.25,83.4,2475462.0,
2017-09-29,83.85,84.35,83.0,83.2,2860402.0,
2017-10-03,84.1,84.1,82.6,82.9,2106671.0,
2017-10-04,83.2,84.45,82.6,83.5,3061571.0,
2017-10-05,83.7,85.35,83.1,83.8,3839963.0,
2017-10-06,84.0,85.25,83.7,83.9,4965655.0,
2017-10-09,83.4,85.05,83.1,83.3,4302355.0,
2017-10-10,83.7,84.3,83.25,83.5,3511696.0,
2017-10-11,83.9,84.05,81.0,81.85,3912981.0,
2017-10-12,82.3,82.45,81.4,81.9,2338191.0,
2017-10-13,82.25,83.7,82.1,82.2,2586529.0,
2017-10-16,82.3,83.05,81.5,81.8,2547885.0,
2017-10-17,81.95,82.9,81.8,81.95,2287388.0,
2017-10-18,81.95,82.35,81.35,81.5,2556367.0,
2017-10-19,81.65,82.15,80.85,81.4,1083357.0,
2017-10-23,81.8,82.15,80.45,80.75,1852039.0,
2017-10-24,80.8,81.7,80.5,80.7,1811191.0,
2017-10-25,81.15,81.75,80.5,80.75,2002086.0,
2017-10-26,80.6,83.85,80.6,82.25,4724918.0,
2017-10-27,82.5,86.4,82.05,85.85,10327267.0,
2017-10-30,87.7,89.8,87.5,88.05,14498469.0,
2017-10-31,88.25,88.3,85.75,85.95,3864949.0,
2017-11-01,86.4,86.9,85.25,85.5,2784282.0,
2017-11-02,85.7,88.2,85.0,86.85,4291838.0,
2017-11-03,87.1,87.7,85.75,86.2,2963188.0,
2017-11-06,85.85,89.0,84.3,84.9,9955242.0,
2017-11-07,84.8,85.9,82.25,82.55,3643049.0,
2017-11-08,82.75,83.65,81.6,81.9,2188293.0,
2017-11-09,82.75,82.75,81.4,81.95,2034163.0,
2017-11-10,81.9,82.45,81.35,81.7,1807589.0,
2017-11-13,81.95,82.3,80.45,80.65,1677630.0,
2017-11-14,81.05,82.5,81.0,81.4,2372924.0,
2017-11-15,81.65,81.9,79.55,79.85,2269465.0,
2017-11-16,80.4,82.4,80.15,81.45,2125875.0,
2017-11-17,83.0,83.8,82.05,82.25,3093681.0,
2017-11-20,82.25,82.75,81.85,82.0,1416294.0,
2017-11-21,82.4,82.7,81.3,81.4,1608706.0,
2017-11-22,81.75,83.8,81.1,83.1,4195903.0,
2017-11-23,83.3,85.2,82.2,84.4,4373103.0,
2017-11-24,86.1,86.7,84.6,84.95,5241774.0,
2017-11-27,84.6,86.2,83.55,84.35,3497109.0,
2017-11-28,84.3,85.8,83.85,84.2,3420993.0,
2017-11-29,84.25,84.55,83.0,83.55,1749501.0,
2017-11-30,83.1,83.95,81.8,82.25,2507836.0,
2017-12-01,82.5,82.9,80.8,81.05,2396745.0,
2017-12-04,81.5,81.7,78.55,78.85,3543247.0,
2017-12-05,79.0,79.7,77.8,78.55,2729229.0,
2017-12-06,78.8,80.2,78.0,78.1,3150368.0,
2017-12-07,78.45,79.7,78.35,79.4,1481698.0,
2017-12-08,79.9,80.9,79.65,80.0,1950109.0,
2017-12-11,80.9,80.9,79.35,79.85,1402699.0,
2017-12-12,79.95,80.4,79.0,79.1,1409847.0,
2017-12-13,79.25,79.65,77.9,78.2,1241887.0,
2017-12-14,78.6,78.65,77.2,78.0,1434765.0,
2017-12-15,78.95,79.25,78.25,78.45,1125755.0,
2017-12-18,78.4,79.85,76.05,78.5,1792353.0,
2017-12-19,78.7,80.45,78.7,79.8,2430240.0,
2017-12-20,79.8,80.85,79.65,80.15,1863215.0,
2017-12-21,80.3,81.75,79.85,80.7,3001590.0,
2017-12-22,80.95,81.8,80.6,80.85,2107526.0,
2017-12-26,81.0,81.75,80.4,81.3,1950783.0,
2017-12-27,81.45,83.2,81.0,81.6,3692029.0,
2017-12-28,81.9,83.4,81.3,82.55,3549147.0,
2017-12-29,82.7,83.85,82.3,82.5,3663212.0,
2018-01-01,82.7,83.9,82.45,82.8,2840715.0,
2018-01-02,82.85,83.1,80.75,82.0,2494107.0,
2018-01-03,82.35,85.15,82.1,83.35,6345661.0,
2018-01-04,83.75,84.7,82.75,84.2,4069687.0,
2018-01-05,84.45,84.85,83.3,83.9,3008707.0,
