,Open,High,Low,Close,Volume,DeliveryPct
2024-10-22,1934.0,1970.0,1807.0,1819.6,28619978.0,57.57
2024-10-23,1815.2,1928.9,1810.0,1896.85,7729113.0,44.23
2024-10-24,1927.95,1933.85,1853.45,1871.2,3271622.0,46.66
2024-10-25,1871.0,1884.25,1783.0,1843.75,3219776.0,59.15
2024-10-28,1843.75,1848.65,1795.0,1803.35,1341337.0,63.17
2024-10-29,1807.95,1807.95,1752.0,1758.5,2446675.0,66.62
2024-10-30,1769.95,1843.1,1760.65,1832.05,1516619.0,55.73
2024-10-31,1823.0,1842.95,1815.15,1822.55,522279.0,56.82
2024-11-01,1825.0,1848.0,1825.0,1832.3,158166.0,63.79
2024-11-04,1832.25,1841.0,1796.1,1814.45,926694.0,66.87
2024-11-05,1802.35,1840.0,1800.0,1828.25,889751.0,59.59
2024-11-06,1826.0,1868.4,1823.1,1853.5,903413.0,51.07
2024-11-07,1841.65,1849.9,1826.0,1833.65,650585.0,65.68
2024-11-08,1830.2,1847.6,1809.6,1840.15,577813.0,67.42
2024-11-11,1830.0,1865.0,1820.0,1822.05,445794.0,45.56
2024-11-12,1826.2,1842.25,1772.2,1803.95,1069276.0,29.14
2024-11-13,1787.0,1795.0,1714.0,1739.95,1500153.0,51.06
2024-11-14,1749.95,1779.0,1716.1,1765.75,580587.0,43.0
2024-11-18,1751.9,1759.0,1688.5,1729.8,1599438.0,58.26
2024-11-19,1733.0,1849.0,1729.0,1829.8,1824631.0,53.87
2024-11-20,1733.0,1849.0,1729.0,1829.8,1824631.0,53.87
2024-11-21,1819.95,1859.0,1786.05,1825.55,1171989.0,52.04
2024-11-22,1825.55,1838.0,1811.25,1830.2,436515.0,65.61
2024-11-25,1835.05,1860.0,1832.05,1853.35,791187.0,70.66
2024-11-26,1854.9,1911.0,1853.35,1880.0,825461.0,51.43
2024-11-27,1905.3,1926.6,1895.0,1907.45,894423.0,64.93
2024-11-28,1890.0,1917.8,1874.15,1902.65,692877.0,49.42
2024-11-29,1905.2,1939.0,1897.05,1916.55,1301843.0,61.85
2024-12-02,1875.0,1915.45,1870.25,1880.9,476433.0,43.48
2024-12-03,1885.0,1889.85,1825.5,1849.2,961607.0,63.21
2024-12-04,1840.25,1877.0,1840.25,1872.2,640379.0,51.2
2024-12-05,1875.9,1898.9,1866.3,1878.05,506260.0,48.11
2024-12-06,1876.0,1880.0,1853.6,1858.5,612872.0,73.12
2024-12-09,1858.5,1871.0,1824.0,1826.65,403251.0,62.82
2024-12-10,1829.95,1842.95,1820.0,1833.45,367019.0,57.76
2024-12-11,1840.0,1840.0,1819.0,1823.4,337783.0,69.78
2024-12-12,1769.05,1861.0,1768.65,1798.6,1048206.0,70.4
2024-12-13,1800.0,1808.7,1760.0,1772.0,569711.0,68.14
2024-12-16,1772.0,1824.1,1766.25,1817.4,545726.0,48.05
2024-12-17,1817.4,1831.0,1802.05,1824.25,312411.0,54.94
2024-12-18,1820.5,1822.95,1790.0,1795.85,324766.0,60.31
2024-12-19,1785.15,1792.0,1766.0,1787.45,430008.0,63.68
2024-12-20,1793.25,1807.95,1758.0,1766.2,531540.0,56.43
2024-12-23,1779.55,1786.0,1738.0,1752.6,335306.0,57.21
2024-12-24,1762.1,1770.0,1749.35,1765.2,192311.0,56.87
2024-12-25,1762.1,1770.0,1749.35,1765.2,192311.0,56.87
2024-12-26,1765.2,1786.95,1750.0,1777.8,257169.0,55.2
2024-12-27,1777.8,1805.3,1776.0,1792.1,223552.0,51.18
