,Open,High,Low,Close,Volume,DeliveryPct
2025-12-19,2600.0,2663.4,2575.0,2585.9,31422557.0,70.82
2025-12-22,2579.9,2646.5,2530.0,2610.0,5056617.0,49.76
2025-12-23,2613.0,2630.0,2588.0,2609.5,1373947.0,64.79
2025-12-24,2610.0,2665.0,2606.6,2640.6,2419891.0,56.06
2025-12-25,2610.0,2665.0,2606.6,2640.6,2419891.0,56.06
2025-12-26,2640.0,2648.0,2601.0,2629.8,689912.0,48.38
2025-12-29,2630.0,2689.0,2616.9,2658.9,1181473.0,47.99
2025-12-30,2649.0,2658.0,2625.3,2641.3,437805.0,50.78
2025-12-31,2641.9,2678.0,2641.0,2661.1,714252.0,62.45
2026-01-01,2660.0,2665.0,2613.4,2631.8,366321.0,62.47
2026-01-02,2632.0,2684.0,2624.0,2662.2,752687.0,71.64
2026-01-05,2658.6,2684.5,2624.2,2677.7,536132.0,59.72
2026-01-06,2648.0,2703.3,2648.0,2695.6,512484.0,51.86
2026-01-07,2695.0,2719.0,2680.1,2695.7,369458.0,67.09
2026-01-08,2699.7,2725.2,2681.0,2718.4,626658.0,71.34
2026-01-09,2705.0,2717.2,2629.2,2664.8,551374.0,57.21
2026-01-12,2649.1,2649.1,2587.0,2629.4,680295.0,64.05
2026-01-13,2622.0,2682.5,2614.1,2671.8,529889.0,63.04
2026-01-14,2665.0,2749.0,2660.0,2736.0,551849.0,54.93
2026-01-15,2665.0,2749.0,2660.0,2736.0,551849.0,54.93
2026-01-16,2810.0,2972.0,2782.5,2935.5,2826103.0,34.15
2026-01-19,2937.0,2977.7,2855.0,2922.1,567969.0,40.04
2026-01-20,2922.0,2922.0,2790.0,2827.9,420807.0,38.78
2026-01-21,2810.0,2850.0,2731.3,2843.3,556931.0,36.76
2026-01-22,2868.0,2895.0,2769.9,2783.1,441528.0,51.18
2026-01-23,2765.0,2815.6,2750.1,2776.9,397935.0,55.28
2026-01-26,2765.0,2815.6,2750.1,2776.9,397935.0,55.28
