,Open,High,Low,Close,Volume,DeliveryPct
2016-09-29,330.0,333.9,295.15,297.55,89058658.0,
2016-09-30,297.4,312.4,293.05,310.25,12045593.0,
2016-10-03,312.9,313.75,307.3,309.7,3169557.0,
2016-10-04,308.95,309.55,303.5,304.25,3173993.0,
2016-10-05,305.0,315.0,304.1,313.75,5485589.0,
2016-10-06,314.85,322.8,314.0,316.55,5753209.0,
2016-10-07,318.0,319.7,315.45,317.25,1009789.0,
2016-10-10,319.1,326.95,318.1,324.6,3482805.0,
2016-10-13,322.0,328.7,315.75,317.55,3088238.0,
2016-10-14,319.7,328.75,319.15,327.35,2771778.0,
2016-10-17,328.0,331.7,324.2,327.6,2153353.0,
2016-10-18,329.2,333.0,328.45,330.9,2774228.0,
2016-10-19,331.6,332.45,324.0,324.9,1227049.0,
2016-10-20,325.9,329.4,322.55,324.0,946203.0,
2016-10-21,324.85,329.4,323.05,326.85,1122150.0,
2016-10-24,327.85,329.85,323.1,323.9,684940.0,
2016-10-25,324.4,328.0,323.15,324.15,964425.0,
2016-10-26,323.95,325.4,319.3,320.4,940792.0,
2016-10-27,320.05,320.05,312.3,314.1,1243528.0,
2016-10-28,313.0,314.35,307.0,308.6,1188812.0,
2016-11-01,312.9,315.45,310.05,311.3,1028849.0,
2016-11-02,310.0,310.6,305.05,305.75,881783.0,
2016-11-03,305.05,307.8,301.6,304.05,1243070.0,
2016-11-04,304.95,305.95,302.5,303.4,1157870.0,
2016-11-07,305.8,307.9,302.65,304.9,1228091.0,
2016-11-08,306.0,306.95,302.7,303.5,412371.0,
2016-11-09,290.0,300.75,271.0,298.05,2590826.0,
2016-11-10,302.95,314.9,301.0,313.7,2123137.0,
2016-11-11,309.7,309.7,302.55,304.85,1313176.0,
2016-11-15,304.85,305.0,295.0,297.2,1591246.0,
2016-11-16,303.0,304.25,298.0,299.3,1270188.0,
2016-11-17,300.0,302.5,293.0,293.5,1051062.0,
2016-11-18,294.75,295.6,284.5,285.45,899512.0,
2016-11-21,288.0,288.0,282.2,284.15,1285263.0,
2016-11-22,285.4,290.9,281.2,289.05,1209797.0,
