,Open,High,Low,Close,Volume,DeliveryPct
2016-08-19,69.85,71.75,69.45,71.1,6279293.0,
2016-08-22,72.0,72.2,70.6,71.15,3368891.0,
2016-08-23,71.3,72.3,70.7,72.05,3872549.0,
2016-08-24,72.0,72.75,71.55,71.9,3038534.0,
2016-08-25,74.0,77.9,69.55,75.25,46752185.0,
2016-08-26,72.85,73.4,70.05,70.45,12726900.0,
2016-08-29,70.2,70.95,69.4,70.5,4021066.0,
2016-08-30,70.7,72.85,70.7,72.4,6017223.0,
2016-08-31,74.2,74.35,72.6,72.9,7125214.0,
2016-09-01,72.7,73.0,71.1,71.65,4304247.0,
2016-09-02,71.7,73.05,71.5,72.8,3508124.0,
2016-09-06,73.0,74.05,72.95,73.4,2801674.0,
2016-09-07,73.25,75.8,72.9,74.85,7901358.0,
2016-09-08,75.0,76.4,74.5,75.8,5497284.0,
2016-09-09,76.9,80.8,76.2,79.5,28220584.0,
2016-09-12,78.0,79.5,75.15,75.6,8971653.0,
2016-09-14,75.3,78.25,75.25,77.7,6138734.0,
2016-09-15,77.7,77.85,76.05,76.3,4299479.0,
2016-09-16,76.5,78.15,75.0,75.25,10553090.0,
2016-09-19,76.45,76.9,75.25,75.5,3461815.0,
2016-09-20,75.85,75.85,73.25,73.95,5366996.0,
2016-09-21,74.0,74.65,72.25,72.65,4070199.0,
2016-09-22,75.5,75.75,74.05,74.65,6676555.0,
2016-09-23,74.55,74.9,73.3,73.5,3905128.0,
2016-09-26,73.2,73.55,71.5,71.8,4316959.0,
2016-09-27,71.85,72.4,70.5,70.7,4722571.0,
2016-09-28,70.8,72.9,70.4,72.55,5278096.0,
2016-09-29,72.7,73.35,66.45,67.0,17085264.0,
2016-09-30,67.2,69.35,67.0,68.7,5170084.0,
2016-10-03,69.8,71.25,69.2,71.05,4097722.0,
2016-10-04,71.9,72.5,70.85,72.15,5323468.0,
2016-10-05,72.85,72.85,70.95,71.2,3051847.0,
2016-10-06,71.25,71.75,69.05,69.75,3209514.0,
2016-10-07,72.1,73.55,71.25,71.8,13677818.0,
2016-10-10,72.2,72.35,70.9,71.05,2420111.0,
2016-10-13,70.3,70.55,68.1,69.0,4277686.0,
2016-10-14,69.9,69.9,68.5,68.95,2926848.0,
2016-10-17,70.0,70.6,68.3,68.6,4421639.0,
2016-10-18,69.1,70.4,68.7,70.2,3277633.0,
2016-10-19,71.2,73.4,71.2,72.85,8839935.0,
2016-10-20,73.5,74.15,72.9,73.85,5560541.0,
2016-10-21,73.65,76.9,73.05,76.55,10253619.0,
2016-10-24,76.4,77.9,75.6,76.55,6694467.0,
2016-10-25,76.55,77.55,73.05,74.3,10204827.0,
2016-10-26,72.6,75.9,72.6,74.55,5668601.0,
2016-10-27,73.6,75.25,72.0,74.55,6935148.0,
2016-10-28,74.6,75.15,73.3,73.55,2641658.0,
2016-11-01,74.0,74.3,72.6,72.85,2344192.0,
2016-11-02,72.0,72.2,70.0,70.15,3296477.0,
2016-11-03,70.25,71.15,69.3,69.5,2319762.0,
2016-11-04,70.0,70.1,68.3,68.6,2823770.0,
2016-11-07,69.25,70.95,69.2,70.25,2352351.0,
2016-11-08,70.8,70.8,69.05,69.7,1896015.0,
2016-11-09,65.15,70.4,62.75,69.45,8257665.0,
2016-11-10,71.7,74.15,71.1,72.5,7162112.0,
2016-11-11,71.65,75.35,70.65,71.45,6416611.0,
2016-11-15,72.0,73.3,70.0,70.75,5325986.0,
2016-11-16,72.0,72.35,69.3,70.85,3565212.0,
2016-11-17,71.0,71.75,69.85,70.15,2174949.0,
2016-11-18,70.65,72.5,69.55,71.65,4048399.0,
2016-11-21,72.9,72.9,67.8,68.05,3854899.0,
2016-11-22,68.5,68.95,66.15,67.7,4011356.0,
2016-11-23,68.7,68.9,67.4,68.25,2592376.0,
2016-11-24,67.9,69.2,66.35,66.8,6091568.0,
2016-11-25,67.75,68.25,67.1,67.95,3060133.0,
2016-11-28,67.1,68.5,66.5,67.75,2167402.0,
2016-11-29,67.9,68.6,67.5,68.0,1489655.0,
2016-11-30,68.1,69.45,68.1,69.2,2219119.0,
2016-12-01,69.45,69.8,68.2,68.55,1544450.0,
2016-12-02,68.2,68.75,67.3,67.8,1978473.0,
2016-12-05,67.8,68.35,67.05,68.1,1972020.0,
2016-12-06,68.7,68.8,68.1,68.25,1188735.0,
2016-12-07,68.5,69.15,66.8,67.65,2050051.0,
2016-12-08,68.15,68.95,67.9,68.65,1326806.0,
2016-12-09,69.0,72.4,68.35,71.9,6399067.0,
2016-12-12,72.45,72.5,70.2,70.55,2789187.0,
2016-12-13,70.65,71.0,69.65,70.8,1616588.0,
2016-12-14,71.0,71.0,69.65,69.9,1309651.0,
2016-12-15,69.15,71.4,69.15,70.55,2290769.0,
2016-12-16,70.65,70.9,69.9,70.4,1299291.0,
2016-12-19,70.3,70.85,69.7,70.2,1270701.0,
2016-12-20,70.5,70.6,67.8,68.25,2076701.0,
2016-12-21,68.5,68.85,67.85,68.1,1303018.0,
2016-12-22,67.5,68.15,67.1,67.85,1555137.0,
2016-12-23,67.8,68.8,67.4,67.8,1571788.0,
2016-12-26,67.7,68.0,65.75,65.95,1462875.0,
2016-12-27,65.85,67.25,65.3,67.0,1436413.0,
2016-12-28,67.3,67.9,66.55,67.0,1972871.0,
2016-12-29,70.05,70.25,68.25,69.35,6604996.0,
2016-12-30,69.6,69.85,68.95,69.4,2274623.0,
2017-01-02,69.5,69.9,68.1,69.0,1656916.0,
2017-01-03,69.0,70.1,68.55,69.85,2455373.0,
2017-01-04,69.8,70.6,69.4,69.95,1824059.0,
2017-01-05,70.2,71.5,70.2,71.25,2112223.0,
2017-01-06,71.5,71.95,70.95,71.1,1735304.0,
2017-01-09,71.2,74.8,70.85,74.15,5294615.0,
2017-01-10,74.7,75.3,72.95,73.45,3746660.0,
2017-01-11,73.7,74.95,73.55,74.15,2912815.0,
2017-01-12,74.3,75.6,73.3,74.45,3529473.0,
2017-01-13,74.5,74.95,72.8,73.65,2132288.0,
2017-01-16,73.7,74.9,73.4,74.4,1463717.0,
2017-01-17,74.8,75.0,73.45,74.0,1380158.0,
2017-01-18,74.0,74.85,73.65,74.1,1247024.0,
2017-01-19,74.35,77.2,73.7,76.55,8445909.0,
2017-01-20,76.1,77.35,73.85,74.3,3487016.0,
2017-01-23,74.1,76.45,73.9,76.1,2581751.0,
2017-01-24,75.4,76.8,74.3,76.35,4639629.0,
2017-01-25,76.5,80.5,76.05,80.0,8479327.0,
2017-01-27,79.8,80.85,78.65,79.05,3398465.0,
2017-01-30,78.65,79.8,77.65,78.75,2432986.0,
2017-01-31,78.5,79.05,76.5,77.25,1761635.0,
2017-02-01,77.5,80.75,76.55,80.15,4567696.0,
2017-02-02,80.45,83.75,78.55,82.75,8699420.0,
2017-02-03,82.75,85.9,82.5,85.15,7123209.0,
2017-02-06,86.1,86.4,82.8,83.55,5161739.0,
2017-02-07,83.6,85.3,79.95,81.75,16775147.0,
2017-02-08,81.2,83.25,80.65,82.75,5758291.0,
2017-02-09,82.55,83.9,80.9,82.6,4878152.0,
2017-02-10,83.0,83.2,81.4,82.0,3295809.0,
2017-02-13,82.6,82.85,79.7,81.55,2587707.0,
2017-02-14,81.1,85.25,80.0,84.2,9115740.0,
2017-02-15,84.7,84.7,80.3,81.0,5189575.0,
2017-02-16,81.0,81.9,80.0,80.9,3879959.0,
2017-02-17,81.5,82.1,80.7,81.15,3111284.0,
2017-02-20,81.1,82.75,81.0,82.35,3476034.0,
2017-02-21,82.95,83.6,81.6,82.9,7529824.0,
2017-02-22,82.8,82.95,81.1,81.7,2750762.0,
2017-02-23,82.85,82.9,81.3,81.65,3637663.0,
2017-02-27,81.5,81.6,78.2,78.9,3307243.0,
2017-02-28,78.6,80.1,78.05,79.55,2910928.0,
2017-03-01,80.0,80.8,79.45,79.85,2106593.0,
2017-03-02,80.1,80.65,76.75,77.15,3490645.0,
2017-03-03,76.7,77.5,76.05,77.1,2562500.0,
2017-03-06,77.7,78.05,77.0,77.55,1595067.0,
2017-03-07,77.5,77.9,77.05,77.6,1555122.0,
2017-03-08,77.8,78.4,75.5,75.95,2138613.0,
2017-03-09,75.6,76.4,75.3,75.6,2852090.0,
2017-03-10,75.7,77.05,75.25,75.8,2554216.0,
2017-03-14,77.1,77.5,76.0,76.15,2251994.0,
2017-03-15,76.15,77.75,75.7,76.05,3852840.0,
2017-03-16,76.55,77.1,76.0,76.9,3776683.0,
2017-03-17,77.05,77.3,75.6,75.95,2506620.0,
2017-03-20,77.7,78.9,76.1,77.8,6296782.0,
2017-03-21,78.0,78.85,76.55,77.35,5643724.0,
2017-03-22,77.0,77.5,75.4,75.6,4519279.0,
2017-03-23,76.0,76.3,74.6,75.2,4039203.0,
2017-03-24,74.0,76.45,73.3,75.7,10031186.0,
2017-03-27,75.45,76.3,74.6,74.9,3962814.0,
2017-03-28,75.45,76.2,75.05,75.75,2193775.0,
2017-03-29,76.5,76.6,75.6,75.9,3418960.0,
2017-03-30,75.9,76.4,74.25,74.5,7124527.0,
2017-03-31,74.75,75.85,74.05,75.1,4812786.0,
2017-04-03,75.6,76.2,75.55,75.9,2069481.0,
2017-04-05,75.9,78.1,75.5,77.1,5114634.0,
2017-04-06,77.15,77.7,76.05,76.5,3739782.0,
2017-04-07,76.3,77.15,75.0,75.25,2689948.0,
2017-04-10,75.5,75.7,74.6,75.1,2454870.0,
2017-04-11,75.0,76.35,75.0,76.0,2875864.0,
2017-04-12,76.5,76.7,74.85,75.1,2439307.0,
2017-04-13,75.05,75.7,73.2,73.85,3778899.0,
2017-04-17,73.75,74.0,72.5,72.8,3036349.0,
2017-04-18,72.95,74.45,71.75,72.7,3675777.0,
2017-04-19,72.5,72.5,71.15,71.85,3282637.0,
2017-04-20,71.5,73.15,71.5,72.3,2240914.0,
2017-04-21,72.6,72.95,71.75,72.2,1834160.0,
2017-04-24,72.9,74.1,72.5,73.85,2519210.0,
2017-04-25,73.95,74.5,73.65,74.1,1827193.0,
2017-04-26,74.5,75.45,73.7,74.5,2854506.0,
2017-04-27,74.25,75.65,73.8,74.8,11396249.0,
2017-04-28,74.75,78.8,74.5,78.1,13363165.0,
2017-05-02,78.5,78.9,76.2,77.45,4982458.0,
2017-05-03,77.45,81.2,76.6,79.4,8858240.0,
2017-05-04,80.85,82.3,80.4,81.35,8265183.0,
2017-05-05,81.8,82.7,77.25,78.35,9597378.0,
2017-05-08,78.6,79.95,77.75,79.15,4283263.0,
2017-05-09,79.05,82.5,77.75,82.0,12373196.0,
2017-05-10,80.1,80.9,77.55,78.0,10024184.0,
2017-05-11,78.55,79.05,77.5,77.85,3899266.0,
2017-05-12,78.1,78.2,75.15,75.5,4934977.0,
2017-05-15,75.7,76.1,73.15,75.05,6688622.0,
2017-05-16,75.3,77.75,73.85,76.65,8740098.0,
2017-05-17,76.65,77.3,75.6,75.95,3152912.0,
2017-05-18,75.0,75.5,69.05,69.95,15086266.0,
2017-05-19,69.0,70.95,68.5,68.75,10966153.0,
2017-05-22,69.0,69.6,65.75,66.2,5762847.0,
2017-05-23,66.5,66.5,63.75,64.9,7617161.0,
2017-05-24,63.5,63.95,60.25,61.0,14391668.0,
2017-05-25,61.5,62.3,60.35,61.7,7624403.0,
2017-05-26,62.4,63.45,62.05,62.65,5662009.0,
2017-05-29,62.7,63.0,60.0,60.15,3830318.0,
2017-05-30,59.3,61.25,58.8,60.75,4463073.0,
2017-05-31,60.8,61.0,59.3,60.0,4105571.0,
2017-06-01,59.55,61.1,59.45,60.75,3045916.0,
