,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,700.0,734.9,688.35,729.7,3262307.0,
2016-08-23,738.95,786.6,735.0,756.3,6247113.0,
2016-08-24,758.1,765.0,748.65,757.6,1709277.0,
2016-08-25,761.0,761.0,745.8,749.8,959827.0,
2016-08-26,754.4,790.9,751.5,783.65,2208893.0,
2016-08-29,784.8,787.0,760.8,763.75,1377578.0,
2016-08-30,767.4,778.45,765.5,774.1,517985.0,
2016-08-31,776.95,808.75,776.0,801.15,1527161.0,
2016-09-01,801.0,801.0,780.2,784.15,846956.0,
2016-09-02,786.0,796.8,784.15,790.05,358787.0,
2016-09-06,791.2,799.8,788.4,794.7,441281.0,
2016-09-07,794.7,795.85,780.8,782.1,495942.0,
2016-09-08,782.2,796.0,779.0,782.15,616698.0,
2016-09-09,781.6,786.35,759.0,761.35,749006.0,
2016-09-12,754.5,757.4,742.2,748.15,432436.0,
2016-09-14,750.0,771.2,746.8,764.4,675343.0,
2016-09-15,766.0,766.0,752.5,758.95,239345.0,
2016-09-16,756.9,763.35,748.55,751.2,414318.0,
2016-09-19,752.0,757.5,740.0,750.4,486197.0,
2016-09-20,751.0,764.75,746.45,749.45,583297.0,
2016-09-21,752.5,756.0,744.5,746.5,311901.0,
2016-09-22,752.1,755.0,745.05,748.65,439034.0,
2016-09-23,751.0,772.8,750.5,763.3,1095703.0,
2016-09-26,763.4,776.9,760.95,772.4,1143669.0,
2016-09-27,777.0,785.3,769.05,779.45,1034983.0,
2016-09-28,780.0,787.25,775.0,781.45,781480.0,
2016-09-29,788.95,799.95,764.15,768.9,1762334.0,
2016-09-30,773.8,786.0,761.0,778.1,935773.0,
2016-10-03,786.25,793.65,779.4,790.8,802323.0,
2016-10-04,796.3,847.65,796.0,837.9,3329857.0,
2016-10-05,837.0,839.0,822.55,828.25,966214.0,
2016-10-06,830.5,869.0,829.9,860.6,2076429.0,
2016-10-07,862.7,865.6,842.85,850.35,1051939.0,
2016-10-10,854.0,881.45,853.95,867.0,939202.0,
2016-10-13,861.85,861.85,838.0,845.45,1321544.0,
2016-10-14,847.0,863.0,842.7,848.55,1028020.0,
2016-10-17,847.05,850.9,820.0,828.65,823210.0,
2016-10-18,836.9,839.3,822.5,834.1,607871.0,
2016-10-19,834.4,867.5,831.0,851.3,1430033.0,
2016-10-20,859.15,861.2,847.3,851.95,362806.0,
2016-10-21,852.45,868.0,851.4,865.35,632252.0,
2016-10-24,865.9,873.95,860.4,865.2,479487.0,
2016-10-25,863.5,872.1,860.6,865.15,745157.0,
2016-10-26,863.85,870.95,851.1,858.1,346531.0,
2016-10-27,856.55,858.4,839.1,844.0,339818.0,
2016-10-28,849.95,863.5,841.2,860.0,417844.0,
2016-11-01,856.85,878.95,856.85,869.35,446847.0,
2016-11-02,868.95,868.95,850.5,859.1,434516.0,
2016-11-03,856.05,878.45,856.0,860.4,562480.0,
2016-11-04,860.4,866.0,843.5,855.4,977059.0,
2016-11-07,861.0,871.8,851.0,854.1,220684.0,
