,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,287.9,287.9,278.1,279.6,66378.0,
2016-08-23,283.9,283.95,269.1,276.65,133906.0,
2016-08-24,278.5,289.0,273.0,275.65,210631.0,
2016-08-25,277.9,281.0,274.05,275.05,81628.0,
2016-08-26,278.8,281.35,272.5,276.75,64895.0,
2016-08-29,279.35,279.35,272.5,274.45,87812.0,
2016-08-30,275.05,285.95,275.05,284.2,151514.0,
2016-08-31,284.9,292.0,275.0,278.85,233268.0,
2016-09-01,278.8,301.95,275.0,298.9,455857.0,
2016-09-02,298.0,301.8,290.0,293.45,106064.0,
2016-09-06,298.0,298.0,287.55,294.1,94581.0,
2016-09-07,292.0,294.95,285.05,285.9,76821.0,
2016-09-08,287.0,288.8,283.5,285.55,89231.0,
2016-09-09,282.0,288.2,280.0,280.8,33078.0,
2016-09-12,275.0,278.65,268.5,271.7,88515.0,
2016-09-14,271.95,272.0,260.85,263.95,467651.0,
2016-09-15,264.05,264.4,260.85,262.25,130714.0,
2016-09-16,267.95,268.0,240.05,248.2,1267337.0,
2016-09-19,245.15,269.5,244.95,264.95,1678603.0,
2016-09-20,264.5,272.4,264.5,268.55,202658.0,
2016-09-21,271.0,273.0,265.4,267.85,149260.0,
2016-09-22,270.0,279.0,268.0,275.75,475156.0,
2016-09-23,274.5,277.7,270.45,273.0,59376.0,
2016-09-26,271.0,274.5,265.4,270.95,112369.0,
2016-09-27,281.95,282.25,273.65,276.7,241227.0,
2016-09-28,277.5,280.0,272.9,274.9,98802.0,
2016-09-29,278.9,278.9,262.2,264.6,401387.0,
2016-09-30,263.0,287.0,263.0,272.3,146029.0,
2016-10-03,277.7,282.0,272.7,279.65,203357.0,
2016-10-04,279.6,282.7,271.0,273.85,84610.0,
2016-10-05,277.9,278.5,268.5,272.25,116053.0,
2016-10-06,271.05,278.25,266.8,273.9,52678.0,
2016-10-07,272.1,278.0,270.1,271.95,26874.0,
2016-10-10,270.1,276.1,269.9,274.8,30387.0,
