,Open,High,Low,Close,Volume,DeliveryPct
2024-05-13,655.0,660.0,527.1,570.9,35645437.0,41.48
2024-05-14,577.0,590.0,553.05,554.45,4603935.0,46.68
2024-05-15,556.95,581.7,533.05,566.6,5740237.0,41.52
2024-05-16,571.15,583.0,565.0,572.45,2545052.0,52.24
2024-05-17,573.0,575.8,551.25,555.1,1142408.0,53.45
2024-05-20,554.8,562.0,551.4,556.15,282815.0,53.13
2024-05-21,553.55,553.55,534.0,538.8,1235705.0,56.65
2024-05-22,540.0,542.0,521.3,524.15,1487541.0,57.03
2024-05-23,525.05,544.45,525.05,533.5,1204689.0,46.11
2024-05-24,533.0,538.85,523.9,529.0,670789.0,49.18
2024-05-27,534.0,535.5,521.2,525.2,597582.0,49.83
2024-05-28,526.0,529.85,508.3,515.8,637857.0,49.56
2024-05-29,508.05,533.0,501.25,527.7,755754.0,48.63
2024-05-30,526.8,534.7,504.4,515.35,1600450.0,42.94
2024-05-31,516.95,531.45,516.1,520.85,780406.0,54.67
2024-06-03,530.0,538.9,529.2,532.5,984470.0,69.07
2024-06-04,520.9,520.9,470.1,494.55,1554058.0,56.18
2024-06-05,495.0,532.0,488.65,528.2,743845.0,61.91
2024-06-06,525.0,533.0,517.0,528.55,855855.0,59.12
2024-06-07,529.95,549.0,526.3,543.1,1249627.0,58.23
2024-06-10,543.1,554.85,536.1,550.3,904896.0,60.55
2024-06-11,550.0,574.9,548.55,561.75,1314694.0,59.89
2024-06-12,563.0,588.7,562.0,583.35,1789347.0,57.46
2024-06-13,585.55,616.95,580.1,600.15,2740424.0,49.58
2024-06-14,602.95,608.7,582.1,585.5,943490.0,58.59
2024-06-17,602.95,608.7,582.1,585.5,943490.0,58.59
2024-06-18,589.0,591.95,577.6,581.95,792041.0,47.23
2024-06-19,582.05,589.9,562.7,569.9,620310.0,48.35
2024-06-20,573.0,573.4,557.2,563.4,648561.0,53.79
2024-06-21,564.8,569.95,559.2,561.95,471552.0,64.82
2024-06-24,561.95,577.1,555.0,568.15,458480.0,41.11
2024-06-25,568.3,589.65,568.3,574.1,698102.0,48.25
2024-06-26,576.05,580.0,566.05,569.85,365311.0,48.5
2024-06-27,569.85,574.0,548.55,550.65,635429.0,60.66
2024-06-28,553.95,558.85,544.0,556.2,923665.0,69.19
2024-07-01,559.5,564.45,550.0,553.7,427359.0,54.83
2024-07-02,556.05,559.2,549.15,552.5,322499.0,56.78
2024-07-03,553.5,558.2,548.3,549.5,384476.0,72.43
2024-07-04,544.0,549.4,538.4,539.8,641060.0,57.25
2024-07-05,544.0,565.05,540.85,560.65,801144.0,58.47
2024-07-08,563.4,566.5,549.1,553.9,336266.0,54.92
2024-07-09,555.0,570.0,554.0,560.5,584813.0,58.16
2024-07-10,562.0,576.3,549.05,569.95,790909.0,45.58
2024-07-11,574.5,597.7,568.1,586.9,2722821.0,41.47
2024-07-12,588.0,598.0,585.0,588.85,725763.0,53.8
