,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,132.7,133.7,129.0,129.5,5032629.0,
2016-08-23,129.3,142.75,128.4,140.1,28256178.0,
2016-08-24,140.6,147.45,139.75,144.75,17261352.0,
2016-08-25,146.1,149.0,142.55,143.75,11634333.0,
2016-08-26,145.3,147.35,143.25,144.7,5851204.0,
2016-08-29,144.95,144.95,140.3,143.25,3717175.0,
2016-08-30,143.9,152.0,143.9,151.4,11905174.0,
2016-08-31,152.0,153.95,149.05,149.8,6219472.0,
2016-09-01,145.75,152.7,145.55,151.15,8778966.0,
2016-09-02,152.45,154.6,150.85,152.35,4695553.0,
2016-09-06,153.75,156.25,153.55,155.7,4030277.0,
2016-09-07,156.2,156.4,152.45,153.75,3193607.0,
2016-09-08,153.75,155.6,152.2,154.1,2675193.0,
2016-09-09,154.0,154.45,148.55,149.4,4102515.0,
2016-09-12,144.5,145.45,140.2,142.25,5059492.0,
2016-09-14,142.1,150.65,142.1,150.2,4268566.0,
2016-09-15,150.85,151.0,146.0,147.85,2909944.0,
2016-09-16,148.85,153.1,146.55,149.55,4560568.0,
2016-09-19,148.6,152.55,147.85,152.0,3008955.0,
2016-09-20,152.4,152.8,149.0,150.0,1989166.0,
2016-09-21,150.8,151.95,148.35,149.3,1899373.0,
2016-09-22,151.0,152.35,148.4,151.25,2331717.0,
2016-09-23,152.0,152.75,149.25,150.1,2015067.0,
2016-09-26,149.0,149.75,147.15,148.45,1679625.0,
2016-09-27,148.45,149.3,146.5,147.05,1779587.0,
2016-09-28,147.7,150.7,146.85,150.0,1740280.0,
2016-09-29,150.35,151.0,138.6,139.8,5377357.0,
2016-09-30,138.0,144.95,138.0,144.0,2003145.0,
2016-10-03,145.4,151.35,145.0,150.95,2578885.0,
2016-10-04,152.2,152.75,149.0,151.5,3402867.0,
2016-10-05,152.0,158.5,151.85,157.65,8066796.0,
2016-10-06,158.6,161.0,156.3,157.3,4598217.0,
2016-10-07,158.45,162.2,157.25,160.65,3385695.0,
2016-10-10,163.3,164.2,158.75,159.25,4177445.0,
2016-10-13,158.75,158.75,151.5,154.45,3540306.0,
2016-10-14,155.0,158.65,153.1,158.1,3318847.0,
2016-10-17,158.0,159.2,153.25,153.7,2804147.0,
2016-10-18,155.1,157.6,154.1,156.85,2169551.0,
2016-10-19,157.85,159.5,155.0,156.35,1883076.0,
2016-10-20,156.35,158.1,155.05,156.25,2557308.0,
2016-10-21,156.8,156.8,152.95,154.6,2208065.0,
2016-10-24,155.8,158.0,154.1,156.7,2272301.0,
2016-10-25,158.0,159.0,155.25,158.5,2391423.0,
2016-10-26,158.0,161.85,154.75,156.35,3575108.0,
2016-10-27,155.55,156.8,151.75,154.4,3273746.0,
2016-10-28,154.25,157.5,154.2,157.05,2891228.0,
2016-11-01,159.0,162.7,158.25,159.9,2725963.0,
2016-11-02,157.75,159.65,154.75,155.15,2008499.0,
2016-11-03,155.95,157.2,150.1,151.5,2646298.0,
2016-11-04,151.5,152.95,142.65,147.7,3006291.0,
2016-11-07,150.65,153.45,150.45,151.5,1794371.0,
2016-11-08,152.7,156.6,149.8,155.55,2290860.0,
2016-11-09,141.1,148.55,132.5,147.3,9740906.0,
2016-11-10,149.9,151.75,141.65,142.65,3621833.0,
2016-11-11,142.0,142.0,130.0,131.85,5755924.0,
2016-11-15,130.0,131.85,117.25,118.35,6467670.0,
2016-11-16,120.0,123.1,114.65,115.65,6371046.0,
2016-11-17,116.75,117.2,110.6,112.0,5875639.0,
2016-11-18,112.1,118.0,109.5,116.75,7470848.0,
2016-11-21,119.9,121.0,104.3,106.55,13358928.0,
2016-11-22,109.65,115.5,108.05,114.5,12336321.0,
2016-11-23,116.8,117.5,112.9,114.65,4713919.0,
2016-11-24,114.4,116.85,110.9,114.15,6309357.0,
2016-11-25,114.55,118.85,113.9,117.9,5092752.0,
2016-11-28,117.4,120.7,116.5,117.85,6847579.0,
2016-11-29,118.05,121.3,116.6,117.0,5827176.0,
2016-11-30,118.0,120.2,117.4,119.65,5529714.0,
2016-12-01,120.6,120.7,117.0,117.65,3972629.0,
2016-12-02,116.15,116.75,109.8,110.95,5541698.0,
2016-12-05,111.0,112.9,106.3,112.1,7186020.0,
2016-12-06,113.6,115.75,112.9,114.5,4198035.0,
2016-12-07,115.5,115.8,111.15,112.05,3179257.0,
2016-12-08,113.95,115.7,113.0,114.25,2978520.0,
2016-12-09,114.9,117.8,114.1,117.0,4022328.0,
2016-12-12,117.45,117.45,113.25,114.35,2768502.0,
2016-12-13,114.05,116.8,113.0,116.1,2112203.0,
2016-12-14,116.0,116.05,111.05,112.3,4754147.0,
2016-12-15,111.7,114.8,110.5,112.85,2684684.0,
2016-12-16,113.3,113.65,110.45,111.45,2350539.0,
2016-12-19,111.0,112.95,109.1,110.95,1828280.0,
2016-12-20,110.9,114.9,110.6,112.25,4497894.0,
2016-12-21,113.0,114.35,112.3,113.3,1919299.0,
2016-12-22,112.8,113.4,110.55,111.65,2544947.0,
2016-12-23,111.5,113.3,109.8,112.15,3104304.0,
2016-12-26,111.8,111.8,107.5,107.8,2328882.0,
2016-12-27,107.8,112.4,105.1,111.45,3285750.0,
2016-12-28,112.25,114.4,110.6,111.15,3595952.0,
2016-12-29,111.0,113.4,111.0,112.7,3706054.0,
2016-12-30,113.0,117.5,113.0,116.6,4499501.0,
2017-01-02,118.8,123.2,118.15,122.65,6260380.0,
2017-01-03,123.0,123.75,121.5,122.6,3042059.0,
2017-01-04,122.95,124.7,121.0,122.0,2242091.0,
2017-01-05,123.0,126.65,122.55,125.85,3533726.0,
2017-01-06,126.1,127.6,123.55,125.4,3990823.0,
2017-01-09,125.9,127.0,124.95,126.5,1296044.0,
2017-01-10,127.8,129.8,126.25,129.2,2581852.0,
2017-01-11,131.0,135.2,130.05,133.9,4497969.0,
2017-01-12,134.55,134.8,132.1,134.2,2516056.0,
2017-01-13,134.2,135.45,130.05,131.6,2454692.0,
2017-01-16,131.0,136.6,130.25,135.65,3888490.0,
2017-01-17,136.3,137.2,133.0,134.4,2655673.0,
2017-01-18,134.6,138.8,134.45,137.9,3085523.0,
2017-01-19,138.7,139.85,136.7,138.4,2536399.0,
2017-01-20,137.2,139.5,134.5,135.85,3725606.0,
2017-01-23,135.5,139.8,135.4,139.1,3558253.0,
2017-01-24,139.8,144.05,138.35,143.3,5200041.0,
2017-01-25,144.05,144.3,141.1,142.85,3715632.0,
2017-01-27,143.5,148.95,140.8,144.9,10816913.0,
2017-01-30,145.4,147.7,143.05,146.5,5015868.0,
2017-01-31,146.5,148.45,144.5,145.7,3564582.0,
2017-02-01,146.25,161.5,144.75,159.2,12028754.0,
2017-02-02,160.9,164.2,158.15,159.2,8097720.0,
2017-02-03,160.2,163.5,159.2,162.4,4773289.0,
2017-02-06,163.5,166.8,162.75,164.25,5073655.0,
2017-02-07,164.3,165.95,160.5,164.4,2692085.0,
2017-02-08,164.95,165.9,162.0,164.2,3315331.0,
2017-02-09,163.85,167.2,160.35,162.25,3671912.0,
2017-02-10,162.85,164.25,161.6,163.3,1912957.0,
2017-02-13,164.0,164.25,157.45,160.05,3191829.0,
2017-02-14,160.2,160.8,154.65,157.4,1949228.0,
2017-02-15,156.8,159.3,152.0,153.2,2896419.0,
2017-02-16,152.9,165.2,152.75,164.4,6446446.0,
2017-02-17,163.05,164.5,161.15,162.35,2701412.0,
2017-02-20,162.0,164.15,160.55,162.85,2155666.0,
2017-02-21,163.95,173.8,161.7,172.25,13120721.0,
2017-02-22,172.95,172.95,166.6,167.45,4416946.0,
2017-02-23,167.5,169.7,165.8,166.5,2430647.0,
2017-02-27,165.5,167.4,162.7,164.2,1766569.0,
2017-02-28,164.6,171.95,162.8,170.1,4548963.0,
2017-03-01,170.9,171.75,168.25,169.05,2506870.0,
2017-03-02,170.4,171.15,160.1,161.55,3483973.0,
2017-03-03,162.05,166.2,161.5,165.65,2595991.0,
2017-03-06,167.0,167.6,164.2,165.95,2191062.0,
2017-03-07,165.1,166.8,162.6,163.75,1325381.0,
2017-03-08,163.75,164.6,156.2,159.95,3816443.0,
2017-03-09,160.0,162.7,159.1,159.65,2532487.0,
2017-03-10,160.2,161.0,156.0,156.6,3562146.0,
2017-03-14,163.7,163.7,158.6,160.7,4989666.0,
2017-03-15,160.9,163.45,160.9,161.95,2632024.0,
2017-03-16,162.1,166.0,162.1,163.9,2903295.0,
2017-03-17,164.5,164.8,159.0,160.5,3638901.0,
2017-03-20,161.0,164.0,159.4,161.8,3240944.0,
2017-03-21,163.5,166.5,162.25,163.7,4829241.0,
2017-03-22,161.1,161.4,156.05,156.9,3611673.0,
2017-03-23,158.0,159.0,156.25,158.25,1881138.0,
2017-03-24,159.0,160.5,157.15,158.0,2465097.0,
2017-03-27,157.6,157.95,153.0,153.5,4333717.0,
2017-03-28,154.9,158.5,154.2,157.45,3557475.0,
2017-03-29,158.75,162.4,158.6,160.35,7465368.0,
2017-03-30,161.35,162.1,159.65,160.5,5537536.0,
2017-03-31,161.7,163.4,161.5,162.45,2513775.0,
2017-04-03,166.2,168.15,161.65,164.25,5552959.0,
2017-04-05,165.25,165.35,160.55,162.65,2522280.0,
2017-04-06,162.4,165.7,161.4,164.75,2485562.0,
2017-04-07,163.5,166.9,162.3,163.25,4358462.0,
2017-04-10,164.0,165.0,162.5,163.6,1424286.0,
2017-04-11,163.6,169.4,163.4,168.75,4041221.0,
2017-04-12,169.4,170.15,162.7,163.75,4156222.0,
2017-04-13,163.2,165.4,162.55,163.05,1693657.0,
2017-04-17,163.15,164.0,161.2,163.4,1267899.0,
2017-04-18,164.2,168.4,159.35,160.5,3662993.0,
2017-04-19,159.95,175.7,159.95,174.45,10694299.0,
2017-04-20,175.7,193.55,175.25,189.8,36726166.0,
2017-04-21,190.0,190.4,180.4,188.25,11480130.0,
2017-04-24,190.2,204.1,190.1,201.35,17459988.0,
2017-04-25,204.1,206.55,200.5,202.5,5826176.0,
2017-04-26,204.0,213.35,197.65,204.85,15855707.0,
2017-04-27,204.65,215.2,201.75,211.9,9036965.0,
2017-04-28,213.0,221.3,212.0,216.45,9567826.0,
2017-05-02,217.0,217.25,203.55,210.5,7975160.0,
2017-05-03,211.6,214.65,208.6,211.25,5573227.0,
2017-05-04,211.0,215.35,208.85,213.6,4715603.0,
2017-05-05,214.0,214.0,203.1,207.7,6293042.0,
2017-05-08,209.45,215.4,207.5,210.0,6535096.0,
2017-05-09,208.95,211.5,206.95,208.9,2563377.0,
2017-05-10,209.25,214.9,207.0,214.25,4430366.0,
2017-05-11,215.95,216.9,211.9,212.85,4464946.0,
2017-05-12,213.0,213.75,207.5,209.7,2941568.0,
2017-05-15,210.4,221.45,210.1,220.25,7303774.0,
2017-05-16,223.0,226.25,220.3,220.9,9410261.0,
2017-05-17,220.7,221.8,215.75,217.2,3800580.0,
2017-05-18,215.4,216.2,204.4,205.55,3778533.0,
2017-05-19,207.9,212.15,202.35,207.3,5090800.0,
2017-05-22,208.45,210.35,196.0,197.3,4170619.0,
2017-05-23,196.8,199.8,186.1,193.7,7065376.0,
2017-05-24,192.85,194.6,183.25,184.55,5000630.0,
2017-05-25,182.6,198.25,179.0,197.25,10048924.0,
2017-05-26,198.0,200.8,194.7,198.85,4695382.0,
2017-05-29,192.05,198.0,184.0,188.6,7267812.0,
2017-05-30,187.0,207.4,186.55,204.95,10305619.0,
2017-05-31,205.9,207.85,203.05,204.55,4369802.0,
2017-06-01,205.0,212.8,202.0,209.35,7280528.0,
2017-06-02,211.9,213.8,207.3,212.9,4454752.0,
2017-06-05,212.4,216.0,208.5,214.2,5875162.0,
2017-06-06,214.45,214.45,206.3,209.0,4079277.0,
2017-06-07,207.0,211.7,207.0,209.9,2972713.0,
2017-06-08,210.1,212.7,207.2,209.25,2958618.0,
2017-06-09,209.4,214.7,207.7,213.85,3669289.0,
2017-06-12,213.5,214.0,208.7,210.6,2662702.0,
2017-06-13,211.1,213.5,208.15,209.3,2352477.0,
2017-06-14,209.7,210.5,206.95,209.35,2733592.0,
2017-06-15,208.5,213.35,208.1,211.05,3262864.0,
2017-06-16,212.4,221.25,211.6,220.2,8737214.0,
2017-06-19,222.5,224.6,219.4,220.95,4653364.0,
2017-06-20,220.75,220.8,215.05,216.5,2720489.0,
2017-06-21,215.0,219.15,214.4,216.55,2747844.0,
2017-06-22,217.0,218.4,209.0,210.85,3338907.0,
2017-06-23,211.7,212.25,198.2,201.25,6300820.0,
2017-06-27,202.0,202.7,187.0,188.85,6554320.0,
2017-06-28,187.95,192.75,185.25,191.0,4568395.0,
2017-06-29,192.5,200.4,192.45,199.15,5600031.0,
2017-06-30,198.4,198.4,192.8,197.55,4319288.0,
2017-07-03,198.65,205.5,196.55,204.2,3888815.0,
2017-07-04,204.8,206.7,201.55,202.95,2572326.0,
2017-07-05,202.65,206.5,201.6,205.65,2295113.0,
2017-07-06,205.0,209.15,205.0,206.35,2530251.0,
2017-07-07,204.9,208.5,202.6,203.5,3228987.0,
2017-07-10,205.0,215.0,201.85,205.25,620191.0,
2017-07-11,206.0,210.95,204.65,206.25,3716173.0,
2017-07-12,207.45,211.9,205.55,210.05,2948913.0,
2017-07-13,213.9,216.15,210.05,210.8,6644905.0,
2017-07-14,211.5,211.7,208.1,209.2,2444118.0,
2017-07-17,209.25,212.9,205.55,209.75,4157361.0,
2017-07-18,211.5,213.0,207.65,209.15,3030996.0,
2017-07-19,209.8,210.5,206.6,209.1,2043036.0,
2017-07-20,209.1,215.3,208.1,208.9,4921964.0,
2017-07-21,209.95,210.8,201.3,208.85,4287318.0,
2017-07-24,209.95,213.1,207.25,209.0,3506211.0,
2017-07-25,210.1,211.8,205.55,210.45,3149989.0,
2017-07-26,210.6,213.8,210.6,211.95,3586097.0,
2017-07-27,212.9,218.3,210.2,215.25,7383926.0,
2017-07-28,214.8,218.0,199.05,202.9,13488100.0,
2017-07-31,202.2,205.5,197.0,203.95,4974017.0,
2017-08-01,205.75,207.6,202.55,203.5,4505967.0,
2017-08-02,205.0,205.25,199.3,200.75,3394111.0,
2017-08-03,200.7,201.75,190.55,192.45,6845546.0,
2017-08-04,192.0,199.7,190.7,198.5,4482842.0,
2017-08-07,199.65,203.4,197.0,200.05,4338600.0,
2017-08-08,199.1,201.0,192.05,193.2,2853067.0,
2017-08-09,192.8,192.8,185.0,186.3,4896299.0,
2017-08-10,185.45,185.45,168.75,174.8,6958468.0,
2017-08-11,170.0,183.55,168.35,176.45,7658809.0,
2017-08-14,180.05,185.45,180.05,184.45,3519434.0,
2017-08-16,185.0,186.8,179.55,185.0,3271321.0,
2017-08-17,185.65,191.8,183.6,184.8,4709553.0,
2017-08-18,182.65,184.6,179.7,182.75,4332965.0,
2017-08-21,184.4,185.7,176.0,177.65,3134657.0,
2017-08-22,179.4,179.7,173.5,174.2,3212566.0,
2017-08-23,177.7,179.45,175.2,178.15,3580978.0,
2017-08-24,178.6,180.8,176.5,177.3,3367441.0,
2017-08-28,179.0,181.4,177.75,180.25,2954360.0,
2017-08-29,179.6,179.6,170.0,171.0,5149649.0,
2017-08-30,173.25,175.15,171.85,173.75,4258257.0,
2017-08-31,174.95,179.75,173.0,178.0,5696050.0,
2017-09-01,178.0,183.45,178.0,181.3,4933610.0,
2017-09-04,180.25,180.6,174.2,177.0,3408355.0,
2017-09-05,178.35,186.9,176.3,186.05,7335387.0,
2017-09-06,185.3,188.75,183.55,185.3,5348989.0,
2017-09-07,186.65,188.35,182.3,183.5,3077334.0,
2017-09-08,184.7,187.0,182.5,183.25,2849157.0,
2017-09-11,184.75,186.5,183.65,184.8,1644555.0,
2017-09-12,184.95,193.3,184.95,192.35,5622839.0,
2017-09-13,192.8,194.4,188.6,189.55,4108319.0,
2017-09-14,190.5,198.0,190.1,196.05,7091028.0,
2017-09-15,195.95,196.65,189.05,190.1,5143357.0,
2017-09-18,191.75,192.8,189.1,189.75,4274859.0,
2017-09-19,191.7,192.95,187.5,189.9,3815820.0,
2017-09-20,190.4,190.9,185.0,185.5,3294158.0,
2017-09-21,185.0,185.75,180.6,182.95,3411081.0,
2017-09-22,180.65,181.45,175.15,175.85,4026932.0,
2017-09-25,175.5,175.7,164.5,167.5,5517174.0,
2017-09-26,168.05,174.45,167.25,171.6,3975332.0,
2017-09-27,173.9,174.1,164.45,165.65,3539814.0,
2017-09-28,167.25,171.4,164.65,169.7,5247400.0,
2017-09-29,171.7,175.0,170.5,172.3,3248049.0,
2017-10-03,174.1,183.15,172.65,182.4,6185321.0,
2017-10-04,187.0,187.2,180.4,181.5,7695922.0,
2017-10-05,182.0,184.2,177.6,182.3,4775803.0,
2017-10-06,182.95,185.25,181.7,183.8,2533577.0,
2017-10-09,184.0,185.7,181.05,182.25,3238839.0,
2017-10-10,183.0,185.25,182.05,183.65,2415941.0,
2017-10-11,183.8,186.3,174.85,177.3,4664610.0,
2017-10-12,179.25,179.8,175.75,178.85,2106380.0,
2017-10-13,179.0,181.25,179.0,180.05,2018889.0,
2017-10-16,181.0,183.65,177.6,178.85,2920184.0,
2017-10-17,179.6,182.9,178.55,181.75,2318360.0,
2017-10-18,181.0,184.65,179.9,181.15,3208391.0,
2017-10-19,181.9,181.9,175.8,177.55,620747.0,
2017-10-23,178.0,182.8,178.0,181.15,1912474.0,
2017-10-24,184.0,187.25,181.2,182.8,3602604.0,
2017-10-25,184.45,191.75,181.9,189.95,8088141.0,
2017-10-26,191.9,196.8,190.0,195.95,8310798.0,
2017-10-27,197.5,199.1,194.05,195.55,4017539.0,
2017-10-30,196.15,197.95,191.55,193.25,2365517.0,
2017-10-31,194.0,195.9,191.45,194.2,2240090.0,
2017-11-01,195.0,198.15,191.75,193.1,3107123.0,
2017-11-02,193.65,194.6,187.6,189.45,3293003.0,
2017-11-03,189.65,191.2,186.0,186.6,2099837.0,
2017-11-06,186.85,188.75,181.2,182.5,3342981.0,
2017-11-07,183.0,183.5,173.6,174.65,7694892.0,
2017-11-08,171.75,177.6,171.75,175.05,4571302.0,
2017-11-09,176.8,181.65,171.0,173.5,11435288.0,
2017-11-10,172.0,172.5,167.7,170.8,5039986.0,
2017-11-13,170.9,172.4,161.4,165.05,5541227.0,
2017-11-14,165.2,169.15,164.1,166.45,3194073.0,
2017-11-15,165.25,168.65,163.45,166.5,4291351.0,
2017-11-16,169.0,173.45,168.25,172.55,3541752.0,
2017-11-17,175.0,177.55,173.0,176.6,4321915.0,
2017-11-20,175.8,175.8,169.95,171.35,2886904.0,
2017-11-21,172.4,174.0,169.25,170.4,2612796.0,
2017-11-22,171.8,178.4,171.1,176.15,3822078.0,
2017-11-23,179.55,179.7,173.05,175.75,3204568.0,
2017-11-24,176.4,177.4,174.1,175.4,1653018.0,
2017-11-27,175.0,179.4,173.8,178.85,2480930.0,
2017-11-28,178.9,179.8,174.7,176.95,1941826.0,
2017-11-29,177.3,178.4,175.3,176.35,1326312.0,
2017-11-30,175.6,176.0,172.15,173.85,2212346.0,
2017-12-01,173.95,175.05,167.5,168.4,2394149.0,
2017-12-04,169.9,171.35,166.0,168.2,1963808.0,
2017-12-05,168.5,168.65,164.65,167.9,1697865.0,
2017-12-06,167.0,168.55,162.2,164.4,3089300.0,
2017-12-07,163.9,167.55,163.0,166.9,1604552.0,
2017-12-08,168.0,175.85,167.5,174.4,4503008.0,
2017-12-11,176.0,176.05,171.2,172.15,2246443.0,
2017-12-12,173.4,173.4,168.4,168.8,1429996.0,
2017-12-13,169.5,174.5,167.45,168.45,4446511.0,
2017-12-14,168.95,169.55,161.25,163.5,4887197.0,
2017-12-15,166.5,168.5,165.25,166.1,3798338.0,
2017-12-18,163.95,172.1,152.0,164.85,6304523.0,
2017-12-19,166.2,172.5,165.8,172.0,4907782.0,
2017-12-20,172.2,180.9,170.2,178.55,7441406.0,
2017-12-21,179.4,186.0,179.3,184.1,6607190.0,
2017-12-22,185.0,185.05,180.7,183.35,3196866.0,
2017-12-26,182.9,186.9,182.0,185.3,2253857.0,
2017-12-27,183.55,183.9,180.75,181.8,2708730.0,
2017-12-28,182.0,184.4,178.85,179.55,2285612.0,
2017-12-29,179.7,185.15,179.45,183.45,2924207.0,
2018-01-01,183.05,183.8,179.15,180.6,1350029.0,
2018-01-02,181.65,183.0,177.45,180.1,1767084.0,
2018-01-03,181.7,188.7,180.7,186.4,4763679.0,
2018-01-04,188.9,191.45,186.35,190.35,5170878.0,
2018-01-05,191.5,202.0,191.3,199.05,11848536.0,
2018-01-08,200.0,200.6,195.5,196.15,3693968.0,
2018-01-09,196.5,196.9,189.65,192.1,3840017.0,
2018-01-10,192.45,193.6,185.6,193.0,4854968.0,
2018-01-11,196.0,196.4,190.65,192.05,4656152.0,
2018-01-12,192.45,194.9,186.35,190.85,2340978.0,
2018-01-15,191.0,202.5,191.0,201.4,9749629.0,
2018-01-16,202.85,205.95,194.2,195.4,11320651.0,
2018-01-17,194.8,198.4,188.95,197.7,3763562.0,
2018-01-18,197.65,199.25,180.5,182.45,6540354.0,
2018-01-19,183.65,186.7,177.6,184.7,6787732.0,
2018-01-22,185.4,187.0,182.05,184.75,3816769.0,
2018-01-23,185.4,187.6,181.8,184.0,3202579.0,
2018-01-24,183.0,184.4,177.65,178.45,3297486.0,
2018-01-25,178.8,181.1,172.75,175.1,5160815.0,
2018-01-29,176.35,177.35,170.0,170.6,4259829.0,
2018-01-30,171.0,172.7,167.6,169.35,3781009.0,
2018-01-31,169.5,171.25,165.85,168.15,3856780.0,
2018-02-01,168.75,171.5,160.8,166.2,6214756.0,
2018-02-02,164.0,164.45,152.1,153.3,6971119.0,
2018-02-05,149.0,155.4,146.35,153.1,7389388.0,
2018-02-06,146.0,152.75,141.5,150.7,7969557.0,
2018-02-07,155.0,156.9,152.05,152.8,3753827.0,
2018-02-08,154.05,162.7,153.15,161.35,5302898.0,
2018-02-09,157.75,165.85,157.75,161.4,7985869.0,
2018-02-12,159.0,165.3,156.5,162.05,7067514.0,
2018-02-14,163.0,163.4,158.1,159.2,2726421.0,
2018-02-15,159.75,160.9,154.1,155.6,3069175.0,
2018-02-16,157.3,159.6,155.05,156.3,2537058.0,
2018-02-19,157.0,161.3,155.25,160.0,4833838.0,
2018-02-20,160.2,161.9,157.2,158.55,3319160.0,
2018-02-21,159.55,160.2,156.65,158.0,2761947.0,
2018-02-22,158.05,158.25,154.1,155.1,4674639.0,
2018-02-23,155.3,158.8,155.2,158.05,2893309.0,
2018-02-26,159.7,162.7,158.4,160.5,2833669.0,
2018-02-27,160.85,161.5,156.75,157.85,1721843.0,
2018-02-28,156.25,160.35,155.25,159.25,3457355.0,
2018-03-01,159.0,160.85,156.65,157.25,1890764.0,
2018-03-05,156.6,157.75,150.15,153.35,2699929.0,
2018-03-06,154.4,156.5,148.05,148.95,3023565.0,
2018-03-07,149.1,151.2,143.6,144.4,3584141.0,
2018-03-08,146.0,148.3,142.7,147.55,2934652.0,
2018-03-09,149.0,149.45,144.25,145.15,2423623.0,
2018-03-12,147.4,150.4,141.65,149.55,3049464.0,
2018-03-13,151.0,152.65,148.0,150.5,3182654.0,
2018-03-14,148.6,154.15,148.55,153.35,2850255.0,
2018-03-15,153.95,154.35,150.2,150.75,2098021.0,
2018-03-16,151.0,151.8,146.25,147.0,2196862.0,
2018-03-19,147.0,148.25,140.15,141.7,2393687.0,
2018-03-20,141.2,144.9,140.3,142.95,4134302.0,
2018-03-21,144.35,147.4,143.45,144.65,2525478.0,
2018-03-22,145.7,145.7,140.0,140.75,1986458.0,
2018-03-23,138.0,140.4,135.7,137.95,3064781.0,
2018-03-26,137.9,142.0,136.1,141.25,2306169.0,
2018-03-27,143.3,144.95,141.3,143.55,2066271.0,
2018-03-28,142.0,145.2,140.4,141.75,3386478.0,
2018-04-02,142.75,153.7,142.5,152.7,4259953.0,
2018-04-03,150.6,153.95,149.65,153.4,3309111.0,
2018-04-04,154.7,154.7,148.7,149.7,2522921.0,
2018-04-05,152.05,155.85,151.2,155.45,2877762.0,
2018-04-06,154.95,154.95,150.6,152.7,2644083.0,
2018-04-09,153.85,154.8,150.3,151.2,2803090.0,
2018-04-10,151.8,152.4,149.35,151.55,3859017.0,
2018-04-11,151.0,151.0,147.3,148.55,2726505.0,
2018-04-12,148.0,149.7,145.4,146.05,2193798.0,
2018-04-13,146.8,148.55,145.1,146.25,2180635.0,
2018-04-16,145.0,151.5,144.2,151.15,4422693.0,
2018-04-17,151.45,152.8,149.35,151.75,2522723.0,
2018-04-18,152.5,153.95,149.25,149.65,2133100.0,
2018-04-19,150.6,155.45,150.6,154.0,3756977.0,
2018-04-20,153.85,153.85,149.6,150.25,2064486.0,
2018-04-23,150.0,152.65,149.5,150.2,1778759.0,
2018-04-24,150.05,151.8,147.4,148.9,2121035.0,
2018-04-25,147.55,150.6,142.75,143.6,3401885.0,
2018-04-26,143.5,146.0,142.55,145.0,3298835.0,
2018-04-27,146.05,147.8,144.15,145.05,2203964.0,
