,Open,High,Low,Close,Volume,DeliveryPct
2019-07-04,1180.0,1338.0,1180.0,1301.95,7561613.0,
2019-07-05,1313.7,1347.7,1305.0,1325.55,1404682.0,
2019-07-08,1312.0,1368.7,1299.1,1347.45,462941.0,
2019-07-09,1340.0,1353.7,1321.7,1327.6,175884.0,
2019-07-10,1329.8,1337.1,1321.6,1325.25,63036.0,
2019-07-11,1338.0,1338.0,1323.45,1325.05,79357.0,
2019-07-12,1325.0,1340.0,1245.0,1303.2,195375.0,
2019-07-15,1300.0,1323.0,1260.0,1269.0,55983.0,
2019-07-16,1274.85,1275.95,1250.0,1252.45,54954.0,
2019-07-17,1256.8,1295.25,1246.35,1284.1,101349.0,
2019-07-18,1275.0,1275.0,1262.0,1265.0,35414.0,
2019-07-19,1271.95,1272.9,1225.0,1225.95,45659.0,
2019-07-22,1229.7,1229.7,1190.0,1207.95,28299.0,
2019-07-23,1215.0,1232.95,1203.9,1210.5,39873.0,
2019-07-24,1211.0,1229.9,1210.0,1217.55,30270.0,
2019-07-25,1220.0,1261.0,1211.0,1249.65,39772.0,
2019-07-26,1244.95,1284.6,1205.0,1222.8,17368.0,
2019-07-29,1217.0,1224.95,1200.0,1205.65,14417.0,
2019-07-30,1210.9,1240.05,1188.0,1224.25,35577.0,
2019-07-31,1224.0,1224.0,1191.0,1203.7,22083.0,
2019-08-01,1260.0,1275.85,1200.0,1217.35,295616.0,
2019-08-02,1229.0,1242.0,1194.05,1229.5,187393.0,
2019-08-05,1225.0,1225.05,1184.0,1190.1,47072.0,
2019-08-06,1188.0,1208.5,1185.5,1193.3,23403.0,
2019-08-07,1207.0,1207.0,1192.0,1199.95,101004.0,
2019-08-08,1197.0,1201.95,1102.95,1170.05,42802.0,
2019-08-09,1175.0,1198.0,1154.75,1170.3,21870.0,
2019-08-13,1184.0,1187.0,1152.05,1160.25,38004.0,
2019-08-14,1174.75,1174.75,1106.55,1132.6,18703.0,
2019-08-16,1130.0,1170.0,1114.8,1149.9,21968.0,
2019-08-19,1150.25,1180.0,1147.95,1176.45,27460.0,
2019-08-20,1184.0,1194.95,1155.2,1165.5,12324.0,
2019-08-21,1173.95,1173.95,1140.0,1147.95,6731.0,
2019-08-22,1147.95,1160.0,1110.0,1150.3,16447.0,
2019-08-23,1150.0,1160.0,1130.05,1152.7,7353.0,55.62
2019-10-01,1780.0,1841.4,1765.25,1788.55,39092.0,62.91
2019-10-02,1780.0,1841.4,1765.25,1788.55,39092.0,62.91
2019-10-03,1799.5,1893.0,1737.25,1863.85,31152.0,42.45
2019-10-04,1903.95,1938.7,1880.0,1919.4,34455.0,46.88
2019-10-07,1900.0,1930.0,1872.05,1920.05,15621.0,55.98
2019-10-08,1900.0,1930.0,1872.05,1920.05,15621.0,55.98
2019-10-09,1933.0,2304.05,1933.0,2264.05,289700.0,26.44
2019-10-10,2249.8,2299.0,2001.0,2196.65,113933.0,27.21
2019-10-11,2229.9,2278.0,2145.15,2164.15,49589.0,28.26
2019-10-14,2200.0,2240.0,2133.65,2163.15,36663.0,36.44
2019-10-15,2186.0,2205.05,2025.65,2092.95,71714.0,39.47
2019-10-16,2099.45,2099.45,2011.0,2019.0,43007.0,40.52
2019-10-17,2039.0,2134.0,1960.0,2016.45,133268.0,34.31
2019-10-18,2026.0,2079.5,2000.0,2020.4,37760.0,27.79
2019-10-21,2026.0,2079.5,2000.0,2020.4,37760.0,27.79
2019-10-22,2038.0,2071.0,2010.0,2032.05,55187.0,56.06
2019-10-23,2080.0,2098.0,1961.3,1994.3,88432.0,39.96
2019-10-24,1990.0,1990.0,1787.15,1875.3,150959.0,35.23
2019-10-25,1875.3,1928.6,1800.55,1824.15,56930.0,42.31
2019-10-28,1850.0,1876.95,1830.0,1861.2,12104.0,58.77
2019-10-29,1890.0,1910.0,1825.0,1840.35,29806.0,46.92
2019-10-30,1849.0,1927.0,1831.1,1863.1,64453.0,32.75
2019-10-31,1882.0,1911.95,1851.0,1858.65,37892.0,43.25
2019-11-01,1869.75,1905.0,1832.85,1842.95,32627.0,37.08
2019-11-04,1857.0,1868.7,1812.0,1825.3,30047.0,39.15
2019-11-05,1835.0,1839.5,1776.05,1784.5,34593.0,51.48
2019-11-06,1779.0,1822.0,1728.0,1735.3,43537.0,51.7
2019-11-07,1733.0,1757.2,1730.0,1740.0,70575.0,86.84
2019-11-08,1741.0,1775.0,1741.0,1750.5,86142.0,65.57
2019-11-11,1755.0,1989.8,1753.0,1947.05,223031.0,37.39
2019-11-12,1755.0,1989.8,1753.0,1947.05,223031.0,37.39
2019-11-13,2012.1,2100.0,1980.0,2001.4,173879.0,26.84
2019-11-14,2008.9,2062.0,1926.0,1985.35,64539.0,31.8
2019-11-15,1999.95,2004.8,1909.0,1926.9,41437.0,32.87
2019-11-18,1930.0,1966.0,1900.25,1916.05,27453.0,27.61
2019-11-19,1925.0,2025.0,1925.0,2018.65,91626.0,39.84
2019-11-20,2030.95,2115.0,2030.95,2052.85,77035.0,49.84
2019-11-21,2073.35,2083.0,2052.0,2060.3,37995.0,44.21
2019-11-22,2080.0,2173.0,2056.0,2142.4,87331.0,47.65
2019-11-25,2159.75,2199.0,2096.0,2108.2,47436.0,42.81
2019-11-26,2110.0,2176.9,2109.15,2152.05,52343.0,50.1
2019-11-27,2172.2,2189.4,2135.0,2164.2,35740.0,48.28
2019-11-28,2170.0,2179.95,2149.75,2158.45,26617.0,53.15
2019-11-29,2156.6,2175.0,2143.4,2155.2,19111.0,51.13
2019-12-02,2160.0,2200.0,2150.0,2191.1,33720.0,43.77
2019-12-03,2188.0,2225.0,2153.3,2195.6,103524.0,65.57
2019-12-04,2188.0,2200.0,2125.05,2188.4,25358.0,46.07
2019-12-05,2188.4,2198.5,2155.0,2167.65,21297.0,57.69
