,Open,High,Low,Close,Volume,DeliveryPct
2020-12-18,242.9,242.9,230.0,231.15,4581029.0,40.36
2020-12-21,231.15,247.3,227.75,232.95,9342277.0,13.74
2020-12-22,231.0,234.25,224.2,232.75,3443881.0,36.85
2020-12-23,233.9,238.2,226.7,236.75,4527973.0,49.92
2020-12-24,237.6,243.5,235.15,239.1,3503211.0,32.95
2020-12-25,237.6,243.5,235.15,239.1,3503211.0,32.95
2020-12-28,241.0,241.0,235.4,236.95,4188156.0,62.05
2020-12-29,237.3,239.9,230.2,235.0,4352673.0,33.19
2020-12-30,236.05,237.4,229.05,231.45,4714009.0,33.43
2020-12-31,233.25,233.25,229.1,229.9,2544436.0,51.48
2021-01-01,230.7,237.2,230.6,235.45,2760010.0,24.67
2021-01-04,239.95,242.8,237.05,241.4,8979802.0,71.23
2021-01-05,240.0,264.8,239.2,254.2,15044472.0,19.91
2021-01-06,256.5,270.75,255.15,261.35,9036353.0,24.79
2021-01-07,264.4,275.0,261.0,266.15,7916157.0,26.88
2021-01-08,267.45,273.0,266.25,270.45,4047880.0,46.81
2021-01-11,271.9,271.9,260.5,262.25,3453837.0,55.3
2021-01-12,262.25,268.35,257.45,261.35,6351455.0,50.19
2021-01-13,265.95,269.8,253.7,258.1,4289751.0,30.38
2021-01-14,260.75,261.0,254.0,255.7,1885689.0,42.83
2021-01-15,257.9,266.85,257.0,262.2,9197807.0,45.32
2021-01-18,262.1,262.1,241.4,258.6,3621704.0,37.61
2021-01-19,259.0,260.65,256.2,258.25,2190226.0,42.99
2021-01-20,258.7,259.7,253.7,254.25,1640730.0,45.3
2021-01-21,259.6,259.6,241.1,246.15,4335910.0,44.46
2021-01-22,247.6,248.2,236.85,241.45,1822202.0,34.94
2021-01-25,242.2,244.2,233.5,237.25,2452790.0,34.24
2021-01-26,242.2,244.2,233.5,237.25,2452790.0,34.24
2021-01-27,236.0,247.25,235.5,238.35,5061060.0,47.9
2021-01-28,239.7,243.7,235.5,241.3,4224735.0,36.1
2021-01-29,245.0,247.8,228.0,231.5,7418934.0,42.17
2021-02-01,235.0,241.7,231.4,240.2,2913692.0,32.72
2021-02-02,244.0,253.0,242.2,247.4,7791175.0,57.24
2021-02-03,250.2,251.45,244.45,248.1,6953619.0,61.45
2021-02-04,250.5,256.5,249.0,253.85,6067339.0,52.36
2021-02-05,256.0,256.3,246.8,254.05,7472097.0,59.63
2021-02-08,239.85,245.0,236.65,239.95,6746469.0,52.17
2021-02-09,242.5,263.4,242.1,253.7,21502470.0,45.35
2021-02-10,253.5,253.7,244.3,247.6,7449138.0,43.18
2021-02-11,248.0,252.0,245.4,250.25,2857799.0,50.5
2021-02-12,249.95,254.9,244.15,245.65,3574037.0,48.61
2021-02-15,248.0,252.0,246.5,249.35,3252376.0,38.99
2021-02-16,250.05,252.2,244.1,247.15,3184642.0,58.16
2021-02-17,247.15,258.2,246.15,256.55,15254400.0,72.97
2021-02-18,258.0,264.8,250.6,259.65,8439925.0,56.16
2021-02-19,258.45,265.85,254.05,260.75,5851020.0,49.01
2021-02-22,263.0,270.8,261.45,266.35,10993150.0,57.45
2021-02-23,267.75,277.75,266.9,271.65,11346327.0,61.32
2021-02-24,272.0,282.0,244.5,277.45,3005240.0,49.0
2021-02-25,282.0,282.65,269.5,273.5,5343715.0,49.48
2021-02-26,266.95,272.8,253.55,257.8,41090229.0,63.68
2021-03-01,261.15,265.0,250.7,252.25,5607199.0,53.97
2021-03-02,254.95,259.3,251.4,257.5,3724070.0,48.88
2021-03-03,260.0,260.1,256.2,257.8,2279120.0,36.13
2021-03-04,254.5,261.5,253.15,259.15,1572712.0,38.09
2021-03-05,258.1,258.75,245.0,249.05,4973536.0,45.11
2021-03-08,249.75,255.6,249.5,252.25,2289922.0,54.86
2021-03-09,255.35,256.4,249.5,252.1,2551084.0,53.11
2021-03-10,253.95,255.9,249.1,254.8,1699707.0,38.73
2021-03-11,253.95,255.9,249.1,254.8,1699707.0,38.73
2021-03-12,257.0,261.0,251.25,252.65,1991571.0,40.61
2021-03-15,251.6,255.8,248.2,254.8,1429372.0,38.29
2021-03-16,258.0,265.0,256.05,262.45,5451348.0,32.52
2021-03-17,263.75,263.75,253.5,254.3,2179326.0,47.07
2021-03-18,255.1,263.5,254.4,256.15,3724173.0,39.49
2021-03-19,252.05,267.0,242.0,263.5,24883084.0,57.99
2021-03-22,257.5,261.0,256.7,257.85,3151619.0,54.2
2021-03-23,259.1,262.9,254.35,255.2,2108557.0,35.42
