,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,194.7,203.0,193.0,193.8,599896.0,
2016-08-23,194.75,195.55,188.05,190.95,202475.0,
2016-08-24,191.85,195.0,188.3,189.4,299153.0,
2016-08-25,190.15,193.5,187.6,188.75,593936.0,
2016-08-26,189.0,191.95,188.1,188.85,156031.0,
2016-08-29,190.0,190.35,183.55,184.5,192956.0,
2016-08-30,185.9,188.9,183.1,185.05,281376.0,
2016-08-31,186.85,190.5,185.25,188.25,218029.0,
2016-09-01,189.65,190.25,184.2,186.1,378379.0,
2016-09-02,187.0,193.0,185.85,191.65,423840.0,
2016-09-06,163.0,184.4,163.0,180.45,2744933.0,
2016-09-07,181.0,182.9,178.1,180.0,548721.0,
2016-09-08,180.0,180.1,167.4,171.05,639352.0,
2016-09-09,170.0,183.0,166.0,179.1,1034648.0,
2016-09-12,175.0,184.4,173.95,177.35,1548781.0,
2016-09-14,178.0,204.4,176.1,198.45,3186362.0,
2016-09-15,199.3,204.5,191.2,194.05,856188.0,
2016-09-16,195.05,201.95,192.0,199.05,1157870.0,
2016-09-19,199.7,203.9,196.8,198.7,759491.0,
2016-09-20,198.7,206.0,196.55,201.85,586901.0,
2016-09-21,202.5,208.0,201.5,203.25,624827.0,
2016-09-22,204.95,211.0,204.95,208.2,765728.0,
2016-09-23,208.0,211.9,205.35,206.55,426979.0,
2016-09-26,205.95,209.0,205.0,206.1,252231.0,
2016-09-27,208.1,215.55,207.0,208.9,918379.0,
2016-09-28,210.05,213.7,205.0,205.7,443533.0,
2016-09-29,207.5,212.9,190.55,195.15,595323.0,
2016-09-30,198.8,202.0,196.5,200.25,271808.0,
2016-10-03,206.9,212.9,205.0,209.15,466176.0,
2016-10-04,210.5,212.5,208.7,210.4,476742.0,
2016-10-05,210.55,214.5,207.1,209.35,445324.0,
2016-10-06,211.5,215.75,208.6,213.2,515498.0,
2016-10-07,214.3,217.5,211.0,214.0,344517.0,
2016-10-10,224.5,227.0,221.1,225.4,907430.0,
2016-10-13,226.5,227.35,215.1,218.8,477887.0,
2016-10-14,220.9,223.25,218.75,222.5,223889.0,
2016-10-17,224.5,229.2,222.0,226.35,355574.0,
2016-10-18,228.0,230.75,226.15,227.15,294009.0,
2016-10-19,228.6,228.6,223.9,224.7,151278.0,
2016-10-20,226.3,230.95,223.0,224.25,286334.0,
2016-10-21,224.3,226.0,221.15,222.15,116446.0,
2016-10-24,226.0,228.35,224.0,224.1,191610.0,
2016-10-25,225.0,225.4,218.25,219.9,182883.0,
2016-10-26,219.9,221.4,212.0,215.3,183065.0,
2016-10-27,215.3,217.5,213.1,214.35,85306.0,
2016-10-28,215.7,217.15,211.8,212.35,159083.0,
2016-11-01,209.7,219.8,206.15,218.65,463436.0,
2016-11-02,216.0,222.9,211.7,217.5,597409.0,
2016-11-03,217.0,224.8,211.95,214.8,273058.0,
2016-11-04,214.8,217.55,203.15,204.5,240045.0,
2016-11-07,206.95,213.0,203.15,204.55,238890.0,
2016-11-08,207.0,212.0,205.4,208.0,145254.0,
2016-11-09,195.0,205.85,170.5,201.65,378023.0,
2016-11-10,203.8,211.6,203.8,208.2,246888.0,
2016-11-11,204.0,205.85,195.15,196.65,129636.0,
2016-11-15,198.0,198.0,184.6,185.6,257469.0,
2016-11-16,189.0,191.8,182.6,185.45,176116.0,
2016-11-17,186.0,188.6,182.2,183.2,189791.0,
2016-11-18,185.75,185.9,180.0,181.35,135311.0,
2016-11-21,182.15,182.15,173.35,174.8,152415.0,
2016-11-22,175.7,178.45,174.1,177.3,71568.0,
2016-11-23,181.95,181.95,175.2,178.45,68194.0,
2016-11-24,177.75,177.8,175.05,175.95,58905.0,
2016-11-25,179.0,179.9,176.15,177.55,102038.0,
2016-11-28,176.2,184.8,175.8,182.55,160275.0,
2016-11-29,184.0,187.75,182.75,186.1,104584.0,
2016-11-30,188.4,193.0,186.1,190.7,237639.0,
2016-12-01,190.55,192.8,184.55,185.75,114588.0,
2016-12-02,183.9,188.35,183.45,185.85,156122.0,
2016-12-05,187.7,190.25,185.05,187.9,113367.0,
2016-12-06,188.0,199.8,188.0,198.55,400813.0,
2016-12-07,213.7,215.1,198.2,199.75,1822176.0,
2016-12-08,202.9,203.9,200.0,200.7,244076.0,
2016-12-09,201.6,202.5,198.0,198.6,160601.0,
2016-12-12,196.4,203.0,196.1,201.1,214204.0,
2016-12-13,202.0,206.9,200.45,204.75,568654.0,
2016-12-14,205.8,209.5,202.1,203.55,228435.0,
2016-12-15,202.6,206.7,201.1,204.45,134699.0,
2016-12-16,205.0,208.7,201.0,203.2,424079.0,
2016-12-19,202.0,203.0,197.0,197.6,139916.0,
2016-12-20,198.0,199.8,192.0,192.9,117309.0,
2016-12-21,194.0,195.05,190.1,191.0,121672.0,
2016-12-22,190.75,192.35,185.55,185.9,137399.0,
2016-12-23,185.7,187.05,181.25,185.05,250988.0,
2016-12-26,183.7,184.7,180.0,181.35,133507.0,
2016-12-27,181.45,185.1,179.15,184.65,215740.0,
2016-12-28,183.0,184.0,181.3,181.95,156658.0,
2016-12-29,182.05,182.4,180.35,181.15,115745.0,
2016-12-30,181.15,184.9,180.95,181.9,133346.0,
2017-01-02,182.2,187.3,182.2,186.8,138648.0,
2017-01-03,187.45,188.95,185.15,186.6,219588.0,
2017-01-04,187.0,188.0,182.55,183.3,299683.0,
2017-01-05,184.95,187.35,184.4,185.0,150376.0,
2017-01-06,187.9,188.0,182.5,183.3,186463.0,
2017-01-09,183.55,185.7,182.15,182.75,96127.0,
2017-01-10,183.15,185.0,181.7,182.4,166417.0,
2017-01-11,184.95,188.0,182.85,183.45,541559.0,
2017-01-12,184.85,184.85,182.45,182.8,182900.0,
2017-01-13,184.6,184.7,182.5,183.45,125491.0,
2017-01-16,184.6,184.6,180.85,181.75,206598.0,
2017-01-17,182.1,189.0,182.1,187.25,739223.0,
2017-01-18,187.0,190.45,183.5,184.25,461102.0,
2017-01-19,186.5,197.7,185.5,195.8,1107187.0,
2017-01-20,196.55,198.5,188.0,189.05,788777.0,
2017-01-23,191.0,193.5,190.05,191.7,178679.0,
2017-01-24,191.0,193.25,188.6,190.05,164976.0,
2017-01-25,190.05,191.75,185.55,185.95,386164.0,
2017-01-27,186.15,190.0,186.15,188.65,266685.0,
2017-01-30,190.0,190.0,186.0,186.4,146214.0,
2017-01-31,186.7,187.95,182.6,183.35,236012.0,
2017-02-01,184.75,189.6,181.5,183.4,466005.0,
2017-02-02,184.7,187.6,183.5,185.1,196809.0,
2017-02-03,186.05,189.4,182.45,183.8,481696.0,
2017-02-06,187.7,189.55,185.1,185.65,452506.0,
2017-02-07,186.0,186.6,183.3,183.8,218524.0,
2017-02-08,184.3,185.5,182.8,183.25,218732.0,
2017-02-09,184.7,185.5,180.25,180.75,578492.0,
2017-02-10,182.95,183.7,181.1,181.5,325353.0,
2017-02-13,183.5,184.5,181.2,181.8,212496.0,
2017-02-14,182.05,182.05,177.1,177.95,256352.0,
2017-02-15,178.9,179.45,171.5,172.05,362336.0,
2017-02-16,172.5,176.0,172.0,173.0,260389.0,
2017-02-17,174.65,176.4,171.3,171.8,298217.0,
2017-02-20,172.2,175.9,171.25,171.95,307333.0,
2017-02-21,172.8,182.4,172.1,178.25,695476.0,
2017-02-22,179.6,183.0,179.25,179.8,448178.0,
2017-02-23,180.0,181.4,177.65,178.55,160386.0,
2017-02-27,181.0,182.1,173.8,174.75,490214.0,
2017-02-28,173.55,175.9,171.55,172.05,384080.0,
2017-03-01,172.9,173.9,169.0,169.4,496754.0,
2017-03-02,170.0,170.9,165.8,166.3,616761.0,
2017-03-03,165.5,171.3,165.5,167.85,258133.0,
2017-03-06,168.85,171.75,168.0,169.3,321317.0,
2017-03-07,169.95,170.2,167.8,168.55,208951.0,
2017-03-08,169.5,174.45,168.4,169.1,531367.0,
2017-03-09,170.0,180.0,169.55,178.9,1455858.0,
2017-03-10,177.25,185.9,177.25,179.2,1118710.0,
2017-03-14,183.0,184.45,178.0,178.5,305728.0,
2017-03-15,181.0,183.5,178.2,179.25,623919.0,
2017-03-16,180.65,184.6,178.75,181.4,643151.0,
2017-03-17,181.1,186.4,181.1,182.2,794712.0,
2017-03-20,182.7,183.0,179.25,179.8,250018.0,
2017-03-21,180.0,180.25,176.5,176.75,208009.0,
2017-03-22,175.9,176.7,173.65,174.8,164417.0,
2017-03-23,175.5,177.35,172.8,173.35,284602.0,
2017-03-24,174.7,175.35,173.0,173.35,198039.0,
2017-03-27,174.3,174.7,169.05,169.6,460687.0,
2017-03-28,170.9,172.15,169.05,169.45,328501.0,
2017-03-29,170.0,174.7,168.8,170.5,733248.0,
2017-03-30,172.0,173.65,170.75,171.8,219371.0,
2017-03-31,172.9,173.0,170.1,170.45,279743.0,
2017-04-03,172.0,175.0,171.5,174.35,283989.0,
2017-04-05,175.25,183.9,173.3,183.25,1120574.0,
2017-04-06,181.0,186.25,181.0,181.95,519515.0,
2017-04-07,180.25,189.7,180.25,185.3,1286687.0,
2017-04-10,187.25,189.8,186.3,188.25,450163.0,
2017-04-11,188.95,190.6,187.2,189.35,441004.0,
2017-04-12,190.2,194.5,184.25,192.7,926183.0,
2017-04-13,191.75,193.4,185.9,186.95,555868.0,
2017-04-17,187.5,194.0,186.05,188.6,630892.0,
2017-04-18,189.15,191.6,184.1,185.3,601868.0,
2017-04-19,191.5,202.8,190.35,201.1,4254541.0,
2017-04-20,202.45,208.5,202.3,204.2,1809711.0,
2017-04-21,206.25,208.5,201.5,204.45,835134.0,
2017-04-24,204.5,205.8,197.4,198.4,484695.0,
2017-04-25,200.7,203.4,196.65,197.65,435608.0,
2017-04-26,198.35,199.8,192.65,194.6,736240.0,
2017-04-27,196.5,203.3,195.05,197.0,686568.0,
2017-04-28,198.5,199.3,195.2,196.35,386655.0,
2017-05-02,197.05,203.9,195.8,203.0,1059027.0,
2017-05-03,202.25,204.4,199.75,200.2,363268.0,
2017-05-04,200.3,203.5,198.1,199.7,429620.0,
2017-05-05,199.5,201.4,196.8,197.95,440632.0,
2017-05-08,199.8,207.75,197.1,203.3,1016493.0,
2017-05-09,204.35,204.95,199.3,201.25,250807.0,
2017-05-10,202.0,205.4,198.3,198.95,427193.0,
2017-05-11,200.0,202.0,196.5,198.85,310847.0,
2017-05-12,201.0,204.95,200.35,201.6,909156.0,
2017-05-15,174.55,177.0,162.6,166.65,5222780.0,
2017-05-16,166.0,169.65,162.05,162.65,1499022.0,
2017-05-17,162.8,164.5,157.0,157.6,1191749.0,
2017-05-18,157.5,160.5,156.0,157.15,832307.0,
2017-05-19,158.0,162.25,156.9,157.9,553196.0,
2017-05-22,159.0,160.75,150.5,151.4,619655.0,
2017-05-23,152.0,152.45,141.15,141.85,829531.0,
2017-05-24,142.0,142.7,131.6,133.15,911306.0,
2017-05-25,133.4,136.9,133.05,135.65,637201.0,
2017-05-26,135.05,143.65,135.05,140.85,665646.0,
2017-05-29,141.0,143.5,138.0,138.75,232109.0,
2017-05-30,138.1,138.95,133.55,134.75,274479.0,
2017-05-31,134.9,138.0,134.55,136.3,184671.0,
2017-06-01,136.0,141.95,136.0,140.3,256917.0,
2017-06-02,141.05,147.0,140.35,143.9,640433.0,
2017-06-05,144.5,145.3,142.0,142.35,210316.0,
2017-06-06,143.45,143.45,139.1,139.5,159335.0,
2017-06-07,140.1,141.7,139.2,140.4,139768.0,
2017-06-08,140.1,140.7,139.3,139.7,105000.0,
2017-06-09,140.5,140.5,137.05,137.8,133474.0,
2017-06-12,137.45,139.95,136.3,138.65,260681.0,
2017-06-13,139.0,140.2,136.5,137.75,204025.0,
2017-06-14,137.1,138.2,135.35,136.25,224224.0,
2017-06-15,137.8,144.75,136.4,143.85,629653.0,
2017-06-16,144.85,146.95,144.1,144.7,336983.0,
2017-06-19,145.5,145.7,142.05,143.55,185226.0,
2017-06-20,143.1,147.35,142.8,145.7,308068.0,
2017-06-21,145.9,145.9,143.6,144.6,188422.0,
2017-06-22,144.05,145.9,140.0,141.25,177729.0,
2017-06-23,143.35,143.35,138.3,140.15,188447.0,
2017-06-27,139.0,141.0,137.1,138.0,176275.0,
2017-06-28,139.8,143.65,137.8,142.5,226348.0,
2017-06-29,143.4,144.4,141.05,143.1,237414.0,
2017-06-30,141.0,142.9,140.95,142.25,123222.0,
2017-07-03,142.5,145.9,142.1,142.5,129668.0,
2017-07-04,143.95,145.9,142.0,144.1,150105.0,
2017-07-05,144.1,148.7,142.15,145.95,362058.0,
2017-07-06,145.8,147.2,145.2,145.7,139375.0,
2017-07-07,146.4,146.4,143.2,144.45,88745.0,
2017-07-10,144.7,148.0,144.45,146.05,37782.0,
2017-07-11,145.05,148.0,145.05,146.8,232915.0,
2017-07-12,147.7,147.95,145.1,146.65,152495.0,
2017-07-13,146.55,167.6,146.55,165.45,3309074.0,
2017-07-14,166.4,167.7,157.0,157.8,681478.0,
2017-07-17,151.1,158.0,148.0,150.1,1194554.0,
2017-07-18,147.95,149.1,145.0,147.7,570473.0,
2017-07-19,147.05,148.8,142.45,144.95,904789.0,
2017-07-20,145.5,146.55,137.75,138.5,910673.0,
2017-07-21,139.45,139.45,136.05,137.05,469142.0,
2017-07-24,137.0,138.4,132.3,133.3,502758.0,
2017-07-25,133.0,133.95,128.4,129.0,769912.0,
2017-07-26,129.0,137.3,125.8,133.55,1237336.0,
2017-07-27,134.0,136.25,131.45,132.85,374438.0,
2017-07-28,132.85,139.9,132.1,139.1,775145.0,
2017-07-31,140.1,141.0,136.9,137.55,244533.0,
2017-08-01,138.55,139.9,134.35,135.0,187721.0,
2017-08-02,135.8,136.5,133.1,134.85,159276.0,
2017-08-03,135.4,137.9,133.0,135.5,254823.0,
2017-08-04,136.0,139.95,135.1,136.85,383460.0,
2017-08-07,136.85,140.6,136.85,139.45,271594.0,
2017-08-08,139.9,139.9,134.5,135.2,182942.0,
2017-08-09,135.95,136.05,132.0,132.8,184275.0,
2017-08-10,123.0,123.8,111.0,118.1,1036387.0,
2017-08-11,115.05,115.9,109.1,110.1,723398.0,
2017-08-14,111.1,113.4,110.0,110.85,398696.0,
2017-08-16,112.8,112.8,110.0,110.85,312446.0,
2017-08-17,111.0,113.95,107.0,107.3,541640.0,
2017-08-18,106.9,128.75,104.6,128.6,1800949.0,
2017-08-21,128.95,133.4,122.4,123.1,1054405.0,
2017-08-22,124.0,126.1,118.0,120.7,425952.0,
2017-08-23,122.9,126.0,120.0,125.1,361855.0,
2017-08-24,126.0,127.2,122.15,123.05,219584.0,
2017-08-28,125.0,134.45,123.0,130.85,875441.0,
2017-08-29,130.0,133.75,128.5,133.1,945097.0,
2017-08-30,135.0,137.6,131.0,133.3,310348.0,
2017-08-31,134.6,136.6,128.65,129.45,255222.0,
2017-09-01,134.0,135.0,128.9,129.85,438969.0,
2017-09-04,130.5,131.7,126.0,127.8,159823.0,
2017-09-05,128.0,131.9,127.65,128.9,181135.0,
2017-09-06,127.5,129.9,126.2,127.35,317205.0,
2017-09-07,129.5,131.35,126.55,127.5,500879.0,
2017-09-08,127.2,128.65,123.45,127.2,386592.0,
2017-09-11,130.0,130.0,125.4,127.3,224566.0,
2017-09-12,128.5,131.35,127.4,129.9,730451.0,
2017-09-13,129.9,129.9,127.75,128.05,328102.0,
2017-09-14,128.6,130.0,126.05,127.15,389669.0,
2017-09-15,127.5,128.3,116.05,120.9,552596.0,
2017-09-18,121.7,123.7,116.6,118.75,289224.0,
2017-09-19,120.0,122.4,118.0,120.05,262673.0,
2017-09-20,120.0,121.15,119.0,119.35,133941.0,
2017-09-21,120.0,123.25,117.65,119.0,283723.0,
2017-09-22,118.2,120.1,116.0,116.45,183875.0,
2017-09-25,116.6,117.25,110.7,112.75,178445.0,
2017-09-26,112.8,115.45,111.95,112.85,125886.0,
2017-09-27,115.25,115.25,109.0,109.65,147078.0,
2017-09-28,110.0,111.45,109.2,110.4,104363.0,
2017-09-29,110.4,111.9,106.5,107.3,246800.0,
2017-10-03,108.4,115.4,107.25,114.15,605522.0,
2017-10-04,114.15,116.65,109.25,111.4,254038.0,
2017-10-05,112.0,113.9,110.0,112.6,274978.0,
2017-10-06,114.0,116.5,110.05,114.65,288588.0,
2017-10-09,114.65,126.8,114.35,117.6,1016193.0,
2017-10-10,117.5,120.75,113.1,114.95,352056.0,
2017-10-11,115.85,118.15,113.0,113.85,172237.0,
2017-10-12,113.2,115.0,113.05,113.65,86514.0,
2017-10-13,114.45,115.6,112.3,112.85,157129.0,
2017-10-16,112.8,118.55,112.8,114.8,502694.0,
2017-10-17,114.8,117.0,112.95,113.6,806037.0,
2017-10-18,114.0,115.7,113.0,113.65,145056.0,
2017-10-19,114.0,115.4,113.8,114.9,60263.0,
2017-10-23,114.95,116.7,112.7,113.15,171994.0,
2017-10-24,113.8,113.8,110.1,110.95,236334.0,
2017-10-25,111.15,113.0,110.1,111.75,222234.0,
2017-10-26,111.45,114.9,111.3,111.6,212691.0,
