,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,27.5,27.5,26.65,26.7,1077701.0,
2016-08-23,26.7,26.75,26.35,26.5,1033018.0,
2016-08-24,26.5,26.65,26.4,26.55,539272.0,
2016-08-25,26.6,26.75,26.3,26.35,694582.0,
2016-08-26,26.45,26.6,26.3,26.4,967124.0,
2016-08-29,26.5,26.55,26.3,26.4,671717.0,
2016-08-30,26.45,26.95,26.4,26.75,1603856.0,
2016-08-31,26.75,26.9,26.55,26.6,951226.0,
2016-09-01,26.65,26.65,26.2,26.25,915389.0,
2016-09-02,26.3,26.45,26.25,26.4,456653.0,
2016-09-06,26.6,26.65,26.4,26.4,772967.0,
2016-09-07,26.5,27.35,26.4,26.9,3132984.0,
2016-09-08,26.9,28.55,26.85,28.4,8716268.0,
2016-09-09,28.95,29.15,27.9,28.0,5399500.0,
2016-09-12,28.0,28.05,26.95,27.05,3753734.0,
2016-09-14,26.9,27.6,26.85,27.5,1425877.0,
2016-09-15,27.2,27.75,27.15,27.4,1155133.0,
2016-09-16,27.65,27.9,27.15,27.35,2576950.0,
2016-09-19,27.55,27.55,26.9,27.1,1231414.0,
2016-09-20,27.2,27.25,26.95,27.0,478687.0,
2016-09-21,27.0,27.3,26.9,26.95,545147.0,
2016-09-22,27.2,27.4,27.1,27.2,657928.0,
2016-09-23,27.4,27.4,26.65,26.75,1025278.0,
2016-09-26,26.75,26.8,26.4,26.5,923969.0,
2016-09-27,26.7,27.1,26.25,26.3,1482905.0,
2016-09-28,26.3,27.05,26.25,26.8,1686404.0,
2016-09-29,26.9,27.0,25.05,25.25,2363846.0,
2016-09-30,25.4,25.65,25.0,25.45,1242603.0,
2016-10-03,25.5,26.05,25.5,25.9,868093.0,
2016-10-04,25.95,26.35,25.65,26.1,2125492.0,
2016-10-05,26.2,26.35,25.85,26.0,1100185.0,
2016-10-06,26.05,26.15,25.6,25.7,767088.0,
2016-10-07,25.75,25.9,25.7,25.75,374815.0,
2016-10-10,25.8,25.9,25.7,25.75,273659.0,
2016-10-13,25.7,25.7,25.25,25.35,740046.0,
2016-10-14,25.5,25.5,25.2,25.25,498770.0,
2016-10-17,25.25,25.4,25.1,25.15,588080.0,
2016-10-18,25.4,25.4,25.2,25.3,565989.0,
2016-10-19,25.35,25.35,25.2,25.3,442827.0,
2016-10-20,25.35,25.95,25.3,25.85,1657797.0,
2016-10-21,25.55,25.9,25.55,25.6,516372.0,
2016-10-24,25.7,25.95,25.65,25.7,833435.0,
2016-10-25,25.8,25.8,25.55,25.7,965741.0,
2016-10-26,25.7,26.0,25.6,25.9,1040947.0,
2016-10-27,25.9,25.9,25.5,25.65,646811.0,
2016-10-28,25.7,26.75,25.5,26.65,1608300.0,
2016-11-01,26.55,26.85,26.2,26.65,1524304.0,
2016-11-02,26.5,26.5,26.15,26.2,606603.0,
2016-11-03,26.15,26.3,25.75,25.85,481994.0,
2016-11-04,25.85,25.85,25.2,25.35,631700.0,
2016-11-07,25.45,25.75,25.4,25.5,363625.0,
2016-11-08,25.55,25.6,25.2,25.45,331468.0,
2016-11-09,24.7,25.0,20.5,24.55,2028350.0,
2016-11-10,25.4,27.0,25.2,26.7,3324564.0,
2016-11-11,26.6,27.8,25.5,25.85,4458502.0,
2016-11-15,26.1,26.85,25.7,26.15,1958303.0,
2016-11-16,26.5,26.65,25.7,25.9,1249611.0,
2016-11-17,25.9,26.4,25.7,25.75,713278.0,
2016-11-18,26.1,26.1,25.65,25.75,605734.0,
2016-11-21,26.25,26.25,25.0,25.25,740257.0,
2016-11-22,25.3,25.4,24.9,25.05,656174.0,
2016-11-23,25.25,25.25,24.6,24.65,1509402.0,
2016-11-24,24.65,25.2,24.5,24.65,1101948.0,
2016-11-25,24.7,25.15,24.7,25.0,669491.0,
2016-11-28,24.5,25.1,24.5,24.9,485249.0,
2016-11-29,25.2,25.3,25.0,25.1,406505.0,
2016-11-30,25.1,25.45,25.05,25.25,379987.0,
2016-12-01,25.25,25.4,25.0,25.05,284799.0,
2016-12-02,24.9,25.05,24.75,24.9,534005.0,
2016-12-05,24.95,25.1,24.8,24.9,350616.0,
2016-12-06,24.95,25.35,24.9,25.2,265601.0,
2016-12-07,25.4,25.4,24.7,24.85,1138371.0,
2016-12-08,25.0,25.15,24.25,24.3,1193898.0,
2016-12-09,24.35,24.8,24.35,24.65,872720.0,
2016-12-12,24.9,25.15,24.65,24.85,443013.0,
2016-12-13,25.0,25.25,24.8,25.15,548456.0,
2016-12-14,25.25,25.25,24.95,25.1,406078.0,
2016-12-15,25.1,25.25,24.85,25.2,445930.0,
2016-12-16,25.35,25.35,24.9,25.15,415918.0,
