,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,517.0,519.85,508.65,511.7,66817.0,
2016-08-23,511.7,517.65,509.1,511.45,76565.0,
2016-08-24,514.5,547.85,513.05,544.0,687762.0,
2016-08-25,550.5,559.9,537.05,543.4,422769.0,
2016-08-26,545.9,552.8,540.1,550.75,198778.0,
2016-08-29,555.0,557.2,545.1,548.95,105769.0,
2016-08-30,550.0,553.0,540.1,542.8,88008.0,
2016-08-31,543.15,551.8,538.0,541.2,110106.0,
2016-09-01,541.2,546.85,532.3,536.9,77102.0,
2016-09-02,540.0,544.0,537.5,541.25,66606.0,
2016-09-06,543.8,578.0,541.3,572.95,635167.0,
2016-09-07,573.0,576.0,560.2,566.5,225017.0,
2016-09-08,565.4,583.05,561.65,578.7,192655.0,
2016-09-09,584.35,595.35,582.0,587.6,350061.0,
2016-09-12,579.75,584.6,568.0,573.1,94584.0,
2016-09-14,572.5,591.0,570.0,576.15,247422.0,
2016-09-15,582.0,583.7,575.0,576.45,54624.0,
2016-09-16,578.95,594.7,578.95,590.0,225497.0,
2016-09-19,595.0,600.95,585.1,591.35,211049.0,
2016-09-20,591.0,596.9,590.0,591.45,103285.0,
2016-09-21,591.5,598.0,588.0,590.0,283023.0,
2016-09-22,599.5,617.8,590.85,614.3,274203.0,
2016-09-23,618.9,618.95,595.0,596.3,355206.0,
2016-09-26,596.4,599.9,577.2,592.75,196113.0,
2016-09-27,595.0,605.0,594.0,599.2,244211.0,
2016-09-28,601.95,609.7,601.95,608.7,132907.0,
2016-09-29,608.75,609.9,587.0,604.45,248924.0,
2016-09-30,601.0,604.45,588.0,599.5,296699.0,
2016-10-03,599.55,609.55,599.55,608.9,173285.0,
2016-10-04,603.0,624.85,603.0,620.35,110195.0,
2016-10-05,620.35,628.9,612.0,617.4,103876.0,
2016-10-06,617.45,625.0,606.0,610.65,66185.0,
2016-10-07,610.65,615.85,603.5,606.85,37755.0,
2016-10-10,606.85,626.0,605.5,621.5,78619.0,
2016-10-13,622.0,638.0,604.2,616.5,332408.0,
2016-10-14,619.0,627.4,613.8,619.95,77936.0,
2016-10-17,620.55,630.8,606.7,612.5,76493.0,
2016-10-18,614.0,625.0,611.0,619.8,49799.0,
2016-10-19,612.1,629.25,612.1,626.25,38600.0,
2016-10-20,615.1,626.15,612.05,614.05,110493.0,
2016-10-21,615.05,633.95,608.0,627.0,71730.0,
2016-10-24,626.95,639.0,618.5,633.15,87264.0,
2016-10-25,634.0,644.0,630.1,632.65,47805.0,
2016-10-26,630.0,638.0,615.05,620.3,76063.0,
2016-10-27,626.7,627.15,613.05,618.1,40579.0,
2016-10-28,618.1,620.05,606.0,609.65,87014.0,
2016-11-01,620.8,621.0,605.0,613.8,80601.0,
2016-11-02,612.0,612.0,590.25,595.7,86344.0,
2016-11-03,595.75,598.5,579.0,583.25,72720.0,
2016-11-04,577.15,581.95,557.1,569.4,148583.0,
2016-11-07,583.4,593.05,575.0,578.35,102451.0,
2016-11-08,580.0,595.0,568.25,570.5,89427.0,
2016-11-09,550.0,591.65,457.0,585.85,111368.0,
2016-11-10,597.0,608.0,584.0,594.15,121687.0,
2016-11-11,590.0,618.0,549.0,562.0,788420.0,
2016-11-15,575.2,577.4,533.1,540.55,134262.0,
2016-11-16,563.0,563.0,525.0,528.7,81746.0,
2016-11-17,528.0,539.7,516.0,533.85,135343.0,
2016-11-18,535.0,547.75,525.0,543.0,99695.0,
2016-11-21,540.0,546.05,530.3,537.2,91053.0,
2016-11-22,532.1,549.9,532.1,545.45,85195.0,
2016-11-23,545.5,566.0,545.45,562.45,88835.0,
2016-11-24,550.0,576.0,550.0,568.1,39215.0,
2016-11-25,568.15,584.45,560.0,572.3,76238.0,
2016-11-28,576.0,576.0,561.1,570.5,54143.0,
2016-11-29,572.0,580.0,563.5,567.2,36373.0,
2016-11-30,567.2,584.7,567.2,581.0,69463.0,
2016-12-01,585.0,589.4,565.3,574.15,94137.0,
2016-12-02,565.4,574.7,560.05,565.05,28102.0,
2016-12-05,556.2,567.75,553.5,557.1,51124.0,
2016-12-06,558.1,564.55,557.1,559.05,32512.0,
2016-12-07,564.7,564.7,550.55,558.9,62287.0,
2016-12-08,554.0,554.0,528.95,538.5,362957.0,
2016-12-09,540.0,549.5,540.0,544.25,71304.0,
2016-12-12,545.7,550.0,540.0,542.6,32252.0,
2016-12-13,540.5,545.95,536.0,539.95,28455.0,
2016-12-14,540.1,548.6,533.0,538.45,43363.0,
2016-12-15,529.0,542.35,529.0,537.7,19621.0,
2016-12-16,537.0,554.0,535.0,547.65,50719.0,
2016-12-19,550.0,553.9,532.65,537.0,51532.0,
2016-12-20,541.25,544.9,528.1,530.95,32818.0,
2016-12-21,538.0,545.0,535.0,538.3,27793.0,
2016-12-22,539.5,542.0,524.05,535.2,67172.0,
2016-12-23,537.2,544.0,527.05,529.8,38135.0,
2016-12-26,530.0,537.25,515.0,522.55,27596.0,
2016-12-27,525.1,525.65,512.95,517.4,44794.0,
2016-12-28,520.05,525.3,519.0,521.85,41464.0,
2016-12-29,518.2,537.0,518.2,530.75,68943.0,
2016-12-30,533.8,540.0,530.0,533.05,25222.0,
2017-01-02,535.0,539.7,526.6,529.55,39210.0,
2017-01-03,530.95,535.0,529.0,530.25,20026.0,
2017-01-04,533.45,559.0,528.0,549.3,200313.0,
2017-01-05,554.1,564.8,545.0,548.45,64032.0,
2017-01-06,549.4,557.9,540.05,544.65,39085.0,
2017-01-09,541.0,551.7,535.0,539.15,39080.0,
2017-01-10,537.05,542.4,532.0,534.7,30555.0,
2017-01-11,534.75,574.0,534.75,556.65,498354.0,
2017-01-12,555.0,555.0,543.0,547.4,58846.0,
2017-01-13,547.0,553.05,545.95,549.1,27045.0,
2017-01-16,549.1,549.9,539.8,541.35,43360.0,
2017-01-17,540.0,549.7,540.0,546.1,21002.0,
2017-01-18,545.0,554.0,543.0,549.8,27209.0,
2017-01-19,551.85,565.0,549.0,559.75,45798.0,
2017-01-20,555.1,565.0,550.0,558.75,38073.0,
2017-01-23,558.45,559.0,548.0,551.65,40785.0,
2017-01-24,551.4,554.0,546.2,550.95,18144.0,
2017-01-25,556.0,556.0,538.0,539.8,63675.0,
2017-01-27,543.15,547.85,535.05,536.4,117580.0,
2017-01-30,548.0,548.0,531.5,535.05,82172.0,
2017-01-31,544.8,544.8,531.55,534.8,70376.0,
2017-02-01,531.15,539.9,522.6,533.4,67453.0,
2017-02-02,535.1,543.9,528.65,533.5,108419.0,
2017-02-03,533.6,537.9,526.95,529.75,112823.0,
2017-02-06,533.95,534.0,520.0,526.0,156994.0,
2017-02-07,528.0,536.0,523.15,525.8,112051.0,
2017-02-08,529.2,529.7,521.0,523.1,58880.0,
2017-02-09,525.55,531.0,522.05,527.95,62802.0,
2017-02-10,530.75,543.0,515.1,519.3,897249.0,
2017-02-13,523.9,527.95,519.0,523.2,391914.0,
2017-02-14,524.5,527.0,520.0,522.3,43033.0,
2017-02-15,524.0,524.65,518.0,520.4,70202.0,
2017-02-16,516.2,524.9,514.05,523.25,41729.0,
2017-02-17,524.0,532.0,521.5,529.3,180590.0,
2017-02-20,529.0,555.0,527.0,549.6,424076.0,
2017-02-21,554.0,558.9,551.0,553.7,273014.0,
2017-02-22,557.8,562.9,536.45,540.9,531539.0,
2017-02-23,546.0,546.0,538.0,540.75,56605.0,
2017-02-27,545.5,574.0,540.0,563.5,294726.0,
2017-02-28,567.9,568.8,551.0,553.7,84264.0,
2017-03-01,553.9,560.0,550.0,554.05,134409.0,
2017-03-02,555.0,557.8,538.1,543.25,72816.0,
2017-03-03,541.65,557.0,541.05,550.5,90961.0,
2017-03-06,553.95,557.0,545.0,552.5,48632.0,
2017-03-07,554.85,554.85,547.1,549.2,38811.0,
2017-03-08,551.0,554.3,548.0,550.6,46140.0,
2017-03-09,548.6,553.3,545.0,549.5,36681.0,
2017-03-10,551.85,553.0,543.0,544.7,27343.0,
2017-03-14,552.0,565.9,545.0,563.95,588078.0,
2017-03-15,568.0,568.8,550.55,552.25,70398.0,
2017-03-16,559.0,561.95,548.0,549.85,65225.0,
2017-03-17,550.0,552.65,544.8,547.9,111879.0,
2017-03-20,551.75,553.75,544.0,544.85,62940.0,
2017-03-21,545.0,555.05,543.0,552.35,126081.0,
2017-03-22,546.0,558.0,545.0,555.0,47481.0,
2017-03-23,557.5,579.5,546.55,572.3,274633.0,
2017-03-24,574.0,590.0,566.65,587.6,210768.0,
2017-03-27,586.9,589.4,569.8,579.35,104519.0,
2017-03-28,579.35,588.0,576.55,586.0,145313.0,
2017-03-29,590.0,603.4,576.0,601.3,236358.0,
2017-03-30,604.95,630.0,601.3,608.7,261918.0,
2017-03-31,611.0,631.85,604.55,623.85,320901.0,
2017-04-03,618.3,649.5,618.3,631.8,273621.0,
2017-04-05,635.6,657.6,632.0,646.45,290832.0,
2017-04-06,645.7,645.7,633.0,638.2,122623.0,
2017-04-07,637.8,648.7,622.15,637.3,345811.0,
2017-04-10,639.7,655.0,627.75,636.9,339189.0,
2017-04-11,628.5,636.95,615.35,634.35,153496.0,
2017-04-12,630.0,634.75,608.05,615.45,114635.0,
2017-04-13,618.0,623.8,597.0,602.3,164680.0,
2017-04-17,603.0,618.0,601.0,612.05,168418.0,
2017-04-18,612.0,620.0,607.45,610.55,96333.0,
2017-04-19,612.5,618.0,605.0,608.65,143003.0,
2017-04-20,606.9,617.0,591.15,594.4,47977.0,
2017-04-21,597.0,605.0,592.0,597.9,182977.0,
2017-04-24,597.0,603.8,580.0,593.8,345016.0,
2017-04-25,600.0,608.0,585.55,599.75,192512.0,
2017-04-26,600.0,617.0,593.5,608.4,223034.0,
2017-04-27,608.3,612.05,595.55,603.55,68407.0,
2017-04-28,607.5,607.5,594.0,598.05,68616.0,
2017-05-02,607.5,608.0,581.0,589.75,122420.0,
2017-05-03,590.1,600.0,557.4,564.1,251082.0,
2017-05-04,570.35,572.0,543.0,548.0,150412.0,
2017-05-05,549.7,551.95,532.9,536.85,64951.0,
2017-05-08,538.0,548.85,537.9,541.05,30095.0,
2017-05-09,546.9,551.0,541.95,546.3,48847.0,
2017-05-10,550.0,564.0,542.95,549.6,109738.0,
2017-05-11,552.95,564.0,550.35,560.2,125493.0,
2017-05-12,561.0,561.0,548.05,552.25,45487.0,
2017-05-15,553.0,562.5,550.0,557.25,61360.0,
2017-05-16,560.0,572.0,549.05,552.9,72324.0,
2017-05-17,553.0,556.0,539.0,541.95,35970.0,
2017-05-18,546.0,546.0,522.55,525.1,94648.0,
2017-05-19,528.0,534.0,526.15,529.95,53774.0,
2017-05-22,532.95,533.9,517.0,519.75,31226.0,
2017-05-23,518.0,518.05,502.0,509.95,60591.0,
2017-05-24,511.0,520.0,483.95,488.7,62214.0,
2017-05-25,485.0,497.7,485.0,489.2,80355.0,
2017-05-26,493.0,509.7,487.25,501.9,146994.0,
2017-05-29,504.5,504.5,489.0,490.3,87333.0,
2017-05-30,488.05,504.7,485.0,487.05,92038.0,
2017-05-31,494.0,497.45,488.6,490.7,224320.0,
2017-06-01,492.0,518.8,492.0,511.35,597827.0,
2017-06-02,512.05,521.0,498.0,502.4,298134.0,
2017-06-05,502.4,520.0,501.1,512.7,58996.0,
2017-06-06,515.4,515.4,500.0,508.25,29006.0,
2017-06-07,509.8,514.75,502.35,505.4,42503.0,
2017-06-08,508.45,516.0,502.0,503.45,59805.0,
2017-06-09,506.0,507.9,496.5,501.65,35847.0,
2017-06-12,507.4,507.4,493.7,498.05,173421.0,
2017-06-13,495.1,505.95,490.0,501.55,34424.0,
2017-06-14,503.8,511.9,496.55,510.0,61456.0,
2017-06-15,511.0,521.9,500.1,515.15,74782.0,
2017-06-16,464.0,485.0,436.1,473.3,7598625.0,
2017-06-19,460.0,476.6,460.0,472.7,912794.0,
2017-06-20,472.0,488.55,465.0,473.7,1263593.0,
