,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,230.6,237.3,226.2,235.55,2456130.0,
2016-08-23,235.3,238.3,231.8,234.4,1751825.0,
2016-08-24,233.0,238.35,232.15,235.8,1259934.0,
2016-08-25,236.6,238.3,231.3,232.2,1023264.0,
2016-08-26,234.5,238.7,232.1,233.05,1453567.0,
2016-08-29,231.5,234.8,229.3,233.55,821258.0,
2016-08-30,235.5,235.5,231.8,232.55,699987.0,
2016-08-31,234.0,235.5,225.15,226.65,2951080.0,
2016-09-01,228.05,232.5,225.1,227.1,1224286.0,
2016-09-02,229.5,231.8,227.4,230.9,847535.0,
2016-09-06,232.4,233.8,229.05,230.65,1241738.0,
2016-09-07,231.15,233.5,229.1,230.6,1199859.0,
2016-09-08,230.8,253.45,230.7,252.0,8197446.0,
2016-09-09,254.0,254.4,244.1,246.2,2961268.0,
2016-09-12,243.0,246.0,234.05,241.3,4255652.0,
2016-09-14,241.0,248.5,241.0,246.45,4680813.0,
2016-09-15,247.3,250.5,242.05,244.1,1516661.0,
2016-09-16,246.8,252.8,244.0,247.35,3083731.0,
2016-09-19,248.0,249.0,242.25,244.6,1798851.0,
2016-09-20,245.5,251.8,242.25,248.15,2923927.0,
2016-09-21,254.65,255.35,247.8,249.0,5323680.0,
2016-09-22,251.4,252.9,247.25,249.85,2402252.0,
2016-09-23,250.25,266.4,249.2,261.1,8382462.0,
2016-09-26,260.3,264.75,255.6,256.8,4506174.0,
2016-09-27,263.0,266.3,254.75,258.15,7216020.0,
2016-09-28,258.55,261.9,257.0,259.95,1858009.0,
2016-09-29,261.0,263.7,235.0,245.05,5087559.0,
2016-09-30,243.0,249.05,241.25,245.15,1791020.0,
2016-10-03,248.05,261.6,246.45,256.45,4611719.0,
2016-10-04,258.55,258.55,249.1,252.95,2787778.0,
2016-10-05,255.0,256.7,249.25,251.1,2375185.0,
2016-10-06,251.55,253.75,243.8,246.9,1613021.0,
2016-10-07,246.95,251.0,244.5,249.25,1312273.0,
2016-10-10,247.45,248.7,241.65,242.35,1859200.0,
2016-10-13,241.0,241.0,228.5,232.05,2011765.0,
2016-10-14,231.55,241.9,231.55,241.05,1882107.0,
2016-10-17,241.0,243.35,234.0,236.45,1297523.0,
2016-10-18,239.0,241.85,236.15,240.7,1275560.0,
2016-10-19,241.0,244.1,239.1,241.2,935053.0,
2016-10-20,241.9,245.6,241.2,242.2,1219552.0,
2016-10-21,244.0,250.8,242.1,249.0,2004973.0,
2016-10-24,250.0,253.4,248.75,251.0,1467575.0,
2016-10-25,251.0,251.8,245.5,246.55,544356.0,
2016-10-26,245.0,250.3,241.7,242.55,934093.0,
2016-10-27,242.55,242.55,233.35,234.3,2262926.0,
2016-10-28,234.2,238.0,232.55,234.75,974111.0,
2016-11-01,235.05,235.6,231.7,233.1,792324.0,
2016-11-02,230.2,230.2,225.25,226.0,724522.0,
2016-11-03,225.0,228.9,223.0,223.45,568693.0,
2016-11-04,223.45,224.0,216.65,218.6,641132.0,
2016-11-07,221.05,226.9,219.2,223.4,1535625.0,
2016-11-08,226.1,226.65,222.85,225.55,1176156.0,
2016-11-09,205.1,214.45,194.1,212.4,2722386.0,
2016-11-10,216.0,222.8,216.0,217.9,1016107.0,
2016-11-11,215.0,215.05,204.2,204.85,1250459.0,
2016-11-15,205.0,206.0,178.25,184.75,3062002.0,
2016-11-16,187.1,190.8,184.65,187.05,2120250.0,
2016-11-17,187.05,192.0,186.05,188.3,1286020.0,
2016-11-18,189.3,197.45,186.45,191.75,2472485.0,
2016-11-21,192.4,193.95,185.0,189.5,2293070.0,
2016-11-22,190.95,194.4,178.0,182.25,4485147.0,
2016-11-23,184.0,185.85,177.45,183.3,4157996.0,
2016-11-24,184.25,192.0,181.25,186.2,2807567.0,
2016-11-25,186.95,187.6,182.95,186.5,2054105.0,
2016-11-28,187.45,191.8,185.55,187.8,1515852.0,
2016-11-29,188.4,191.2,186.45,187.2,1586147.0,
2016-11-30,188.0,188.4,185.15,186.5,1794727.0,
2016-12-01,189.8,195.3,184.25,189.9,8355439.0,
2016-12-02,187.3,191.65,186.4,189.1,1340088.0,
2016-12-05,190.0,191.6,184.7,187.75,1133314.0,
2016-12-06,188.65,189.8,186.2,187.15,967491.0,
2016-12-07,186.7,188.9,185.0,185.55,1140888.0,
2016-12-08,187.0,193.75,186.75,191.75,2980062.0,
2016-12-09,192.15,194.1,190.3,191.5,1040469.0,
2016-12-12,194.2,196.7,191.5,193.4,1804317.0,
2016-12-13,196.95,196.95,191.1,194.75,1531883.0,
2016-12-14,195.7,199.05,193.75,194.75,1416445.0,
2016-12-15,194.0,196.8,192.0,194.95,729411.0,
2016-12-16,194.25,197.15,191.55,192.9,693250.0,
2016-12-19,197.0,198.8,194.1,197.85,1813224.0,
2016-12-20,197.65,201.85,195.75,197.9,1996774.0,
2016-12-21,199.75,201.4,198.25,199.1,1240049.0,
2016-12-22,197.6,200.35,194.5,196.9,1122072.0,
2016-12-23,197.75,200.0,197.1,198.55,875451.0,
2016-12-26,198.0,198.4,188.0,188.95,1170528.0,
2016-12-27,188.1,190.35,183.1,189.1,1950969.0,
2016-12-28,190.0,192.0,188.7,189.75,1176285.0,
2016-12-29,194.05,195.45,192.25,193.75,3184521.0,
2016-12-30,194.15,197.8,194.05,196.0,1095692.0,
2017-01-02,198.5,205.0,196.0,204.15,1637495.0,
2017-01-03,205.75,207.0,203.75,206.0,1444908.0,
2017-01-04,206.4,208.35,205.35,206.8,695083.0,
2017-01-05,208.2,217.65,208.2,214.05,3804532.0,
2017-01-06,214.5,215.05,211.2,214.1,1595028.0,
2017-01-09,215.4,215.85,213.75,214.6,747115.0,
2017-01-10,215.0,218.0,214.35,214.9,1555685.0,
2017-01-11,215.4,218.0,215.4,216.3,1182998.0,
2017-01-12,216.4,216.85,211.45,212.9,538804.0,
2017-01-13,213.25,214.55,210.2,213.6,720884.0,
2017-01-16,213.5,217.0,211.0,216.65,941544.0,
2017-01-17,216.8,222.6,215.45,220.4,1961821.0,
2017-01-18,221.85,222.5,217.6,219.8,855988.0,
2017-01-19,221.0,222.7,219.1,219.9,728926.0,
2017-01-20,219.3,220.9,212.9,214.2,941842.0,
2017-01-23,213.1,215.15,210.1,212.4,1238016.0,
2017-01-24,212.9,218.4,211.35,217.35,1126923.0,
2017-01-25,218.5,232.5,216.0,228.3,6031033.0,
2017-01-27,228.5,233.4,227.55,231.4,2103515.0,
2017-01-30,231.4,235.1,230.85,232.45,1103344.0,
2017-01-31,233.45,238.3,230.55,231.4,1287650.0,
2017-02-01,232.2,239.0,230.6,237.55,2492539.0,
2017-02-02,238.0,240.15,235.0,237.05,2339708.0,
2017-02-03,236.85,237.05,233.0,234.0,843439.0,
2017-02-06,235.5,239.5,233.85,236.05,1347340.0,
2017-02-07,236.9,237.9,231.5,233.2,866321.0,
2017-02-08,235.0,236.85,230.7,233.6,835827.0,
2017-02-09,235.05,239.6,234.25,236.65,1189930.0,
2017-02-10,237.25,238.25,230.3,233.2,906569.0,
2017-02-13,234.0,235.75,229.1,232.7,814819.0,
2017-02-14,232.0,233.65,228.3,230.55,472697.0,
2017-02-15,230.85,232.85,224.1,225.3,815089.0,
2017-02-16,225.55,229.45,222.65,228.4,964558.0,
2017-02-17,229.0,231.3,226.15,227.85,1134098.0,
2017-02-20,228.4,238.8,228.25,232.55,4531774.0,
2017-02-21,232.7,235.15,228.85,233.35,1688352.0,
2017-02-22,232.8,234.85,230.6,231.65,1104047.0,
2017-02-23,233.0,234.8,229.7,231.05,1760930.0,
2017-02-27,231.1,232.8,227.55,228.85,866365.0,
2017-02-28,228.25,233.9,228.0,231.75,1395891.0,
2017-03-01,232.1,239.0,232.1,237.35,1744469.0,
2017-03-02,240.0,244.25,227.1,229.3,3070558.0,
2017-03-03,229.3,232.6,226.65,227.95,2213585.0,
2017-03-06,228.5,231.25,227.85,229.5,668302.0,
2017-03-07,230.2,235.2,229.8,231.65,1623464.0,
2017-03-08,231.95,232.85,227.2,228.3,1077143.0,
2017-03-09,227.5,228.5,224.75,226.35,929014.0,
2017-03-10,226.4,229.5,224.75,226.05,1205104.0,
