,Open,High,Low,Close,Volume,DeliveryPct
2018-09-28,412.0,465.0,409.1,415.3,5675479.0,
2018-10-01,418.1,434.85,406.6,427.0,624624.0,
2018-10-03,431.35,437.85,418.55,421.4,279765.0,
2018-10-04,419.0,419.0,404.0,407.1,232364.0,
2018-10-05,407.0,409.1,388.3,399.8,373530.0,
2018-10-08,398.0,400.0,380.0,382.05,134318.0,
2018-10-09,382.5,386.25,355.0,363.65,251694.0,
2018-10-10,367.0,384.4,356.7,365.05,682482.0,
2018-10-11,359.8,373.1,350.05,360.95,191987.0,
2018-10-12,371.0,373.4,362.1,368.0,258969.0,
2018-10-15,374.0,378.8,368.55,375.4,228108.0,
2018-10-16,378.4,392.0,372.0,379.4,234268.0,
2018-10-17,384.8,384.8,365.6,367.6,109997.0,
2018-10-19,367.1,367.1,360.0,361.75,59494.0,
2018-10-22,363.9,364.9,355.0,355.8,50845.0,
2018-10-23,355.8,355.8,346.05,347.85,60941.0,
2018-10-24,353.0,354.6,344.0,345.5,55627.0,
2018-10-25,343.8,349.35,338.0,342.7,53967.0,
2018-10-26,343.2,353.0,340.95,346.55,61398.0,
2018-10-29,350.0,351.85,345.0,348.55,57626.0,
2018-10-30,350.9,357.45,347.1,348.35,77720.0,
2018-10-31,350.9,351.8,344.55,347.4,40403.0,
2018-11-01,349.1,362.0,347.0,356.4,143203.0,
2018-11-02,360.6,371.2,358.65,360.9,181775.0,
2018-11-05,363.0,369.0,362.0,365.65,43301.0,
2018-11-06,370.0,370.0,362.0,364.0,40031.0,
2018-11-07,367.4,373.55,364.95,371.35,49929.0,
2018-11-09,373.5,390.0,372.1,385.3,134013.0,
2018-11-12,388.75,417.65,388.5,407.6,309997.0,
2018-11-13,407.0,419.8,404.0,415.6,284187.0,
2018-11-14,425.0,425.0,408.0,421.15,514841.0,
2018-11-15,424.2,431.8,415.0,422.35,301507.0,
2018-11-16,421.3,427.0,412.05,414.95,102809.0,
2018-11-19,414.95,417.8,406.8,410.1,42882.0,
2018-11-20,408.0,413.75,400.0,401.85,48721.0,
2018-11-21,402.0,406.7,396.05,398.25,55375.0,
2018-11-22,399.7,402.0,387.0,388.8,38231.0,
2018-11-26,390.0,397.45,377.0,389.25,65224.0,
2018-11-27,385.0,410.95,385.0,408.45,107566.0,
2018-11-28,410.0,426.0,410.0,423.6,218430.0,
2018-11-29,425.0,434.85,418.0,427.75,156409.0,
2018-11-30,428.0,431.0,422.55,429.75,67497.0,
2018-12-03,432.0,438.9,428.0,432.7,74881.0,
2018-12-04,433.0,433.0,421.3,425.95,38486.0,
2018-12-05,422.0,439.0,422.0,434.45,239412.0,
2018-12-06,433.9,439.6,422.5,431.2,195824.0,
2018-12-07,433.5,437.5,426.5,429.95,143085.0,
2018-12-10,418.0,426.0,414.65,416.3,70303.0,
2018-12-11,412.05,422.95,403.55,415.9,50479.0,
2018-12-12,420.0,430.0,417.25,424.85,47089.0,
2018-12-13,429.9,432.9,423.0,424.1,35589.0,
2018-12-14,422.1,430.45,420.55,425.25,34216.0,
2018-12-17,430.0,471.0,427.0,458.8,1496600.0,
2018-12-18,456.4,468.75,453.25,463.45,506470.0,
2018-12-19,465.3,467.65,457.2,459.7,163258.0,
2018-12-20,455.0,466.0,448.65,454.25,154666.0,
2018-12-21,452.0,457.05,444.55,447.55,98136.0,
2018-12-24,447.55,449.0,436.2,437.15,54085.0,
2018-12-26,435.0,448.0,426.0,443.65,114632.0,
2018-12-27,444.0,454.85,440.9,452.55,98305.0,
2018-12-28,452.55,459.4,450.8,453.55,56486.0,
2018-12-31,455.0,458.95,445.0,445.55,60181.0,
2019-01-01,447.35,452.95,443.05,447.15,40980.0,
2019-01-02,445.1,449.9,436.0,437.45,37477.0,
2019-01-03,438.0,441.55,426.6,428.05,63057.0,
2019-01-04,430.0,432.8,420.5,421.65,58199.0,
2019-01-07,425.0,431.9,415.1,416.65,63714.0,
2019-01-08,417.0,419.3,411.55,412.65,47548.0,
2019-01-09,414.0,422.1,411.55,412.55,71209.0,
2019-01-10,412.7,421.8,412.0,414.0,63624.0,
2019-01-11,418.8,421.8,413.55,416.5,76154.0,
2019-01-14,414.1,419.0,410.6,413.25,41818.0,
2019-01-15,414.0,415.7,408.2,410.85,58936.0,
2019-01-16,411.0,419.0,411.0,416.85,47131.0,
2019-01-17,418.0,431.95,417.3,421.2,154889.0,
2019-01-18,423.5,423.5,409.15,410.6,68957.0,
2019-01-21,411.0,415.4,406.1,407.75,33036.0,
2019-01-22,407.75,407.75,394.4,396.8,61977.0,
2019-01-23,395.0,399.95,388.05,389.9,36735.0,
2019-01-24,393.7,393.7,383.7,384.65,46112.0,
2019-01-25,386.0,399.5,385.0,388.05,100585.0,
2019-01-28,390.0,393.85,371.0,375.65,64444.0,
2019-01-29,376.0,383.9,376.0,379.7,29577.0,
2019-01-30,382.0,393.0,381.8,386.3,32924.0,
2019-01-31,390.1,393.5,386.05,389.75,48889.0,
2019-02-01,393.9,393.9,383.2,384.5,36215.0,
2019-02-04,386.0,391.0,376.7,380.0,34727.0,
2019-02-05,381.0,390.0,380.05,386.8,40234.0,
2019-02-06,389.05,392.45,381.0,385.4,35516.0,
2019-02-07,387.8,392.75,385.75,389.65,43885.0,
2019-02-08,390.5,392.85,385.6,386.85,78427.0,
2019-02-11,386.2,392.05,381.0,388.15,36028.0,
2019-02-12,392.0,394.0,386.1,390.5,34995.0,
2019-02-13,390.0,392.45,385.4,386.55,15107.0,
2019-02-14,385.5,389.45,383.5,385.25,20033.0,
2019-02-15,371.1,383.0,371.1,380.15,36001.0,
2019-02-18,380.0,380.0,362.0,367.45,18100.0,
2019-02-19,367.35,374.7,364.0,368.9,28102.0,
2019-02-20,366.45,373.1,366.3,370.5,27471.0,
2019-02-21,374.0,379.7,370.0,376.5,20377.0,
2019-02-22,375.1,384.8,375.1,382.1,21946.0,
2019-02-25,380.0,386.0,380.0,384.4,11490.0,
2019-02-26,381.0,381.95,375.0,378.2,18493.0,
2019-02-27,377.0,393.4,375.15,381.15,43993.0,
2019-02-28,381.1,406.0,381.1,400.45,109994.0,
2019-03-01,405.0,413.0,394.65,406.95,110817.0,
2019-03-05,408.95,428.4,358.1,419.65,162917.0,
