,Open,High,Low,Close,Volume,DeliveryPct
2019-10-14,626.0,743.8,625.0,727.75,45270607.0,30.25
2019-10-15,736.0,747.4,696.05,713.15,10530041.0,12.46
2019-10-16,714.0,721.0,698.25,700.65,3476306.0,22.17
2019-10-17,700.1,733.0,687.15,724.3,5032930.0,24.93
2019-10-18,725.0,789.9,716.05,779.15,9733230.0,9.39
2019-10-21,725.0,789.9,716.05,779.15,9733230.0,9.39
2019-10-22,786.95,866.75,781.0,844.7,9346788.0,11.48
2019-10-23,866.0,909.9,866.0,900.3,9023269.0,10.2
2019-10-24,924.95,953.5,862.65,902.05,11871313.0,13.42
2019-10-25,905.0,916.0,876.0,899.05,3849535.0,11.76
2019-10-28,911.0,925.0,895.0,907.7,1342494.0,20.53
2019-10-29,907.0,907.4,878.65,883.1,2023748.0,18.97
2019-10-30,881.0,920.0,880.85,890.45,3276203.0,14.24
2019-10-31,900.0,907.7,877.0,881.7,1839718.0,29.31
2019-11-01,885.0,907.95,883.1,890.5,1882230.0,20.39
2019-11-04,895.0,898.0,880.25,883.45,839167.0,25.42
2019-11-05,886.7,907.0,871.3,881.5,2038067.0,14.74
2019-11-06,885.0,895.0,881.0,884.3,990090.0,20.68
2019-11-07,889.0,892.0,880.1,881.5,775102.0,20.65
2019-11-08,879.75,891.0,872.3,876.9,948769.0,26.61
2019-11-11,886.0,943.35,884.0,932.9,5501875.0,20.19
2019-11-12,886.0,943.35,884.0,932.9,5501875.0,20.19
2019-11-13,955.0,980.9,903.2,932.05,6174470.0,18.29
2019-11-14,915.0,947.0,897.0,907.3,2867396.0,20.9
2019-11-15,920.0,939.8,902.0,928.2,3194038.0,19.51
2019-11-18,934.1,937.9,917.05,922.15,1144000.0,23.62
2019-11-19,922.75,924.0,900.0,902.55,1104593.0,31.65
2019-11-20,909.0,917.0,890.0,895.7,1264597.0,24.3
2019-11-21,898.0,906.0,880.1,884.8,1297118.0,25.17
2019-11-22,889.0,889.0,872.4,875.9,747673.0,30.38
2019-11-25,879.0,890.0,873.1,882.15,687565.0,25.55
2019-11-26,887.0,895.0,875.5,878.7,794348.0,22.96
2019-11-27,881.1,891.0,880.0,883.25,586626.0,29.73
2019-11-28,884.95,887.8,878.1,882.45,415748.0,33.73
2019-11-29,882.15,918.7,878.0,897.25,1799753.0,19.15
2019-12-02,902.0,902.85,878.15,881.05,466420.0,37.78
2019-12-03,886.0,889.0,871.0,875.0,550857.0,29.42
2019-12-04,872.0,885.0,862.3,874.1,741046.0,18.66
2019-12-05,879.5,888.9,872.0,875.95,526976.0,22.96
2019-12-06,877.0,878.65,868.15,872.35,355371.0,36.12
2019-12-09,876.55,876.55,864.15,867.4,354249.0,31.15
2019-12-10,869.8,869.8,855.3,860.9,394809.0,39.06
2019-12-11,863.9,869.95,855.5,864.65,441041.0,36.13
2019-12-12,865.0,878.0,860.1,869.9,290277.0,29.69
2019-12-13,874.25,903.4,870.1,890.5,1400505.0,23.8
2019-12-16,894.5,894.5,882.15,886.7,356192.0,38.82
2019-12-17,889.0,898.5,883.0,886.75,563331.0,38.1
2019-12-18,886.8,887.5,873.3,875.35,284932.0,41.69
2019-12-19,872.2,876.0,866.2,869.7,302745.0,41.54
2019-12-20,874.0,874.0,865.5,866.85,261200.0,37.01
2019-12-23,868.0,870.0,861.0,864.75,328209.0,54.21
2019-12-24,885.0,899.8,875.2,887.55,2404158.0,15.39
2019-12-25,885.0,899.8,875.2,887.55,2404158.0,15.39
2019-12-26,886.0,888.0,874.5,876.9,392561.0,31.43
2019-12-27,881.95,885.4,877.0,880.6,420523.0,36.59
2019-12-30,885.25,937.45,883.3,926.15,3047571.0,21.02
2019-12-31,932.0,954.7,921.3,933.45,3889180.0,12.36
2020-01-01,941.9,953.85,934.8,944.35,1718655.0,14.48
2020-01-02,944.0,944.0,927.05,930.4,657531.0,28.44
2020-01-03,928.0,943.5,927.55,931.4,868570.0,19.03
2020-01-06,927.0,927.05,890.1,894.45,784734.0,36.6
2020-01-07,897.0,921.5,897.0,907.4,697359.0,19.72
2020-01-08,899.0,902.6,886.3,896.15,554070.0,20.71
2020-01-09,910.35,920.6,910.0,913.65,599400.0,23.85
2020-01-10,912.0,927.4,908.65,917.25,508777.0,21.53
2020-01-13,920.0,942.8,916.05,939.15,782985.0,29.38
2020-01-14,945.0,983.7,942.05,974.15,2897447.0,16.79
2020-01-15,978.0,996.0,973.85,985.4,1712570.0,17.81
2020-01-16,984.8,1008.35,984.75,1003.65,1521414.0,22.14
2020-01-17,1010.0,1025.0,1010.0,1021.85,1099347.0,24.49
2020-01-20,1027.2,1028.2,988.05,993.35,887648.0,35.26
2020-01-21,992.4,994.4,978.0,982.75,576489.0,25.98
2020-01-22,990.0,1006.0,987.0,996.85,594103.0,24.71
2020-01-23,998.6,1000.75,989.0,995.5,326740.0,27.94
2020-01-24,1000.0,1012.6,992.1,1002.7,486570.0,27.19
2020-01-27,1001.9,1017.45,995.0,1007.6,552128.0,24.63
2020-01-28,1013.6,1059.9,1010.15,1048.7,1302893.0,23.24
2020-01-29,1072.5,1129.9,1063.5,1116.4,2878180.0,17.07
2020-01-30,1132.8,1164.0,1116.05,1137.15,3814613.0,18.83
2020-01-31,1152.1,1235.0,1146.05,1210.3,3326290.0,13.58
2020-02-03,1194.35,1263.0,1186.05,1250.85,2852658.0,16.06
2020-02-04,1290.0,1438.0,1286.0,1412.65,6594725.0,13.16
2020-02-05,1457.0,1547.8,1441.0,1508.55,10960302.0,11.83
2020-02-06,1532.0,1563.0,1472.0,1504.3,5593623.0,16.47
2020-02-07,1500.0,1528.0,1482.0,1513.5,2379411.0,14.09
2020-02-10,1523.9,1538.0,1466.0,1480.2,2990816.0,24.22
2020-02-11,1495.2,1505.0,1378.6,1408.0,2889010.0,25.34
2020-02-12,1395.0,1450.0,1350.0,1415.25,5342502.0,12.17
2020-02-13,1583.5,1609.8,1515.35,1580.35,11381387.0,15.02
2020-02-14,1599.0,1603.9,1548.6,1557.4,3329548.0,23.47
2020-02-17,1564.9,1565.0,1510.0,1518.65,1568959.0,22.39
2020-02-18,1515.0,1648.0,1485.0,1638.6,7586511.0,12.74
2020-02-19,1666.3,1872.7,1658.4,1831.9,13312044.0,8.42
2020-02-20,1870.0,1977.0,1862.05,1930.05,12052002.0,12.37
2020-02-21,1870.0,1977.0,1862.05,1930.05,12052002.0,12.37
2020-02-24,1900.0,1989.9,1812.0,1923.5,9857426.0,11.73
2020-02-25,1923.3,1994.0,1917.0,1951.95,5764224.0,11.11
2020-02-26,1959.0,1983.7,1940.0,1951.65,3688725.0,12.28
2020-02-27,1967.0,1970.0,1888.8,1909.4,3475379.0,15.51
2020-02-28,1842.0,1865.9,1731.3,1743.8,5090258.0,21.48
2020-03-02,1810.0,1873.7,1636.45,1723.25,4904409.0,18.34
2020-03-03,1770.0,1809.0,1686.55,1739.3,4315203.0,12.16
2020-03-04,1752.0,1765.0,1565.4,1565.4,4406093.0,28.68
2020-03-05,1507.0,1524.95,1411.1,1430.85,7607334.0,18.37
2020-03-06,1359.35,1359.35,1359.35,1359.35,232008.0,94.52
2020-03-09,1291.4,1291.4,1291.4,1291.4,135085.0,99.81
2020-03-10,1291.4,1291.4,1291.4,1291.4,135085.0,99.81
2020-03-11,1226.85,1355.95,1226.85,1285.35,4083929.0,19.08
2020-03-12,1221.1,1221.1,1221.1,1221.1,135614.0,96.24
2020-03-13,1160.05,1268.8,1160.05,1227.75,3184135.0,22.28
2020-03-16,1181.1,1198.0,1166.4,1166.4,1345706.0,35.43
2020-03-17,1152.0,1178.8,1108.1,1108.1,1798036.0,26.77
2020-03-18,1076.6,1087.95,1052.7,1052.7,411932.0,48.75
2020-03-19,1000.1,1033.0,1000.1,1000.1,671844.0,49.44
2020-03-20,970.25,1005.0,950.1,951.0,3068377.0,23.72
2020-03-23,903.45,903.45,903.45,903.45,166278.0,98.62
2020-03-24,861.0,877.95,858.3,858.3,269345.0,64.93
2020-03-25,820.25,825.0,815.4,815.4,295503.0,80.61
2020-03-26,774.65,856.15,774.65,856.15,1053226.0,52.93
