,Open,High,Low,Close,Volume,DeliveryPct
2025-10-01,265.05,318.06,247.57,318.06,48880419.0,51.62
2025-10-03,319.94,346.7,295.9,304.58,20131761.0,18.62
2025-10-06,306.0,341.7,298.2,311.15,21512091.0,16.23
2025-10-07,314.0,342.77,310.32,324.04,26817063.0,10.57
2025-10-08,329.9,339.8,320.1,325.26,9969931.0,11.51
2025-10-09,327.7,356.6,320.3,342.45,22373351.0,10.55
2025-10-10,347.0,351.0,336.47,347.01,7650824.0,11.16
2025-10-13,343.9,357.0,340.8,344.44,4860667.0,14.94
2025-10-14,345.23,345.8,320.25,326.75,4277072.0,26.84
2025-10-15,327.97,335.94,323.0,328.0,2184916.0,17.82
2025-10-16,328.0,330.14,314.35,319.36,2144253.0,31.56
2025-10-17,320.25,341.77,317.12,338.7,3689325.0,23.42
2025-10-20,343.0,352.71,336.05,350.17,4456798.0,24.86
2025-10-21,370.0,372.0,348.1,355.3,3824680.0,27.05
2025-10-22,370.0,372.0,348.1,355.3,3824680.0,27.05
2025-10-23,359.45,387.98,358.71,369.19,15346430.0,15.28
2025-10-24,368.1,404.4,367.46,400.22,15354853.0,11.77
2025-10-27,408.14,413.66,380.01,392.6,7049163.0,17.54
2025-10-28,391.0,400.0,381.05,395.2,4514277.0,36.18
2025-10-29,380.0,391.0,377.8,387.77,3508739.0,39.78
2025-10-30,386.21,408.8,385.0,397.57,4757737.0,26.81
2025-10-31,397.5,397.5,383.32,386.05,1939579.0,45.48
2025-11-03,385.35,385.35,368.05,372.7,2747552.0,53.47
2025-11-04,372.65,383.95,369.1,377.25,2120907.0,30.63
2025-11-05,372.65,383.95,369.1,377.25,2120907.0,30.63
2025-11-06,377.8,382.7,362.0,379.05,2149271.0,32.14
2025-11-07,375.95,393.0,368.6,385.85,3050674.0,21.93
2025-11-10,395.95,418.4,392.25,411.6,6747162.0,25.83
2025-11-11,412.5,444.9,411.3,435.4,9104998.0,17.04
2025-11-12,438.0,446.0,420.5,424.55,3511560.0,18.99
2025-11-13,426.0,451.7,426.0,442.05,4362402.0,21.91
2025-11-14,441.1,449.95,437.3,439.7,2345611.0,28.56
2025-11-17,441.3,457.95,441.05,449.05,2246299.0,20.01
2025-11-18,450.0,461.0,436.65,457.9,2525499.0,21.3
2025-11-19,458.95,458.95,442.9,444.45,1549483.0,40.74
2025-11-20,442.0,451.2,423.9,425.8,1685833.0,34.45
2025-11-21,425.8,431.2,416.1,427.75,1596910.0,29.47
2025-11-24,429.0,430.9,410.0,415.7,1149227.0,34.55
2025-11-25,415.0,419.25,403.0,404.8,1207447.0,41.99
2025-11-26,407.0,413.25,396.8,399.0,1362696.0,38.4
2025-11-27,402.45,406.3,390.4,394.45,1259059.0,42.96
2025-11-28,392.45,404.35,390.7,398.4,1966631.0,47.83
2025-12-01,399.4,399.4,381.25,383.95,907537.0,40.3
2025-12-02,382.4,386.2,378.15,379.6,548331.0,28.27
2025-12-03,379.2,387.5,371.45,384.4,1213108.0,28.37
2025-12-04,384.45,387.2,373.15,375.65,648275.0,37.96
2025-12-05,375.65,376.05,359.3,366.85,996690.0,44.1
2025-12-08,368.75,384.8,364.45,383.15,1538040.0,27.22
2025-12-09,382.4,399.45,369.05,395.05,2319098.0,35.48
2025-12-10,395.4,398.0,380.25,392.05,1254379.0,34.69
2025-12-11,391.9,394.85,374.2,377.05,1290450.0,31.32
2025-12-12,380.35,387.6,378.0,382.8,855384.0,24.97
2025-12-15,384.4,412.45,382.25,408.05,1705310.0,34.3
2025-12-16,407.05,415.4,398.05,410.95,1380009.0,29.43
2025-12-17,404.8,406.95,380.4,402.2,3173423.0,27.88
2025-12-18,400.1,405.75,393.1,400.75,1155773.0,20.25
2025-12-19,404.0,409.0,396.5,401.3,1166244.0,32.9
2025-12-22,402.15,424.8,401.5,420.4,3793915.0,26.22
2025-12-23,421.4,429.0,418.0,421.95,1536262.0,26.99
2025-12-24,422.05,424.5,408.15,411.05,781204.0,41.12
2025-12-25,422.05,424.5,408.15,411.05,781204.0,41.12
2025-12-26,411.05,424.85,410.0,412.25,1123438.0,35.12
2025-12-29,415.0,416.95,382.75,393.2,4572618.0,37.35
2025-12-30,391.0,405.0,389.0,399.8,1662247.0,32.08
2025-12-31,400.0,419.1,397.7,415.4,2648916.0,37.48
2026-01-01,416.8,418.8,402.2,405.4,938601.0,44.01
2026-01-02,407.0,428.2,405.4,422.25,2381500.0,40.31
2026-01-05,426.3,435.0,409.8,413.4,1987722.0,38.69
2026-01-06,413.4,416.0,391.0,404.05,3062022.0,42.49
2026-01-07,406.05,410.5,396.1,398.3,1077503.0,34.18
2026-01-08,397.5,404.5,390.8,401.5,1874308.0,35.38
2026-01-09,401.0,408.5,393.25,395.85,989918.0,29.89
2026-01-12,396.9,407.9,381.8,404.45,1340321.0,28.15
2026-01-13,404.65,416.0,403.7,413.85,1105303.0,41.42
2026-01-14,415.9,416.9,406.55,411.7,1515370.0,42.7
2026-01-15,415.9,416.9,406.55,411.7,1515370.0,42.7
2026-01-16,411.5,417.35,407.05,409.0,930708.0,41.93
2026-01-19,409.0,409.0,392.6,399.05,923338.0,33.94
2026-01-20,399.0,404.85,385.95,393.4,1052206.0,29.87
2026-01-21,386.85,391.9,377.0,387.1,1217057.0,32.34
2026-01-22,392.0,395.95,380.05,382.25,646351.0,33.88
2026-01-23,384.95,388.9,373.05,377.95,621590.0,36.1
2026-01-26,384.95,388.9,373.05,377.95,621590.0,36.1
2026-01-27,377.0,385.15,366.25,380.8,923047.0,33.38
2026-01-28,383.9,395.0,378.45,392.75,605311.0,38.06
2026-01-29,392.95,419.0,390.35,407.7,1741771.0,31.84
2026-01-30,403.25,412.9,397.0,410.85,931211.0,38.11
2026-02-02,400.45,401.95,374.4,386.65,1253258.0,34.96
2026-02-03,405.0,409.1,396.35,401.25,700864.0,42.32
2026-02-04,400.05,419.5,396.1,408.1,1317330.0,27.65
2026-02-05,410.9,411.35,398.05,402.8,591366.0,41.35
2026-02-06,398.0,399.45,387.15,388.75,903541.0,50.42
2026-02-09,395.85,414.4,390.95,401.8,5155039.0,39.1
2026-02-10,405.0,427.0,397.25,402.9,5557271.0,31.44
2026-02-11,406.0,410.0,378.75,392.5,3019449.0,40.89
2026-02-12,392.5,398.8,383.65,396.7,1353898.0,34.38
2026-02-13,394.0,394.0,378.0,382.5,1140426.0,44.41
2026-02-16,377.1,379.8,368.1,378.05,1053575.0,35.91
2026-02-17,379.25,383.0,372.5,373.7,695959.0,40.05
2026-02-18,376.85,381.9,373.0,377.5,425296.0,32.63
2026-02-19,377.9,381.55,375.3,379.8,515886.0,46.69
2026-02-20,379.6,381.1,375.45,378.8,369483.0,46.13
2026-02-23,383.0,389.0,377.0,379.4,672556.0,47.31
2026-02-24,380.0,380.0,367.15,369.05,747641.0,50.21
2026-02-25,369.9,380.0,365.55,378.7,946581.0,42.3
2026-02-26,379.7,393.85,379.0,387.4,962222.0,55.14
2026-02-27,387.1,397.2,377.45,395.5,1382494.0,50.12
2026-03-02,375.0,400.9,373.2,396.5,1675276.0,43.48
2026-03-03,375.0,400.9,373.2,396.5,1675276.0,43.48
2026-03-04,388.0,404.9,382.1,403.0,1321254.0,44.12
2026-03-05,409.0,416.45,397.6,415.3,1679836.0,49.5
2026-03-06,414.0,420.0,408.3,414.85,1404070.0,35.55
2026-03-09,410.0,424.4,392.2,421.95,1249406.0,45.38
2026-03-10,425.3,430.0,418.1,422.8,997487.0,28.74
2026-03-11,422.8,434.85,419.1,434.0,1104528.0,42.2
2026-03-12,430.0,437.95,414.1,428.55,1732446.0,32.06
2026-03-13,425.05,432.0,416.05,428.45,1175685.0,35.68
2026-03-16,421.6,428.0,413.15,424.85,1388616.0,33.66
2026-03-17,424.85,430.85,418.5,427.1,1238939.0,38.82
2026-03-18,429.0,451.8,424.5,438.95,2790895.0,35.22
2026-03-19,430.55,442.95,427.35,437.9,1283466.0,31.09
2026-03-20,442.0,445.75,435.25,441.2,1288966.0,42.94
2026-03-23,438.0,444.4,417.5,439.65,1755478.0,36.14
2026-03-24,445.0,462.5,442.0,455.6,2419357.0,31.16
2026-03-25,458.0,465.0,446.2,455.1,2262971.0,38.98
2026-03-26,458.0,465.0,446.2,455.1,2262971.0,38.98
2026-03-27,448.45,466.85,442.45,463.95,2115966.0,36.9
2026-03-30,454.0,470.0,447.35,456.5,1656988.0,33.23
2026-03-31,454.0,470.0,447.35,456.5,1656988.0,33.23
2026-04-01,474.3,476.9,460.8,464.7,1272700.0,33.92
2026-04-02,460.0,466.9,450.2,463.45,892839.0,26.91
2026-04-03,460.0,466.9,450.2,463.45,892839.0,26.91
2026-04-06,458.7,468.7,446.55,450.35,1735648.0,41.13
2026-04-07,443.05,457.4,441.0,443.2,783432.0,36.22
2026-04-08,455.0,456.0,440.2,444.8,1116524.0,37.59
2026-04-09,444.9,449.6,420.95,422.5,1981800.0,35.81
2026-04-10,427.0,431.6,421.3,426.8,956993.0,32.35
2026-04-13,422.5,428.5,416.2,421.3,727171.0,32.53
2026-04-14,422.5,428.5,416.2,421.3,727171.0,32.53
2026-04-15,428.0,431.8,417.5,418.9,895987.0,43.19
2026-04-16,423.0,425.0,415.0,418.0,694750.0,44.66
2026-04-17,419.2,427.4,417.45,421.0,783238.0,37.22
2026-04-20,422.0,424.2,408.15,419.05,1070980.0,42.81
2026-04-21,420.5,425.05,417.1,419.7,643257.0,44.99
2026-04-22,419.0,427.75,411.5,413.2,1331992.0,45.97
2026-04-23,413.2,419.9,408.5,409.75,805871.0,38.7
2026-04-24,411.8,415.0,400.8,410.6,1302741.0,44.91
2026-04-27,415.0,421.0,411.75,419.85,707236.0,45.96
2026-04-28,420.95,453.5,418.15,447.5,6364593.0,36.11
2026-04-29,449.75,472.9,449.05,460.35,3367965.0,30.38
2026-04-30,460.35,469.6,454.4,458.95,1143919.0,40.91
2026-05-01,460.35,469.6,454.4,458.95,1143919.0,40.91
2026-05-04,465.0,481.75,462.0,468.35,2746155.0,36.93
2026-05-05,470.65,472.2,457.2,459.5,930281.0,50.47
2026-05-06,459.8,468.0,453.5,462.25,1411644.0,47.8
2026-05-07,463.0,515.0,459.0,504.2,6488561.0,26.92
2026-05-08,506.85,593.95,506.0,571.5,19134565.0,12.94
2026-05-11,557.9,580.8,550.35,559.4,3878493.0,20.73
2026-05-12,552.6,571.95,537.8,541.8,1568895.0,35.39
2026-05-13,545.0,574.35,545.0,567.65,2499566.0,21.72
2026-05-14,578.7,587.85,558.55,565.0,2441870.0,22.8
2026-05-15,572.15,582.0,554.0,566.15,2009902.0,26.16
2026-05-18,566.15,569.75,452.95,463.45,7259535.0,26.76
2026-05-19,452.95,452.95,376.65,390.8,23678615.0,26.18
2026-05-20,391.5,400.3,382.5,391.9,8209727.0,22.38
2026-05-21,397.0,398.65,380.5,383.9,2817383.0,32.64
2026-05-22,383.95,389.95,366.45,384.85,3739897.0,32.92
2026-05-25,390.05,394.5,382.1,392.2,2089919.0,44.82
2026-05-26,392.2,411.0,390.1,399.35,2764641.0,33.35
2026-05-27,401.8,402.35,386.5,396.15,2099570.0,41.21
2026-05-28,401.8,402.35,386.5,396.15,2099570.0,41.21
2026-05-29,396.05,398.65,370.0,373.55,1691300.0,54.95
2026-06-01,373.55,381.85,362.0,369.05,1852141.0,31.76
2026-06-02,366.85,373.8,363.65,365.65,1422435.0,35.62
2026-06-03,365.65,368.7,347.9,355.0,2706975.0,34.99
2026-06-04,353.65,366.9,350.5,357.7,1785321.0,33.13
2026-06-05,357.7,358.95,342.1,344.0,2313627.0,32.54
2026-06-08,340.3,356.4,335.15,339.3,2506247.0,27.35
2026-06-09,341.65,379.8,336.4,368.7,20590766.0,7.54
