,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,145.0,173.85,145.0,172.65,757449.0,
2016-08-23,174.5,204.35,174.0,194.35,1698664.0,
2016-08-24,196.65,203.5,187.65,189.75,894201.0,
2016-08-25,190.0,198.5,189.9,194.45,341916.0,
2016-08-26,196.0,202.8,187.0,189.0,235478.0,
2016-08-29,188.1,202.0,187.0,190.65,556943.0,
2016-08-30,192.5,209.7,192.0,209.7,689110.0,
2016-08-31,212.8,227.5,212.0,222.4,685652.0,
2016-09-01,224.95,230.0,214.25,220.0,296942.0,
2016-09-02,222.0,224.0,215.3,221.9,132809.0,
2016-09-06,224.25,242.0,224.25,229.7,363203.0,
2016-09-07,230.8,234.0,228.0,230.95,126018.0,
2016-09-08,231.3,236.9,226.0,227.3,123097.0,
2016-09-09,228.6,230.5,217.55,220.0,104903.0,
2016-09-12,216.95,216.95,203.5,208.4,183807.0,
2016-09-14,207.05,217.6,207.05,216.4,75599.0,
2016-09-15,219.0,234.9,212.1,229.15,276872.0,
2016-09-16,232.7,237.0,221.3,223.0,197490.0,
2016-09-19,225.8,230.75,223.0,228.25,97843.0,
2016-09-20,232.85,233.0,226.2,228.8,54863.0,
2016-09-21,229.95,232.8,228.0,230.65,73263.0,
2016-09-22,231.95,234.0,225.0,228.5,37106.0,
2016-09-23,229.5,229.5,222.5,223.65,48093.0,
2016-09-26,226.8,230.0,221.25,222.7,77325.0,
2016-09-27,226.0,226.0,218.55,219.6,61410.0,
2016-09-28,221.35,223.0,215.15,216.2,61198.0,
2016-09-29,220.0,221.85,202.55,207.35,128140.0,
2016-09-30,206.65,214.95,206.6,213.65,64410.0,
2016-10-03,218.9,220.0,207.65,211.9,134100.0,
2016-10-04,217.85,218.0,210.0,211.65,69391.0,
2016-10-05,214.95,222.9,211.4,213.05,38111.0,
2016-10-06,212.5,216.8,210.1,211.75,44615.0,
2016-10-07,214.85,215.0,208.25,208.9,29474.0,
2016-10-10,212.9,246.25,212.0,241.35,1051744.0,
2016-10-13,237.05,242.7,228.7,232.8,268815.0,
2016-10-14,234.0,245.0,225.15,244.0,354784.0,
2016-10-17,243.5,254.0,243.5,248.5,327523.0,
2016-10-18,249.0,253.0,246.0,249.05,107367.0,
2016-10-19,246.4,249.6,240.4,245.4,109747.0,
2016-10-20,246.95,247.05,240.1,241.0,45154.0,
2016-10-21,240.0,288.9,239.95,280.5,1159750.0,
2016-10-24,284.0,313.0,274.2,296.3,1429048.0,
2016-10-25,296.7,304.75,286.95,291.45,425660.0,
2016-10-26,292.0,302.0,286.0,294.8,223358.0,
2016-10-27,295.5,297.8,281.35,284.2,161303.0,
2016-10-28,283.5,294.2,278.25,281.6,137500.0,
2016-11-01,283.1,326.65,278.45,311.1,874379.0,
2016-11-02,302.55,314.95,295.1,298.1,351788.0,
2016-11-03,298.0,310.85,285.55,289.0,245539.0,
2016-11-04,289.4,296.8,264.0,269.5,312866.0,
2016-11-07,277.0,286.8,273.0,277.3,174420.0,
2016-11-08,277.8,283.75,272.0,274.2,100744.0,
2016-11-09,226.3,277.9,225.0,272.15,291745.0,
2016-11-10,276.9,288.7,268.3,271.4,130369.0,
2016-11-11,263.35,267.8,250.0,251.85,106634.0,
2016-11-15,251.85,252.05,207.1,212.3,213632.0,
2016-11-16,217.5,229.4,202.95,211.35,242639.0,
2016-11-17,210.2,219.0,208.0,212.55,87154.0,
2016-11-18,211.05,227.75,211.05,213.65,194045.0,
2016-11-21,215.75,219.3,195.0,196.7,143373.0,
2016-11-22,200.0,205.0,196.15,203.35,129903.0,
2016-11-23,207.45,223.9,202.0,219.35,296591.0,
2016-11-24,217.8,229.8,211.6,226.55,253216.0,
2016-11-25,228.6,237.75,228.45,233.15,150635.0,
2016-11-28,232.9,239.95,226.25,230.95,147366.0,
2016-11-29,232.25,240.9,231.15,233.55,149488.0,
2016-11-30,234.0,239.55,234.0,236.4,95014.0,
2016-12-01,237.1,238.5,228.05,230.65,68658.0,
2016-12-02,228.5,229.0,220.0,220.6,77625.0,
2016-12-05,221.0,249.4,221.0,245.9,573617.0,
2016-12-06,244.2,257.5,241.4,244.0,346538.0,
2016-12-07,244.7,257.0,238.2,240.35,358473.0,
2016-12-08,243.45,250.0,241.2,245.05,192205.0,
2016-12-09,246.9,251.6,243.15,246.65,202001.0,
2016-12-12,245.9,248.5,236.25,239.75,93081.0,
2016-12-13,240.2,246.05,240.0,240.65,77970.0,
2016-12-14,240.2,244.85,230.1,232.0,72409.0,
2016-12-15,229.9,237.7,226.0,230.7,87277.0,
2016-12-16,232.0,235.0,227.6,229.7,73660.0,
2016-12-19,229.7,236.0,225.0,232.7,90107.0,
2016-12-20,233.2,235.9,225.6,226.4,70174.0,
2016-12-21,228.6,231.7,224.1,225.45,66122.0,
2016-12-22,225.0,225.55,217.1,220.85,66173.0,
2016-12-23,219.9,226.0,217.05,221.2,80990.0,
2016-12-26,220.2,220.35,215.0,215.1,69481.0,
2016-12-27,215.9,225.95,212.35,221.75,89178.0,
2016-12-28,222.75,228.0,219.8,221.5,62650.0,
2016-12-29,222.7,242.0,221.15,233.2,251025.0,
2016-12-30,233.0,236.65,230.0,231.2,58463.0,
2017-01-02,233.75,238.5,228.0,236.8,124622.0,
2017-01-03,237.0,239.75,232.0,234.9,61710.0,
2017-01-04,234.55,238.6,233.0,235.25,32531.0,
2017-01-05,235.2,257.5,235.2,248.0,356537.0,
2017-01-06,248.0,250.5,241.35,242.95,84408.0,
2017-01-09,243.4,249.75,241.1,245.15,62195.0,
2017-01-10,247.9,249.7,242.5,246.6,43929.0,
2017-01-11,250.5,268.7,250.5,260.1,597747.0,
2017-01-12,260.95,266.0,247.55,252.3,166137.0,
2017-01-13,254.5,261.55,250.1,257.4,131626.0,
2017-01-16,257.35,260.9,252.15,257.0,44108.0,
2017-01-17,257.0,268.4,255.0,264.75,273926.0,
2017-01-18,265.1,269.0,260.0,261.3,59659.0,
2017-01-19,257.35,268.0,257.35,260.85,39744.0,
2017-01-20,260.0,265.85,252.1,255.25,68073.0,
2017-01-23,258.2,261.85,256.0,259.5,49735.0,
2017-01-24,264.0,264.8,258.8,262.65,53889.0,
2017-01-25,263.0,268.0,258.0,258.95,69339.0,
2017-01-27,259.9,264.0,255.25,256.35,65250.0,
2017-01-30,255.0,259.0,252.05,254.0,32042.0,
2017-01-31,254.6,254.6,245.0,245.7,39807.0,
2017-02-01,246.0,257.7,236.35,254.0,57357.0,
2017-02-02,254.2,260.0,253.0,254.75,38408.0,
2017-02-03,255.0,257.45,251.4,252.55,25816.0,
2017-02-06,257.6,264.8,252.4,260.25,136592.0,
2017-02-07,260.5,261.8,253.2,254.85,36272.0,
2017-02-08,255.0,278.0,255.0,266.25,714465.0,
2017-02-09,267.45,282.0,263.0,267.1,537932.0,
2017-02-10,267.4,283.2,264.6,277.6,590348.0,
2017-02-13,280.5,287.25,280.1,281.25,198227.0,
2017-02-14,282.8,283.0,273.05,273.85,76312.0,
2017-02-15,274.6,280.0,269.5,270.75,83703.0,
2017-02-16,270.1,281.35,270.0,276.45,95059.0,
2017-02-17,277.25,281.85,274.8,275.8,64929.0,
2017-02-20,276.0,277.0,270.8,271.7,47199.0,
2017-02-21,272.0,276.2,271.15,271.8,42112.0,
2017-02-22,272.0,276.4,267.0,267.7,59682.0,
2017-02-23,267.25,275.6,267.05,268.5,140825.0,
2017-02-27,270.0,280.65,270.0,277.75,224204.0,
2017-02-28,279.75,284.0,275.0,279.7,136634.0,
2017-03-01,279.0,283.6,278.0,280.15,63189.0,
2017-03-02,280.4,282.8,273.15,274.9,54779.0,
2017-03-03,273.0,275.0,271.0,273.75,33974.0,
2017-03-06,274.9,275.95,268.35,270.45,45924.0,
2017-03-07,270.3,274.95,268.5,271.35,46233.0,
2017-03-08,271.75,272.2,267.5,269.3,33765.0,
2017-03-09,267.8,269.0,261.5,264.0,51972.0,
2017-03-10,265.05,269.0,259.0,260.65,37354.0,
2017-03-14,266.0,271.0,261.0,262.75,32035.0,
2017-03-15,264.15,274.85,263.0,271.65,57160.0,
2017-03-16,274.8,283.8,272.5,277.3,170287.0,
2017-03-17,275.0,281.0,270.25,271.45,56183.0,
2017-03-20,269.05,294.0,269.05,281.45,169822.0,
2017-03-21,283.2,287.0,278.0,279.15,69075.0,
2017-03-22,277.0,279.7,272.15,275.35,31065.0,
2017-03-23,273.9,279.45,273.9,276.1,47522.0,
2017-03-24,278.0,291.0,275.35,280.7,81545.0,
2017-03-27,281.15,284.8,273.8,276.4,43595.0,
2017-03-28,277.9,284.7,277.05,278.0,61523.0,
2017-03-29,281.75,281.8,275.0,277.7,69273.0,
2017-03-30,278.05,283.0,276.0,277.3,41289.0,
2017-03-31,277.0,279.7,273.5,275.95,57630.0,
2017-04-03,276.3,283.9,276.1,280.05,48550.0,
2017-04-05,280.05,290.2,278.0,283.85,136062.0,
2017-04-06,284.1,287.0,278.6,281.45,32903.0,
2017-04-07,280.65,281.95,272.1,273.9,64869.0,
2017-04-10,275.0,280.0,267.35,269.5,68526.0,
2017-04-11,272.05,277.9,270.55,274.6,38374.0,
2017-04-12,274.95,276.65,267.5,268.25,67987.0,
2017-04-13,269.95,273.35,268.0,268.25,30473.0,
2017-04-17,272.45,272.45,266.25,266.75,34742.0,
2017-04-18,267.6,272.0,263.65,264.45,44022.0,
2017-04-19,265.2,269.6,261.35,265.2,31658.0,
2017-04-20,268.0,284.3,268.0,275.0,219347.0,
2017-04-21,277.65,298.0,275.55,282.5,593515.0,
2017-04-24,285.0,286.65,280.55,283.55,85585.0,
2017-04-25,285.9,293.45,281.5,284.8,146353.0,
2017-04-26,286.95,287.8,275.0,278.9,76470.0,
2017-04-27,279.85,283.0,278.55,280.4,30623.0,
2017-04-28,282.55,283.0,276.35,278.45,39420.0,
2017-05-02,280.0,283.45,276.5,277.35,37045.0,
2017-05-03,278.05,279.2,274.2,275.15,31840.0,
2017-05-04,275.25,279.0,272.45,273.95,25318.0,
2017-05-05,276.7,279.1,273.0,275.25,66576.0,
2017-05-08,275.9,278.5,272.7,273.9,37101.0,
2017-05-09,274.0,279.35,272.5,276.4,40307.0,
2017-05-10,279.1,282.45,277.1,278.4,40285.0,
2017-05-11,277.1,280.0,270.0,273.6,62414.0,
2017-05-12,272.0,278.9,270.05,276.65,42051.0,
2017-05-15,277.7,288.65,276.0,285.15,115136.0,
2017-05-16,286.95,286.95,280.0,281.4,50425.0,
2017-05-17,278.25,290.7,278.25,285.0,153254.0,
2017-05-18,279.8,286.9,279.8,281.35,42517.0,
2017-05-19,283.0,285.65,277.35,280.6,62872.0,
2017-05-22,284.05,288.95,278.1,279.7,40854.0,
2017-05-23,281.05,282.0,262.55,275.8,109589.0,
2017-05-24,277.65,286.95,267.0,269.95,84071.0,
2017-05-25,273.0,279.1,271.3,277.45,36644.0,
2017-05-26,279.7,285.0,277.55,284.3,76325.0,
2017-05-29,280.0,288.5,279.5,282.15,40899.0,
2017-05-30,285.95,286.0,276.05,282.0,41764.0,
2017-05-31,285.5,289.0,272.25,273.8,102774.0,
2017-06-01,276.4,282.0,271.4,273.4,38263.0,
2017-06-02,275.7,277.65,269.05,272.3,30449.0,
2017-06-05,274.55,275.4,268.5,269.55,58223.0,
2017-06-06,271.25,272.4,267.0,268.4,19137.0,
2017-06-07,267.05,270.85,267.05,269.0,18201.0,
2017-06-08,269.05,271.7,264.0,267.7,36795.0,
2017-06-09,268.75,277.85,266.0,271.7,49759.0,
2017-06-12,270.35,270.35,266.9,268.1,20114.0,
2017-06-13,269.05,275.0,269.0,273.3,34852.0,
2017-06-14,298.95,299.85,284.15,286.2,989193.0,
2017-06-15,287.8,288.45,280.3,282.05,105889.0,
2017-06-16,280.05,287.5,280.05,282.15,60536.0,
2017-06-19,282.0,285.45,275.3,277.3,50852.0,
2017-06-20,278.95,284.8,277.55,280.5,47319.0,
2017-06-21,280.0,280.0,275.0,275.4,39261.0,
2017-06-22,275.0,279.45,272.55,273.65,32136.0,
2017-06-23,273.65,275.15,267.0,269.2,28277.0,
2017-06-27,269.5,269.95,259.5,262.45,38370.0,
2017-06-28,262.7,269.2,262.7,264.4,25730.0,
2017-06-29,266.1,271.8,264.0,264.35,30057.0,
2017-06-30,264.4,264.9,260.1,262.15,35203.0,
2017-07-03,264.9,279.45,262.65,277.2,75051.0,
2017-07-04,277.25,299.0,276.0,291.85,272970.0,
2017-07-05,292.0,293.05,283.05,286.55,72012.0,
2017-07-06,288.1,343.85,288.1,342.9,2144778.0,
2017-07-07,351.3,388.8,351.3,369.8,3749848.0,
2017-07-10,360.0,384.0,358.0,365.0,166223.0,
2017-07-11,368.3,374.0,348.0,350.9,304826.0,
2017-07-12,353.0,370.0,348.05,356.9,241713.0,
2017-07-13,361.0,370.0,354.0,364.65,192159.0,
2017-07-14,364.65,382.65,359.3,365.65,380651.0,
2017-07-17,367.0,376.0,363.0,367.9,192106.0,
2017-07-18,369.7,373.95,357.15,359.55,127553.0,
2017-07-19,361.0,363.1,354.0,355.55,80959.0,
2017-07-20,356.0,382.7,353.2,364.2,430758.0,
2017-07-21,366.5,373.0,359.15,363.3,133307.0,
2017-07-24,365.0,370.0,354.35,355.65,72515.0,
2017-07-25,358.8,362.7,351.25,355.9,81571.0,
2017-07-26,358.15,361.5,353.7,354.7,38718.0,
2017-07-27,356.65,358.8,344.1,348.5,76606.0,
2017-07-28,346.0,351.0,342.55,345.75,43614.0,
2017-07-31,343.0,359.6,343.0,352.35,66200.0,
2017-08-01,354.0,359.0,347.95,350.2,42439.0,
2017-08-02,352.6,352.6,342.0,344.45,24949.0,
2017-08-03,344.0,353.0,328.95,333.65,67298.0,
2017-08-04,332.4,337.4,320.1,331.35,100480.0,
2017-08-07,334.05,373.1,330.65,360.25,469371.0,
2017-08-08,362.75,365.7,342.25,344.8,100252.0,
2017-08-09,346.0,359.75,333.2,335.75,157864.0,
2017-08-10,330.6,333.5,305.0,313.5,121161.0,
2017-08-11,315.0,323.75,301.6,308.15,104327.0,
2017-08-14,313.0,326.9,313.0,323.65,53983.0,
2017-08-16,330.4,343.75,329.45,335.7,99010.0,
2017-08-17,338.4,339.9,333.0,334.8,44195.0,
2017-08-18,330.0,346.7,327.35,343.35,84794.0,
2017-08-21,345.75,357.65,342.0,343.85,94886.0,
2017-08-22,346.2,349.8,335.05,338.1,40484.0,
2017-08-23,339.95,348.25,339.95,342.95,46444.0,
2017-08-24,344.8,346.0,337.9,343.55,36683.0,
2017-08-28,346.6,351.05,340.65,342.9,36175.0,
2017-08-29,338.0,349.0,335.75,346.35,45970.0,
2017-08-30,349.0,381.0,349.0,368.1,323212.0,
2017-08-31,370.0,414.5,365.85,401.1,1062293.0,
2017-09-01,404.8,409.05,393.25,403.7,189685.0,
2017-09-04,407.45,438.0,407.45,421.95,707913.0,
2017-09-05,422.0,425.0,394.2,408.9,404024.0,
2017-09-06,403.35,424.0,397.0,413.3,202950.0,
2017-09-07,415.0,418.85,407.65,411.2,85563.0,
2017-09-08,414.9,439.0,411.0,429.05,373751.0,
