,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,795.15,807.0,782.45,792.2,16475.0,
2016-08-23,791.95,798.05,772.0,784.6,13159.0,
2016-08-24,790.0,790.0,778.0,783.35,10841.0,
2016-08-25,778.95,789.0,777.75,780.05,17840.0,
2016-08-26,782.45,797.0,772.5,779.3,8600.0,
2016-08-29,780.0,794.9,777.8,793.2,70169.0,
2016-08-30,793.9,803.5,787.4,800.4,22858.0,
2016-08-31,799.05,800.05,791.0,796.05,11576.0,
2016-09-01,778.0,809.45,760.05,790.45,158337.0,
2016-09-02,790.45,801.05,772.2,785.6,24623.0,
2016-09-06,788.0,799.5,780.3,792.0,22571.0,
2016-09-07,820.0,820.0,792.0,800.1,12343.0,
2016-09-08,792.05,810.0,790.0,793.3,10902.0,
2016-09-09,800.0,808.0,783.4,792.5,10067.0,
2016-09-12,782.95,789.95,775.05,783.8,11198.0,
2016-09-14,784.8,805.0,771.3,800.05,15969.0,
2016-09-15,791.95,806.95,791.95,801.95,7876.0,
2016-09-16,796.15,806.85,785.0,790.1,8907.0,
2016-09-19,800.0,800.0,788.0,793.9,7412.0,
2016-09-20,791.0,806.9,790.0,798.4,21292.0,
2016-09-21,804.95,804.95,791.35,798.9,5773.0,
2016-09-22,801.0,805.95,792.1,801.8,60722.0,
2016-09-23,795.95,836.0,794.25,824.95,27065.0,
2016-09-26,816.65,830.0,811.25,826.95,12903.0,
2016-09-27,820.55,834.7,820.55,828.95,12603.0,
2016-09-28,835.0,869.0,827.05,856.15,36319.0,
2016-09-29,855.0,874.8,790.0,823.3,25390.0,
2016-09-30,820.0,885.0,819.8,875.75,64025.0,
2016-10-03,880.0,893.8,852.15,889.15,28592.0,
2016-10-04,881.1,904.0,880.55,894.6,19316.0,
2016-10-05,896.1,905.5,889.0,894.65,6993.0,
2016-10-06,900.0,914.9,895.5,911.65,31435.0,
2016-10-07,914.9,973.0,905.95,958.7,61071.0,
2016-10-10,961.8,990.0,960.0,968.0,27437.0,
2016-10-13,960.0,970.0,930.1,946.85,10482.0,
2016-10-14,960.35,973.5,946.9,966.9,13396.0,
2016-10-17,970.0,970.0,940.0,945.9,7271.0,
2016-10-18,955.0,963.4,940.0,944.2,14221.0,
2016-10-19,958.0,958.0,936.0,941.9,13948.0,
2016-10-20,935.5,952.0,920.0,925.25,9090.0,
2016-10-21,927.0,1008.5,919.2,962.8,22377.0,
2016-10-24,955.7,962.1,932.15,938.4,15207.0,
2016-10-25,947.05,948.35,932.2,937.0,5045.0,
2016-10-26,948.8,950.0,923.5,932.5,48477.0,
2016-10-27,935.0,950.0,922.0,927.25,4434.0,
2016-10-28,932.0,954.9,925.0,945.35,9365.0,
2016-11-01,969.0,970.0,914.0,924.95,48509.0,
2016-11-02,925.0,936.0,901.6,905.0,22989.0,
2016-11-03,906.0,924.9,865.0,880.1,15565.0,
2016-11-04,907.0,907.0,850.0,857.4,17099.0,
2016-11-07,862.0,928.25,860.1,901.3,18476.0,
2016-11-08,901.9,917.95,895.5,910.25,54331.0,
2016-11-09,851.85,899.9,820.05,879.45,28869.0,
2016-11-10,881.15,908.6,873.05,879.45,8908.0,
2016-11-11,870.65,880.0,822.2,828.25,9499.0,
2016-11-15,820.0,850.0,744.15,789.95,37088.0,
2016-11-16,785.0,799.0,765.0,774.85,7232.0,
2016-11-17,755.35,777.65,735.0,744.65,44526.0,
2016-11-18,744.05,751.6,692.8,700.35,48593.0,
2016-11-21,686.0,743.8,656.6,664.7,38487.0,
2016-11-22,660.0,686.0,628.1,644.9,42058.0,
2016-11-23,660.05,689.3,642.1,681.4,28882.0,
2016-11-24,685.0,685.0,652.6,661.75,18085.0,
2016-11-25,679.8,685.0,656.25,682.7,7209.0,
2016-11-28,703.0,721.7,682.7,709.5,24388.0,
2016-11-29,727.0,740.0,719.0,735.6,24335.0,
2016-11-30,734.95,761.0,718.05,727.15,139343.0,
2016-12-01,734.4,747.9,725.15,729.55,27266.0,
2016-12-02,715.35,740.75,715.35,732.1,7547.0,
2016-12-05,746.95,746.95,710.1,724.2,17142.0,
2016-12-06,730.05,738.35,720.0,731.1,6176.0,
2016-12-07,745.5,745.5,701.9,733.7,9738.0,
2016-12-08,747.4,747.4,726.45,737.9,4978.0,
2016-12-09,741.05,748.45,736.5,743.6,2247.0,
2016-12-12,736.0,745.05,735.0,742.55,3274.0,
2016-12-13,734.05,740.0,713.1,715.1,11383.0,
2016-12-14,728.5,728.8,705.05,712.1,5308.0,
2016-12-15,707.6,714.95,684.25,688.45,19475.0,
2016-12-16,697.0,704.0,680.0,687.05,9229.0,
2016-12-19,694.45,694.45,671.0,678.55,9473.0,
2016-12-20,681.35,687.9,660.05,662.1,7172.0,
2016-12-21,673.55,679.9,652.65,658.55,10868.0,
2016-12-22,661.0,665.0,646.95,651.9,10452.0,
2016-12-23,653.7,668.9,641.1,651.75,8439.0,
2016-12-26,649.5,659.0,636.2,638.95,6166.0,
2016-12-27,654.95,654.95,632.7,639.6,5112.0,
2016-12-28,650.05,696.95,647.25,679.1,16350.0,
2016-12-29,680.0,690.0,662.45,685.8,12281.0,
2016-12-30,680.0,724.0,680.0,719.85,16871.0,
2017-01-02,739.8,744.8,725.0,738.0,18219.0,
2017-01-03,738.0,744.0,724.0,731.4,7913.0,
2017-01-04,739.55,743.4,720.0,725.95,16373.0,
2017-01-05,730.0,734.95,724.1,729.45,16624.0,
2017-01-06,733.15,735.25,711.1,716.55,4986.0,
2017-01-09,729.85,729.85,712.0,718.3,13761.0,
2017-01-10,720.0,720.0,705.15,706.35,7313.0,
2017-01-11,709.95,718.0,698.8,702.85,25518.0,
2017-01-12,707.8,718.0,685.0,689.8,56512.0,
2017-01-13,698.9,698.9,680.0,682.6,15633.0,
2017-01-16,680.05,711.3,680.05,703.2,17742.0,
2017-01-17,700.25,715.0,700.25,702.85,295577.0,
2017-01-18,706.0,724.95,704.0,717.35,21050.0,
2017-01-19,712.0,715.85,706.0,708.85,5008.0,
2017-01-20,709.95,719.0,700.0,709.55,12824.0,
2017-01-23,703.35,723.55,703.35,719.8,9148.0,
2017-01-24,724.95,735.0,712.2,730.3,9347.0,
2017-01-25,734.4,735.9,710.0,716.9,53812.0,
2017-01-27,723.0,748.0,718.0,735.7,239410.0,
2017-01-30,741.9,742.0,731.35,737.85,30448.0,
2017-01-31,742.0,742.85,720.3,722.9,18600.0,
2017-02-01,720.0,743.75,715.45,740.1,117057.0,
2017-02-02,748.8,772.4,738.0,768.9,107861.0,
2017-02-03,773.95,777.0,750.0,754.7,47027.0,
2017-02-06,794.0,805.0,779.0,801.25,276722.0,
2017-02-07,807.95,807.95,785.0,788.2,44291.0,
2017-02-08,790.5,850.0,773.2,838.65,216917.0,
2017-02-09,850.0,852.35,835.65,840.45,192996.0,
2017-02-10,840.0,845.45,832.0,834.85,20923.0,
2017-02-13,839.85,862.05,825.0,850.05,40121.0,
2017-02-14,857.95,869.95,836.25,841.45,82581.0,
2017-02-15,844.9,851.15,812.55,824.05,31515.0,
2017-02-16,824.05,852.0,821.3,846.9,30150.0,
2017-02-17,855.9,883.5,847.3,860.7,54725.0,
2017-02-20,863.75,904.5,863.0,899.45,56956.0,
2017-02-21,900.0,904.0,885.0,891.55,26680.0,
2017-02-22,892.0,900.0,882.3,884.8,59884.0,
