,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,67.5,68.65,66.9,67.25,974826.0,
2016-08-23,67.5,70.0,67.25,68.0,2104481.0,
2016-08-24,68.2,68.85,67.25,67.75,886259.0,
2016-08-25,68.1,68.7,65.65,66.15,709586.0,
2016-08-26,66.1,66.85,64.6,64.85,441333.0,
2016-08-29,65.0,66.5,64.75,66.05,684131.0,
2016-08-30,66.0,67.3,66.0,66.8,632116.0,
2016-08-31,67.0,67.3,66.0,66.4,710775.0,
2016-09-01,67.3,67.5,65.0,65.3,974538.0,
2016-09-02,65.5,68.45,65.15,66.9,1436464.0,
2016-09-06,67.45,67.55,66.35,66.85,648929.0,
2016-09-07,67.5,69.4,66.5,68.6,1505799.0,
2016-09-08,69.0,73.0,68.2,71.4,2677790.0,
2016-09-09,71.95,71.95,68.5,68.75,914510.0,
2016-09-12,67.0,67.55,65.45,66.0,659482.0,
2016-09-14,66.4,66.75,65.45,66.1,370825.0,
2016-09-15,66.2,66.9,65.4,65.75,332768.0,
2016-09-16,66.3,67.25,65.15,66.0,615728.0,
2016-09-19,66.35,66.75,65.15,65.5,247030.0,
2016-09-20,66.6,66.7,65.3,65.8,656418.0,
2016-09-21,66.0,67.85,65.6,66.8,1636846.0,
2016-09-22,67.5,67.85,65.7,66.55,783598.0,
2016-09-23,66.8,66.85,64.05,64.45,713242.0,
2016-09-26,65.05,66.5,64.1,65.85,1139351.0,
2016-09-27,67.0,67.5,65.5,65.9,660559.0,
2016-09-28,66.4,67.4,65.3,66.1,595926.0,
2016-09-29,66.6,67.2,61.0,62.25,1110139.0,
2016-09-30,62.25,65.2,61.2,64.65,637354.0,
2016-10-03,65.0,73.2,65.0,72.55,4307406.0,
2016-10-04,73.55,75.3,71.2,72.25,2024412.0,
2016-10-05,72.85,77.2,70.7,76.2,2957379.0,
2016-10-06,76.35,77.0,72.0,73.15,1302697.0,
2016-10-07,73.75,74.0,71.5,71.65,643433.0,
2016-10-10,72.0,73.65,71.8,72.05,508425.0,
2016-10-13,71.9,72.35,68.55,69.75,904750.0,
2016-10-14,70.2,72.3,69.6,71.6,498430.0,
2016-10-17,72.2,72.85,69.5,70.6,605370.0,
2016-10-18,71.1,75.65,71.0,74.3,1200189.0,
2016-10-19,74.9,83.15,73.0,81.7,6068789.0,
2016-10-20,82.4,82.65,79.1,79.8,1378264.0,
2016-10-21,79.9,82.8,78.2,80.8,1580124.0,
2016-10-24,81.1,85.8,79.55,83.85,2125294.0,
2016-10-25,84.35,86.3,81.7,84.85,1472113.0,
2016-10-26,83.5,86.5,83.0,83.8,1082818.0,
2016-10-27,82.65,83.45,80.9,81.55,2825953.0,
2016-10-28,81.9,86.2,81.5,85.2,2555992.0,
2016-11-01,89.0,90.9,80.05,84.05,1958515.0,
2016-11-02,83.7,83.7,80.15,80.7,748041.0,
2016-11-03,81.0,82.7,80.8,80.95,669062.0,
2016-11-04,81.0,81.95,78.1,78.6,593087.0,
