,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,4.95,4.95,4.8,4.9,1018465.0,
2016-08-23,4.85,5.25,4.85,5.1,2380257.0,
2016-08-24,5.1,5.15,5.0,5.0,1280979.0,
2016-08-25,5.0,5.1,4.9,4.95,1339439.0,
2016-08-26,5.0,5.0,4.75,4.85,1239599.0,
2016-08-29,4.85,5.0,4.75,4.95,823179.0,
2016-08-30,4.95,5.05,4.9,4.95,965545.0,
2016-08-31,5.0,5.05,4.85,4.95,2406493.0,
2016-09-01,4.95,5.0,4.85,4.9,1281319.0,
2016-09-02,4.85,4.95,4.8,4.85,1086716.0,
2016-09-06,4.9,5.0,4.85,4.9,947372.0,
2016-09-07,4.9,5.05,4.9,4.95,3073650.0,
2016-09-08,5.0,5.05,4.95,5.0,2387744.0,
2016-09-09,5.0,5.05,4.9,4.95,1879436.0,
2016-09-12,4.95,4.95,4.7,4.8,1851409.0,
2016-09-14,4.9,4.9,4.8,4.85,1091394.0,
2016-09-15,4.9,4.9,4.8,4.8,793457.0,
2016-09-16,4.85,4.85,4.3,4.4,10867347.0,
2016-09-19,4.4,4.6,4.35,4.5,2041324.0,
2016-09-20,4.5,4.65,4.45,4.5,1458360.0,
2016-09-21,4.5,4.6,4.4,4.5,1923497.0,
2016-09-22,4.5,4.65,4.45,4.5,2265991.0,
2016-09-23,4.5,4.5,4.4,4.45,1706705.0,
2016-09-26,4.45,4.5,4.25,4.35,2884911.0,
2016-09-27,4.35,4.4,4.3,4.35,1296829.0,
2016-09-28,4.35,4.4,4.3,4.35,798849.0,
2016-09-29,4.4,4.4,4.05,4.1,6231408.0,
2016-09-30,4.1,4.2,4.0,4.15,2114117.0,
2016-10-03,4.2,4.3,4.1,4.2,2014025.0,
2016-10-04,4.2,4.2,4.15,4.2,825683.0,
2016-10-05,4.2,4.2,4.05,4.1,2758745.0,
2016-10-06,4.2,4.7,4.2,4.55,9447175.0,
2016-10-07,4.85,4.9,4.65,4.65,4348530.0,
2016-10-10,4.7,4.7,4.45,4.5,2568484.0,
