,Open,High,Low,Close,Volume,DeliveryPct
2026-04-15,2999.8,3025.0,2986.8,2999.0,14715.0,71.03
2026-04-16,3019.0,3041.0,2931.0,2958.8,32555.0,79.87
2026-04-17,2985.0,2985.0,2911.0,2925.3,14941.0,63.01
2026-04-20,2917.0,2935.0,2878.0,2895.6,9100.0,56.24
2026-04-21,2895.7,2930.0,2860.0,2914.7,26268.0,65.4
2026-04-22,2927.0,2956.2,2880.1,2949.1,30169.0,62.33
2026-04-23,2949.9,2965.0,2922.1,2946.9,9056.0,60.98
2026-04-24,2947.0,2985.0,2920.3,2947.8,20698.0,64.98
2026-04-27,2960.0,3049.0,2947.8,2999.1,17324.0,63.58
2026-04-28,3000.0,3024.7,2951.0,2977.4,7193.0,52.2
2026-04-29,2981.1,3001.5,2953.9,2977.2,9500.0,65.56
2026-04-30,2990.0,2997.2,2931.5,2950.7,12946.0,57.37
2026-05-01,2990.0,2997.2,2931.5,2950.7,12946.0,57.37
2026-05-04,2950.7,2970.6,2925.0,2946.8,5290.0,55.6
2026-05-05,2972.5,3033.4,2942.1,2976.7,32554.0,45.44
2026-05-06,2976.7,3011.3,2922.2,2996.4,13265.0,56.95
2026-05-07,2998.0,3015.6,2952.6,2966.4,11950.0,50.81
2026-05-08,2953.0,2983.8,2935.0,2949.4,28718.0,78.62
2026-05-11,2960.0,3050.0,2875.0,3045.2,48880.0,60.14
2026-05-12,3045.2,3070.0,2901.0,2922.8,16321.0,40.85
2026-05-13,2949.0,3034.0,2909.0,2983.0,27934.0,39.43
2026-05-14,2990.0,3032.1,2901.0,2923.8,17156.0,48.66
2026-05-15,2934.0,2947.9,2890.0,2936.8,29625.0,65.4
2026-05-18,2936.8,2936.8,2857.0,2928.7,11509.0,47.62
2026-05-19,2921.2,2943.6,2882.6,2929.1,7223.0,56.29
2026-05-20,2902.0,2940.0,2900.0,2928.2,3737.0,49.5
2026-05-21,2941.9,2954.7,2876.0,2902.3,67219.0,84.46
2026-05-22,2910.0,2919.9,2880.0,2897.0,4467.0,49.94
2026-05-25,2910.0,2980.0,2900.0,2937.6,15598.0,66.89
2026-05-26,2937.6,2951.2,2901.0,2909.7,71671.0,91.69
2026-05-27,2909.8,2915.6,2884.0,2905.6,20769.0,64.75
2026-05-28,2909.8,2915.6,2884.0,2905.6,20769.0,64.75
2026-05-29,2905.0,3170.6,2905.0,3151.8,377196.0,59.48
2026-06-01,3170.0,3233.2,3125.0,3158.7,35052.0,34.66
2026-06-02,3125.0,3158.7,3100.0,3126.2,8517.0,43.02
2026-06-03,3126.2,3249.8,3093.7,3119.6,57011.0,45.55
2026-06-04,3119.5,3219.5,3056.3,3078.1,43726.0,43.93
2026-06-05,3098.1,3142.0,3082.0,3110.9,10499.0,42.3
2026-06-08,3095.3,3175.0,3066.1,3168.1,26394.0,58.53
2026-06-09,3181.0,3200.0,3080.7,3116.8,12195.0,44.28
2026-06-10,3103.0,3209.0,3103.0,3175.6,15804.0,49.35
2026-06-11,3165.0,3287.0,3150.0,3187.8,35237.0,40.9
2026-06-12,3197.8,3270.0,3150.1,3168.4,46312.0,76.26
2026-06-15,3202.1,3275.0,3202.1,3242.6,18835.0,46.94
2026-06-16,3242.6,3298.7,3190.1,3201.7,11565.0,53.6
2026-06-17,3215.6,3310.7,3210.0,3231.6,27130.0,47.8
2026-06-18,3231.6,3255.9,3190.2,3230.9,20960.0,68.12
2026-06-19,3203.0,3329.0,3195.0,3291.8,31857.0,65.13
2026-06-22,3329.9,3329.9,3250.0,3271.0,10633.0,42.74
2026-06-23,3291.0,3307.4,3195.0,3205.8,11593.0,49.36
2026-06-24,3205.8,3238.8,3184.0,3228.3,26996.0,74.01
2026-06-25,3248.0,3262.3,3182.6,3199.1,31670.0,70.24
2026-06-26,3248.0,3262.3,3182.6,3199.1,31670.0,70.24
2026-06-29,3195.0,3299.0,3180.0,3262.9,79048.0,52.72
2026-06-30,3239.1,3306.3,3213.8,3228.1,19644.0,47.55
2026-07-01,3290.0,3376.2,3211.1,3224.0,54805.0,36.99
2026-07-02,3272.4,3293.0,3238.4,3259.7,47774.0,72.7
2026-07-03,3225.0,3325.0,3225.0,3276.6,43198.0,54.5
2026-07-06,3265.1,3292.2,3177.1,3200.6,15961.0,55.72
2026-07-07,3212.0,3215.8,3082.5,3107.2,16265.0,45.59
2026-07-08,3100.0,3100.5,3022.9,3042.0,7062.0,39.55
2026-07-09,3042.0,3053.2,2901.1,2912.2,59138.0,55.83
2026-07-10,2919.8,2960.0,2875.0,2933.5,61016.0,38.88
2026-07-13,2940.2,2958.0,2905.0,2942.1,12639.0,52.7
2026-07-14,2937.0,2966.4,2878.0,2889.9,13335.0,54.04
2026-07-15,2924.0,2968.9,2886.1,2948.1,14073.0,48.79
2026-07-16,2968.0,3112.5,2928.3,3080.2,47565.0,40.72
2026-07-17,3075.0,3111.0,2995.0,3034.1,9729.0,41.34
2026-07-20,3046.2,3046.2,2982.9,3003.5,14313.0,31.43
2026-07-21,3017.4,3017.5,2970.1,2982.3,5931.0,43.21
2026-07-22,3000.8,3089.9,2980.2,3055.3,25277.0,35.49
2026-07-23,3070.0,3070.0,2910.0,2918.4,23547.0,47.67
2026-07-24,2890.0,2955.0,2862.0,2943.9,7291.0,31.11
2026-07-27,2960.0,2970.0,2910.1,2944.0,10518.0,36.59
2026-07-28,2960.2,2960.2,2915.4,2929.2,4714.0,56.09
2026-07-29,2929.8,3009.8,2929.8,2973.5,10735.0,48.46
2026-07-30,2988.0,3009.0,2945.0,2953.4,8314.0,63.23
2026-07-31,2953.1,2953.1,2927.1,2938.8,3597.0,67.81
2026-08-03,2938.8,3035.0,2938.8,3015.5,13123.0,59.42
