,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,79.95,80.0,77.35,78.6,2713244.0,
2016-08-23,78.3,79.4,78.1,78.55,1385128.0,
2016-08-24,78.65,79.25,78.3,79.0,1361819.0,
2016-08-25,79.25,81.8,77.5,80.05,19804403.0,
2016-08-26,80.25,80.4,77.8,78.0,3377822.0,
2016-08-29,78.0,78.35,77.0,77.8,1481044.0,
2016-08-30,77.4,78.4,77.35,77.95,2545126.0,
2016-08-31,77.5,78.5,76.2,77.7,8591636.0,
2016-09-01,77.85,78.2,76.0,76.2,2517636.0,
2016-09-02,76.1,76.9,75.55,76.5,1201892.0,
2016-09-06,77.3,77.85,76.8,77.5,1055626.0,
2016-09-07,77.25,78.4,77.1,77.85,1838847.0,
2016-09-08,78.0,80.1,77.25,79.6,2758318.0,
2016-09-09,79.75,82.45,79.15,81.85,6683389.0,
2016-09-12,81.0,82.0,78.75,79.1,4567196.0,
2016-09-14,79.1,82.0,79.1,81.3,3760787.0,
2016-09-15,81.6,81.7,79.6,80.7,1836199.0,
2016-09-16,81.35,83.45,78.9,79.65,6438512.0,
2016-09-19,79.7,80.9,79.65,80.45,1212457.0,
2016-09-20,81.0,81.8,78.5,79.4,2266153.0,
2016-09-21,79.6,80.4,79.0,79.2,1173728.0,
2016-09-22,80.0,80.7,78.3,78.75,5594431.0,
2016-09-23,79.2,80.15,78.7,79.05,1584795.0,
2016-09-26,78.9,79.35,77.35,77.55,1797163.0,
2016-09-27,78.2,78.45,77.3,77.6,1406029.0,
2016-09-28,77.65,78.8,77.1,77.6,1625988.0,
2016-09-29,77.7,78.45,72.2,72.9,4621476.0,
2016-09-30,73.2,73.9,71.4,73.05,2107444.0,
2016-10-03,73.5,75.75,73.35,74.35,2073336.0,
2016-10-04,74.5,75.7,74.1,75.2,2250459.0,
2016-10-05,75.3,75.7,74.55,74.7,914757.0,
2016-10-06,75.0,76.4,74.0,74.5,1755165.0,
2016-10-07,74.55,75.2,73.2,73.6,2761598.0,
2016-10-10,74.0,74.7,73.65,74.25,2447823.0,
2016-10-13,73.75,73.8,69.65,70.1,2824368.0,
2016-10-14,70.5,71.25,69.35,71.0,1399774.0,
2016-10-17,71.45,71.6,69.65,69.95,2978153.0,
2016-10-18,70.6,71.05,70.3,70.8,1140537.0,
2016-10-19,71.0,71.85,70.7,71.5,2238602.0,
2016-10-20,71.8,72.25,71.5,71.85,1580253.0,
2016-10-21,71.85,72.15,70.8,70.95,2786879.0,
2016-10-24,71.0,71.35,70.35,70.75,2197273.0,
2016-10-25,71.0,71.2,69.0,70.0,2446309.0,
2016-10-26,70.0,70.2,66.5,66.7,5367946.0,
2016-10-27,66.0,66.4,64.8,65.05,2806665.0,
2016-10-28,65.0,66.0,64.7,65.4,1342597.0,
2016-11-01,65.75,67.5,65.35,66.55,2058969.0,
2016-11-02,65.9,66.3,65.05,65.4,1872826.0,
2016-11-03,65.2,65.8,64.0,64.2,959678.0,
2016-11-04,64.2,64.2,62.05,62.7,2588719.0,
2016-11-07,63.0,63.5,62.65,62.85,1117287.0,
2016-11-08,63.0,63.2,61.85,62.4,1544638.0,
2016-11-09,59.6,60.0,53.05,59.1,4265155.0,
2016-11-10,60.6,63.2,60.5,62.8,2147415.0,
2016-11-11,62.1,62.5,60.9,61.1,1677587.0,
2016-11-15,61.1,61.3,56.3,57.2,3236411.0,
2016-11-16,58.0,59.0,57.15,57.95,3161729.0,
2016-11-17,57.85,58.8,56.45,56.85,2657728.0,
2016-11-18,57.05,57.7,56.45,56.85,3061138.0,
2016-11-21,56.6,57.2,54.25,54.65,2912120.0,
2016-11-22,54.75,55.5,53.55,54.3,2604849.0,
2016-11-23,54.6,55.8,53.55,55.3,2597635.0,
2016-11-24,54.9,55.75,54.3,54.8,3135308.0,
