,Open,High,Low,Close,Volume,DeliveryPct
2023-10-03,143.0,157.3,142.2,157.3,122117170.0,58.59
2023-10-04,165.1,168.7,160.4,164.95,55015128.0,38.34
2023-10-05,166.5,167.85,159.3,163.8,14856340.0,46.31
2023-10-06,165.15,173.35,164.0,171.6,14529445.0,36.64
2023-10-09,168.0,169.05,161.2,162.85,8685101.0,55.35
2023-10-10,164.0,174.8,163.05,169.75,11096550.0,43.63
2023-10-11,171.75,175.8,170.2,172.7,6367753.0,44.42
2023-10-12,173.65,174.8,171.2,172.15,3980057.0,49.98
2023-10-13,170.55,174.65,169.35,170.25,3828930.0,46.95
2023-10-16,170.9,171.0,165.75,167.85,3230784.0,56.71
2023-10-17,169.7,177.75,168.3,177.0,11425814.0,51.99
2023-10-18,178.9,186.35,173.5,175.1,16767224.0,37.3
2023-10-19,175.0,181.55,174.3,178.9,6152869.0,33.0
2023-10-20,179.45,181.5,175.35,176.1,3401682.0,46.3
2023-10-23,177.2,178.45,166.5,167.35,5466657.0,44.44
2023-10-24,177.2,178.45,166.5,167.35,5466657.0,44.44
2023-10-25,170.0,170.8,162.35,165.65,3701887.0,38.86
2023-10-26,166.0,173.45,162.05,172.2,5038029.0,37.42
2023-10-27,174.0,179.95,172.75,176.2,4251314.0,38.3
2023-10-30,177.4,177.4,168.5,169.75,5625385.0,57.61
2023-10-31,171.45,172.9,168.0,169.55,2413657.0,43.85
2023-11-01,170.85,173.5,167.65,168.15,2823188.0,32.03
2023-11-02,170.5,173.0,169.55,171.75,1766150.0,46.76
2023-11-03,172.05,174.7,170.2,171.45,2521359.0,37.83
2023-11-06,179.0,188.55,177.2,188.3,20256529.0,30.82
2023-11-07,194.4,207.1,187.35,205.9,23030252.0,24.5
2023-11-08,208.4,215.45,201.5,202.35,18757436.0,30.17
2023-11-09,202.5,206.5,198.2,199.4,5998279.0,45.44
2023-11-10,199.35,206.6,194.85,197.0,7928580.0,37.02
2023-11-13,202.95,202.95,199.25,200.4,3623579.0,44.73
2023-11-14,202.95,202.95,199.25,200.4,3623579.0,44.73
2023-11-15,202.0,202.25,197.15,197.85,2728869.0,59.9
2023-11-16,198.45,206.65,196.5,202.8,6737642.0,41.24
2023-11-17,213.45,220.0,207.75,209.3,16087741.0,39.1
2023-11-20,211.0,212.45,205.5,206.55,3768056.0,53.16
2023-11-21,207.95,209.8,204.05,207.25,3695871.0,40.01
2023-11-22,207.5,211.95,205.2,208.2,3523114.0,43.47
2023-11-23,209.4,210.3,204.4,205.9,2434510.0,52.02
2023-11-24,205.8,207.9,202.55,206.0,3374870.0,41.49
2023-11-27,205.8,207.9,202.55,206.0,3374870.0,41.49
2023-11-28,206.75,209.4,202.6,208.4,3513501.0,51.6
2023-11-29,208.9,217.15,207.55,210.75,6690057.0,41.09
2023-11-30,215.0,215.4,207.8,210.5,3401542.0,43.44
2023-12-01,211.85,224.5,211.1,219.85,10488871.0,50.65
2023-12-04,227.6,227.6,216.55,217.6,5283493.0,56.15
2023-12-05,222.8,234.8,222.0,227.05,11620466.0,35.04
2023-12-06,229.5,244.9,229.0,238.95,10704712.0,38.17
2023-12-07,241.0,247.5,235.0,236.2,9396753.0,55.05
2023-12-08,237.85,240.0,224.8,228.4,7482839.0,54.84
2023-12-11,230.0,235.5,229.65,231.15,4621566.0,43.53
2023-12-12,232.0,241.25,229.45,237.95,6968428.0,41.84
2023-12-13,239.0,242.0,236.0,238.85,3906056.0,40.71
2023-12-14,241.4,242.4,235.25,236.2,3414212.0,50.94
2023-12-15,237.7,238.8,230.8,231.6,3399180.0,54.96
2023-12-18,220.0,235.85,220.0,232.0,7612490.0,46.85
2023-12-19,232.9,233.5,223.55,224.8,4194862.0,62.38
2023-12-20,225.5,229.6,210.0,210.85,6646370.0,56.94
2023-12-21,208.0,218.0,205.65,214.3,5087234.0,48.81
2023-12-22,216.9,221.65,214.0,220.5,4041864.0,37.08
2023-12-25,216.9,221.65,214.0,220.5,4041864.0,37.08
2023-12-26,221.3,222.9,219.1,220.9,2093766.0,51.25
2023-12-27,222.0,223.0,211.25,212.2,4343792.0,68.58
2023-12-28,214.0,215.1,210.2,210.85,4210099.0,70.48
2023-12-29,211.25,214.2,208.0,208.3,4144780.0,61.94
2024-01-01,208.3,212.4,208.3,210.65,4134909.0,53.87
2024-01-02,210.65,213.45,207.5,210.25,3179497.0,50.17
2024-01-03,210.25,216.8,209.5,213.65,4654889.0,46.6
2024-01-04,214.2,216.25,213.4,214.3,2952871.0,59.53
2024-01-05,215.5,223.6,215.05,218.9,6384087.0,48.62
2024-01-08,219.7,219.75,215.15,216.3,2256603.0,52.87
2024-01-09,217.6,219.4,215.6,217.5,4749897.0,48.31
2024-01-10,217.45,218.4,211.7,215.2,3367638.0,48.14
2024-01-11,216.0,216.3,211.55,212.25,3436557.0,57.54
2024-01-12,213.1,214.8,210.5,211.0,3362976.0,60.41
2024-01-15,212.0,213.35,210.35,210.8,2736148.0,63.26
2024-01-16,211.0,213.55,208.1,212.35,3478621.0,47.57
2024-01-17,211.0,212.35,207.5,207.95,2893194.0,63.61
2024-01-18,208.0,210.55,202.0,209.9,3320307.0,44.22
2024-01-19,211.75,212.9,210.05,211.75,2176755.0,48.5
2024-01-22,212.25,217.6,209.8,214.1,3066362.0,51.23
2024-01-23,215.2,215.6,204.2,206.05,3079613.0,52.67
2024-01-24,206.5,213.4,203.65,207.7,2322967.0,45.72
2024-01-25,208.65,210.9,205.7,206.85,3282843.0,66.88
2024-01-26,208.65,210.9,205.7,206.85,3282843.0,66.88
2024-01-29,207.5,212.5,205.15,211.85,3889195.0,57.5
2024-01-30,212.9,217.25,209.55,213.4,4124606.0,43.98
2024-01-31,213.95,216.0,211.4,215.0,2635827.0,51.02
2024-02-01,216.5,221.8,215.0,217.75,5379944.0,44.43
2024-02-02,219.6,228.0,217.0,224.5,10243059.0,40.39
2024-02-05,228.7,231.0,219.7,221.75,8379742.0,51.8
2024-02-06,223.75,224.25,218.2,219.3,3135451.0,53.98
2024-02-07,221.25,221.9,216.75,218.1,3034347.0,63.13
2024-02-08,218.7,218.75,210.4,211.65,3799484.0,64.76
2024-02-09,212.2,214.35,205.0,210.25,2682708.0,47.97
2024-02-12,212.9,216.65,206.6,211.05,4449723.0,48.21
2024-02-13,211.3,217.9,207.2,216.5,4652109.0,48.21
2024-02-14,213.9,218.75,211.65,217.4,2696734.0,54.61
2024-02-15,219.9,225.5,218.8,221.95,4507066.0,56.69
2024-02-16,222.9,225.3,216.8,220.65,3055800.0,48.15
2024-02-19,222.0,237.1,219.55,233.1,16051780.0,54.09
2024-02-20,234.75,244.0,234.25,238.85,14350723.0,43.39
2024-02-21,240.5,241.95,231.2,233.1,6836575.0,46.89
2024-02-22,234.7,244.0,233.25,243.45,6621342.0,47.63
2024-02-23,246.25,265.0,243.25,262.45,21602550.0,36.5
2024-02-26,268.0,276.2,253.8,255.3,13876894.0,42.97
2024-02-27,256.45,259.7,248.0,249.8,4890435.0,48.42
2024-02-28,249.8,259.6,244.5,246.9,6804889.0,33.81
2024-02-29,249.6,257.6,248.15,256.5,7940738.0,34.32
2024-03-01,258.4,263.8,254.95,257.25,5578764.0,42.64
2024-03-04,261.4,266.7,256.4,260.55,4714142.0,43.22
2024-03-05,260.0,261.2,255.3,256.3,2712737.0,53.92
2024-03-06,255.0,255.85,247.1,250.6,4290383.0,49.28
