,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,1785.0,1793.7,1761.2,1767.85,335603.0,
2016-08-23,1760.0,1775.6,1736.4,1758.45,306186.0,
2016-08-24,1757.75,1763.55,1746.55,1759.65,223442.0,
2016-08-25,1762.0,1772.0,1739.1,1745.4,709017.0,
2016-08-26,1745.0,1760.5,1732.05,1756.05,327020.0,
2016-08-29,1754.0,1777.0,1749.0,1773.15,246848.0,
2016-08-30,1775.1,1792.75,1774.0,1781.15,254245.0,
2016-08-31,1778.0,1788.0,1746.2,1753.1,502317.0,
2016-09-01,1752.15,1778.0,1738.1,1772.75,305705.0,
2016-09-02,1773.0,1787.8,1760.2,1777.4,221381.0,
2016-09-06,1782.0,1876.0,1781.0,1862.55,670601.0,
2016-09-07,1874.1,1874.1,1840.0,1851.55,457055.0,
2016-09-08,1864.0,1885.95,1842.55,1848.8,379193.0,
2016-09-09,1859.95,1859.95,1810.15,1823.8,347030.0,
2016-09-12,1800.0,1800.0,1736.7,1745.05,593548.0,
2016-09-14,1750.0,1764.85,1725.0,1750.35,521805.0,
2016-09-15,1755.0,1767.95,1731.5,1753.75,574098.0,
2016-09-16,1766.0,1768.45,1707.0,1725.55,1509202.0,
2016-09-19,1735.7,1775.0,1730.0,1769.9,616530.0,
2016-09-20,1783.15,1784.0,1756.95,1761.85,458074.0,
2016-09-21,1762.0,1774.0,1743.85,1753.25,466424.0,
2016-09-22,1780.0,1782.3,1753.7,1762.7,363268.0,
2016-09-23,1759.1,1774.9,1746.25,1756.3,470391.0,
2016-09-26,1758.1,1770.0,1751.55,1757.05,393044.0,
2016-09-27,1764.0,1771.3,1742.55,1760.35,428711.0,
2016-09-28,1753.2,1782.0,1747.2,1775.75,581749.0,
2016-09-29,1785.0,1787.4,1652.25,1678.35,1825328.0,
2016-09-30,1672.0,1738.95,1669.25,1729.35,515775.0,
2016-10-03,1744.9,1774.35,1740.05,1767.4,419918.0,
2016-10-04,1788.95,1797.0,1768.0,1783.6,695111.0,
2016-10-05,1805.0,1805.4,1777.5,1787.7,665011.0,
2016-10-06,1802.8,1811.0,1750.95,1762.55,575965.0,
2016-10-07,1769.9,1777.65,1751.0,1772.1,404257.0,
2016-10-10,1786.0,1825.0,1778.15,1814.75,778967.0,
2016-10-13,1808.8,1808.9,1732.1,1772.3,1013485.0,
2016-10-14,1776.0,1780.0,1737.1,1742.5,592388.0,
2016-10-17,1745.0,1759.0,1715.55,1719.75,536100.0,
2016-10-18,1725.0,1790.0,1722.0,1782.6,612165.0,
2016-10-19,1781.0,1781.0,1742.8,1748.9,525127.0,
2016-10-20,1755.75,1773.8,1732.15,1740.85,727928.0,
2016-10-21,1739.0,1747.8,1713.9,1735.3,596569.0,
2016-10-24,1731.7,1740.3,1695.0,1711.7,578910.0,
2016-10-25,1714.9,1729.0,1696.0,1709.4,695362.0,
2016-10-26,1707.0,1729.1,1660.0,1668.25,817430.0,
2016-10-27,1667.7,1669.5,1616.5,1636.95,2597561.0,
2016-10-28,1660.0,1682.75,1643.3,1658.85,773612.0,
2016-11-01,1661.0,1685.0,1642.25,1662.9,620670.0,
2016-11-02,1654.95,1654.95,1625.0,1634.0,524322.0,
2016-11-03,1631.9,1650.0,1590.25,1599.15,736830.0,
2016-11-04,1594.2,1608.95,1565.1,1591.35,696032.0,
2016-11-07,1606.05,1620.0,1595.0,1600.5,388630.0,
2016-11-08,1604.0,1664.0,1603.4,1656.9,587436.0,
2016-11-09,1550.1,1704.0,1545.4,1680.85,862991.0,
2016-11-10,1697.0,1778.7,1697.0,1756.4,766649.0,
2016-11-11,1735.2,1749.45,1691.25,1721.1,729695.0,
2016-11-15,1706.0,1735.0,1675.5,1693.85,614090.0,
2016-11-16,1718.5,1735.0,1681.4,1698.3,357911.0,
2016-11-17,1700.0,1720.0,1643.0,1654.55,480984.0,
2016-11-18,1657.0,1698.7,1652.0,1691.6,577561.0,
2016-11-21,1696.1,1700.85,1614.45,1621.8,510743.0,
2016-11-22,1630.15,1656.9,1618.8,1639.2,350181.0,
2016-11-23,1646.0,1662.6,1642.0,1651.25,282590.0,
2016-11-24,1645.0,1656.1,1606.25,1614.75,1677059.0,
2016-11-25,1624.0,1678.8,1621.0,1673.85,444308.0,
2016-11-28,1680.0,1730.0,1667.05,1722.45,488037.0,
2016-11-29,1726.9,1732.25,1694.0,1697.45,446748.0,
2016-11-30,1685.0,1735.55,1685.0,1729.0,740829.0,
2016-12-01,1729.0,1730.9,1672.05,1676.35,534610.0,
2016-12-02,1664.0,1680.0,1650.7,1656.65,544133.0,
2016-12-05,1658.0,1671.8,1626.25,1648.55,616283.0,
2016-12-06,1652.0,1661.7,1633.0,1644.0,369587.0,
2016-12-07,1650.0,1655.95,1631.5,1646.35,503403.0,
2016-12-08,1660.0,1678.0,1652.0,1656.85,482786.0,
2016-12-09,1666.8,1669.0,1642.0,1646.45,376090.0,
2016-12-12,1646.0,1648.4,1617.7,1622.35,406434.0,
2016-12-13,1624.0,1641.25,1609.9,1631.9,530621.0,
2016-12-14,1641.0,1641.0,1621.5,1630.15,418171.0,
2016-12-15,1620.0,1655.55,1615.15,1630.65,405907.0,
2016-12-16,1644.0,1647.95,1611.3,1618.3,463236.0,
2016-12-19,1618.0,1624.35,1593.75,1598.95,388334.0,
2016-12-20,1590.0,1601.0,1575.0,1591.6,475671.0,
2016-12-21,1600.0,1605.9,1581.05,1586.2,390818.0,
2016-12-22,1595.7,1597.9,1557.35,1566.6,444539.0,
2016-12-23,1558.0,1583.85,1542.05,1568.05,466680.0,
2016-12-26,1554.0,1561.7,1511.65,1532.7,613361.0,
2016-12-27,1538.7,1587.45,1533.0,1580.2,429458.0,
2016-12-28,1579.95,1594.7,1557.4,1585.15,624567.0,
2016-12-29,1581.2,1603.9,1571.25,1599.75,524321.0,
2016-12-30,1599.0,1632.45,1595.65,1627.5,620534.0,
2017-01-02,1628.0,1641.85,1610.1,1634.3,462136.0,
2017-01-03,1641.0,1653.6,1631.0,1644.55,453049.0,
2017-01-04,166.75,166.75,160.6,163.05,2378943.0,
2017-01-05,164.05,176.65,163.5,175.65,6510132.0,
2017-01-06,177.35,178.8,172.75,175.2,5500626.0,
2017-01-09,176.5,179.3,174.6,176.05,2997673.0,
2017-01-10,176.5,179.5,173.6,178.45,3701710.0,
2017-01-11,179.3,195.4,179.0,187.55,19588062.0,
