,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,1225.0,1247.4,1220.45,1235.0,200967.0,
2016-08-23,1234.0,1236.65,1211.25,1230.25,191525.0,
2016-08-24,1230.8,1245.0,1220.2,1232.95,229799.0,
2016-08-25,1235.4,1238.0,1211.1,1231.5,287552.0,
2016-08-26,1232.25,1257.65,1200.0,1205.9,406352.0,
2016-08-29,1214.9,1219.5,1181.1,1194.35,341450.0,
2016-08-30,1200.7,1207.85,1173.25,1182.0,366667.0,
2016-08-31,1190.0,1192.1,1166.35,1174.35,564341.0,
2016-09-01,1174.2,1175.9,1145.2,1154.75,360398.0,
2016-09-02,1158.0,1195.0,1138.0,1183.1,549878.0,
2016-09-06,1110.0,1123.75,1058.25,1067.9,3314856.0,
2016-09-07,1060.0,1092.5,1046.0,1087.45,1253502.0,
2016-09-08,1091.7,1095.0,1074.5,1081.3,449172.0,
2016-09-09,1071.0,1089.45,1064.4,1075.25,409129.0,
2016-09-12,1058.0,1064.15,1028.6,1049.3,401229.0,
2016-09-14,1060.0,1067.35,1043.4,1048.4,448674.0,
2016-09-15,1050.0,1061.0,1037.0,1043.5,330732.0,
2016-09-16,1048.0,1057.0,1034.0,1042.85,519730.0,
2016-09-19,1045.0,1060.0,1001.0,1005.6,891397.0,
2016-09-20,950.0,951.3,923.05,943.75,5346852.0,
2016-09-21,957.0,965.0,943.0,946.25,1631113.0,
2016-09-22,955.0,986.75,951.9,976.45,897513.0,
2016-09-23,982.9,1006.0,973.0,993.85,1303780.0,
2016-09-26,991.95,1002.35,948.0,960.15,970072.0,
2016-09-27,960.0,976.25,955.0,964.8,625560.0,
2016-09-28,966.0,975.85,956.15,965.2,417560.0,
2016-09-29,961.0,973.5,930.0,939.55,1169489.0,
2016-09-30,928.0,970.0,915.55,964.0,1001924.0,
2016-10-03,973.0,979.6,959.8,974.5,545546.0,
2016-10-04,980.0,998.0,976.15,993.8,552685.0,
2016-10-05,996.0,1001.45,985.5,993.45,369238.0,
2016-10-06,989.9,1035.9,989.9,1019.45,1044865.0,
2016-10-07,1026.0,1068.85,1024.95,1063.65,1445474.0,
2016-10-10,1064.7,1071.0,1037.25,1053.95,696007.0,
2016-10-13,1060.1,1078.0,1029.25,1035.35,810521.0,
2016-10-14,1038.9,1054.15,1034.2,1043.85,510736.0,
2016-10-17,1044.0,1053.15,1038.5,1044.05,344823.0,
2016-10-18,1044.0,1055.95,1041.0,1050.15,448099.0,
2016-10-19,1057.55,1097.15,1049.6,1085.0,780337.0,
2016-10-20,1097.5,1139.0,1097.0,1118.7,1291971.0,
2016-10-21,1110.0,1114.0,1088.1,1097.9,437881.0,
2016-10-24,1098.0,1127.9,1073.05,1107.05,494196.0,
2016-10-25,1109.9,1163.5,1094.15,1147.05,571511.0,
2016-10-26,1157.4,1184.0,1044.0,1057.3,3397675.0,
2016-10-27,1040.5,1042.05,990.0,995.4,1618075.0,
2016-10-28,992.0,1028.5,992.0,1000.4,812071.0,
2016-11-01,1006.0,1014.8,994.0,999.35,388860.0,
2016-11-02,983.1,991.95,973.0,976.8,463590.0,
2016-11-03,976.0,985.95,961.0,965.15,363713.0,
2016-11-04,963.5,980.5,954.0,959.95,453975.0,
2016-11-07,974.0,981.0,960.0,963.3,218815.0,
2016-11-08,970.1,980.85,965.65,977.65,274439.0,
2016-11-09,900.1,950.0,880.0,932.2,1095298.0,
2016-11-10,946.0,974.95,941.1,946.45,421299.0,
2016-11-11,935.0,950.0,886.0,893.1,800091.0,
2016-11-15,902.0,902.0,845.0,851.95,740101.0,
2016-11-16,860.1,887.65,827.25,881.7,930765.0,
2016-11-17,885.0,903.0,878.1,894.15,311932.0,
2016-11-18,893.0,896.55,863.9,886.0,563315.0,
2016-11-21,887.0,897.0,875.0,887.7,445386.0,
2016-11-22,898.0,898.0,877.0,881.4,408555.0,
2016-11-23,883.0,888.0,870.6,881.8,238993.0,
2016-11-24,880.0,880.05,851.55,855.65,311036.0,
2016-11-25,856.65,891.9,855.0,886.75,359777.0,
2016-11-28,886.8,900.0,882.0,888.9,226453.0,
2016-11-29,894.0,930.0,888.1,925.2,562483.0,
2016-11-30,929.0,935.0,910.0,920.4,397686.0,
2016-12-01,920.0,925.95,905.05,909.05,245631.0,
2016-12-02,901.0,901.95,867.0,871.05,439204.0,
2016-12-05,872.0,879.0,840.1,849.5,695420.0,
2016-12-06,854.5,871.0,850.3,853.5,501421.0,
2016-12-07,856.0,865.0,839.05,847.3,346689.0,
2016-12-08,853.85,878.4,850.15,867.55,453793.0,
2016-12-09,870.85,879.0,861.5,864.55,271013.0,
2016-12-12,859.0,878.0,851.0,854.05,282471.0,
2016-12-13,855.7,862.6,843.1,853.8,222052.0,
2016-12-14,855.0,868.55,840.0,845.1,503543.0,
2016-12-15,833.0,846.4,828.25,833.05,449189.0,
2016-12-16,836.0,844.25,821.7,837.9,531371.0,
2016-12-19,842.0,848.0,831.05,838.9,231533.0,
2016-12-20,833.0,843.9,825.25,830.4,245736.0,
2016-12-21,831.0,848.0,814.0,819.05,409138.0,
2016-12-22,813.5,818.85,800.5,812.8,494115.0,
2016-12-23,803.0,810.7,781.0,785.25,707563.0,
2016-12-26,779.7,798.95,760.5,791.4,908085.0,
2016-12-27,785.0,818.0,785.0,813.2,745294.0,
2016-12-28,819.0,835.75,813.0,831.65,515717.0,
2016-12-29,827.2,838.0,813.0,830.0,401644.0,
2016-12-30,829.0,861.9,820.0,853.45,565579.0,
2017-01-02,854.5,865.0,842.2,859.9,334040.0,
2017-01-03,860.0,872.9,856.05,867.65,272889.0,
