,Open,High,Low,Close,Volume,DeliveryPct
2021-02-18,851.95,854.95,781.0,787.5,233122.0,81.33
2021-02-19,781.3,794.0,742.0,772.7,180602.0,58.23
2021-02-22,775.0,785.35,748.0,765.9,82762.0,56.67
2021-02-23,765.9,785.0,746.0,750.95,91142.0,50.98
2021-02-24,765.0,775.0,638.3,759.0,38071.0,44.23
2021-02-25,778.0,778.0,750.15,761.4,128821.0,43.93
2021-02-26,753.0,778.0,744.45,769.6,108680.0,55.87
2021-03-01,777.7,785.0,764.0,781.25,86329.0,59.2
2021-03-02,786.4,786.4,764.95,774.1,110241.0,67.88
2021-03-03,778.2,801.8,771.0,788.45,196841.0,45.34
2021-03-04,788.45,796.85,779.35,784.7,82688.0,68.49
2021-03-05,784.7,806.7,746.2,759.6,201057.0,64.96
2021-03-08,764.05,780.05,745.0,751.9,75596.0,62.5
2021-03-09,764.2,775.0,748.05,767.05,66304.0,60.37
2021-03-10,775.9,776.0,757.1,766.75,49467.0,50.53
2021-03-11,775.9,776.0,757.1,766.75,49467.0,50.53
2021-03-12,766.85,799.8,766.75,784.0,160154.0,50.78
2021-03-15,776.9,780.0,751.0,757.75,88137.0,57.81
2021-03-16,759.0,767.85,752.5,759.4,94971.0,64.88
2021-03-17,759.55,765.95,730.05,740.4,86376.0,60.75
2021-03-18,744.3,753.65,716.2,719.75,73904.0,56.11
2021-03-19,719.75,740.0,697.2,712.8,255365.0,66.22
2021-03-22,723.9,724.05,682.35,698.95,213650.0,65.97
2021-03-23,710.0,720.85,695.0,699.3,515579.0,88.88
2021-03-24,704.0,714.0,675.0,679.7,140597.0,59.81
2021-03-25,685.0,685.75,634.1,669.25,328021.0,56.36
2021-03-26,680.0,681.5,651.4,664.45,206351.0,56.49
2021-03-29,680.0,681.5,651.4,664.45,206351.0,56.49
2021-03-30,681.55,717.7,668.9,705.75,185104.0,64.54
2021-03-31,715.0,715.0,676.05,681.1,146004.0,57.21
2021-04-01,701.0,722.0,681.8,712.7,127133.0,58.46
2021-04-02,701.0,722.0,681.8,712.7,127133.0,58.46
2021-04-05,712.9,719.7,699.95,712.7,104091.0,47.06
2021-04-06,712.55,712.55,685.6,695.0,180329.0,62.95
2021-04-07,695.0,702.0,688.25,691.1,105117.0,53.28
2021-04-08,693.5,710.0,691.0,704.3,179289.0,53.6
2021-04-09,704.0,741.95,704.0,735.95,286001.0,46.61
2021-04-12,751.0,793.05,706.7,734.7,671464.0,27.68
2021-04-13,741.0,766.95,725.1,740.45,131903.0,29.36
2021-04-14,741.0,766.95,725.1,740.45,131903.0,29.36
2021-04-15,760.0,760.0,716.35,727.45,171260.0,50.08
2021-04-16,735.0,736.9,720.0,723.25,111710.0,55.98
2021-04-19,730.0,799.8,722.0,770.45,2358938.0,15.4
2021-04-20,795.0,817.95,777.1,801.9,1599236.0,20.0
2021-04-21,795.0,817.95,777.1,801.9,1599236.0,20.0
2021-04-22,813.9,834.0,809.95,817.65,1018809.0,32.65
2021-04-23,820.8,829.0,789.1,791.7,432768.0,29.94
2021-04-26,796.0,824.5,772.2,805.8,457519.0,40.8
2021-04-27,805.0,809.85,791.0,794.65,236090.0,38.67
2021-04-28,798.25,804.8,786.0,795.65,260904.0,38.09
2021-04-29,805.0,805.0,770.0,781.85,201230.0,46.25
2021-04-30,776.0,803.95,776.0,798.5,262129.0,46.64
2021-05-03,798.5,809.5,783.05,804.9,223637.0,47.55
2021-05-04,810.0,831.1,795.0,804.75,614502.0,43.01
2021-05-05,810.25,839.0,801.95,835.85,480245.0,38.19
2021-05-06,840.0,847.6,821.8,838.3,314793.0,50.12
2021-05-07,843.9,843.95,826.6,836.0,163054.0,52.19
2021-05-10,845.5,855.0,834.4,848.6,821405.0,70.45
2021-05-11,845.0,869.35,840.0,847.05,320754.0,43.58
2021-05-12,845.0,869.85,837.0,852.4,383991.0,52.31
2021-05-13,845.0,869.85,837.0,852.4,383991.0,52.31
2021-05-14,857.65,858.85,808.25,820.9,183646.0,40.01
2021-05-17,827.0,840.0,822.0,832.45,479556.0,79.68
2021-05-18,835.8,845.0,808.55,840.35,373569.0,51.57
2021-05-19,838.2,842.0,828.45,833.2,141319.0,66.31
2021-05-20,834.7,855.0,823.0,848.45,164247.0,49.94
2021-05-21,851.0,857.95,838.1,845.5,124472.0,57.54
2021-05-24,863.0,863.0,826.0,830.45,239688.0,58.8
2021-05-25,836.45,873.0,831.05,845.15,431220.0,50.14
2021-05-26,849.95,902.0,845.35,897.0,726091.0,42.07
2021-05-27,902.0,925.0,870.0,887.3,702556.0,43.64
2021-05-28,885.75,899.95,874.95,881.6,190811.0,46.88
2021-05-31,883.0,889.45,861.9,873.55,147816.0,54.6
2021-06-01,878.8,880.0,830.0,846.4,310582.0,58.8
2021-06-02,849.0,860.0,836.85,847.1,226140.0,50.36
2021-06-03,856.0,868.0,834.6,843.05,307383.0,57.54
2021-06-04,847.5,863.05,825.0,836.5,388083.0,46.19
2021-06-07,795.0,809.9,777.9,786.25,1067142.0,49.41
2021-06-08,794.9,804.65,771.75,777.5,531999.0,56.32
2021-06-09,785.3,788.95,756.1,759.65,533659.0,65.64
2021-06-10,766.0,780.0,765.05,779.0,337918.0,53.04
2021-06-11,787.4,787.4,768.1,772.3,232321.0,57.6
2021-06-14,776.0,778.55,760.1,763.1,349766.0,47.41
2021-06-15,769.8,779.0,752.25,755.2,443416.0,58.68
2021-06-16,770.0,773.0,752.05,761.45,469252.0,50.28
2021-06-17,762.9,762.9,750.35,757.35,157833.0,53.5
2021-06-18,758.95,758.95,730.0,733.7,284889.0,60.55
2021-06-21,730.0,764.95,726.6,747.25,415682.0,36.96
2021-06-22,747.25,754.95,738.4,743.7,254860.0,50.67
2021-06-23,750.0,750.0,740.0,742.65,103215.0,57.96
2021-06-24,747.0,753.0,738.05,742.85,112362.0,59.0
2021-06-25,745.0,747.3,738.0,739.15,107598.0,60.58
2021-06-28,745.0,747.0,733.85,736.85,110886.0,66.11
2021-06-29,742.6,744.0,732.6,734.3,122178.0,67.1
2021-06-30,738.0,738.0,711.0,732.25,189368.0,58.97
2021-07-01,732.25,735.0,718.25,719.9,168693.0,69.77
2021-07-02,722.1,747.0,720.0,722.9,997885.0,35.59
2021-07-05,726.0,736.0,720.1,730.05,193291.0,58.55
2021-07-06,735.0,742.9,730.0,733.25,184738.0,61.25
2021-07-07,735.4,735.4,726.2,727.2,78644.0,53.14
2021-07-08,728.1,740.35,728.1,735.3,117269.0,59.99
2021-07-09,736.5,740.0,729.0,730.5,98504.0,50.21
2021-07-12,736.8,758.5,728.55,743.3,532277.0,54.98
2021-07-13,743.3,754.0,742.0,747.55,306483.0,63.01
2021-07-14,755.0,767.0,745.1,749.8,797261.0,50.3
2021-07-15,746.0,751.8,699.0,705.75,2533689.0,46.33
2021-07-16,710.05,726.0,709.4,713.8,583556.0,53.57
2021-07-19,717.0,724.5,715.0,717.8,312037.0,50.99
2021-07-20,724.0,724.0,708.0,710.75,180035.0,57.87
2021-07-21,724.0,724.0,708.0,710.75,180035.0,57.87
2021-07-22,723.8,724.0,711.0,714.85,430180.0,58.92
2021-07-23,725.0,725.0,690.0,697.1,558659.0,56.4
2021-07-26,715.0,715.0,684.0,694.35,742673.0,48.37
2021-07-27,699.0,705.0,663.95,668.7,442191.0,60.27
2021-07-28,674.35,674.9,659.05,671.55,259046.0,49.74
2021-07-29,674.6,689.8,672.1,685.8,209847.0,58.49
2021-07-30,687.0,694.8,680.45,686.6,244721.0,57.97
2021-08-02,695.0,695.0,687.0,688.7,107668.0,65.62
2021-08-03,694.0,694.0,675.8,679.15,189534.0,68.03
2021-08-04,680.0,683.15,660.0,662.95,302813.0,63.95
2021-08-05,662.1,663.7,650.55,657.45,197574.0,49.18
2021-08-06,661.5,670.9,651.55,667.7,232389.0,38.97
2021-08-09,673.9,673.9,651.05,652.75,159470.0,57.21
2021-08-10,657.45,659.0,633.05,636.85,264961.0,55.71
2021-08-11,637.0,674.4,605.0,666.15,640271.0,36.68
2021-08-12,670.0,674.0,652.0,659.65,261108.0,43.37
2021-08-13,660.05,661.8,645.0,646.4,192744.0,52.66
2021-08-16,651.4,651.4,630.05,632.35,177749.0,48.05
2021-08-17,635.65,639.7,617.85,622.2,279345.0,48.53
2021-08-18,625.1,630.9,619.0,623.1,114769.0,49.89
2021-08-19,625.1,630.9,619.0,623.1,114769.0,49.89
2021-08-20,621.0,621.0,606.6,608.7,194505.0,51.58
2021-08-23,617.3,619.8,586.85,599.05,212416.0,57.99
2021-08-24,605.0,606.85,585.05,594.35,224782.0,51.74
2021-08-25,601.95,618.7,598.05,611.5,293895.0,54.12
2021-08-26,618.95,644.35,603.0,610.1,995779.0,33.44
2021-08-27,619.0,628.1,615.0,621.1,387179.0,37.77
2021-08-30,628.0,651.95,627.85,644.0,394433.0,46.13
2021-08-31,648.95,668.0,645.8,663.3,532331.0,40.53
2021-09-01,669.25,677.85,654.0,656.85,329916.0,49.29
2021-09-02,659.0,667.95,656.0,658.8,139972.0,50.86
2021-09-03,664.0,664.0,644.0,646.35,240531.0,57.27
2021-09-06,651.05,655.0,641.0,643.65,162532.0,51.54
2021-09-07,645.0,645.0,634.0,637.8,108763.0,49.12
2021-09-08,634.0,642.75,632.0,638.5,104101.0,50.72
2021-09-09,638.5,639.85,628.7,631.1,118031.0,54.74
2021-09-10,638.5,639.85,628.7,631.1,118031.0,54.74
2021-09-13,632.0,635.0,617.15,619.1,215313.0,62.18
2021-09-14,620.0,628.9,620.0,622.45,218501.0,58.06
2021-09-15,628.4,628.4,621.45,626.8,615522.0,85.41
2021-09-16,627.9,630.5,620.15,626.55,181635.0,61.96
2021-09-17,629.0,629.0,608.0,614.35,491473.0,60.02
2021-09-20,616.0,619.0,605.0,605.75,185791.0,56.14
2021-09-21,609.75,619.9,596.05,617.2,173709.0,46.61
2021-09-22,617.3,624.25,613.15,620.3,114013.0,57.7
2021-09-23,625.0,625.0,615.05,617.5,134863.0,60.9
2021-09-24,618.1,627.0,615.0,617.6,200909.0,52.39
2021-09-27,618.0,622.6,607.0,611.4,152374.0,57.93
2021-09-28,612.0,615.95,604.15,613.9,394062.0,80.72
2021-09-29,615.0,639.6,606.9,633.05,291372.0,53.39
2021-09-30,634.5,637.65,619.5,623.65,180897.0,52.37
2021-10-01,620.0,633.4,617.0,628.5,112515.0,49.1
2021-10-04,635.5,637.95,625.15,632.65,189785.0,52.76
2021-10-05,632.65,649.95,628.0,640.05,263502.0,46.52
2021-10-06,645.0,646.95,620.05,625.15,175575.0,62.76
2021-10-07,632.95,643.0,626.7,637.5,177288.0,53.8
2021-10-08,637.5,646.85,628.5,630.6,233250.0,71.37
2021-10-11,635.6,635.95,625.0,626.2,167998.0,65.04
2021-10-12,623.9,634.0,621.7,630.35,145106.0,49.61
2021-10-13,630.35,639.0,625.05,628.5,221235.0,72.96
2021-10-14,630.0,648.8,621.0,625.15,206278.0,46.88
2021-10-15,630.0,648.8,621.0,625.15,206278.0,46.88
2021-10-18,630.0,639.95,629.85,635.4,208553.0,74.13
2021-10-19,638.95,655.5,627.05,636.65,481025.0,53.89
2021-10-20,640.0,645.75,623.95,630.35,195216.0,40.03
2021-10-21,636.0,641.95,605.15,611.4,236519.0,62.74
2021-10-22,613.05,619.0,593.05,604.2,472873.0,25.16
2021-10-25,600.05,612.0,585.5,606.2,341635.0,56.73
2021-10-26,606.95,610.95,596.05,600.65,140946.0,60.48
2021-10-27,605.55,611.95,598.6,600.6,98209.0,56.06
2021-10-28,604.0,607.85,596.1,599.65,97375.0,56.73
2021-10-29,599.65,602.6,585.05,596.2,197945.0,57.68
2021-11-01,610.0,611.9,603.0,610.15,113709.0,50.6
2021-11-02,614.0,620.0,610.0,615.8,84790.0,56.85
2021-11-03,617.0,618.85,595.0,606.2,84383.0,49.77
2021-11-04,617.0,618.85,595.0,606.2,84383.0,49.77
2021-11-05,606.2,614.35,606.2,611.1,17540.0,62.17
2021-11-08,620.0,620.0,605.0,608.3,69140.0,52.09
2021-11-09,609.95,626.0,606.6,618.8,130153.0,59.86
2021-11-10,617.9,624.0,616.05,619.85,78398.0,59.4
2021-11-11,623.0,623.0,609.0,611.95,67291.0,56.46
2021-11-12,619.9,619.9,605.35,611.55,101403.0,56.67
2021-11-15,614.9,623.0,605.0,616.7,145649.0,65.36
2021-11-16,615.9,623.0,609.0,615.45,122603.0,57.44
2021-11-17,613.8,617.35,608.25,611.05,61986.0,59.15
2021-11-18,611.05,615.0,596.0,610.8,118634.0,55.66
2021-11-19,611.05,615.0,596.0,610.8,118634.0,55.66
2021-11-22,618.0,618.0,594.35,598.05,131851.0,52.18
2021-11-23,594.95,602.5,585.65,600.65,68692.0,52.9
2021-11-24,607.85,609.75,595.25,597.7,84127.0,43.78
2021-11-25,604.0,604.0,595.0,599.8,44057.0,50.93
2021-11-26,600.0,616.75,592.5,597.1,163099.0,37.55
2021-11-29,595.1,599.95,585.0,586.2,95736.0,50.1
2021-11-30,587.0,602.15,580.3,583.85,108337.0,53.49
2021-12-01,590.0,590.0,575.0,586.0,93100.0,49.46
2021-12-02,589.0,594.55,584.0,591.7,102406.0,65.06
2021-12-03,593.2,602.75,590.05,597.6,87381.0,41.34
2021-12-06,599.0,600.7,589.4,597.0,52813.0,66.2
2021-12-07,594.0,603.4,585.0,590.9,78594.0,41.78
2021-12-08,590.0,599.0,586.05,591.4,68187.0,47.96
2021-12-09,594.5,597.95,579.65,586.2,86031.0,51.29
2021-12-10,590.0,605.75,587.6,600.6,97749.0,53.2
2021-12-13,608.7,614.35,588.05,592.35,105870.0,48.42
2021-12-14,592.0,602.05,589.0,591.25,70564.0,43.26
