,Open,High,Low,Close,Volume,DeliveryPct
2022-06-20,51.75,52.0,45.0,46.3,332690.0,59.93
2022-06-21,46.0,52.7,46.0,51.6,426675.0,45.05
2022-06-22,50.8,52.2,49.6,50.4,168171.0,67.09
2022-06-23,50.95,54.9,50.0,53.5,268694.0,50.4
2022-06-24,53.95,54.9,52.3,53.05,119314.0,63.07
2022-06-27,54.9,55.0,53.1,53.65,127629.0,58.23
2022-06-28,53.6,53.75,52.45,52.9,74501.0,64.72
2022-06-29,52.75,53.0,51.5,51.9,87695.0,52.77
2022-06-30,52.2,55.55,52.2,54.85,281682.0,49.49
2022-07-01,55.6,56.4,54.0,55.6,160408.0,51.53
2022-07-04,57.0,62.9,56.2,61.7,1309368.0,55.28
2022-07-05,62.4,64.8,56.1,57.6,1376679.0,38.61
2022-07-06,58.0,64.0,57.6,63.5,1165727.0,59.44
2022-07-07,64.5,66.7,63.5,64.15,1182965.0,45.7
2022-07-08,66.0,66.0,61.35,62.2,459606.0,56.31
2022-07-11,62.2,63.8,61.55,63.0,336077.0,51.78
2022-07-12,62.95,63.2,60.5,60.75,266354.0,68.92
2022-07-13,61.95,62.0,60.4,61.15,172902.0,64.29
2022-07-14,61.1,61.65,59.1,59.6,168315.0,64.19
2022-07-15,60.7,60.7,58.0,58.55,291035.0,62.53
2022-07-18,59.0,62.45,58.4,60.85,346642.0,55.98
2022-07-19,60.9,62.0,60.65,61.05,174767.0,51.16
2022-07-20,61.95,62.4,59.1,59.4,251374.0,68.89
2022-07-21,59.9,61.9,59.5,59.95,212302.0,48.41
2022-07-22,60.4,60.7,59.1,59.45,234783.0,64.25
2022-07-25,60.0,61.5,58.9,59.45,202700.0,55.41
2022-07-26,60.05,60.05,57.5,58.85,134109.0,58.58
2022-07-27,59.65,59.85,58.1,59.15,91101.0,66.89
2022-07-28,59.8,60.0,58.3,58.65,100300.0,82.11
2022-07-29,58.85,60.0,58.6,58.8,115120.0,59.46
2022-08-01,59.45,60.0,58.85,59.05,191024.0,70.11
2022-08-02,59.6,62.7,59.0,61.0,565471.0,56.4
2022-08-03,61.5,61.7,59.4,59.7,200975.0,68.9
2022-08-04,59.8,60.9,58.4,59.0,173760.0,62.5
2022-08-05,59.7,59.7,58.5,58.6,104772.0,69.54
2022-08-10,60.0,62.0,59.0,60.7,484667.0,54.39
2022-08-11,61.5,63.8,61.05,62.75,782587.0,65.73
2022-08-12,62.7,63.8,60.3,61.2,476206.0,56.24
2022-08-15,62.7,63.8,60.3,61.2,476206.0,56.24
2022-08-16,60.5,61.3,59.1,59.8,457152.0,70.85
2022-08-17,60.5,62.7,59.4,60.3,512749.0,60.77
2022-08-18,60.65,61.15,59.0,59.9,281122.0,64.54
2022-08-19,59.8,61.8,59.35,59.85,409163.0,39.3
2022-08-22,60.0,60.0,57.05,57.55,399758.0,63.57
2022-08-23,57.85,60.6,57.6,60.3,323700.0,61.17
2022-08-24,60.75,70.5,60.45,69.75,3742857.0,42.05
2022-08-25,71.9,73.15,66.55,67.8,2298044.0,45.48
2022-08-26,68.8,76.5,68.25,74.65,2931029.0,41.31
2022-08-29,72.5,81.35,72.1,78.05,2912912.0,42.61
